,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,140.786,141.792,140.317,141.75,388593.0
2020-01-02,142.412,142.613,138.524,140.334,811593.0
2020-01-03,138.231,140.443,137.56,140.124,556565.0
2020-01-04,138.231,140.443,137.56,140.124,556565.0
2020-01-05,138.231,140.443,137.56,140.124,556565.0
2020-01-06,139.948,141.976,139.63,141.959,579303.0
2020-01-07,141.113,142.001,141.004,141.742,526642.0
2020-01-08,142.445,146.015,141.557,145.663,857507.0
2020-01-09,146.09,148.269,145.923,146.56,827594.0
2020-01-10,146.786,149.149,146.593,148.797,729589.0
2020-01-11,146.786,149.149,146.593,148.797,729589.0
2020-01-12,146.786,149.149,146.593,148.797,729589.0
2020-01-13,149.023,150.28,148.747,150.171,727964.0
2020-01-14,149.92,152.035,149.04,151.151,996856.0
2020-01-15,151.093,152.073,149.073,149.341,790279.0
2020-01-16,150.037,150.954,148.068,148.931,1123378.0
2020-01-17,148.855,149.333,147.1,148.311,1029177.0
2020-01-18,148.855,149.333,147.1,148.311,1029177.0
2020-01-19,148.855,149.333,147.1,148.311,1029177.0
2020-01-20,148.855,149.333,147.1,148.311,1029177.0
2020-01-21,148.185,150.791,147.93,150.515,647600.0
2020-01-22,150.95,151.126,150.137,150.456,592627.0
2020-01-23,150.221,150.674,148.855,150.632,566042.0
2020-01-24,150.992,151.135,148.223,148.462,556970.0
2020-01-25,150.992,151.135,148.223,148.462,556970.0
2020-01-26,150.992,151.135,148.223,148.462,556970.0
2020-01-27,146.702,149.174,146.317,148.721,677814.0
2020-01-28,149.358,151.445,148.73,151.311,713076.0
2020-01-29,151.57,152.266,150.623,150.808,495226.0
2020-01-30,150.087,151.487,147.188,150.02,514838.0
2020-01-31,148.906,149.216,146.25,146.97,529060.0
2020-02-01,148.906,149.216,146.25,146.97,529060.0
2020-02-02,148.906,149.216,146.25,146.97,529060.0
2020-02-03,147.934,150.506,147.9,149.635,681122.0
2020-02-04,150.992,153.288,150.85,152.928,797928.0
2020-02-05,153.623,154.905,153.623,154.444,496931.0
2020-02-06,155.433,155.433,153.43,154.076,483544.0
2020-02-07,153.958,154.201,152.5,152.777,449004.0
2020-02-08,153.958,154.201,152.5,152.777,449004.0
2020-02-09,153.958,154.201,152.5,152.777,449004.0
2020-02-10,152.492,154.042,152.492,153.816,443873.0
2020-02-11,154.47,156.782,153.707,155.953,518661.0
2020-02-12,156.204,157.695,155.609,157.117,747106.0
2020-02-13,157.938,164.533,157.746,163.167,1629608.0
2020-02-14,162.539,163.871,160.419,163.628,649497.0
2020-02-15,162.539,163.871,160.419,163.628,649497.0
2020-02-16,162.539,163.871,160.419,163.628,649497.0
2020-02-17,162.539,163.871,160.419,163.628,649497.0
2020-02-18,162.396,162.916,158.458,159.991,791626.0
2020-02-19,160.31,160.838,158.722,159.12,564484.0
2020-02-20,158.584,160.31,157.913,158.207,641419.0
2020-02-21,157.503,159.12,157.26,158.835,445030.0
2020-02-22,157.503,159.12,157.26,158.835,445030.0
2020-02-23,157.503,159.12,157.26,158.835,445030.0
2020-02-24,155.76,158.609,155.542,157.151,875015.0
2020-02-25,158.14,158.676,153.037,154.604,939518.0
2020-02-26,155.693,157.695,153.238,153.841,584671.0
2020-02-27,152.157,156.983,150.64,152.995,922485.0
2020-02-28,149.559,151.461,143.359,147.213,1776213.0
2020-02-29,149.559,151.461,143.359,147.213,1776213.0
2020-03-01,149.559,151.461,143.359,147.213,1776213.0
2020-03-02,147.976,157.88,147.976,157.494,1390849.0
2020-03-03,156.858,158.38,151.034,151.696,959584.0
2020-03-04,155.601,160.98,155.601,160.234,1780790.0
2020-03-05,156.916,163.025,154.855,156.715,1734318.0
2020-03-06,153.204,153.967,146.643,150.582,1551000.0
2020-03-07,153.204,153.967,146.643,150.582,1551000.0
2020-03-08,153.204,153.967,146.643,150.582,1551000.0
2020-03-09,150.691,150.691,141.75,147.548,1780022.0
2020-03-10,150.975,151.516,139.312,143.04,1455769.0
2020-03-11,140.108,140.518,129.449,133.22,1892374.0
2020-03-12,125.268,126.316,114.4,114.702,1912981.0
2020-03-13,122.277,126.683,112.389,126.542,2088780.0
2020-03-14,122.277,126.683,112.389,126.542,2088780.0
2020-03-15,122.277,126.683,112.389,126.542,2088780.0
2020-03-16,118.129,119.277,101.865,102.15,1827888.0
2020-03-17,105.619,106.801,95.137,104.262,1782711.0
2020-03-18,97.667,100.152,84.847,90.294,1563262.0
2020-03-19,89.188,98.958,82.132,95.95,1187434.0
2020-03-20,97.986,101.714,89.196,89.858,1672868.0
2020-03-21,97.986,101.714,89.196,89.858,1672868.0
