,PH US Equity,PH US Equity,PH US Equity,PH US Equity,PH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,136.2102,137.5722,134.3362,136.329,830745.0
2019-01-02,134.1626,137.6636,133.0839,137.4716,1097593.0
2019-01-03,136.5484,136.7129,131.4477,132.3984,1281754.0
2019-01-04,135.6617,138.4223,135.0767,138.3309,956852.0
2019-01-05,135.6617,138.4223,135.0767,138.3309,956852.0
2019-01-06,135.6617,138.4223,135.0767,138.3309,956852.0
2019-01-07,137.8921,140.607,136.6124,138.8336,922444.0
2019-01-08,140.1865,141.8959,139.3729,141.7313,1086536.0
2019-01-09,142.2889,144.0623,141.9964,142.8282,1050733.0
2019-01-10,142.0147,144.9215,141.5759,144.3914,723501.0
2019-01-11,143.0202,144.4371,142.49,144.4096,956959.0
2019-01-12,143.0202,144.4371,142.49,144.4096,956959.0
2019-01-13,143.0202,144.4371,142.49,144.4096,956959.0
2019-01-14,142.9471,144.1171,142.033,142.7551,720265.0
2019-01-15,143.0751,143.3904,140.4973,141.1372,979352.0
2019-01-16,141.2194,143.0111,140.7304,142.4352,847428.0
2019-01-17,141.5485,147.1062,141.5485,145.8174,713041.0
2019-01-18,146.6309,150.0634,146.311,148.5322,1200196.0
2019-01-19,146.6309,150.0634,146.311,148.5322,1200196.0
2019-01-20,146.6309,150.0634,146.311,148.5322,1200196.0
2019-01-21,146.6309,150.0634,146.311,148.5322,1200196.0
2019-01-22,146.9691,147.5084,143.6007,144.7479,756460.0
2019-01-23,145.4609,146.2744,142.4443,143.3401,908841.0
2019-01-24,143.203,145.4106,142.3163,144.4919,789738.0
2019-01-25,145.6894,147.7552,145.6894,147.1611,1103945.0
2019-01-26,145.6894,147.7552,145.6894,147.1611,1103945.0
2019-01-27,145.6894,147.7552,145.6894,147.1611,1103945.0
2019-01-28,144.6473,145.6802,141.8547,144.1171,858993.0
2019-01-29,144.565,148.6785,144.0897,148.194,817108.0
2019-01-30,149.684,151.8367,147.9015,150.8266,1254703.0
2019-01-31,149.4555,152.1064,146.4755,150.6529,1850773.0
2019-02-01,150.2964,152.4263,149.2727,150.269,1287575.0
2019-02-02,150.2964,152.4263,149.2727,150.269,1287575.0
2019-02-03,150.2964,152.4263,149.2727,150.269,1287575.0
2019-02-04,150.6529,151.4563,149.2087,151.2745,690276.0
2019-02-05,152.1155,152.1155,150.2782,151.9327,828233.0
2019-02-06,151.7316,152.8376,151.4482,151.7407,572686.0
2019-02-07,150.7856,150.9877,147.7644,149.05,737238.0
2019-02-08,148.0858,149.399,147.039,148.848,717742.0
2019-02-09,148.0858,149.399,147.039,148.848,717742.0
