,PAG US Equity,PAG US Equity,PAG US Equity,PAG US Equity,PAG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,35.601,36.0506,35.1907,35.9667,351458.0
2019-01-02,35.6367,36.7249,35.6188,36.6001,528725.0
2019-01-03,36.4395,37.1264,36.2254,36.9747,474335.0
2019-01-04,37.3583,38.3574,37.0818,38.1968,633029.0
2019-01-05,37.3583,38.3574,37.0818,38.1968,633029.0
2019-01-06,37.3583,38.3574,37.0818,38.1968,633029.0
2019-01-07,38.4822,39.4813,38.1834,39.187,509291.0
2019-01-08,39.9006,40.1414,39.3654,39.9363,540959.0
2019-01-09,40.2663,40.8194,40.0522,40.5161,570901.0
2019-01-10,40.2663,40.4759,39.3654,40.2485,287581.0
2019-01-11,40.2931,40.9799,40.1147,40.6856,401918.0
2019-01-12,40.2931,40.9799,40.1147,40.6856,401918.0
2019-01-13,40.2931,40.9799,40.1147,40.6856,401918.0
2019-01-14,40.3377,41.0959,40.2752,40.641,481367.0
2019-01-15,40.5607,40.5964,39.8114,40.409,295966.0
2019-01-16,40.2039,41.31,40.0165,40.9175,315251.0
2019-01-17,40.8015,41.8452,40.6008,41.5241,390468.0
2019-01-18,41.7292,42.4339,41.5865,42.3983,387003.0
2019-01-19,41.7292,42.4339,41.5865,42.3983,387003.0
2019-01-20,41.7292,42.4339,41.5865,42.3983,387003.0
2019-01-21,41.7292,42.4339,41.5865,42.3983,387003.0
2019-01-22,42.1307,42.3537,41.0736,41.6222,499845.0
2019-01-23,41.7471,42.0236,40.6856,40.8818,434026.0
2019-01-24,40.9353,41.2208,40.6499,41.0245,269562.0
2019-01-25,41.3724,41.5954,41.0201,41.5508,396824.0
2019-01-26,41.3724,41.5954,41.0201,41.5508,396824.0
2019-01-27,41.3724,41.5954,41.0201,41.5508,396824.0
2019-01-28,41.2119,41.5687,40.7435,41.4706,344170.0
2019-01-29,41.4616,41.7203,41.1048,41.194,207573.0
2019-01-30,41.2832,41.6592,40.8997,41.5598,303201.0
2019-01-31,41.4349,41.979,41.0424,41.8184,350982.0
2019-02-01,41.8898,42.425,41.8363,42.318,627196.0
2019-02-02,41.8898,42.425,41.8363,42.318,627196.0
2019-02-03,41.8898,42.425,41.8363,42.318,627196.0
2019-02-04,42.3447,42.6391,41.8541,42.4964,422286.0
2019-02-05,42.4607,42.9602,42.3001,42.9335,530758.0
2019-02-06,42.9335,43.3081,42.4072,42.4964,479464.0
2019-02-07,42.1039,42.3626,38.4376,39.1334,1117170.0
2019-02-08,38.8725,39.7623,37.6937,37.8377,976671.0
2019-02-09,38.8725,39.7623,37.6937,37.8377,976671.0
2019-02-10,38.8725,39.7623,37.6937,37.8377,976671.0
2019-02-11,37.7027,38.2966,37.5452,37.7657,738346.0
2019-02-12,37.8557,39.2234,37.8557,39.1874,530975.0
2019-02-13,39.6553,40.0468,38.5935,38.8635,679835.0
2019-02-14,38.6295,39.2324,38.2516,38.9355,515830.0
2019-02-15,39.1604,39.9973,39.0435,39.7273,644556.0
2019-02-16,39.1604,39.9973,39.0435,39.7273,644556.0
2019-02-17,39.1604,39.9973,39.0435,39.7273,644556.0
2019-02-18,39.1604,39.9973,39.0435,39.7273,644556.0
2019-02-19,39.2504,39.6913,38.8995,39.4304,414597.0
2019-02-20,39.3584,40.3482,39.3584,40.1412,590309.0
2019-02-21,40.2132,40.2629,39.2954,39.3494,269259.0
2019-02-22,39.3494,39.6733,39.1604,39.3584,263598.0
