,BGS US Equity,BGS US Equity,BGS US Equity,BGS US Equity,BGS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,20.1063,20.1468,18.8189,19.4862,693982.0
2019-01-02,19.3582,20.0524,19.1155,19.6884,582985.0
2019-01-03,19.6076,19.9311,19.2773,19.3042,561171.0
2019-01-04,19.3784,19.6817,19.0077,19.0683,566345.0
2019-01-05,19.3784,19.6817,19.0077,19.0683,566345.0
2019-01-06,19.3784,19.6817,19.0077,19.0683,566345.0
2019-01-07,19.0683,19.4862,19.0548,19.2031,660398.0
2019-01-08,19.3312,20.0255,19.1425,20.0052,438970.0
2019-01-09,19.9917,20.14,19.5941,19.9783,961633.0
2019-01-10,19.4795,19.9513,18.9874,19.3177,1285674.0
2019-01-11,19.3582,19.8334,19.2571,19.7626,507495.0
2019-01-12,19.3582,19.8334,19.2571,19.7626,507495.0
2019-01-13,19.3582,19.8334,19.2571,19.7626,507495.0
2019-01-14,19.7895,20.1737,19.648,19.9985,446937.0
2019-01-15,20.0726,20.4366,19.985,20.4299,434144.0
2019-01-16,20.5512,20.7938,19.8435,19.8772,581840.0
2019-01-17,19.8165,20.1737,19.6143,19.7087,722038.0
2019-01-18,19.5671,19.8039,19.2099,19.2166,751958.0
2019-01-19,19.5671,19.8039,19.2099,19.2166,751958.0
2019-01-20,19.5671,19.8039,19.2099,19.2166,751958.0
2019-01-21,19.5671,19.8039,19.2099,19.2166,751958.0
2019-01-22,19.1694,19.3917,18.8055,19.1964,1205591.0
2019-01-23,19.2773,19.5132,19.0077,19.1492,944372.0
2019-01-24,18.5763,18.7583,18.0573,18.2528,954418.0
2019-01-25,18.2932,18.4617,17.8888,17.9764,752772.0
2019-01-26,18.2932,18.4617,17.8888,17.9764,752772.0
2019-01-27,18.2932,18.4617,17.8888,17.9764,752772.0
2019-01-28,17.9697,18.0842,17.6326,17.9831,776789.0
2019-01-29,18.0438,18.4954,17.9899,18.3404,794087.0
2019-01-30,18.455,18.4887,17.208,17.3495,1317366.0
2019-01-31,17.4035,18.0034,17.4035,17.9697,1312173.0
2019-02-01,17.9831,17.9831,17.1676,17.2417,759618.0
2019-02-02,17.9831,17.9831,17.1676,17.2417,759618.0
2019-02-03,17.9831,17.9831,17.1676,17.2417,759618.0
2019-02-04,17.2282,17.3698,17.1271,17.2215,631676.0
2019-02-05,17.2417,17.707,17.2147,17.5113,714758.0
2019-02-06,17.39,17.6933,17.2484,17.3361,317887.0
2019-02-07,17.2215,17.4742,17.0793,17.4102,472800.0
2019-02-08,17.3563,17.559,17.3563,17.4709,319621.0
2019-02-09,17.3563,17.559,17.3563,17.4709,319621.0
2019-02-10,17.3563,17.559,17.3563,17.4709,319621.0
2019-02-11,17.4844,17.6394,17.3765,17.4709,334799.0
2019-02-12,17.5383,17.8011,17.4776,17.6731,320924.0
2019-02-13,17.6124,17.8618,17.4035,17.6663,509766.0
2019-02-14,17.6663,17.8214,17.5315,17.5315,531017.0
2019-02-15,17.6326,17.8011,17.5046,17.6663,512245.0
2019-02-16,17.6326,17.8011,17.5046,17.6663,512245.0
