,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,101.4111,101.8444,101.0966,101.802,1045444.0
2020-01-02,101.8274,101.8274,99.8135,100.2129,1388789.0
2020-01-03,100.0259,100.9862,99.7713,100.8927,1422920.0
2020-01-04,100.0259,100.9862,99.7713,100.8927,1422920.0
2020-01-05,100.0259,100.9862,99.7713,100.8927,1422920.0
2020-01-06,101.1136,101.8784,100.7822,101.2496,1527898.0
2020-01-07,100.8077,101.6235,100.5273,101.2326,1026521.0
2020-01-08,101.598,101.6235,100.8587,101.0882,867526.0
2020-01-09,101.0032,102.2183,100.7482,102.1928,819957.0
2020-01-10,102.4648,103.0256,102.2948,102.4903,1058165.0
2020-01-11,102.4648,103.0256,102.2948,102.4903,1058165.0
2020-01-12,102.4648,103.0256,102.2948,102.4903,1058165.0
2020-01-13,102.4733,103.8201,102.4733,103.2636,1917527.0
2020-01-14,103.1956,103.5695,102.5073,103.3145,1127503.0
2020-01-15,103.7139,105.303,103.527,105.15,1235386.0
2020-01-16,105.235,106.2122,105.1415,106.1782,1130048.0
2020-01-17,106.2972,107.4359,106.1485,107.3339,1054148.0
2020-01-18,106.2972,107.4359,106.1485,107.3339,1054148.0
2020-01-19,106.2972,107.4359,106.1485,107.3339,1054148.0
2020-01-20,106.2972,107.4359,106.1485,107.3339,1054148.0
2020-01-21,107.4444,108.2857,107.062,108.2262,1110816.0
2020-01-22,108.77,109.1779,108.2772,108.6766,895866.0
2020-01-23,108.6851,110.4951,108.4046,110.4271,1278332.0
2020-01-24,110.2996,111.4808,110.2231,111.0899,874994.0
2020-01-25,110.2996,111.4808,110.2231,111.0899,874994.0
2020-01-26,110.2996,111.4808,110.2231,111.0899,874994.0
2020-01-27,111.0389,111.7357,109.6878,110.0872,1134885.0
2020-01-28,110.1552,110.6905,109.3734,110.4611,1165352.0
2020-01-29,110.58,111.1069,109.9767,110.9369,885303.0
2020-01-30,110.8945,111.9906,110.4866,111.9312,769653.0
2020-01-31,111.9142,112.1861,111.0389,111.7612,2408274.0
2020-02-01,111.9142,112.1861,111.0389,111.7612,2408274.0
2020-02-02,111.9142,112.1861,111.0389,111.7612,2408274.0
2020-02-03,112.0926,112.5005,111.7017,112.3306,834389.0
2020-02-04,112.2881,112.9169,110.8265,110.9454,953595.0
2020-02-05,110.784,111.74,110.5365,110.9454,1361349.0
2020-02-06,111.0049,111.8972,110.9964,111.6677,1127336.0
2020-02-07,111.9991,112.6535,111.9142,112.1181,1371634.0
2020-02-08,111.9991,112.6535,111.9142,112.1181,1371634.0
2020-02-09,111.9991,112.6535,111.9142,112.1181,1371634.0
2020-02-10,112.2881,112.9594,111.9142,112.9254,696716.0
2020-02-11,113.0783,113.7242,112.662,112.9254,1035259.0
2020-02-12,112.3434,113.1179,111.7273,112.5831,915702.0
2020-02-13,112.6772,114.2432,112.2579,114.0207,738461.0
2020-02-14,114.363,115.0861,113.8838,114.7823,1639020.0
2020-02-15,114.363,115.0861,113.8838,114.7823,1639020.0
2020-02-16,114.363,115.0861,113.8838,114.7823,1639020.0
2020-02-17,114.363,115.0861,113.8838,114.7823,1639020.0
2020-02-18,115.2787,115.9205,114.5427,115.3386,1455244.0
2020-02-19,115.5269,115.9975,113.7298,113.8924,1633132.0
2020-02-20,113.8325,113.8838,111.9669,112.4889,1933666.0
2020-02-21,112.4205,113.0323,111.0598,111.2139,2846272.0
2020-02-22,112.4205,113.0323,111.0598,111.2139,2846272.0
2020-02-23,112.4205,113.0323,111.0598,111.2139,2846272.0
2020-02-24,111.0513,112.1723,110.6234,111.0256,1559609.0
2020-02-25,111.1112,111.2438,107.6454,108.0818,1599175.0
2020-02-26,108.0476,108.8691,107.4828,107.5255,1529870.0
2020-02-27,107.2175,107.3886,103.281,103.3751,2554253.0
2020-02-28,101.6465,101.6465,97.4619,100.0463,2735526.0
2020-02-29,101.6465,101.6465,97.4619,100.0463,2735526.0
2020-03-01,101.6465,101.6465,97.4619,100.0463,2735526.0
2020-03-02,100.4656,106.4387,100.0377,106.2162,1956962.0
2020-03-03,106.5243,108.4583,103.6233,104.3079,1980000.0
2020-03-04,105.7798,110.1784,105.7798,109.8446,1505994.0
2020-03-05,107.8679,109.6735,106.4815,109.0745,2199969.0
2020-03-06,106.0793,106.9693,103.0759,106.3532,1877638.0
2020-03-07,106.0793,106.9693,103.0759,106.3532,1877638.0
2020-03-08,106.0793,106.9693,103.0759,106.3532,1877638.0
2020-03-09,101.1331,101.7663,97.5646,98.7541,3271958.0
2020-03-10,100.4313,102.3226,97.2651,102.083,2819893.0
2020-03-11,99.5756,99.7895,93.7308,95.5193,1765423.0
2020-03-12,90.2308,91.9337,84.249,86.9789,2872192.0
2020-03-13,91.2577,91.8053,82.683,88.0828,2675228.0
2020-03-14,91.2577,91.8053,82.683,88.0828,2675228.0
2020-03-15,91.2577,91.8053,82.683,88.0828,2675228.0
2020-03-16,80.9373,82.1867,73.458,74.2281,3434997.0
2020-03-17,75.914,85.4471,74.7844,85.2503,3470969.0
2020-03-18,80.1842,81.6646,68.041,73.9457,4108822.0
2020-03-19,73.2526,75.4444,66.398,71.9262,2802081.0
2020-03-20,73.3553,76.6585,67.6645,68.4518,2493841.0
2020-03-21,73.3553,76.6585,67.6645,68.4518,2493841.0
2020-03-22,73.3553,76.6585,67.6645,68.4518,2493841.0
2020-03-23,67.5704,70.5997,64.3485,66.9029,2180374.0
2020-03-24,69.8381,74.6646,68.1181,73.8773,1860519.0
2020-03-25,73.6462,79.5766,71.6866,76.1279,1921966.0
2020-03-26,76.7013,83.9238,76.2648,82.76,1672689.0
2020-03-27,79.3798,86.0889,79.0717,83.2991,1835630.0
2020-03-28,79.3798,86.0889,79.0717,83.2991,1835630.0
2020-03-29,79.3798,86.0889,79.0717,83.2991,1835630.0
2020-03-30,84.1806,86.5938,81.5705,85.6354,1826006.0
2020-03-31,84.4715,85.6097,79.8504,80.4152,2621231.0
2020-04-01,76.9922,78.4727,72.0117,73.2355,1530492.0
2020-04-02,71.4127,76.7141,70.8607,75.4775,2064958.0
2020-04-03,74.6218,76.2991,70.9763,71.3528,2375923.0
2020-04-04,74.6218,76.2991,70.9763,71.3528,2375923.0
2020-04-05,74.6218,76.2991,70.9763,71.3528,2375923.0
2020-04-06,74.8015,80.4324,73.7404,79.5852,1300240.0
2020-04-07,82.238,82.7258,79.2771,80.1414,1360258.0
2020-04-08,80.2869,86.919,80.2869,86.0204,1429999.0
2020-04-09,87.3554,91.754,86.9703,88.0657,1497443.0
2020-04-10,87.3554,91.754,86.9703,88.0657,1497443.0
2020-04-11,87.3554,91.754,86.9703,88.0657,1497443.0
2020-04-12,87.3554,91.754,86.9703,88.0657,1497443.0
2020-04-13,86.996,86.996,83.128,83.7698,1762902.0
2020-04-14,85.4984,86.6879,84.5571,86.1402,1104584.0
2020-04-15,83.7099,84.8438,82.8901,83.2735,1414646.0
2020-04-16,83.4874,84.0436,81.6732,83.1451,1727145.0
2020-04-17,84.7283,87.0987,84.0009,86.6623,1320939.0
2020-04-18,84.7283,87.0987,84.0009,86.6623,1320939.0
2020-04-19,84.7283,87.0987,84.0009,86.6623,1320939.0
2020-04-20,85.43,85.6567,82.007,82.5375,1220842.0
2020-04-21,81.0485,82.2637,79.8333,81.0057,1257477.0
2020-04-22,82.6231,85.7124,81.5748,85.1305,1771908.0
2020-04-23,85.0706,85.8664,82.8627,82.9825,1179726.0
2020-04-24,83.0852,84.0009,81.8786,83.4617,1538140.0
2020-04-25,83.0852,84.0009,81.8786,83.4617,1538140.0
2020-04-26,83.0852,84.0009,81.8786,83.4617,1538140.0
2020-04-27,85.3615,87.595,85.0877,86.6965,1905766.0
2020-04-28,88.6134,89.82,84.7796,85.293,1135610.0
2020-04-29,87.0816,87.0816,84.0436,84.1891,986735.0
2020-04-30,83.804,83.8639,80.4152,81.7331,1497556.0
2020-05-01,80.9201,80.9201,78.815,80.0729,987508.0
2020-05-02,80.9201,80.9201,78.815,80.0729,987508.0
2020-05-03,80.9201,80.9201,78.815,80.0729,987508.0
2020-05-04,79.9018,82.1695,78.9519,81.6561,1221985.0
2020-05-05,81.2967,85.2417,81.2967,82.7942,1353634.0
2020-05-06,83.1658,83.3645,79.7009,80.0724,1038841.0
2020-05-07,80.7723,82.077,80.0292,80.1588,1185288.0
2020-05-08,81.2303,82.6516,80.2884,82.0943,1626957.0
2020-05-09,81.2303,82.6516,80.2884,82.0943,1626957.0
2020-05-10,81.2303,82.6516,80.2884,82.0943,1626957.0
2020-05-11,83.6151,83.9607,80.9797,83.1398,2678784.0
2020-05-12,83.1571,83.5719,81.8005,82.9497,2433200.0
2020-05-13,82.3363,82.9497,80.6168,81.3167,2299580.0
2020-05-14,80.3057,82.2412,78.6208,82.0338,1573941.0
2020-05-15,81.6104,82.4918,79.9255,82.0684,2871199.0
2020-05-16,81.6104,82.4918,79.9255,82.0684,2871199.0
2020-05-17,81.6104,82.4918,79.9255,82.0684,2871199.0
2020-05-18,84.4014,86.8034,84.2545,85.9048,1264297.0
2020-05-19,85.4901,85.8184,83.4336,83.4336,841989.0
2020-05-20,84.3063,85.1358,83.6928,84.3236,751422.0
