,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity,BKE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-04-20,10.9316,11.2354,10.8323,11.1478,513458.0
2019-04-21,10.9316,11.2354,10.8323,11.1478,513458.0
2019-04-22,11.1478,11.1478,10.3941,10.3941,943942.0
2019-04-23,10.3882,10.4591,10.1954,10.3824,520582.0
2019-04-24,10.3999,10.7855,10.3473,10.6921,393814.0
2019-04-25,10.7096,10.733,10.4233,10.4993,413521.0
2019-04-26,10.4759,10.5752,10.2363,10.3941,415871.0
2019-04-27,10.4759,10.5752,10.2363,10.3941,415871.0
2019-04-28,10.4759,10.5752,10.2363,10.3941,415871.0
2019-04-29,10.4525,10.9258,10.4408,10.8907,678023.0
2019-04-30,10.8673,10.8966,10.6921,10.7972,342487.0
2019-05-01,10.8031,10.879,10.5869,10.6687,619136.0
2019-05-02,10.6745,10.8849,10.6278,10.844,380542.0
2019-05-03,10.9375,11.1069,10.9024,11.0835,392299.0
2019-05-04,10.9375,11.1069,10.9024,11.0835,392299.0
2019-05-05,10.9375,11.1069,10.9024,11.0835,392299.0
2019-05-06,10.9141,11.139,10.8673,11.066,404203.0
2019-05-07,11.0192,11.2939,10.9784,11.066,648202.0
2019-05-08,11.0426,11.0835,10.7388,11.0426,687464.0
2019-05-09,10.9375,11.1186,10.7446,10.9725,567990.0
2019-05-10,10.955,11.0718,10.768,10.9316,494140.0
2019-05-11,10.955,11.0718,10.768,10.9316,494140.0
2019-05-12,10.955,11.0718,10.768,10.9316,494140.0
2019-05-13,10.733,10.733,10.3473,10.4817,440335.0
2019-05-14,10.5168,10.7271,10.4408,10.6804,542163.0
2019-05-15,10.5927,10.8557,10.4934,10.8323,513917.0
2019-05-16,10.8849,11.1653,10.8849,10.8966,746745.0
2019-05-17,10.7914,10.9608,10.6628,10.6745,357767.0
2019-05-18,10.7914,10.9608,10.6628,10.6745,357767.0
2019-05-19,10.7914,10.9608,10.6628,10.6745,357767.0
2019-05-20,10.5927,10.6336,10.3941,10.5402,374842.0
2019-05-21,10.5168,10.7067,10.3999,10.6219,355838.0
2019-05-22,10.4759,10.5168,9.9909,10.0026,648440.0
2019-05-23,9.9208,10.0552,9.6112,9.6871,847248.0
2019-05-24,9.3482,9.4885,8.9633,9.1321,1770288.0
2019-05-25,9.3482,9.4885,8.9633,9.1321,1770288.0
2019-05-26,9.3482,9.4885,8.9633,9.1321,1770288.0
2019-05-27,9.3482,9.4885,8.9633,9.1321,1770288.0
2019-05-28,9.0912,9.5002,9.0912,9.3599,1064233.0
2019-05-29,9.208,9.2898,8.9422,9.1554,978506.0
2019-05-30,9.1905,9.3132,8.8692,8.9217,473725.0
2019-05-31,8.7757,8.8575,8.653,8.7932,586876.0
2019-06-01,8.7757,8.8575,8.653,8.7932,586876.0
2019-06-02,8.7757,8.8575,8.653,8.7932,586876.0
2019-06-03,8.8341,8.9568,8.6822,8.8867,705027.0
2019-06-04,8.9918,9.3424,8.9918,9.2898,653758.0
2019-06-05,9.3482,9.3979,9.097,9.1613,516766.0
2019-06-06,9.1204,9.173,8.8049,9.1379,863784.0
2019-06-07,9.1204,9.2723,9.0444,9.0503,772156.0
2019-06-08,9.1204,9.2723,9.0444,9.0503,772156.0
2019-06-09,9.1204,9.2723,9.0444,9.0503,772156.0
2019-06-10,9.1262,9.4008,9.1262,9.3482,488330.0
2019-06-11,9.43,9.7163,9.4125,9.4826,574907.0
2019-06-12,9.4359,9.5469,9.3366,9.4359,303774.0
2019-06-13,9.4709,9.7777,9.4709,9.7163,339043.0
2019-06-14,9.7047,9.8215,9.617,9.7047,295468.0
2019-06-15,9.7047,9.8215,9.617,9.7047,295468.0
2019-06-16,9.7047,9.8215,9.617,9.7047,295468.0
2019-06-17,9.6988,9.8098,9.6404,9.7572,342408.0
2019-06-18,9.7981,10.1253,9.7981,10.0318,480182.0
2019-06-19,10.0318,10.1136,9.8858,10.0903,336342.0
2019-06-20,10.1662,10.2031,10.026,10.0961,292716.0
2019-06-21,10.0494,10.2597,9.9793,10.2188,666394.0
2019-06-22,10.0494,10.2597,9.9793,10.2188,666394.0
2019-06-23,10.0494,10.2597,9.9793,10.2188,666394.0
2019-06-24,10.213,10.213,9.8566,9.8624,421475.0
2019-06-25,9.8566,9.8975,9.6813,9.8098,514309.0
2019-06-26,9.7981,9.9822,9.7339,9.7806,367726.0
2019-06-27,9.8215,10.0494,9.7806,10.0435,344065.0
2019-06-28,10.0377,10.2655,10.0377,10.1136,872767.0
2019-06-29,10.0377,10.2655,10.0377,10.1136,872767.0
2019-06-30,10.0377,10.2655,10.0377,10.1136,872767.0
2019-07-01,10.2305,10.5109,10.1545,10.248,818950.0
2019-07-02,10.248,10.2714,9.9676,10.0844,423058.0
2019-07-03,10.0844,10.0844,9.6754,9.7163,356462.0
2019-07-04,10.0844,10.0844,9.6754,9.7163,356462.0
2019-07-05,9.7222,9.9208,9.6579,9.9033,634651.0
2019-07-06,9.7222,9.9208,9.6579,9.9033,634651.0
2019-07-07,9.7222,9.9208,9.6579,9.9033,634651.0
2019-07-08,9.8799,10.1312,9.8566,10.026,629991.0
2019-07-09,9.9851,10.1575,9.9091,9.9676,906994.0
2019-07-10,9.9909,10.0435,9.7163,9.9442,711828.0
2019-07-11,10.3,10.3326,10.0332,10.2644,965660.0
2019-07-12,10.3771,11.652,10.3593,11.6105,1374317.0
2019-07-13,10.3771,11.652,10.3593,11.6105,1374317.0
2019-07-14,10.3771,11.652,10.3593,11.6105,1374317.0
2019-07-15,11.6105,11.8255,11.2488,11.3496,835271.0
2019-07-16,11.3496,11.5867,11.2725,11.5215,503799.0
2019-07-17,11.48,11.5601,11.2399,11.5097,451665.0
2019-07-18,11.4682,11.5393,11.1598,11.4029,631337.0
2019-07-19,11.4029,11.9692,11.4029,11.8002,521318.0
2019-07-20,11.4029,11.9692,11.4029,11.8002,521318.0
2019-07-21,11.4029,11.9692,11.4029,11.8002,521318.0
2019-07-22,11.8121,11.9307,11.6757,11.901,429033.0
2019-07-23,11.9603,12.0671,11.7053,11.9781,432468.0
2019-07-24,11.984,12.5474,11.9743,12.4466,664261.0
2019-07-25,12.3991,12.5177,11.9544,12.073,454741.0
2019-07-26,12.0611,12.5118,12.0285,12.3813,442723.0
2019-07-27,12.0611,12.5118,12.0285,12.3813,442723.0
2019-07-28,12.0611,12.5118,12.0285,12.3813,442723.0
2019-07-29,12.3695,12.5414,12.0493,12.2746,444838.0
2019-07-30,12.1264,12.2094,11.7884,11.8536,679210.0
2019-07-31,11.8417,12.2865,11.8239,12.0671,642444.0
2019-08-01,12.0611,12.1323,11.0649,11.3555,567574.0
2019-08-02,11.2903,11.7202,11.225,11.652,491267.0
2019-08-03,11.2903,11.7202,11.225,11.652,491267.0
2019-08-04,11.2903,11.7202,11.225,11.652,491267.0
2019-08-05,11.4385,11.9307,11.3792,11.7765,1125037.0
2019-08-06,11.8002,12.2272,11.8002,12.1086,618795.0
2019-08-07,11.9425,12.3161,11.8951,12.2805,648571.0
2019-08-08,12.1026,12.1441,10.6795,10.6914,977820.0
2019-08-09,10.6024,10.8337,10.4304,10.5372,688875.0
2019-08-10,10.6024,10.8337,10.4304,10.5372,688875.0
2019-08-11,10.6024,10.8337,10.4304,10.5372,688875.0
2019-08-12,10.4957,10.5431,10.2526,10.3178,384534.0
2019-08-13,10.2822,10.9701,10.1992,10.6261,463932.0
2019-08-14,10.3237,10.6261,10.1399,10.5609,503633.0
2019-08-15,10.6202,10.6676,10.2526,10.3474,575419.0
2019-08-16,10.4186,10.6172,10.4186,10.4779,359864.0
2019-08-17,10.4186,10.6172,10.4186,10.4779,359864.0
2019-08-18,10.4186,10.6172,10.4186,10.4779,359864.0
2019-08-19,10.6261,10.7388,10.4957,10.5313,614881.0
2019-08-20,10.4423,10.555,9.9916,10.1162,853706.0
2019-08-21,10.3118,10.8455,10.2644,10.6261,800721.0
2019-08-22,10.6736,11.1954,10.6736,11.0294,904225.0
2019-08-23,11.7172,12.0018,10.3771,10.6854,1721075.0
2019-08-24,11.7172,12.0018,10.3771,10.6854,1721075.0
2019-08-25,11.7172,12.0018,10.3771,10.6854,1721075.0
2019-08-26,10.7922,11.1539,10.6321,11.1302,2115914.0
2019-08-27,11.2369,11.6372,11.0928,11.6045,681572.0
2019-08-28,11.5334,11.7943,11.3911,11.5512,614624.0
2019-08-29,11.6164,11.8417,11.4148,11.6994,488603.0
2019-08-30,11.6994,11.8832,11.6164,11.6223,346899.0
2019-08-31,11.6994,11.8832,11.6164,11.6223,346899.0
2019-09-01,11.6994,11.8832,11.6164,11.6223,346899.0
2019-09-02,11.6994,11.8832,11.6164,11.6223,346899.0
2019-09-03,11.5275,11.5808,11.2102,11.231,733046.0
2019-09-04,11.1302,11.3377,10.8218,10.8633,611102.0
2019-09-05,10.9701,11.8061,10.9701,11.6342,846077.0
2019-09-06,11.7469,11.9959,11.735,11.8121,707616.0
2019-09-07,11.7469,11.9959,11.735,11.8121,707616.0
2019-09-08,11.7469,11.9959,11.735,11.8121,707616.0
2019-09-09,11.8595,12.3487,11.8299,12.2509,822475.0
2019-09-10,12.245,12.5711,12.1441,12.5177,777371.0
2019-09-11,12.5474,12.6007,12.1204,12.4881,2148406.0
2019-09-12,12.4881,13.0395,12.2212,12.66,1214830.0
2019-09-13,12.7312,13.004,12.0582,12.0848,655845.0
2019-09-14,12.7312,13.004,12.0582,12.0848,655845.0
2019-09-15,12.7312,13.004,12.0582,12.0848,655845.0
2019-09-16,12.0137,12.3458,11.9188,12.1323,529259.0
2019-09-17,12.1619,12.322,11.9247,12.0789,581878.0
2019-09-18,12.0848,12.2212,11.7231,11.8477,379527.0
2019-09-19,11.901,11.9396,11.6935,11.7706,347512.0
2019-09-20,11.7231,11.9307,11.5334,11.5334,668831.0
2019-09-21,11.7231,11.9307,11.5334,11.5334,668831.0
2019-09-22,11.7231,11.9307,11.5334,11.5334,668831.0
2019-09-23,11.5037,11.7765,11.4682,11.6757,444774.0
2019-09-24,11.7587,11.9247,11.6105,11.818,460049.0
2019-09-25,11.907,12.4584,11.907,12.2983,641148.0
2019-09-26,12.2212,12.2301,11.7113,11.8951,542510.0
2019-09-27,11.9366,12.1857,11.8773,11.984,367026.0
2019-09-28,11.9366,12.1857,11.8773,11.984,367026.0
2019-09-29,11.9366,12.1857,11.8773,11.984,367026.0
2019-09-30,12.0018,12.2568,12.0018,12.2153,369698.0
2019-10-01,12.2746,12.4169,12.1145,12.2272,482272.0
2019-10-02,12.1026,12.1026,11.8417,11.8654,451627.0
2019-10-03,11.8358,12.0552,11.6223,11.9959,385997.0
2019-10-04,12.0433,12.0967,11.735,11.907,476842.0
2019-10-05,12.0433,12.0967,11.735,11.907,476842.0
2019-10-06,12.0433,12.0967,11.735,11.907,476842.0
2019-10-07,11.9247,11.99,11.7113,11.8061,561305.0
2019-10-08,11.6876,11.6994,11.314,11.3673,880652.0
