,IBP US Equity,IBP US Equity,IBP US Equity,IBP US Equity,IBP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,31.8755,31.998,30.8579,31.7436,193248.0
2019-01-02,31.15,33.1947,30.8956,32.4691,223852.0
2019-01-03,32.1582,32.7895,31.6023,32.4126,215654.0
2019-01-04,33.1287,35.1121,33.1193,34.9095,224804.0
2019-01-05,33.1287,35.1121,33.1193,34.9095,224804.0
2019-01-06,33.1287,35.1121,33.1193,34.9095,224804.0
2019-01-07,34.787,36.5396,34.2971,36.2098,256014.0
2019-01-08,36.6715,36.907,35.5596,36.5301,308250.0
2019-01-09,36.6055,38.0377,35.9554,37.4724,351504.0
2019-01-10,37.2462,37.821,36.8222,37.218,218130.0
2019-01-11,35.8988,37.6891,35.4853,37.0012,146891.0
2019-01-12,35.8988,37.6891,35.4853,37.0012,146891.0
2019-01-13,35.8988,37.6891,35.4853,37.0012,146891.0
2019-01-14,36.5019,37.4629,36.2004,36.6526,116029.0
2019-01-15,35.1828,36.5772,34.7964,36.4076,232602.0
2019-01-16,35.2204,37.1614,35.1356,36.2946,151221.0
2019-01-17,35.9931,36.9353,35.9931,36.8128,128091.0
2019-01-18,37.0578,37.4724,36.5396,36.6526,157424.0
2019-01-19,37.0578,37.4724,36.5396,36.6526,157424.0
2019-01-20,37.0578,37.4724,36.5396,36.6526,157424.0
2019-01-21,37.0578,37.4724,36.5396,36.6526,157424.0
2019-01-22,36.3605,36.6526,35.4183,35.8612,282994.0
2019-01-23,36.0873,36.5678,35.211,36.238,135019.0
2019-01-24,36.238,37.576,36.238,37.4064,86042.0
2019-01-25,37.7645,38.7609,37.1049,37.397,159577.0
2019-01-26,37.7645,38.7609,37.1049,37.397,159577.0
2019-01-27,37.7645,38.7609,37.1049,37.397,159577.0
2019-01-28,37.0107,38.545,37.0107,37.6797,79598.0
2019-01-29,37.4347,38.3581,36.0684,38.1508,127047.0
2019-01-30,38.2544,38.4334,36.8599,38.2544,109616.0
2019-01-31,38.2638,40.0446,38.2026,39.6772,190317.0
2019-02-01,39.6678,40.9586,39.2814,39.7902,168899.0
2019-02-02,39.6678,40.9586,39.2814,39.7902,168899.0
2019-02-03,39.6678,40.9586,39.2814,39.7902,168899.0
2019-02-04,39.9033,40.789,39.3286,40.723,93108.0
2019-02-05,40.7136,41.1565,40.5252,41.1094,96308.0
2019-02-06,41.0905,41.2413,39.6583,39.7431,114553.0
2019-02-07,39.4887,39.8562,38.9375,39.6866,250435.0
2019-02-08,39.4039,40.2048,39.338,39.4228,132339.0
2019-02-09,39.4039,40.2048,39.338,39.4228,132339.0
2019-02-10,39.4039,40.2048,39.338,39.4228,132339.0
2019-02-11,39.5453,40.1294,39.1919,39.7997,111073.0
2019-02-12,40.12,42.4285,40.12,42.2306,148124.0
2019-02-13,42.2589,42.8525,40.8361,41.4674,122442.0
2019-02-14,41.213,41.8584,40.9774,41.4391,134293.0
2019-02-15,41.7689,42.7865,41.7689,42.2777,102590.0
2019-02-16,41.7689,42.7865,41.7689,42.2777,102590.0
2019-02-17,41.7689,42.7865,41.7689,42.2777,102590.0
2019-02-18,41.7689,42.7865,41.7689,42.2777,102590.0
2019-02-19,41.9951,43.2105,41.9951,42.664,111393.0
2019-02-20,42.5698,43.154,41.5805,41.8726,154371.0
2019-02-21,41.8631,43.5497,41.5805,43.3707,167395.0
2019-02-22,43.4838,44.1433,43.0645,43.8418,159762.0
2019-02-23,43.4838,44.1433,43.0645,43.8418,159762.0
2019-02-24,43.4838,44.1433,43.0645,43.8418,159762.0
2019-02-25,44.0585,44.4637,42.7583,43.1351,158147.0
2019-02-26,43.0221,43.4295,42.306,43.0127,106419.0
2019-02-27,42.7865,43.2671,41.3449,42.8336,130710.0
2019-02-28,46.97,46.97,40.6194,41.0999,331915.0
2019-03-01,42.1364,44.3172,41.6276,44.1904,197046.0
2019-03-02,42.1364,44.3172,41.6276,44.1904,197046.0
2019-03-03,42.1364,44.3172,41.6276,44.1904,197046.0
2019-03-04,44.2847,44.8123,43.757,44.1716,208480.0
2019-03-05,44.7369,44.8123,43.4838,43.5591,103015.0
2019-03-06,43.6816,44.4825,42.8431,43.0127,172210.0
2019-03-07,44.1622,44.8877,43.4461,43.8512,296932.0
2019-03-08,43.3895,44.3082,43.1022,43.7287,254382.0
2019-03-09,43.3895,44.3082,43.1022,43.7287,254382.0
2019-03-10,43.3895,44.3082,43.1022,43.7287,254382.0
2019-03-11,43.7287,43.7287,42.1081,42.4002,317763.0
2019-03-12,42.485,42.7017,41.8255,42.0893,257174.0
2019-03-13,42.1552,43.2482,41.5711,41.6182,178334.0
2019-03-14,41.5051,41.7972,40.4404,40.723,236543.0
2019-03-15,40.8644,42.3719,40.8644,41.7783,605054.0
2019-03-16,40.8644,42.3719,40.8644,41.7783,605054.0
2019-03-17,40.8644,42.3719,40.8644,41.7783,605054.0
2019-03-18,41.9103,42.0893,40.9869,41.4674,145962.0
2019-03-19,41.8066,42.4473,41.2413,41.3072,165306.0
2019-03-20,41.2507,41.9762,40.2425,41.0151,138700.0
2019-03-21,40.9115,43.0975,40.9115,42.7583,185911.0
2019-03-22,42.4285,43.6911,41.9479,42.5981,146544.0
2019-03-23,42.4285,43.6911,41.9479,42.5981,146544.0
2019-03-24,42.4285,43.6911,41.9479,42.5981,146544.0
2019-03-25,42.4096,44.7464,42.4096,44.1056,165727.0
2019-03-26,44.36,44.36,42.9279,44.1339,150578.0
2019-03-27,44.2281,45.9524,43.8607,45.5001,200959.0
2019-03-28,45.5567,45.7969,44.8783,45.3305,157274.0
2019-03-29,45.632,46.1032,44.8641,45.698,168706.0
2019-03-30,45.632,46.1032,44.8641,45.698,168706.0
2019-03-31,45.632,46.1032,44.8641,45.698,168706.0
2019-04-01,45.8393,46.2162,44.4448,45.6886,204245.0
2019-04-02,45.519,45.698,44.7558,45.4342,122274.0
2019-04-03,45.7922,46.6779,45.4907,46.367,166552.0
2019-04-04,46.3953,48.0441,46.3953,47.6861,155076.0
2019-04-05,47.8745,48.4352,47.7945,48.2326,260064.0
2019-04-06,47.8745,48.4352,47.7945,48.2326,260064.0
2019-04-07,47.8745,48.4352,47.7945,48.2326,260064.0
2019-04-08,48.1666,48.8827,47.884,48.6283,80618.0
2019-04-09,48.5247,48.8168,47.4505,47.6013,118726.0
2019-04-10,47.9028,49.4292,47.9028,49.0429,155685.0
2019-04-11,49.2596,49.7025,48.4022,48.5153,166613.0
2019-04-12,49.1089,49.2314,48.2609,48.6378,129092.0
2019-04-13,49.1089,49.2314,48.2609,48.6378,129092.0
2019-04-14,49.1089,49.2314,48.2609,48.6378,129092.0
2019-04-15,48.8356,49.0335,48.0898,48.5624,78395.0
2019-04-16,48.8262,49.0994,48.5153,49.0806,118718.0
2019-04-17,49.2596,49.5046,48.7273,49.1371,212099.0
2019-04-18,49.0523,49.6082,48.2514,49.1748,148330.0
2019-04-19,49.0523,49.6082,48.2514,49.1748,148330.0
2019-04-20,49.0523,49.6082,48.2514,49.1748,148330.0
2019-04-21,49.0523,49.6082,48.2514,49.1748,148330.0
2019-04-22,49.0712,49.335,47.0548,47.2998,168152.0
2019-04-23,47.4882,48.3645,47.1867,47.818,892320.0
2019-04-24,48.0536,49.2832,47.7049,48.1572,369092.0
2019-04-25,47.8463,47.8463,44.9348,44.9913,254497.0
2019-04-26,45.0479,45.6602,44.6333,44.85,278337.0
2019-04-27,45.0479,45.6602,44.6333,44.85,278337.0
2019-04-28,45.0479,45.6602,44.6333,44.85,278337.0
2019-04-29,44.9913,45.5237,44.7275,44.7558,353209.0
2019-04-30,44.6616,45.9948,44.6616,45.2552,271711.0
2019-05-01,45.4342,47.0737,45.0384,45.632,483739.0
2019-05-02,45.0008,50.1689,44.1245,50.0511,340234.0
2019-05-03,50.5316,52.1523,50.0605,51.7754,292771.0
2019-05-04,50.5316,52.1523,50.0605,51.7754,292771.0
2019-05-05,50.5316,52.1523,50.0605,51.7754,292771.0
2019-05-06,51.2666,53.3206,50.9085,51.5775,227921.0
