,PARAA US Equity,PARAA US Equity,PARAA US Equity,PARAA US Equity,PARAA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,38.1696,38.5654,37.7211,38.5654,12851.0
2019-01-02,38.3455,40.1836,38.3455,40.0781,6329.0
2019-01-03,39.911,40.8607,39.911,40.8369,898.0
2019-01-04,41.4413,41.5303,40.7817,41.4852,2286.0
2019-01-05,41.4413,41.5303,40.7817,41.4852,2286.0
2019-01-06,41.4413,41.5303,40.7817,41.4852,2286.0
2019-01-07,41.8187,42.2883,41.7844,42.0745,890.0
2019-01-08,42.0481,42.7165,42.0481,42.4615,580.0
2019-01-09,42.0481,42.7165,42.0481,42.4615,66.0
2019-01-10,41.9866,41.9866,41.8282,41.8282,869.0
2019-01-11,41.6084,42.4751,41.6084,42.4751,1200.0
2019-01-12,41.6084,42.4751,41.6084,42.4751,1200.0
2019-01-13,41.6084,42.4751,41.6084,42.4751,1200.0
2019-01-14,42.4791,42.4791,42.1712,42.2152,1000.0
2019-01-15,42.268,42.3559,42.0129,42.0921,23361.0
2019-01-16,42.1712,42.3735,41.925,41.9953,21293.0
2019-01-17,42.7429,43.1563,42.5142,42.8924,35532.0
2019-01-18,43.1299,43.684,43.0947,43.253,10254.0
2019-01-19,43.1299,43.684,43.0947,43.253,10254.0
2019-01-20,43.1299,43.684,43.0947,43.253,10254.0
2019-01-21,43.1299,43.684,43.0947,43.253,10254.0
2019-01-22,43.1826,43.1826,42.5492,42.5492,936.0
2019-01-23,43.0595,43.4113,42.5573,42.5934,1780.0
2019-01-24,42.6989,43.2002,42.6901,43.1475,10992.0
2019-01-25,43.3146,43.336,43.1312,43.336,1778.0
2019-01-26,43.3146,43.336,43.1312,43.336,1778.0
2019-01-27,43.3146,43.336,43.1312,43.336,1778.0
2019-01-28,43.6312,44.1061,43.0947,44.1061,3251.0
2019-01-29,44.1061,44.5019,43.684,44.3875,8080.0
2019-01-30,44.326,44.326,42.9276,43.64,5471.0
2019-01-31,43.9038,43.9038,43.4729,43.4729,1110.0
2019-02-01,44.0621,44.0621,43.3146,43.5872,2749.0
2019-02-02,44.0621,44.0621,43.3146,43.5872,2749.0
2019-02-03,44.0621,44.0621,43.3146,43.5872,2749.0
2019-02-04,43.5872,43.8071,43.4641,43.4641,1190.0
2019-02-05,43.2882,43.7103,43.2882,43.7103,588.0
2019-02-06,44.1237,44.1237,43.6752,43.7543,4692.0
2019-02-07,43.5784,43.6664,42.8397,43.1035,34080.0
2019-02-08,43.1826,43.5081,42.866,43.3849,43029.0
2019-02-09,43.1826,43.5081,42.866,43.3849,43029.0
2019-02-10,43.1826,43.5081,42.866,43.3849,43029.0
2019-02-11,42.8748,42.8748,42.2152,42.2284,6893.0
2019-02-12,42.9012,42.9012,42.3647,42.4615,11938.0
2019-02-13,42.9364,42.9364,42.4967,42.5758,18077.0
2019-02-14,42.5722,43.5256,42.5722,43.1387,3197.0
2019-02-15,43.0068,44.8625,43.0068,44.4579,17421.0
2019-02-16,43.0068,44.8625,43.0068,44.4579,17421.0
2019-02-17,43.0068,44.8625,43.0068,44.4579,17421.0
2019-02-18,43.0068,44.8625,43.0068,44.4579,17421.0
2019-02-19,44.4579,44.6338,44.3612,44.4182,3782.0
2019-02-20,44.1765,45.3462,44.1765,44.9152,106659.0
2019-02-21,44.8625,44.8801,44.4139,44.6866,3882.0
2019-02-22,44.6778,45.4077,44.6778,45.3638,12963.0
2019-02-23,44.6778,45.4077,44.6778,45.3638,12963.0
2019-02-24,44.6778,45.4077,44.6778,45.3638,12963.0
2019-02-25,45.9882,45.9882,44.3963,44.3963,9573.0
2019-02-26,44.4755,44.4755,44.0445,44.2996,14018.0
2019-02-27,44.0094,44.0094,43.4729,43.5432,16746.0
2019-02-28,43.8774,44.2468,43.8774,44.2468,16853.0
2019-03-01,44.7042,44.7481,44.45,44.5634,4124.0
2019-03-02,44.7042,44.7481,44.45,44.5634,4124.0
2019-03-03,44.7042,44.7481,44.45,44.5634,4124.0
2019-03-04,44.5986,45.0032,43.6664,43.9214,17706.0
2019-03-05,44.0621,44.1765,43.7807,44.1589,12243.0
2019-03-06,44.0006,44.1941,43.7015,44.1941,13589.0
2019-03-07,43.4377,43.5432,42.91,43.2618,10242.0
2019-03-08,42.8028,43.253,42.7373,43.253,7008.0
2019-03-09,42.8028,43.253,42.7373,43.253,7008.0
2019-03-10,42.8028,43.253,42.7373,43.253,7008.0
2019-03-11,43.3412,43.3589,42.9505,43.2706,13769.0
2019-03-12,43.6414,43.7031,43.2971,43.2971,9513.0
2019-03-13,43.606,43.8267,42.6704,43.1206,29784.0
2019-03-14,43.1029,43.1814,42.3879,42.688,30021.0
2019-03-15,42.7675,42.7675,42.2158,42.3085,54416.0
2019-03-16,42.7675,42.7675,42.2158,42.3085,54416.0
2019-03-17,42.7675,42.7675,42.2158,42.3085,54416.0
2019-03-18,42.2202,42.3085,41.9465,42.3085,25907.0
2019-03-19,42.3614,42.6351,41.8892,42.1407,29652.0
2019-03-20,41.9289,41.9289,40.9403,41.0903,10909.0
2019-03-21,41.3463,41.3463,40.7637,41.0727,7577.0
2019-03-22,41.2669,41.2669,40.1635,40.1635,3894.0
2019-03-23,41.2669,41.2669,40.1635,40.1635,3894.0
2019-03-24,41.2669,41.2669,40.1635,40.1635,3894.0
2019-03-25,40.393,40.9403,40.3577,40.543,5997.0
2019-03-26,41.1512,42.6792,41.1512,41.9289,8627.0
2019-03-27,41.9995,42.3173,41.7788,41.7965,161905.0
2019-03-28,42.026,42.2555,41.7435,41.7435,4669.0
2019-03-29,42.1584,42.2467,41.8848,42.026,12362.0
2019-03-30,42.1584,42.2467,41.8848,42.026,12362.0
2019-03-31,42.1584,42.2467,41.8848,42.026,12362.0
2019-04-01,42.1407,42.9087,42.1407,42.5027,9219.0
2019-04-02,42.5468,42.5468,42.2378,42.3703,4394.0
2019-04-03,42.5909,43.2794,42.5909,43.1206,7918.0
2019-04-04,43.2088,43.9503,43.2088,43.9062,5873.0
2019-04-05,44.1357,44.5064,44.0298,44.5064,5001.0
2019-04-06,44.1357,44.5064,44.0298,44.5064,5001.0
2019-04-07,44.1357,44.5064,44.0298,44.5064,5001.0
2019-04-08,44.6741,45.4244,44.6212,45.3362,4460.0
2019-04-09,45.0184,45.1155,44.9223,45.0184,3379.0
2019-04-10,45.1331,45.6363,45.0007,45.6363,3324.0
2019-04-11,46.0247,46.0247,45.5127,45.5127,2403.0
2019-04-12,45.5125,45.5304,45.2832,45.4774,3003.0
2019-04-13,45.5125,45.5304,45.2832,45.4774,3003.0
2019-04-14,45.5125,45.5304,45.2832,45.4774,3003.0
2019-04-15,45.5833,45.7422,45.5833,45.7422,1826.0
2019-04-16,45.8305,46.1571,45.7687,46.06,2501.0
2019-04-17,46.4219,46.6613,46.3072,46.5102,6598.0
2019-04-18,46.4061,46.4396,46.1218,46.2101,4034.0
2019-04-19,46.4061,46.4396,46.1218,46.2101,4034.0
2019-04-20,46.4061,46.4396,46.1218,46.2101,4034.0
2019-04-21,46.4061,46.4396,46.1218,46.2101,4034.0
2019-04-22,45.5304,45.5304,44.9213,45.0272,4338.0
2019-04-23,45.089,45.292,45.089,45.292,1478.0
2019-04-24,45.1861,45.8393,45.1861,45.3891,1133.0
2019-04-25,45.3362,45.3362,44.683,44.7006,6874.0
2019-04-26,44.7712,45.2567,44.7712,45.2567,4084.0
2019-04-27,44.7712,45.2567,44.7712,45.2567,4084.0
2019-04-28,44.7712,45.2567,44.7712,45.2567,4084.0
2019-04-29,45.1685,45.7864,45.1685,45.6804,1535.0
2019-04-30,45.6981,45.6981,44.8869,45.3538,11370.0
2019-05-01,45.3803,45.4664,45.2038,45.2038,3753.0
2019-05-02,45.4421,45.4421,44.1357,44.5417,4968.0
2019-05-03,44.4411,44.4411,43.2794,43.9768,8228.0
2019-05-04,44.4411,44.4411,43.2794,43.9768,8228.0
2019-05-05,44.4411,44.4411,43.2794,43.9768,8228.0
2019-05-06,43.3589,44.0474,43.1029,43.8091,3485.0
2019-05-07,43.5178,43.5178,42.5203,42.7675,2797.0
2019-05-08,42.6615,43.0764,42.6615,42.8381,2018.0
2019-05-09,42.4613,43.0146,42.4613,43.0146,1446.0
2019-05-10,42.8116,43.5178,42.794,43.4913,1205.0
2019-05-11,42.8116,43.5178,42.794,43.4913,1205.0
2019-05-12,42.8116,43.5178,42.794,43.4913,1205.0
2019-05-13,42.3614,42.3614,41.7347,41.7347,4463.0
2019-05-14,41.8053,42.2902,41.8053,42.079,2372.0
2019-05-15,41.8494,42.3349,41.8494,42.2025,1631.0
2019-05-16,42.7057,42.8557,42.6792,42.6792,1356.0
2019-05-17,42.8557,42.8557,42.6704,42.8116,1114.0
2019-05-18,42.8557,42.8557,42.6704,42.8116,1114.0
2019-05-19,42.8557,42.8557,42.6704,42.8116,1114.0
2019-05-20,42.3173,42.6969,42.3173,42.6174,1232.0
2019-05-21,42.6969,43.253,42.6969,43.1382,1875.0
2019-05-22,42.6351,42.6969,42.6086,42.6086,854.0
2019-05-23,41.9554,42.3438,41.9554,42.3085,1842.0
2019-05-24,42.3261,42.3261,41.8583,41.8583,3519.0
2019-05-25,42.3261,42.3261,41.8583,41.8583,3519.0
2019-05-26,42.3261,42.3261,41.8583,41.8583,3519.0
2019-05-27,42.3261,42.3261,41.8583,41.8583,3519.0
2019-05-28,42.3967,42.5291,41.973,41.973,4056.0
2019-05-29,41.6464,41.6464,41.2373,41.2845,1541.0
2019-05-30,41.1609,42.9269,41.1609,42.5115,3188.0
2019-05-31,42.4585,42.7851,42.2732,42.7851,16275.0
2019-06-01,42.4585,42.7851,42.2732,42.7851,16275.0
2019-06-02,42.4585,42.7851,42.2732,42.7851,16275.0
2019-06-03,42.432,42.8734,42.3349,42.4762,6650.0
2019-06-04,43.2177,43.2177,42.774,42.774,2766.0
2019-06-05,42.8557,42.944,42.5821,42.5821,15326.0
2019-06-06,42.5821,42.8999,42.5115,42.5998,4921.0
2019-06-07,43.0871,43.158,42.8833,42.8833,3141.0
2019-06-08,43.0871,43.158,42.8833,42.8833,3141.0
2019-06-09,43.0871,43.158,42.8833,42.8833,3141.0
2019-06-10,43.1934,43.1934,42.4048,42.4226,3514.0
2019-06-11,42.9276,42.9276,42.5041,42.6706,566.0
2019-06-12,42.8035,43.0162,42.7592,42.7681,3306.0
2019-06-13,43.1402,43.8136,43.1402,43.6807,15813.0
2019-06-14,43.5389,43.6187,43.3263,43.3263,3429.0
2019-06-15,43.5389,43.6187,43.3263,43.3263,3429.0
2019-06-16,43.5389,43.6187,43.3263,43.3263,3429.0
2019-06-17,43.3263,43.8579,43.3263,43.4769,20217.0
2019-06-18,43.7516,43.9642,43.5035,43.6541,4861.0
2019-06-19,44.0617,44.3275,43.8136,44.1326,11247.0
2019-06-20,44.6819,45.3641,44.4604,45.3641,19625.0
2019-06-21,44.8237,45.0183,44.7173,44.8414,9198.0
2019-06-22,44.8237,45.0183,44.7173,44.8414,9198.0
2019-06-23,44.8237,45.0183,44.7173,44.8414,9198.0
2019-06-24,45.0452,45.0452,44.2212,44.868,3956.0
2019-06-25,44.3009,44.3275,43.9908,44.3009,2438.0
2019-06-26,43.6898,43.8313,43.1456,43.1456,2243.0
2019-06-27,43.0642,43.2466,42.9276,43.1402,1871.0
2019-06-28,43.3886,44.3364,43.3706,44.3364,10535.0
2019-06-29,43.3886,44.3364,43.3706,44.3364,10535.0
2019-06-30,43.3886,44.3364,43.3706,44.3364,10535.0
2019-07-01,45.0806,45.0806,44.6738,44.7794,5592.0
2019-07-02,45.1869,45.2135,45.1692,45.1692,659.0
2019-07-03,44.9477,45.9904,44.9477,45.9755,1874.0
2019-07-04,44.9477,45.9904,44.9477,45.9755,1874.0
2019-07-05,45.8426,46.2413,45.8426,46.1394,620.0
2019-07-06,45.8426,46.2413,45.8426,46.1394,620.0
2019-07-07,45.8426,46.2413,45.8426,46.1394,620.0
2019-07-08,46.3598,46.3598,46.1793,46.3329,2312.0
2019-07-09,46.6577,46.6577,46.1881,46.321,3187.0
2019-07-10,46.4717,46.4717,46.2767,46.4274,759.0
2019-07-11,46.7552,47.0107,46.7552,46.9856,997.0
2019-07-12,47.5573,47.5573,47.0919,47.0919,1671.0
2019-07-13,47.5573,47.5573,47.0919,47.0919,1671.0
2019-07-14,47.5573,47.5573,47.0919,47.0919,1671.0
2019-07-15,46.8615,47.2957,46.8615,47.1982,10955.0
2019-07-16,47.2691,47.5615,46.6932,47.3577,6274.0
2019-07-17,47.1539,47.2514,46.4008,46.4008,9600.0
2019-07-18,46.1704,46.2059,45.4616,45.4705,7838.0
2019-07-19,45.5945,45.7717,44.9034,44.9034,4053.0
2019-07-20,45.5945,45.7717,44.9034,44.9034,4053.0
2019-07-21,45.5945,45.7717,44.9034,44.9034,4053.0
2019-07-22,44.7705,44.7882,44.1857,44.3629,4769.0
2019-07-23,44.2566,44.3718,43.787,44.23,11879.0
2019-07-24,44.4781,45.4793,44.4781,45.1781,9684.0
2019-07-25,45.373,45.5148,45.0983,45.435,3537.0
2019-07-26,45.8426,45.9755,45.5413,45.8958,4240.0
2019-07-27,45.8426,45.9755,45.5413,45.8958,4240.0
2019-07-28,45.8426,45.9755,45.5413,45.8958,4240.0
2019-07-29,45.9844,46.1704,45.8958,46.1704,1708.0
2019-07-30,46.6134,46.6134,46.1704,46.4894,1630.0
2019-07-31,46.2502,46.2502,45.6122,45.6122,18075.0
2019-08-01,45.9489,45.9489,44.806,44.8768,1863.0
2019-08-02,44.7439,44.8857,44.0085,44.8857,6109.0
2019-08-03,44.7439,44.8857,44.0085,44.8857,6109.0
2019-08-04,44.7439,44.8857,44.0085,44.8857,6109.0
2019-08-05,43.8491,44.2123,43.3972,43.6867,9645.0
2019-08-06,43.5921,44.1592,43.5921,43.9465,11529.0
2019-08-07,43.9465,43.9465,42.9896,43.8845,13986.0
2019-08-08,44.3275,45.4173,44.3275,45.4173,3997.0
2019-08-09,45.4616,45.4616,43.1845,43.982,14584.0
2019-08-10,45.4616,45.4616,43.1845,43.982,14584.0
2019-08-11,45.4616,45.4616,43.1845,43.982,14584.0
2019-08-12,44.5224,44.5224,43.2763,43.3086,7542.0
2019-08-13,43.6475,46.959,43.6143,45.0895,115123.0
2019-08-14,44.7616,44.7705,41.6429,41.6429,56891.0
2019-08-15,41.953,41.9618,40.3147,40.4202,11451.0
2019-08-16,40.5176,40.5176,39.9151,40.3316,12729.0
2019-08-17,40.5176,40.5176,39.9151,40.3316,12729.0
2019-08-18,40.5176,40.5176,39.9151,40.3316,12729.0
2019-08-19,40.6239,40.9163,40.6239,40.748,3085.0
2019-08-20,40.5176,40.7303,40.0835,40.5619,7773.0
2019-08-21,40.7125,40.7125,40.2784,40.3759,5123.0
2019-08-22,39.9594,40.367,39.9594,40.1455,4324.0
2019-08-23,40.2075,40.3936,39.3392,39.3392,7855.0
2019-08-24,40.2075,40.3936,39.3392,39.3392,7855.0
2019-08-25,40.2075,40.3936,39.3392,39.3392,7855.0
2019-08-26,39.7822,40.1341,39.5076,39.6139,12185.0
2019-08-27,39.667,39.667,38.7987,38.7987,2732.0
2019-08-28,38.5507,39.3481,38.5507,39.3481,5203.0
2019-08-29,39.3924,40.491,39.3924,40.1455,8880.0
2019-08-30,39.8354,40.1189,39.6848,39.8708,1647.0
2019-08-31,39.8354,40.1189,39.6848,39.8708,1647.0
2019-09-01,39.8354,40.1189,39.6848,39.8708,1647.0
2019-09-02,39.8354,40.1189,39.6848,39.8708,1647.0
2019-09-03,39.1532,39.3658,38.9316,39.3658,2995.0
2019-09-04,39.2595,39.4278,38.781,39.4278,12573.0
2019-09-05,39.4475,40.6771,39.2949,40.6771,8050.0
2019-09-06,41.0138,41.0227,40.5708,41.0049,1252.0
2019-09-07,41.0138,41.0227,40.5708,41.0049,1252.0
2019-09-08,41.0138,41.0227,40.5708,41.0049,1252.0
2019-09-09,40.916,41.5742,40.2044,40.916,14070.0
2019-09-10,41.6187,41.6187,40.9782,41.085,1684.0
2019-09-11,40.8537,41.8232,40.8537,41.6009,13502.0
2019-09-12,41.5119,41.6809,41.0939,41.5253,11887.0
2019-09-13,41.8143,41.8143,41.2451,41.2451,3468.0
2019-09-14,41.8143,41.8143,41.2451,41.2451,3468.0
2019-09-15,41.8143,41.8143,41.2451,41.2451,3468.0
2019-09-16,41.93,41.93,41.0138,41.6009,18002.0
2019-09-17,40.5745,41.3963,40.5745,41.3785,8204.0
2019-09-18,41.0049,41.2718,40.9693,41.1739,21738.0
2019-09-19,41.3696,41.3696,39.9198,39.9198,29309.0
2019-09-20,40.409,40.5691,39.0836,39.0836,26392.0
2019-09-21,40.409,40.5691,39.0836,39.0836,26392.0
2019-09-22,40.409,40.5691,39.0836,39.0836,26392.0
2019-09-23,38.968,39.8219,38.968,39.3416,29285.0
2019-09-24,39.6173,39.6262,38.1141,38.1586,47812.0
2019-09-25,38.4254,39.226,38.4254,38.8524,17082.0
2019-09-26,38.9502,38.9502,37.6338,37.6338,8520.0
2019-09-27,38.0252,38.63,37.9168,38.4966,20153.0
2019-09-28,38.0252,38.63,37.9168,38.4966,20153.0
2019-09-29,38.0252,38.63,37.9168,38.4966,20153.0
2019-09-30,38.4076,38.5589,38.2742,38.5589,6058.0
2019-10-01,38.7101,39.0481,38.3543,38.55,8733.0
2019-10-02,37.6545,38.2297,37.0378,37.0378,13704.0
2019-10-03,36.9756,37.6694,36.9756,37.6516,8960.0
2019-10-04,37.4933,38.6923,37.4933,38.3365,14301.0
2019-10-05,37.4933,38.6923,37.4933,38.3365,14301.0
2019-10-06,37.4933,38.6923,37.4933,38.3365,14301.0
2019-10-07,38.0252,38.0252,37.6694,37.6694,2176.0
2019-10-08,37.447,37.5424,36.53,36.53,3441.0
2019-10-09,36.8244,36.8244,36.3885,36.5842,3541.0
2019-10-10,36.6909,36.6909,36.2106,36.2106,5648.0
2019-10-11,36.7532,37.5804,36.7532,37.367,1592.0
2019-10-12,36.7532,37.5804,36.7532,37.367,1592.0
2019-10-13,36.7532,37.5804,36.7532,37.367,1592.0
2019-10-14,36.7302,36.9222,36.5753,36.6554,1286.0
2019-10-15,37.4292,37.5004,36.9311,37.1446,5758.0
2019-10-16,37.2246,37.3758,37.2246,37.367,1867.0
2019-10-17,37.4559,37.4559,36.3441,37.1713,2909.0
2019-10-18,37.0823,37.0823,36.4686,36.4686,5319.0
2019-10-19,37.0823,37.0823,36.4686,36.4686,5319.0
2019-10-20,37.0823,37.0823,36.4686,36.4686,5319.0
2019-10-21,36.7265,36.7265,36.433,36.5219,7451.0
2019-10-22,36.3885,36.3885,35.5791,35.7303,8585.0
2019-10-23,35.4368,35.8726,35.4101,35.6681,5817.0
2019-10-24,34.4673,35.8459,34.1737,35.0365,26399.0
2019-10-25,35.2856,35.7125,35.1726,35.3567,4211.0
2019-10-26,35.2856,35.7125,35.1726,35.3567,4211.0
2019-10-27,35.2856,35.7125,35.1726,35.3567,4211.0
2019-10-28,35.4457,35.4457,35.0899,35.1166,2868.0
2019-10-29,35.1522,35.4813,35.0988,35.4813,2884.0
2019-10-30,34.9031,34.9565,34.5333,34.9565,2266.0
2019-10-31,35.2678,35.5435,35.0543,35.5346,2830.0
