,USB US Equity,USB US Equity,USB US Equity,USB US Equity,USB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,49.2872,49.529,49.0954,49.4456,4731983.0
2020-01-02,49.5958,49.6041,49.2121,49.3706,4504244.0
2020-01-03,48.7868,49.0453,48.3865,48.7951,5161813.0
2020-01-04,48.7868,49.0453,48.3865,48.7951,5161813.0
2020-01-05,48.7868,49.0453,48.3865,48.7951,5161813.0
2020-01-06,47.5942,48.1947,47.3858,48.128,6869161.0
2020-01-07,47.9779,48.1113,47.6526,47.6693,4008009.0
2020-01-08,47.7027,47.9612,47.5567,47.5692,5627463.0
2020-01-09,47.8278,48.0029,47.4191,47.5859,5775679.0
2020-01-10,47.6193,47.661,47.1856,47.2607,5284986.0
2020-01-11,47.6193,47.661,47.1856,47.2607,5284986.0
2020-01-12,47.6193,47.661,47.1856,47.2607,5284986.0
2020-01-13,47.1356,47.3498,46.8604,47.294,6235835.0
2020-01-14,47.2773,47.7027,47.0939,47.1939,6866644.0
2020-01-15,46.2599,46.5518,45.4426,45.8429,10158636.0
2020-01-16,45.6595,46.0931,45.3676,46.0264,12176120.0
2020-01-17,46.1348,46.2766,45.9597,46.1598,9546374.0
2020-01-18,46.1348,46.2766,45.9597,46.1598,9546374.0
2020-01-19,46.1348,46.2766,45.9597,46.1598,9546374.0
2020-01-20,46.1348,46.2766,45.9597,46.1598,9546374.0
2020-01-21,45.7762,45.8596,45.3342,45.3842,9490582.0
2020-01-22,45.4927,45.8846,45.4093,45.8179,6804876.0
2020-01-23,45.6928,45.8763,45.3259,45.7679,7107833.0
2020-01-24,45.7512,45.7512,44.617,44.9005,6179476.0
2020-01-25,45.7512,45.7512,44.617,44.9005,6179476.0
2020-01-26,45.7512,45.7512,44.617,44.9005,6179476.0
2020-01-27,44.2,44.792,44.0916,44.6504,6296191.0
2020-01-28,44.9005,45.3676,44.7546,44.9172,5965248.0
2020-01-29,45.0173,45.3342,44.642,44.7004,5026620.0
2020-01-30,44.3585,45.3008,44.3501,45.2425,6190795.0
2020-01-31,44.8338,44.9588,44.2417,44.3835,6355120.0
2020-02-01,44.8338,44.9588,44.2417,44.3835,6355120.0
2020-02-02,44.8338,44.9588,44.2417,44.3835,6355120.0
2020-02-03,44.6754,45.2425,44.6587,44.7755,6336937.0
2020-02-04,45.3509,45.7345,45.1924,45.2175,5512227.0
2020-02-05,45.8679,46.1897,45.7095,46.0347,6071561.0
2020-02-06,46.3016,46.3683,45.6386,45.7011,4608849.0
2020-02-07,45.5677,45.6511,45.2842,45.551,3626662.0
2020-02-08,45.5677,45.6511,45.2842,45.551,3626662.0
2020-02-09,45.5677,45.6511,45.2842,45.551,3626662.0
2020-02-10,45.4009,45.5677,45.1132,45.5677,5602661.0
2020-02-11,45.6261,46.1265,45.6178,45.8096,5309416.0
2020-02-12,46.0848,46.4434,45.6886,45.7095,4112596.0
2020-02-13,45.5844,46.1723,45.4343,46.0181,4928082.0
2020-02-14,46.0431,46.1431,45.7345,45.9597,4351459.0
2020-02-15,46.0431,46.1431,45.7345,45.9597,4351459.0
2020-02-16,46.0431,46.1431,45.7345,45.9597,4351459.0
2020-02-17,46.0431,46.1431,45.7345,45.9597,4351459.0
2020-02-18,45.7679,45.9513,44.863,45.3842,5591757.0
2020-02-19,45.6178,45.7679,45.5427,45.6595,4219792.0
2020-02-20,45.5093,46.0598,45.4676,45.7011,4906182.0
2020-02-21,45.4676,45.6094,45.0715,45.4927,5666030.0
2020-02-22,45.4676,45.6094,45.0715,45.4927,5666030.0
2020-02-23,45.4676,45.6094,45.0715,45.4927,5666030.0
2020-02-24,44.2417,44.7004,44.1583,44.2667,7773758.0
2020-02-25,44.225,44.4752,42.1568,42.2986,10564594.0
2020-02-26,42.6905,42.9074,41.4062,41.4146,12018527.0
2020-02-27,40.614,41.3479,39.6216,39.6299,13413943.0
2020-02-28,38.3706,38.9544,37.4533,38.7292,24633447.0
2020-02-29,38.3706,38.9544,37.4533,38.7292,24633447.0
2020-03-01,38.3706,38.9544,37.4533,38.7292,24633447.0
2020-03-02,38.7626,40.1636,37.9536,40.1636,12673932.0
2020-03-03,40.0135,40.8975,38.0959,38.4457,13197702.0
2020-03-04,38.8376,39.0294,37.791,38.9127,12095635.0
2020-03-05,37.7785,37.7785,35.9646,36.5109,12815769.0
2020-03-06,34.7596,35.6352,34.5302,35.4017,14127558.0
2020-03-07,34.7596,35.6352,34.5302,35.4017,14127558.0
2020-03-08,34.7596,35.6352,34.5302,35.4017,14127558.0
2020-03-09,31.7073,32.5662,29.9226,30.2895,17812040.0
2020-03-10,32.0575,32.4662,30.1477,32.2243,16815707.0
2020-03-11,30.8566,31.3987,29.6265,30.1978,18948657.0
2020-03-12,28.0462,28.6883,25.8695,26.3616,20621124.0
2020-03-13,28.8718,30.9817,27.4855,30.94,20211428.0
2020-03-14,28.8718,30.9817,27.4855,30.94,20211428.0
2020-03-15,28.8718,30.9817,27.4855,30.94,20211428.0
2020-03-16,25.0606,29.6057,25.0189,27.1622,14279971.0
2020-03-17,27.8293,28.6133,26.053,28.1212,16232175.0
2020-03-18,26.1781,28.3214,25.7778,27.5208,18092911.0
2020-03-19,26.962,28.2963,25.9146,27.6959,16042749.0
2020-03-20,28.2547,28.2963,25.8945,27.1622,20375936.0
2020-03-21,28.2547,28.2963,25.8945,27.1622,20375936.0
2020-03-22,28.2547,28.2963,25.8945,27.1622,20375936.0
2020-03-23,26.4867,26.8953,23.843,24.1265,13417602.0
2020-03-24,25.7528,26.2698,24.8187,26.0196,14752157.0
2020-03-25,26.1864,28.1358,25.0105,26.7118,17018578.0
2020-03-26,27.0037,30.6231,26.8744,30.1728,16021912.0
2020-03-27,28.7384,31.0109,28.4965,29.8308,11470316.0
2020-03-28,28.7384,31.0109,28.4965,29.8308,11470316.0
2020-03-29,28.7384,31.0109,28.4965,29.8308,11470316.0
2020-03-30,29.5355,30.4638,28.7001,30.2697,9825788.0
2020-03-31,29.9068,30.6874,28.6199,29.0714,11035575.0
2020-04-01,27.4511,27.8478,26.3794,26.9448,11203913.0
2020-04-02,26.6663,27.9153,26.5398,27.5693,8497625.0
2020-04-03,27.3583,27.7465,25.9744,26.3203,7148844.0
2020-04-04,27.3583,27.7465,25.9744,26.3203,7148844.0
2020-04-05,27.3583,27.7465,25.9744,26.3203,7148844.0
2020-04-06,27.9912,29.2908,27.8478,29.0039,9205035.0
2020-04-07,30.987,31.1304,28.9785,29.0714,8122460.0
2020-04-08,29.5017,30.295,29.0081,30.084,7236923.0
2020-04-09,30.9785,32.7253,30.7422,32.1093,10117181.0
2020-04-10,30.9785,32.7253,30.7422,32.1093,10117181.0
2020-04-11,30.9785,32.7253,30.7422,32.1093,10117181.0
2020-04-12,30.9785,32.7253,30.7422,32.1093,10117181.0
2020-04-13,32.0671,32.1431,30.6578,31.046,7678305.0
2020-04-14,31.8055,31.8055,29.7465,30.2106,7781834.0
2020-04-15,29.6452,29.9574,27.6874,28.1262,11726423.0
2020-04-16,27.8646,28.3878,26.4976,26.8182,10664606.0
2020-04-17,27.9153,29.7802,27.9153,29.5861,10757189.0
2020-04-18,27.9153,29.7802,27.9153,29.5861,10757189.0
2020-04-19,27.9153,29.7802,27.9153,29.5861,10757189.0
2020-04-20,28.6916,29.7296,28.2191,28.9026,10341994.0
2020-04-21,27.8478,28.3203,27.3414,27.6199,11434488.0
2020-04-22,28.2781,28.5102,27.7887,28.0587,7242685.0
2020-04-23,28.3625,29.0461,28.0081,28.16,7311808.0
2020-04-24,28.4131,28.9448,27.738,28.6916,7683645.0
2020-04-25,28.4131,28.9448,27.738,28.6916,7683645.0
2020-04-26,28.4131,28.9448,27.738,28.6916,7683645.0
2020-04-27,29.0376,30.5144,28.9026,30.2781,8307192.0
2020-04-28,31.4258,32.0502,30.8604,30.9279,6988969.0
2020-04-29,32.0587,32.8561,31.3667,32.4553,7844248.0
2020-04-30,31.5523,31.603,30.5397,30.8013,7796358.0
2020-05-01,30.1346,30.2275,29.2401,29.4849,6554254.0
2020-05-02,30.1346,30.2275,29.2401,29.4849,6554254.0
2020-05-03,30.1346,30.2275,29.2401,29.4849,6554254.0
2020-05-04,28.9701,29.2823,28.5482,29.0882,5988308.0
2020-05-05,29.5017,29.738,28.2275,28.3034,7305153.0
2020-05-06,28.565,28.776,27.8688,28.025,9640572.0
2020-05-07,28.4469,29.5102,28.43,28.8604,6983781.0
2020-05-08,29.5355,29.8899,29.0376,29.3245,5617772.0
2020-05-09,29.5355,29.8899,29.0376,29.3245,5617772.0
2020-05-10,29.5355,29.8899,29.0376,29.3245,5617772.0
2020-05-11,28.7423,28.8266,27.8731,28.1431,7158282.0
2020-05-12,28.295,28.295,26.6748,26.7085,11626277.0
2020-05-13,26.4976,26.5566,24.5161,24.852,15304752.0
2020-05-14,24.3541,26.3879,23.9322,26.3035,14770860.0
2020-05-15,25.9828,26.2697,25.4174,25.89,12087752.0
2020-05-16,25.9828,26.2697,25.4174,25.89,12087752.0
2020-05-17,25.9828,26.2697,25.4174,25.89,12087752.0
2020-05-18,27.1051,27.9954,26.8646,27.814,9197845.0
2020-05-19,27.4849,27.7212,26.8435,26.9954,7533627.0
2020-05-20,27.5102,28.0672,27.4849,27.8984,10122515.0
2020-05-21,27.7212,28.1431,27.6199,27.7802,5890491.0
2020-05-22,27.7634,27.8562,27.1811,27.7887,5534359.0
2020-05-23,27.7634,27.8562,27.1811,27.7887,5534359.0
2020-05-24,27.7634,27.8562,27.1811,27.7887,5534359.0
2020-05-25,27.7634,27.8562,27.1811,27.7887,5534359.0
2020-05-26,29.1051,30.6157,29.0461,30.2359,11156621.0
2020-05-27,32.0587,32.6156,30.9701,31.7464,9938906.0
