,VNOM US Equity,VNOM US Equity,VNOM US Equity,VNOM US Equity,VNOM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,19.1573,19.4043,18.9643,19.0338,336893.0
2020-01-02,19.1727,19.9214,19.111,19.9214,394696.0
2020-01-03,20.1684,20.6083,19.9986,20.1066,863886.0
2020-01-04,20.1684,20.6083,19.9986,20.1066,863886.0
2020-01-05,20.1684,20.6083,19.9986,20.1066,863886.0
2020-01-06,20.2996,20.6469,19.9523,20.5775,1012552.0
2020-01-07,20.508,20.6624,20.2301,20.562,1041348.0
2020-01-08,20.5697,20.7086,19.9445,20.3073,894790.0
2020-01-09,20.2919,20.5697,19.96,20.014,897813.0
2020-01-10,20.0603,20.0603,19.3116,19.6512,446544.0
2020-01-11,20.0603,20.0603,19.3116,19.6512,446544.0
2020-01-12,20.0603,20.0603,19.3116,19.6512,446544.0
2020-01-13,19.6512,19.9677,19.4197,19.5895,589345.0
2020-01-14,19.713,19.713,19.1495,19.2499,627731.0
2020-01-15,19.2267,19.3965,18.9643,18.9643,236170.0
2020-01-16,19.0338,19.3039,18.972,19.0183,457876.0
2020-01-17,19.0569,19.2499,18.4472,18.5938,631855.0
2020-01-18,19.0569,19.2499,18.4472,18.5938,631855.0
2020-01-19,19.0569,19.2499,18.4472,18.5938,631855.0
2020-01-20,19.0569,19.2499,18.4472,18.5938,631855.0
2020-01-21,18.6015,18.7405,18.26,18.4009,519696.0
2020-01-22,18.5012,18.5784,18.0767,18.3005,425182.0
2020-01-23,18.1461,18.1461,17.8142,17.8374,522500.0
2020-01-24,17.8374,17.8837,17.2045,17.2894,526143.0
2020-01-25,17.8374,17.8837,17.2045,17.2894,526143.0
2020-01-26,17.8374,17.8837,17.2045,17.2894,526143.0
2020-01-27,16.9807,17.0964,16.8417,16.9112,1102828.0
2020-01-28,17.0733,17.274,16.8417,17.0347,596503.0
2020-01-29,17.1736,17.8528,17.0578,17.7679,446343.0
2020-01-30,17.5673,17.9416,17.3125,17.6058,422889.0
2020-01-31,17.4052,17.5055,16.8108,16.834,377163.0
2020-02-01,17.4052,17.5055,16.8108,16.834,377163.0
2020-02-02,17.4052,17.5055,16.8108,16.834,377163.0
2020-02-03,16.8494,16.9961,16.7337,16.7568,503883.0
2020-02-04,16.9575,17.5904,16.8417,17.3203,991020.0
2020-02-05,17.5287,18.123,17.5287,18.0921,725881.0
2020-02-06,18.0921,18.177,17.6985,17.8992,734868.0
2020-02-07,17.7448,17.8992,16.9305,17.0656,711208.0
2020-02-08,17.7448,17.8992,16.9305,17.0656,711208.0
2020-02-09,17.7448,17.8992,16.9305,17.0656,711208.0
2020-02-10,16.9575,17.0115,16.4326,16.7723,547567.0
2020-02-11,17.0578,17.4052,16.5175,16.5484,548391.0
2020-02-12,16.7954,17.3743,16.2397,17.3048,832452.0
2020-02-13,17.1813,17.6058,17.1813,17.575,550238.0
2020-02-14,17.7525,18.3854,17.7139,18.1925,888323.0
2020-02-15,17.7525,18.3854,17.7139,18.1925,888323.0
