,NTRS US Equity,NTRS US Equity,NTRS US Equity,NTRS US Equity,NTRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,92.8691,93.3758,92.4845,92.8428,741362.0
2020-01-02,93.0963,94.0576,92.8865,94.0139,675690.0
2020-01-03,92.6331,93.0526,91.9427,92.0826,995938.0
2020-01-04,92.6331,93.0526,91.9427,92.0826,995938.0
2020-01-05,92.6331,93.0526,91.9427,92.0826,995938.0
2020-01-06,91.4097,92.0214,91.1387,91.9689,878938.0
2020-01-07,91.9952,92.9827,91.9471,92.4758,686202.0
2020-01-08,92.738,93.4677,92.4671,93.3235,1099881.0
2020-01-09,93.0176,94.6081,92.8166,94.4901,1001625.0
2020-01-10,94.3896,94.4858,93.2536,93.4983,1035935.0
2020-01-11,94.3896,94.4858,93.2536,93.4983,1035935.0
2020-01-12,94.3896,94.4858,93.2536,93.4983,1035935.0
2020-01-13,93.8129,95.0101,93.5245,94.9752,1231563.0
2020-01-14,95.0276,95.2111,94.0576,94.3809,1133182.0
2020-01-15,93.7954,94.2848,93.1574,93.5245,907310.0
2020-01-16,92.6069,94.5994,92.5982,94.3197,966996.0
2020-01-17,95.0188,95.7704,94.6343,95.5869,2064606.0
2020-01-18,95.0188,95.7704,94.6343,95.5869,2064606.0
2020-01-19,95.0188,95.7704,94.6343,95.5869,2064606.0
2020-01-20,95.0188,95.7704,94.6343,95.5869,2064606.0
2020-01-21,95.0713,96.0238,94.879,94.879,1978890.0
2020-01-22,89.4259,93.2274,88.4734,91.7505,3113262.0
2020-01-23,91.2786,91.3572,89.356,90.9465,1583384.0
2020-01-24,91.1912,91.331,88.2636,88.8054,1319823.0
2020-01-25,91.1912,91.331,88.2636,88.8054,1319823.0
2020-01-26,91.1912,91.331,88.2636,88.8054,1319823.0
2020-01-27,86.7168,87.7,85.9565,86.0439,1305593.0
2020-01-28,86.7518,87.6781,86.341,87.1713,1192018.0
2020-01-29,87.5995,88.1588,87.0402,87.0751,1057971.0
2020-01-30,86.5246,88.3423,86.0439,88.3073,710134.0
2020-01-31,87.6082,88.3248,85.1089,85.4759,1253284.0
2020-02-01,87.6082,88.3248,85.1089,85.4759,1253284.0
2020-02-02,87.6082,88.3248,85.1089,85.4759,1253284.0
2020-02-03,86.376,87.4159,85.1875,85.3448,1643523.0
2020-02-04,87.18,88.268,85.9128,87.7568,1374207.0
2020-02-05,89.3473,90.5358,89.1463,90.3785,797230.0
2020-02-06,90.9902,91.2698,89.321,89.7056,790805.0
2020-02-07,88.7268,89.12,88.3772,88.4908,765676.0
2020-02-08,88.7268,89.12,88.3772,88.4908,765676.0
2020-02-09,88.7268,89.12,88.3772,88.4908,765676.0
2020-02-10,88.3073,88.5607,87.9927,88.3161,535302.0
2020-02-11,88.7093,90.4396,88.6656,89.9153,1003802.0
2020-02-12,90.8853,91.2786,89.356,89.5133,704115.0
2020-02-13,89.1725,89.5177,88.4122,88.4471,705210.0
2020-02-14,88.2112,88.6307,87.4946,88.4384,688765.0
2020-02-15,88.2112,88.6307,87.4946,88.4384,688765.0
2020-02-16,88.2112,88.6307,87.4946,88.4384,688765.0
2020-02-17,88.2112,88.6307,87.4946,88.4384,688765.0
2020-02-18,88.2811,88.5739,87.2499,88.1151,667859.0
2020-02-19,88.4122,90.1687,88.4122,90.0726,690970.0
2020-02-20,89.7056,91.1038,89.5745,89.7492,753040.0
2020-02-21,89.0152,89.2336,87.8966,89.0851,990408.0
2020-02-22,89.0152,89.2336,87.8966,89.0851,990408.0
2020-02-23,89.0152,89.2336,87.8966,89.0851,990408.0
2020-02-24,85.4235,86.4896,83.8592,84.3573,1437117.0
2020-02-25,84.5496,85.0641,79.3499,79.6383,1748631.0
2020-02-26,80.7219,81.421,77.5322,78.1002,2473651.0
2020-02-27,76.3524,79.1664,75.7057,76.6233,3088158.0
2020-02-28,73.9055,76.7544,72.6733,76.6932,3582349.0
2020-02-29,73.9055,76.7544,72.6733,76.6932,3582349.0
2020-03-01,73.9055,76.7544,72.6733,76.6932,3582349.0
2020-03-02,76.6757,77.3836,74.0191,77.3312,3152636.0
2020-03-03,77.069,78.275,71.4411,72.918,2853805.0
