,MC US Equity,MC US Equity,MC US Equity,MC US Equity,MC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,22.3609,22.5624,21.8344,22.3479,438195.0
2019-01-02,22.0294,23.0759,22.0099,23.0499,374022.0
2019-01-03,22.9134,23.1149,22.4519,22.4714,512320.0
2019-01-04,22.9589,23.6739,22.8205,23.5374,642779.0
2019-01-05,22.9589,23.6739,22.8205,23.5374,642779.0
2019-01-06,22.9589,23.6739,22.8205,23.5374,642779.0
2019-01-07,23.2124,23.6804,22.6599,23.3164,498898.0
2019-01-08,23.2189,23.7584,23.1539,23.6544,609634.0
2019-01-09,23.7649,24.2525,23.4529,24.1095,646160.0
2019-01-10,23.96,24.6555,23.7714,24.636,356363.0
2019-01-11,24.4865,25.0066,24.2785,24.7335,357129.0
2019-01-12,24.4865,25.0066,24.2785,24.7335,357129.0
2019-01-13,24.4865,25.0066,24.2785,24.7335,357129.0
2019-01-14,24.6295,25.182,24.6035,25.078,443360.0
2019-01-15,25.1235,25.767,24.9285,25.754,566108.0
2019-01-16,25.884,26.9176,25.7833,26.8786,1101886.0
2019-01-17,26.7161,27.2426,26.5861,27.1581,706166.0
2019-01-18,27.4571,28.2761,27.1776,28.0096,824494.0
2019-01-19,27.4571,28.2761,27.1776,28.0096,824494.0
2019-01-20,27.4571,28.2761,27.1776,28.0096,824494.0
2019-01-21,27.4571,28.2761,27.1776,28.0096,824494.0
2019-01-22,27.7236,27.8991,26.8396,27.1971,869450.0
2019-01-23,27.4116,27.5156,26.9176,27.3986,324988.0
2019-01-24,27.3271,27.9641,27.1516,27.9576,458276.0
2019-01-25,28.2761,28.4906,27.9771,28.4711,402835.0
2019-01-26,28.2761,28.4906,27.9771,28.4711,402835.0
2019-01-27,28.2761,28.4906,27.9771,28.4711,402835.0
2019-01-28,28.4451,28.8871,27.9901,28.7571,692961.0
2019-01-29,28.6791,28.6791,27.5611,27.6391,486575.0
2019-01-30,27.9511,28.6928,27.8699,28.5881,392892.0
2019-01-31,28.3606,28.5946,28.1884,28.4386,550027.0
2019-02-01,28.5036,29.0237,28.4386,28.8936,378007.0
2019-02-02,28.5036,29.0237,28.4386,28.8936,378007.0
2019-02-03,28.5036,29.0237,28.4386,28.8936,378007.0
2019-02-04,28.8611,29.0757,28.4386,29.0627,458149.0
2019-02-05,29.0822,29.1992,28.3866,28.8611,557468.0
2019-02-06,28.8741,28.9912,28.3411,28.7116,602899.0
2019-02-07,30.4342,31.6498,29.8622,30.5772,1064792.0
2019-02-08,30.7072,30.7202,29.5372,30.0507,541529.0
2019-02-09,30.7072,30.7202,29.5372,30.0507,541529.0
2019-02-10,30.7072,30.7202,29.5372,30.0507,541529.0
2019-02-11,30.1027,30.2067,29.8362,30.1157,338443.0
2019-02-12,30.2002,30.7657,30.2002,30.6162,347266.0
2019-02-13,31.0127,31.0127,30.3107,30.5512,362698.0
2019-02-14,30.3497,30.4245,29.8817,30.0117,515212.0
2019-02-15,30.3968,30.9373,30.2347,30.6941,407991.0
2019-02-16,30.3968,30.9373,30.2347,30.6941,407991.0
2019-02-17,30.3968,30.9373,30.2347,30.6941,407991.0
2019-02-18,30.3968,30.9373,30.2347,30.6941,407991.0
2019-02-19,30.6603,30.7482,30.3529,30.559,477588.0
2019-02-20,30.6198,31.0184,30.4205,30.9914,280070.0
2019-02-21,30.9982,31.059,30.3698,30.4036,407288.0
2019-02-22,28.0524,30.3698,27.593,30.2617,1538064.0
2019-02-23,28.0524,30.3698,27.593,30.2617,1538064.0
2019-02-24,28.0524,30.3698,27.593,30.2617,1538064.0
2019-02-25,30.3698,30.8765,30.1874,30.2887,850958.0
2019-02-26,30.1806,30.5995,30.1739,30.2009,521335.0
2019-02-27,30.336,30.9103,29.9982,30.5387,539986.0
2019-02-28,30.4036,30.8292,29.9982,30.1401,767924.0
2019-03-01,30.3225,30.7076,30.3177,30.6401,495350.0
