,NBHC US Equity,NBHC US Equity,NBHC US Equity,NBHC US Equity,NBHC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,31.6702,31.8227,31.5626,31.5895,225366.0
2020-01-02,32.3788,32.7958,32.2891,32.4595,386784.0
2020-01-03,32.1276,32.3294,31.6702,32.2622,437701.0
2020-01-04,32.1276,32.3294,31.6702,32.2622,437701.0
2020-01-05,32.1276,32.3294,31.6702,32.2622,437701.0
2020-01-06,31.9482,32.5492,31.8047,32.5312,200833.0
2020-01-07,32.4415,32.4415,32.0379,32.1456,107251.0
2020-01-08,32.2083,32.5043,32.1007,32.4326,125754.0
2020-01-09,32.6209,32.7196,32.3608,32.4505,145634.0
2020-01-10,32.4864,32.594,32.1231,32.4057,111293.0
2020-01-11,32.4864,32.594,32.1231,32.4057,111293.0
2020-01-12,32.4864,32.594,32.1231,32.4057,111293.0
2020-01-13,32.4326,32.4954,32.1276,32.4146,85122.0
2020-01-14,32.4146,32.612,32.2532,32.594,157324.0
2020-01-15,32.3249,32.5671,32.1814,32.4146,98772.0
2020-01-16,32.6837,33.0514,32.5671,33.0335,125256.0
2020-01-17,33.3205,33.3205,32.89,33.0694,141830.0
2020-01-18,33.3205,33.3205,32.89,33.0694,141830.0
2020-01-19,33.3205,33.3205,32.89,33.0694,141830.0
2020-01-20,33.3205,33.3205,32.89,33.0694,141830.0
2020-01-21,32.9259,33.0604,32.3339,32.3788,159822.0
2020-01-22,32.4684,32.5043,32.0648,32.3249,81419.0
2020-01-23,32.1635,32.603,31.7554,32.5133,190224.0
2020-01-24,32.3788,32.3788,30.0199,30.9616,310422.0
2020-01-25,32.3788,32.3788,30.0199,30.9616,310422.0
2020-01-26,32.3788,32.3788,30.0199,30.9616,310422.0
2020-01-27,30.1634,30.7867,30.1634,30.4683,273105.0
2020-01-28,30.5311,30.5311,30.1365,30.3517,193605.0
2020-01-29,30.3069,30.5759,29.8315,29.8494,206043.0
2020-01-30,29.5176,30.0916,29.5176,30.0557,152542.0
2020-01-31,29.7687,29.9122,29.096,29.2395,212419.0
2020-02-01,29.7687,29.9122,29.096,29.2395,212419.0
2020-02-02,29.7687,29.9122,29.096,29.2395,212419.0
2020-02-03,29.3741,29.7508,29.3741,29.6521,294074.0
2020-02-04,30.0647,30.1992,29.7149,29.9571,177920.0
2020-02-05,30.3786,30.5042,30.0468,30.4773,223209.0
2020-02-06,30.5939,30.7464,30.0199,30.0468,98308.0
2020-02-07,29.7687,29.8136,29.6073,29.6252,128807.0
2020-02-08,29.7687,29.8136,29.6073,29.6252,128807.0
2020-02-09,29.7687,29.8136,29.6073,29.6252,128807.0
2020-02-10,29.5445,29.5445,29.2754,29.401,126180.0
2020-02-11,29.6342,29.984,29.5983,29.6432,117719.0
2020-02-12,29.8943,29.966,29.6162,29.8405,93629.0
2020-02-13,29.697,30.1006,29.697,30.0557,75836.0
2020-02-14,30.0468,30.2979,30.0199,30.1813,206944.0
2020-02-15,30.0468,30.2979,30.0199,30.1813,206944.0
2020-02-16,30.0468,30.2979,30.0199,30.1813,206944.0
2020-02-17,30.0468,30.2979,30.0199,30.1813,206944.0
2020-02-18,30.0378,30.2172,29.9481,30.0378,215890.0
2020-02-19,30.1634,30.3786,30.0647,30.3697,188820.0
2020-02-20,30.3876,31.3204,30.3876,30.8719,261119.0
2020-02-21,30.7912,30.8002,30.28,30.7822,883445.0
2020-02-22,30.7912,30.8002,30.28,30.7822,883445.0
2020-02-23,30.7912,30.8002,30.28,30.7822,883445.0
2020-02-24,29.8853,30.9706,29.7867,30.7733,254608.0
2020-02-25,30.6925,30.8271,30.0019,30.1634,413983.0
2020-02-26,30.3786,30.4504,29.5535,29.6611,196998.0
2020-02-27,29.2189,29.7604,28.6685,28.6865,455190.0
2020-02-28,27.9827,28.479,26.8908,27.6037,398241.0
2020-02-29,27.9827,28.479,26.8908,27.6037,398241.0
2020-03-01,27.9827,28.479,26.8908,27.6037,398241.0
2020-03-02,27.6308,28.6775,27.1841,28.6775,212886.0
2020-03-03,28.6595,28.9302,27.36,27.721,203807.0
2020-03-04,28.0007,28.2534,27.0442,28.2534,187236.0
