,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,140.8305,141.3886,139.5722,140.6318,262948.0
2019-01-02,138.7397,140.0169,137.1787,138.0301,260045.0
2019-01-03,139.0613,139.0613,134.1749,136.5827,215165.0
2019-01-04,137.9545,141.8003,137.2638,141.2278,161960.0
2019-01-05,137.9545,141.8003,137.2638,141.2278,161960.0
2019-01-06,137.9545,141.8003,137.2638,141.2278,161960.0
2019-01-07,141.6062,143.2588,140.5892,142.0509,139584.0
2019-01-08,142.8645,142.9123,140.9818,141.7482,163798.0
2019-01-09,142.0698,146.5163,141.6725,145.1729,150277.0
2019-01-10,144.4444,145.3148,142.6753,144.5674,134852.0
2019-01-11,144.5579,145.0972,143.3754,143.6308,164088.0
2019-01-12,144.5579,145.0972,143.3754,143.6308,164088.0
2019-01-13,144.5579,145.0972,143.3754,143.6308,164088.0
2019-01-14,143.2051,144.8607,142.8456,142.855,160882.0
2019-01-15,142.8361,143.8484,140.1872,141.5211,195250.0
2019-01-16,141.6535,142.0225,139.9696,140.3007,244599.0
2019-01-17,139.6479,144.4255,139.6479,142.6564,250765.0
2019-01-18,142.8834,146.0527,142.1644,144.416,259504.0
2019-01-19,142.8834,146.0527,142.1644,144.416,259504.0
2019-01-20,142.8834,146.0527,142.1644,144.416,259504.0
2019-01-21,142.8834,146.0527,142.1644,144.416,259504.0
2019-01-22,143.5267,144.9175,141.7008,143.7065,240907.0
2019-01-23,144.5485,146.2609,142.4104,144.0187,169089.0
2019-01-24,144.1322,145.5229,142.7226,144.3877,131910.0
2019-01-25,145.4851,145.6554,142.0982,142.4861,148121.0
2019-01-26,145.4851,145.6554,142.0982,142.4861,148121.0
2019-01-27,145.4851,145.6554,142.0982,142.4861,148121.0
2019-01-28,141.5968,144.2931,141.5968,143.4227,118207.0
2019-01-29,143.7916,143.8295,141.8238,143.0159,115896.0
2019-01-30,143.2145,144.4018,141.6819,142.4766,318230.0
2019-01-31,142.5807,143.4747,140.8589,141.8238,205300.0
2019-02-01,141.5022,143.574,139.7898,143.4416,322024.0
2019-02-02,141.5022,143.574,139.7898,143.4416,322024.0
