,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity
2019-02-03,141.5022,143.574,139.7898,143.4416,322024.0
2019-02-04,143.5646,146.5731,142.7557,146.4217,161395.0
2019-02-05,146.4879,149.2977,143.0539,148.5503,191046.0
2019-02-06,148.5882,151.36,146.5352,147.3299,120112.0
2019-02-07,146.2987,148.1341,146.1189,148.0678,127410.0
2019-02-08,147.4056,148.749,146.9136,148.1814,165255.0
2019-02-09,147.4056,148.749,146.9136,148.1814,165255.0
2019-02-10,147.4056,148.749,146.9136,148.1814,165255.0
2019-02-11,148.7585,148.8341,144.6526,146.9988,364215.0
2019-02-12,148.1151,150.2532,146.2987,150.0924,165005.0
2019-02-13,150.4141,151.2277,147.1596,149.3166,208257.0
2019-02-14,143.3375,145.3243,140.3574,142.3915,761787.0
2019-02-15,142.4955,143.9525,140.8683,143.8011,424492.0
2019-02-16,142.4955,143.9525,140.8683,143.8011,424492.0
2019-02-17,142.4955,143.9525,140.8683,143.8011,424492.0
2019-02-18,142.4955,143.9525,140.8683,143.8011,424492.0
2019-02-19,143.7065,146.4406,143.1105,146.1663,390036.0
2019-02-20,146.1757,146.1757,143.6213,144.4823,257349.0
2019-02-21,144.0565,147.415,142.0509,146.9988,188791.0
2019-02-22,151.2087,151.2087,148.9524,150.1681,271638.0
2019-02-23,151.2087,151.2087,148.9524,150.1681,271638.0
2019-02-24,151.2087,151.2087,148.9524,150.1681,271638.0
2019-02-25,149.7707,151.6439,149.4964,151.5115,248639.0
2019-02-26,151.1141,153.1009,150.2267,152.5805,306788.0
2019-02-27,152.1927,153.2616,151.3696,151.994,208189.0
2019-02-28,151.502,152.6136,150.2769,150.9344,199074.0
2019-03-01,151.871,152.5616,149.7573,150.6317,193671.0
2019-03-02,151.871,152.5616,149.7573,150.6317,193671.0
2019-03-03,151.871,152.5616,149.7573,150.6317,193671.0
2019-03-04,151.0574,152.2683,148.9098,150.6506,139635.0
2019-03-05,150.8682,152.4008,149.7991,151.1236,383179.0
2019-03-06,150.7263,152.9968,149.0896,149.2977,225085.0
2019-03-07,149.0328,150.2154,147.6799,148.399,248129.0
2019-03-08,147.3961,147.8029,145.847,147.6989,172294.0
2019-03-09,147.3961,147.8029,145.847,147.6989,172294.0
2019-03-10,147.3961,147.8029,145.847,147.6989,172294.0
2019-03-11,147.8313,150.2343,147.3204,150.0167,259955.0
2019-03-12,150.0167,151.0858,148.8341,150.4424,159016.0
2019-03-13,150.3476,152.9566,150.1578,152.1787,242615.0
2019-03-14,151.6569,151.951,150.4662,150.9453,193580.0
2019-03-15,151.2489,151.7067,148.4786,148.934,394730.0
2019-03-16,151.2489,151.7067,148.4786,148.934,394730.0
2019-03-17,151.2489,151.7067,148.4786,148.934,394730.0
2019-03-18,149.2186,150.8694,148.6493,150.6891,359133.0
2019-03-19,151.6189,152.226,149.5933,149.7783,171792.0
2019-03-20,149.8637,150.1768,148.5545,149.1617,158060.0
2019-03-21,148.7347,152.3162,148.4975,151.5715,125762.0
2019-03-22,150.6797,151.5904,148.0516,148.2129,211916.0
2019-03-23,150.6797,151.5904,148.0516,148.2129,211916.0
2019-03-24,150.6797,151.5904,148.0516,148.2129,211916.0
2019-03-25,148.0137,150.7271,148.0137,150.2337,131064.0
2019-03-26,151.1825,151.4292,148.4027,149.3799,153981.0
2019-03-27,149.4083,152.6341,149.0099,152.5961,181031.0
2019-03-28,151.8656,156.1824,151.7992,156.0875,297688.0
2019-03-29,156.5429,157.8711,155.746,156.5144,278315.0
2019-03-30,156.5429,157.8711,155.746,156.5144,278315.0
2019-03-31,156.5429,157.8711,155.746,156.5144,278315.0
2019-04-01,157.4916,159.3702,156.486,159.2278,186309.0
2019-04-02,159.0096,159.5789,157.3968,159.114,323694.0
2019-04-03,160.1576,162.2354,159.4935,161.0399,177661.0
2019-04-04,161.3625,162.3872,159.6832,160.8028,219109.0
2019-04-05,161.1538,162.0646,160.1481,161.5997,211181.0
2019-04-06,161.1538,162.0646,160.1481,161.5997,211181.0
2019-04-07,161.1538,162.0646,160.1481,161.5997,211181.0
2019-04-08,161.021,161.9697,160.5371,161.2107,114131.0
2019-04-09,159.8161,160.307,151.524,154.0572,599218.0
2019-04-10,155.3949,156.2962,152.8807,155.4329,232332.0
2019-04-11,155.8598,158.4499,155.2147,156.5998,241912.0
2019-04-12,157.207,159.7402,156.9603,159.4745,196716.0
2019-04-13,157.207,159.7402,156.9603,159.4745,196716.0
2019-04-14,157.207,159.7402,156.9603,159.4745,196716.0
2019-04-15,159.484,162.0456,154.6445,161.6851,180768.0
2019-04-16,162.2354,163.1841,161.2487,161.8748,250906.0
2019-04-17,162.4915,163.8387,160.1481,160.4897,303114.0
2019-04-18,162.0931,169.5692,159.1709,168.7722,448541.0
2019-04-19,162.0931,169.5692,159.1709,168.7722,448541.0
2019-04-20,162.0931,169.5692,159.1709,168.7722,448541.0
2019-04-21,162.0931,169.5692,159.1709,168.7722,448541.0
2019-04-22,168.7627,171.7133,167.055,168.9809,379588.0
2019-04-23,168.554,171.239,168.5066,169.313,258541.0
2019-04-24,169.6261,171.6374,169.1612,170.2143,227073.0
2019-04-25,169.4838,169.6356,167.3017,167.6812,199523.0
2019-04-26,167.9278,169.7684,166.3861,169.6451,147879.0
2019-04-27,167.9278,169.7684,166.3861,169.6451,147879.0
2019-04-28,167.9278,169.7684,166.3861,169.6451,147879.0
2019-04-29,170.0246,171.8272,169.2656,171.7323,167344.0
2019-04-30,172.1782,174.5738,171.7608,174.3224,237708.0
2019-05-01,174.569,174.8632,172.1782,172.2921,206690.0
2019-05-02,172.1877,176.9267,171.775,175.4798,345491.0
2019-05-03,175.2996,176.3906,174.4734,174.9865,228473.0
2019-05-04,175.2996,176.3906,174.4734,174.9865,228473.0
2019-05-05,175.2996,176.3906,174.4734,174.9865,228473.0
2019-05-06,173.1839,176.6373,173.1839,176.3527,354059.0
2019-05-07,175.4514,176.9409,172.0644,173.3072,118047.0
2019-05-08,172.9941,175.0719,172.0738,173.6772,107855.0
2019-05-09,172.7664,173.8053,170.7741,172.9752,139005.0
2019-05-10,173.0036,175.328,171.4761,174.7303,124276.0
2019-05-11,173.0036,175.328,171.4761,174.7303,124276.0
2019-05-12,173.0036,175.328,171.4761,174.7303,124276.0
2019-05-13,172.4249,173.0036,170.6697,171.3528,122590.0
2019-05-14,171.7513,173.1032,170.5653,171.1061,146141.0
2019-05-15,170.4705,174.014,169.8063,172.7759,136398.0
2019-05-16,173.2898,175.0978,171.5769,173.1185,154082.0
2019-05-17,172.6046,177.3912,172.6046,175.3643,246017.0
2019-05-18,172.6046,177.3912,172.6046,175.3643,246017.0
2019-05-19,172.6046,177.3912,172.6046,175.3643,246017.0
2019-05-20,173.9844,177.1962,173.7358,176.097,249715.0
2019-05-21,176.6775,177.4388,174.5554,174.9836,222668.0
2019-05-22,174.6982,176.8679,173.856,174.3461,175924.0
2019-05-23,173.1946,173.5467,171.4056,172.0907,131240.0
2019-05-24,172.8044,174.2128,171.7957,172.8996,182363.0
2019-05-25,172.8044,174.2128,171.7957,172.8996,182363.0
2019-05-26,172.8044,174.2128,171.7957,172.8996,182363.0
2019-05-27,172.8044,174.2128,171.7957,172.8996,182363.0
2019-05-28,173.5086,174.6125,170.6538,170.6823,200797.0
2019-05-29,170.5206,171.4436,168.0368,168.6173,143434.0
2019-05-30,168.6744,174.0057,165.6132,170.2731,170477.0
2019-05-31,169.1122,172.7188,168.5888,171.082,162050.0
2019-06-01,169.1122,172.7188,168.5888,171.082,162050.0
2019-06-02,169.1122,172.7188,168.5888,171.082,162050.0
2019-06-03,170.6633,172.538,169.5118,170.6823,178932.0
2019-06-04,171.4436,177.4008,171.4436,177.1724,231888.0
2019-06-05,177.8766,179.7798,177.1058,177.6291,174320.0
2019-06-06,175.5737,179.9987,175.3167,179.2754,140467.0
2019-06-07,180.8361,180.9551,178.8567,180.3127,120722.0
2019-06-08,180.8361,180.9551,178.8567,180.3127,120722.0
2019-06-09,180.8361,180.9551,178.8567,180.3127,120722.0
2019-06-10,181.2168,181.6926,177.9242,178.8663,119676.0
2019-06-11,179.8274,180.1034,175.3167,176.8393,208312.0
2019-06-12,177.0867,179.4848,176.0828,179.2279,143983.0
2019-06-13,179.5514,183.691,178.6902,181.7782,132686.0
2019-06-14,181.8829,182.2688,179.875,180.465,119307.0
2019-06-15,181.8829,182.2688,179.875,180.465,119307.0
2019-06-16,181.8829,182.2688,179.875,180.465,119307.0
2019-06-17,180.8932,180.8932,177.7433,178.419,151513.0
2019-06-18,177.8195,179.8655,176.4967,178.2096,137158.0
2019-06-19,178.2572,180.0091,175.1169,178.6379,169678.0
2019-06-20,180.2461,181.7782,178.5713,181.2263,192814.0
2019-06-21,181.1216,181.6926,177.5054,177.9146,320945.0
2019-06-22,181.1216,181.6926,177.5054,177.9146,320945.0
2019-06-23,181.1216,181.6926,177.5054,177.9146,320945.0
2019-06-24,178.5713,181.0811,176.1922,176.4016,126070.0
2019-06-25,176.1827,177.7338,174.8837,175.3453,217737.0
2019-06-26,175.5451,177.0867,174.1653,176.4777,157171.0
2019-06-27,176.9916,178.9804,175.9258,178.8092,153475.0
2019-06-28,178.5142,182.7679,178.5142,181.7592,420129.0
2019-06-29,178.5142,182.7679,178.5142,181.7592,420129.0
2019-06-30,178.5142,182.7679,178.5142,181.7592,420129.0
2019-07-01,182.0161,183.6434,180.2128,182.0827,189981.0
2019-07-02,182.273,182.6347,180.4317,180.6648,203184.0
2019-07-03,180.9027,184.0716,180.9027,183.9764,85685.0
2019-07-04,180.9027,184.0716,180.9027,183.9764,85685.0
2019-07-05,183.9098,183.9098,180.3222,183.2627,132822.0
2019-07-06,183.9098,183.9098,180.3222,183.2627,132822.0
2019-07-07,183.9098,183.9098,180.3222,183.2627,132822.0
2019-07-08,183.4911,183.4911,181.6735,182.4824,130401.0
2019-07-09,180.6934,181.1311,171.2248,175.6022,465376.0
2019-07-10,176.1637,176.5443,172.5665,174.1748,354586.0
2019-07-11,174.308,175.0645,171.5102,173.5467,176249.0
2019-07-12,172.3762,176.1256,172.3762,175.9924,189344.0
2019-07-13,172.3762,176.1256,172.3762,175.9924,189344.0
2019-07-14,172.3762,176.1256,172.3762,175.9924,189344.0
2019-07-15,176.2874,178.8663,175.4119,176.4587,235780.0
2019-07-16,176.2874,178.5427,176.1256,177.7243,229277.0
2019-07-17,177.6482,178.5855,174.8885,175.0027,266358.0
2019-07-18,170.0257,186.5173,167.3992,179.5324,875617.0
2019-07-19,179.5229,184.2239,179.5229,181.9876,426606.0
2019-07-20,179.5229,184.2239,179.5229,181.9876,426606.0
2019-07-21,179.5229,184.2239,179.5229,181.9876,426606.0
2019-07-22,182.4063,182.4063,178.5427,178.6854,199434.0
2019-07-23,178.2096,179.9225,177.4388,179.1517,306610.0
2019-07-24,179.0756,180.8742,177.9622,178.3333,141395.0
2019-07-25,178.5903,181.978,178.5808,180.7505,139823.0
2019-07-26,181.4356,183.6624,178.3714,183.2056,174784.0
2019-07-27,181.4356,183.6624,178.3714,183.2056,174784.0
2019-07-28,181.4356,183.6624,178.3714,183.2056,174784.0
2019-07-29,183.2342,183.5149,181.5736,182.0066,138648.0
2019-07-30,181.6735,184.9566,181.4832,181.9019,152077.0
2019-07-31,181.959,183.6148,179.0566,180.208,173122.0
2019-08-01,180.3508,183.4245,179.5134,179.9035,223644.0
2019-08-02,179.3325,180.465,177.967,179.7703,160779.0
2019-08-03,179.3325,180.465,177.967,179.7703,160779.0
2019-08-04,179.3325,180.465,177.967,179.7703,160779.0
2019-08-05,177.1724,178.6997,175.1825,175.9733,191360.0
2019-08-06,175.7354,182.7013,175.7354,182.1779,147938.0
2019-08-07,183.0724,186.0986,180.4697,185.2231,190315.0
2019-08-08,185.5656,190.2762,185.5656,187.9257,368989.0
2019-08-09,186.5458,190.3237,186.2319,189.7052,167545.0
2019-08-10,186.5458,190.3237,186.2319,189.7052,167545.0
2019-08-11,186.5458,190.3237,186.2319,189.7052,167545.0
2019-08-12,189.3912,189.3912,184.8615,185.6132,200945.0
2019-08-13,186.1366,189.9954,184.3761,187.4879,236885.0
2019-08-14,185.0355,187.3639,183.5659,184.6633,221360.0
2019-08-15,185.5699,187.1349,182.7643,184.2625,249027.0
2019-08-16,184.7397,187.2685,184.7397,186.0375,238651.0
2019-08-17,184.7397,187.2685,184.7397,186.0375,238651.0
2019-08-18,184.7397,187.2685,184.7397,186.0375,238651.0
2019-08-19,188.2896,189.4634,186.2331,189.1675,348045.0
2019-08-20,189.158,189.158,185.923,188.0892,153764.0
2019-08-21,189.6542,190.8089,187.2208,188.0033,156517.0
2019-08-22,188.5282,190.723,187.2876,190.3413,166919.0
2019-08-23,187.0777,189.1389,184.0335,184.4438,172218.0
2019-08-24,187.0777,189.1389,184.0335,184.4438,172218.0
2019-08-25,187.0777,189.1389,184.0335,184.4438,172218.0
2019-08-26,184.9305,187.4307,184.1862,186.9631,156638.0
2019-08-27,188.3182,189.3966,186.7341,188.6427,231951.0
2019-08-28,188.6427,189.5874,186.9393,188.4709,211101.0
2019-08-29,189.9023,190.8232,187.6598,189.263,155986.0
2019-08-30,189.9023,190.3604,186.9154,187.4021,150502.0
2019-08-31,189.9023,190.3604,186.9154,187.4021,150502.0
2019-09-01,189.9023,190.3604,186.9154,187.4021,150502.0
2019-09-02,189.9023,190.3604,186.9154,187.4021,150502.0
2019-09-03,186.8009,187.9651,184.0764,185.9802,267700.0
2019-09-04,187.5166,189.2773,186.7055,188.8049,201092.0
2019-09-05,190.3986,194.3207,189.9119,193.6431,175861.0
2019-09-06,193.6527,195.5993,191.7918,192.3548,207743.0
2019-09-07,193.6527,195.5993,191.7918,192.3548,207743.0
2019-09-08,193.6527,195.5993,191.7918,192.3548,207743.0
2019-09-09,192.7079,192.7079,185.7894,185.9993,268390.0
2019-09-10,185.5222,185.5222,178.1456,179.1953,257347.0
2019-09-11,180.0923,180.0923,176.6569,178.8517,375738.0
2019-09-12,179.8537,183.6709,179.138,182.373,245738.0
2019-09-13,183.2605,184.1385,179.7965,181.3138,236792.0
2019-09-14,183.2605,184.1385,179.7965,181.3138,236792.0
2019-09-15,183.2605,184.1385,179.7965,181.3138,236792.0
2019-09-16,180.8462,181.9579,177.6541,177.7639,203380.0
2019-09-17,177.7543,181.9436,177.1245,181.2661,197444.0
2019-09-18,181.6764,183.8235,178.6513,180.579,180520.0
2019-09-19,181.4856,184.0526,179.8967,183.1651,156946.0
2019-09-20,184.5202,188.3468,184.5202,187.0395,551079.0
2019-09-21,184.5202,188.3468,184.5202,187.0395,551079.0
2019-09-22,184.5202,188.3468,184.5202,187.0395,551079.0
2019-09-23,187.383,191.0188,186.4574,189.5779,188086.0
2019-09-24,190.8662,191.7489,187.9365,189.931,183718.0
2019-09-25,189.5206,191.7202,187.6407,191.3624,200909.0
2019-09-26,190.9998,193.3187,189.2343,189.282,133685.0
2019-09-27,189.9119,191.3147,188.6093,190.3986,136757.0
2019-09-28,189.9119,191.3147,188.6093,190.3986,136757.0
2019-09-29,189.9119,191.3147,188.6093,190.3986,136757.0
2019-09-30,189.8928,192.6077,189.158,192.4789,181815.0
2019-10-01,193.1469,194.1799,189.5111,190.0932,209536.0
2019-10-02,190.1982,190.556,187.0395,189.6542,190470.0
2019-10-03,189.6351,190.0884,187.0299,188.0892,151176.0
2019-10-04,188.2228,192.8224,188.2228,192.4407,125505.0
2019-10-05,188.2228,192.8224,188.2228,192.4407,125505.0
2019-10-06,188.2228,192.8224,188.2228,192.4407,125505.0
2019-10-07,192.5457,193.1898,190.828,192.4312,138630.0
2019-10-08,192.1449,194.2348,190.5703,191.5342,164894.0
2019-10-09,191.5819,194.3708,191.2192,192.4503,124293.0
2019-10-10,192.5266,193.166,190.9473,192.2403,93381.0
2019-10-11,193.5668,196.3724,193.5668,193.9676,115020.0
2019-10-12,193.5668,196.3724,193.5668,193.9676,115020.0
2019-10-13,193.5668,196.3724,193.5668,193.9676,115020.0
2019-10-14,193.7195,194.4447,191.4483,192.9942,134814.0
2019-10-15,193.834,195.8093,193.0419,195.5899,185341.0
2019-10-16,195.4849,195.7139,185.8275,191.5628,442681.0
2019-10-17,217.7579,217.7579,196.7159,203.2337,817076.0
2019-10-18,204.2452,208.0337,202.184,207.5184,617051.0
2019-10-19,204.2452,208.0337,202.184,207.5184,617051.0
2019-10-20,204.2452,208.0337,202.184,207.5184,617051.0
2019-10-21,205.0182,206.9935,199.7314,200.8575,420365.0
2019-10-22,202.5561,205.7196,199.8364,203.1669,329125.0
2019-10-23,203.1764,203.1764,195.3562,196.4964,318550.0
2019-10-24,196.7064,198.6197,193.6049,194.3588,241135.0
2019-10-25,193.6813,195.0173,190.9043,190.9616,251080.0
2019-10-26,193.6813,195.0173,190.9043,190.9616,251080.0
2019-10-27,193.6813,195.0173,190.9043,190.9616,251080.0
2019-10-28,191.7632,193.1469,190.1695,190.4176,222016.0
2019-10-29,189.931,194.1775,189.931,192.393,213046.0
2019-10-30,192.832,197.7036,192.4789,197.5032,254040.0
2019-10-31,198.4336,200.2563,196.964,197.9183,260445.0
2019-11-01,199.1493,199.9796,196.9831,197.737,209239.0
2019-11-02,199.1493,199.9796,196.9831,197.737,209239.0
2019-11-03,199.1493,199.9796,196.9831,197.737,209239.0
2019-11-04,197.2599,199.0444,193.9632,194.5258,190765.0
2019-11-05,194.4065,196.3151,190.0264,190.4081,171160.0
2019-11-06,191.0475,193.4093,189.5705,193.061,160980.0
2019-11-07,193.8244,194.3779,191.1372,191.8014,309478.0
2019-11-08,192.5934,193.4713,190.8566,192.8511,125558.0
2019-11-09,192.5934,193.4713,190.8566,192.8511,125558.0
2019-11-10,192.5934,193.4713,190.8566,192.8511,125558.0
2019-11-11,191.3815,196.005,191.286,194.4352,184766.0
2019-11-12,194.9505,198.6722,194.7787,195.0173,212529.0
2019-11-13,194.778,197.4572,194.3379,195.8018,216315.0
2019-11-14,196.1272,197.9931,195.0651,196.4812,150020.0
2019-11-15,197.3328,200.1651,196.0698,198.3758,555506.0
2019-11-16,197.3328,200.1651,196.0698,198.3758,555506.0
2019-11-17,197.3328,200.1651,196.0698,198.3758,555506.0
2019-11-18,198.4236,200.4139,197.7921,199.5336,197150.0
2019-11-19,199.7919,201.0837,197.2276,199.103,216789.0
2019-11-20,199.8972,203.3228,199.4762,201.6674,300262.0
2019-11-21,202.6338,202.6338,195.5387,195.9071,280262.0
2019-11-22,195.9167,199.2752,195.132,198.5002,135431.0
2019-11-23,195.9167,199.2752,195.132,198.5002,135431.0
2019-11-24,195.9167,199.2752,195.132,198.5002,135431.0
2019-11-25,199.0073,200.7488,195.8593,196.4429,173180.0
2019-11-26,196.376,201.2368,195.6583,201.189,164625.0
2019-11-27,202.2702,202.5052,199.3614,200.701,210906.0
2019-11-28,202.2702,202.5052,199.3614,200.701,210906.0
2019-11-29,200.3661,200.7584,197.3328,197.5433,82626.0
2019-11-30,200.3661,200.7584,197.3328,197.5433,82626.0
2019-12-01,200.3661,200.7584,197.3328,197.5433,82626.0
2019-12-02,197.5625,200.2034,196.7587,197.1223,149268.0
2019-12-03,196.6343,197.3615,195.3521,195.9454,150344.0
2019-12-04,196.2324,198.9882,196.1846,197.4189,254116.0
2019-12-05,198.328,201.4473,198.1844,201.0263,137923.0
2019-12-06,200.9402,202.031,199.3996,201.5526,180221.0
2019-12-07,200.9402,202.031,199.3996,201.5526,180221.0
2019-12-08,200.9402,202.031,199.3996,201.5526,180221.0
2019-12-09,201.0741,202.4903,198.8255,199.6101,130362.0
2019-12-10,198.749,199.6436,197.9356,198.4045,105984.0
2019-12-11,198.4141,199.6341,197.6916,198.7968,256113.0
2019-12-12,198.7872,200.3134,197.7443,198.5385,185419.0
2019-12-13,198.0983,198.127,195.1129,196.5673,199420.0
2019-12-14,198.0983,198.127,195.1129,196.5673,199420.0
2019-12-15,198.0983,198.127,195.1129,196.5673,199420.0
2019-12-16,197.3902,199.9259,196.73,199.3327,138055.0
2019-12-17,199.9068,202.8539,199.1604,202.6912,171910.0
2019-12-18,202.8539,202.8539,199.7919,200.921,181540.0
2019-12-19,201.1124,203.3897,199.0456,203.1027,241700.0
2019-12-20,204.1361,206.7579,203.8777,205.8297,341667.0
2019-12-21,204.1361,206.7579,203.8777,205.8297,341667.0
2019-12-22,204.1361,206.7579,203.8777,205.8297,341667.0
2019-12-23,206.2412,206.2412,201.0263,201.2081,153517.0
2019-12-24,200.9976,204.7198,200.9402,204.1074,85588.0
2019-12-25,200.9976,204.7198,200.9402,204.1074,85588.0
2019-12-26,203.9064,204.27,200.5431,203.5237,110218.0
2019-12-27,204.05,205.0813,203.0118,204.1361,124863.0
2019-12-28,204.05,205.0813,203.0118,204.1361,124863.0
2019-12-29,204.05,205.0813,203.0118,204.1361,124863.0
2019-12-30,204.0691,206.2699,202.7008,205.6671,120050.0
2019-12-31,205.3704,206.1838,202.8013,203.2175,167233.0
2020-01-01,205.3704,206.1838,202.8013,203.2175,167233.0
2020-01-02,203.0835,204.6528,201.2655,204.5858,155742.0
2020-01-03,203.4758,206.3751,202.7821,205.7627,193301.0
2020-01-04,203.4758,206.3751,202.7821,205.7627,193301.0
2020-01-05,203.4758,206.3751,202.7821,205.7627,193301.0
2020-01-06,205.5427,206.0498,202.7295,205.801,137165.0
2020-01-07,204.2222,205.4183,203.7725,203.8299,267468.0
2020-01-08,204.3179,205.9828,204.0691,204.8633,220116.0
2020-01-09,205.4757,207.2459,204.7963,205.2556,170445.0
2020-01-10,205.5618,208.5281,204.6049,207.6765,188444.0
2020-01-11,205.5618,208.5281,204.6049,207.6765,188444.0
2020-01-12,205.5618,208.5281,204.6049,207.6765,188444.0
2020-01-13,208.0496,209.8581,205.0642,207.265,236881.0
2020-01-14,207.131,208.0688,205.734,206.3177,152041.0
2020-01-15,205.5618,209.6572,205.5618,207.6669,164237.0
2020-01-16,208.0975,209.4658,207.4468,209.0256,123296.0
2020-01-17,209.1117,211.3412,208.5998,210.3365,158365.0
2020-01-18,209.1117,211.3412,208.5998,210.3365,158365.0
2020-01-19,209.1117,211.3412,208.5998,210.3365,158365.0
2020-01-20,209.1117,211.3412,208.5998,210.3365,158365.0
2020-01-21,210.1643,210.7384,208.9204,209.8294,186332.0
2020-01-22,210.2982,211.8292,209.9155,211.0733,159019.0
2020-01-23,211.0542,213.1688,210.3748,211.2551,213327.0
2020-01-24,211.8962,213.7429,210.1978,210.4609,167698.0
2020-01-25,211.8962,213.7429,210.1978,210.4609,167698.0
2020-01-26,211.8962,213.7429,210.1978,210.4609,167698.0
2020-01-27,208.7864,213.7429,208.7864,212.0206,176082.0
2020-01-28,211.6761,213.2549,210.2882,211.9058,103792.0
2020-01-29,212.3459,217.0537,211.7814,215.7906,214966.0
2020-01-30,214.8816,215.494,212.3985,214.3075,177670.0
2020-01-31,214.3553,214.7189,209.3605,209.839,187758.0
2020-02-01,214.3553,214.7189,209.3605,209.839,187758.0
2020-02-02,214.3553,214.7189,209.3605,209.839,187758.0
2020-02-03,210.2887,212.6904,209.7528,211.3891,189482.0
2020-02-04,213.8673,214.317,210.2791,213.2358,127095.0
2020-02-05,214.5276,214.5276,211.724,214.164,140155.0
2020-02-06,213.5803,216.537,212.8435,216.0585,116061.0
2020-02-07,215.6854,217.6373,215.4031,217.1206,156136.0
2020-02-08,215.6854,217.6373,215.4031,217.1206,156136.0
2020-02-09,215.6854,217.6373,215.4031,217.1206,156136.0
2020-02-10,216.9197,218.6133,215.8959,217.733,180531.0
2020-02-11,214.6902,219.9721,214.6902,219.398,251695.0
2020-02-12,219.4745,220.0773,216.4891,217.379,243907.0
2020-02-13,211.0733,223.8378,210.5179,218.2976,386394.0
2020-02-14,218.422,223.723,216.47,223.4742,310885.0
2020-02-15,218.422,223.723,216.47,223.4742,310885.0
2020-02-16,218.422,223.723,216.47,223.4742,310885.0
2020-02-17,218.422,223.723,216.47,223.4742,310885.0
2020-02-18,222.7087,226.694,222.2877,225.8185,287659.0
2020-02-19,227.1007,227.9523,223.2254,223.3976,229614.0
2020-02-20,222.967,224.3258,220.7089,222.3451,203742.0
2020-02-21,221.6944,221.6944,218.7951,219.3118,106755.0
2020-02-22,221.6944,221.6944,218.7951,219.3118,106755.0
2020-02-23,221.6944,221.6944,218.7951,219.3118,106755.0
2020-02-24,215.8193,217.668,210.7016,214.8816,161816.0
2020-02-25,215.9916,217.8496,207.8728,208.1262,196814.0
2020-02-26,208.8821,214.408,208.4228,210.5183,242297.0
2020-02-27,208.1645,213.0349,206.8149,207.0545,323958.0
2020-02-28,202.0693,204.1169,192.6729,201.8588,462251.0
2020-02-29,202.0693,204.1169,192.6729,201.8588,462251.0
2020-03-01,202.0693,204.1169,192.6729,201.8588,462251.0
2020-03-02,201.5239,203.3515,194.711,201.8205,366247.0
2020-03-03,201.8779,207.8008,201.0072,206.0594,257013.0
2020-03-04,209.2553,218.111,208.3175,217.7235,341131.0
2020-03-05,214.2214,217.9531,211.4752,216.8623,289953.0
2020-03-06,212.633,216.1542,208.7864,215.2069,254763.0
2020-03-07,212.633,216.1542,208.7864,215.2069,254763.0
2020-03-08,212.633,216.1542,208.7864,215.2069,254763.0
2020-03-09,203.6672,212.4703,201.4186,203.8299,325547.0
2020-03-10,206.9301,208.9012,193.0078,207.3416,323383.0
2020-03-11,203.0439,206.2287,196.5111,198.9093,447783.0
2020-03-12,186.4193,189.9495,177.661,179.3206,390203.0
2020-03-13,183.695,197.9309,179.6755,197.7486,380713.0
