,SPR US Equity,SPR US Equity,SPR US Equity,SPR US Equity,SPR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,70.4405,71.4611,70.4312,71.4314,611553.0
2019-01-02,70.5694,72.016,69.8658,71.7584,552272.0
2019-01-03,71.2233,71.4017,69.3308,69.4497,410111.0
2019-01-04,70.5594,72.0358,70.1928,71.8278,694746.0
2019-01-05,70.5594,72.0358,70.1928,71.8278,694746.0
2019-01-06,70.5594,72.0358,70.1928,71.8278,694746.0
2019-01-07,72.1646,72.997,71.1837,72.5907,925839.0
2019-01-08,73.4825,75.2561,73.1109,74.8598,812431.0
2019-01-09,75.3453,76.3659,75.0976,75.6921,621724.0
2019-01-10,75.2066,77.1388,75.1273,77.0001,650482.0
2019-01-11,76.3857,76.9406,75.6129,76.9406,531618.0
2019-01-12,76.3857,76.9406,75.6129,76.9406,531618.0
2019-01-13,76.3857,76.9406,75.6129,76.9406,531618.0
2019-01-14,76.1083,76.7226,75.5633,76.3857,881044.0
2019-01-15,76.5938,77.3469,75.375,77.3271,751447.0
2019-01-16,77.2973,77.337,76.2123,76.7424,605482.0
2019-01-17,76.6235,77.973,76.4452,77.3171,686928.0
2019-01-18,78.1396,79.4376,77.6342,78.744,686482.0
2019-01-19,78.1396,79.4376,77.6342,78.744,686482.0
2019-01-20,78.1396,79.4376,77.6342,78.744,686482.0
2019-01-21,78.1396,79.4376,77.6342,78.744,686482.0
2019-01-22,78.0107,78.5359,77.2973,77.7333,843596.0
2019-01-23,78.4765,79.2691,76.1776,77.0992,625935.0
2019-01-24,77.2676,78.8926,77.0892,78.4963,1332163.0
2019-01-25,79.388,79.8835,78.8629,78.9719,564576.0
2019-01-26,79.388,79.8835,78.8629,78.9719,564576.0
2019-01-27,79.388,79.8835,78.8629,78.9719,564576.0
2019-01-28,78.2188,79.6259,77.6739,79.4079,1046631.0
2019-01-29,79.7448,81.0824,79.7448,80.9536,868939.0
2019-01-30,81.8652,83.2053,80.9041,82.5885,1150660.0
2019-01-31,82.2219,83.5001,82.1129,82.6381,1113461.0
2019-02-01,83.6884,87.3051,83.6884,87.0078,1918618.0
2019-02-02,83.6884,87.3051,83.6884,87.0078,1918618.0
2019-02-03,83.6884,87.3051,83.6884,87.0078,1918618.0
2019-02-04,87.4041,88.7517,86.7204,88.3653,1925179.0
2019-02-05,88.6824,91.3973,88.6824,91.3874,1454192.0
2019-02-06,91.328,92.4179,91.001,91.1496,1285077.0
2019-02-07,90.7929,92.7746,90.7632,92.2098,1205761.0
