,PCAR US Equity,PCAR US Equity,PCAR US Equity,PCAR US Equity,PCAR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,31.4196,31.5455,30.998,31.2827,2548577.0
2019-01-02,30.8064,31.7262,30.571,31.6769,2704439.0
2019-01-03,31.4579,31.5236,30.7188,30.9433,2962118.0
2019-01-04,31.3156,32.3339,31.2061,32.3174,3854778.0
2019-01-05,31.3156,32.3339,31.2061,32.3174,3854778.0
2019-01-06,31.3156,32.3339,31.2061,32.3174,3854778.0
2019-01-07,32.1696,32.7007,31.655,32.2791,4571529.0
2019-01-08,32.5747,32.9525,32.2901,32.5912,4449461.0
2019-01-09,32.7445,32.9361,31.9233,32.0984,5207286.0
2019-01-10,31.6605,32.6514,31.5181,32.3886,4232160.0
2019-01-11,32.3284,32.6897,31.9889,32.5419,2878743.0
2019-01-12,32.3284,32.6897,31.9889,32.5419,2878743.0
2019-01-13,32.3284,32.6897,31.9889,32.5419,2878743.0
2019-01-14,32.3612,33.0292,32.1149,32.8321,3319175.0
2019-01-15,32.854,32.9525,32.4543,32.6131,2098896.0
2019-01-16,32.6733,33.0729,32.5528,32.8813,2283555.0
2019-01-17,32.7445,33.8723,32.6623,33.5821,3676619.0
2019-01-18,33.8723,34.584,33.6259,34.48,3367118.0
2019-01-19,33.8723,34.584,33.6259,34.48,3367118.0
2019-01-20,33.8723,34.584,33.6259,34.48,3367118.0
2019-01-21,33.8723,34.584,33.6259,34.48,3367118.0
2019-01-22,34.1569,34.261,33.6341,33.9708,3508256.0
2019-01-23,34.2391,34.2391,33.5213,33.7354,2850084.0
2019-01-24,33.4836,33.9051,33.4179,33.8285,3752609.0
2019-01-25,34.25,34.6387,34.1734,34.3212,3332898.0
2019-01-26,34.25,34.6387,34.1734,34.3212,3332898.0
2019-01-27,34.25,34.6387,34.1734,34.3212,3332898.0
2019-01-28,33.8175,33.8558,33.3741,33.5602,6590091.0
2019-01-29,34.9125,35.5694,34.1652,35.4983,5888853.0
2019-01-30,35.5859,35.6899,34.8358,35.449,4264626.0
2019-01-31,35.3942,35.8924,35.126,35.8705,3718940.0
2019-02-01,35.8651,36.0676,35.449,35.564,3028532.0
2019-02-02,35.8651,36.0676,35.449,35.564,3028532.0
2019-02-03,35.8651,36.0676,35.449,35.564,3028532.0
2019-02-04,35.5256,35.7282,35.1369,35.7227,3088046.0
2019-02-05,35.8213,35.9198,35.438,35.8979,2964734.0
2019-02-06,35.5694,36.0676,35.2902,35.8924,3180723.0
2019-02-07,35.9855,36.1771,35.6461,36.0786,3771495.0
2019-02-08,35.9253,36.1169,35.5585,36.106,2302478.0
2019-02-09,35.9253,36.1169,35.5585,36.106,2302478.0
2019-02-10,35.9253,36.1169,35.5585,36.106,2302478.0
2019-02-11,36.227,36.4195,35.9409,35.9574,1567319.0
2019-02-12,36.3315,36.8707,36.2435,36.7276,2659557.0
2019-02-13,36.9092,37.2393,36.7551,37.0962,1684764.0
2019-02-14,36.8762,37.1677,36.6836,36.7881,2368796.0
2019-02-15,37.1457,37.5418,36.8597,37.4648,2900381.0
2019-02-16,37.1457,37.5418,36.8597,37.4648,2900381.0
2019-02-17,37.1457,37.5418,36.8597,37.4648,2900381.0
2019-02-18,37.1457,37.5418,36.8597,37.4648,2900381.0
2019-02-19,37.3988,37.7234,37.2448,37.5308,2349024.0
2019-02-20,37.5803,37.9984,37.4098,37.9819,1937492.0
2019-02-21,37.8609,38.2075,37.7555,38.0535,2528549.0
2019-02-22,38.213,38.6366,38.18,38.4496,2617181.0
2019-02-23,38.213,38.6366,38.18,38.4496,2617181.0
2019-02-24,38.213,38.6366,38.18,38.4496,2617181.0
2019-02-25,38.6861,38.7026,38.196,38.2295,2124962.0
2019-02-26,38.0535,38.4413,37.908,38.1415,3012836.0
2019-02-27,37.9764,37.9764,37.3383,37.6409,2964336.0
2019-02-28,37.6299,37.6299,37.088,37.2998,3467388.0
2019-03-01,37.5473,37.7234,36.9807,37.2833,3309435.0
2019-03-02,37.5473,37.7234,36.9807,37.2833,3309435.0
2019-03-03,37.5473,37.7234,36.9807,37.2833,3309435.0
2019-03-04,37.4758,37.6464,36.6726,37.1237,3549434.0
2019-03-05,37.2062,37.4923,37.0412,37.2943,3345146.0
2019-03-06,37.2227,37.3328,36.9752,37.0027,3741899.0
2019-03-07,36.8652,36.9887,36.2655,36.9257,3154118.0
2019-03-08,36.5846,37.0632,36.4195,37.0302,2787359.0
2019-03-09,36.5846,37.0632,36.4195,37.0302,2787359.0
2019-03-10,36.5846,37.0632,36.4195,37.0302,2787359.0
