,WDP BB Equity,WDP BB Equity,WDP BB Equity,WDP BB Equity,WDP BB Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,2.4791,2.496,2.4357,2.496,56887.0
2010-01-02,2.4791,2.496,2.4357,2.496,56887.0
2010-01-03,2.4791,2.496,2.4357,2.496,56887.0
2010-01-04,2.4717,2.56,2.4643,2.56,113724.0
2010-01-05,2.5666,2.5762,2.5063,2.5762,76972.0
2010-01-06,2.5298,2.5894,2.5298,2.5526,110141.0
2010-01-07,2.5379,2.5585,2.5379,2.5585,52084.0
2010-01-08,2.5423,2.5548,2.4989,2.5011,250876.0
2010-01-09,2.5423,2.5548,2.4989,2.5011,250876.0
2010-01-10,2.5423,2.5548,2.4989,2.5011,250876.0
2010-01-11,2.5225,2.5298,2.4643,2.4791,99449.0
2010-01-12,2.4754,2.4754,2.4423,2.4423,44707.0
2010-01-13,2.4643,2.4643,2.4173,2.4298,221932.0
2010-01-14,2.4393,2.4974,2.4393,2.4504,77050.0
2010-01-15,2.4614,2.5004,2.4614,2.5004,74391.0
2010-01-16,2.4614,2.5004,2.4614,2.5004,74391.0
2010-01-17,2.4614,2.5004,2.4614,2.5004,74391.0
2010-01-18,2.5077,2.5077,2.4511,2.4511,250510.0
2010-01-19,2.4849,2.4849,2.4349,2.4482,64475.0
2010-01-20,2.4364,2.4761,2.4364,2.468,76535.0
2010-01-21,2.4643,2.4746,2.4386,2.4702,95260.0
2010-01-22,2.4673,2.4754,2.4312,2.4533,92136.0
2010-01-23,2.4673,2.4754,2.4312,2.4533,92136.0
2010-01-24,2.4673,2.4754,2.4312,2.4533,92136.0
2010-01-25,2.4754,2.4901,2.4467,2.4717,123365.0
2010-01-26,2.4511,2.4857,2.4474,2.4511,97453.0
2010-01-27,2.4518,2.4754,2.4511,2.4607,55772.0
2010-01-28,2.4783,2.4879,2.4533,2.4879,95789.0
2010-01-29,2.4901,2.4901,2.454,2.454,117779.0
2010-01-30,2.4901,2.4901,2.454,2.454,117779.0
2010-01-31,2.4901,2.4901,2.454,2.454,117779.0
2010-02-01,2.4607,2.4791,2.4408,2.4408,93610.0
2010-02-02,2.4783,2.4974,2.4717,2.4864,33352.0
2010-02-03,2.5011,2.5011,2.4732,2.4864,30369.0
2010-02-04,2.4974,2.5019,2.4643,2.4688,108068.0
2010-02-05,2.4555,2.4643,2.3775,2.3996,230854.0
2010-02-06,2.4555,2.4643,2.3775,2.3996,230854.0
2010-02-07,2.4555,2.4643,2.3775,2.3996,230854.0
2010-02-08,2.4092,2.4092,2.354,2.3584,132646.0
2010-02-09,2.354,2.3606,2.3393,2.3393,86980.0
2010-02-10,2.3466,2.3724,2.3305,2.3319,134085.0
2010-02-11,2.3466,2.3466,2.3319,2.3319,38973.0
2010-02-12,2.3349,2.343,2.3283,2.3349,41568.0
2010-02-13,2.3349,2.343,2.3283,2.3349,41568.0
2010-02-14,2.3349,2.343,2.3283,2.3349,41568.0
2010-02-15,2.3283,2.3319,2.3003,2.3113,75111.0
2010-02-16,2.3356,2.354,2.2951,2.2966,91931.0
2010-02-17,2.3091,2.3577,2.3091,2.3334,109993.0
2010-02-18,2.3687,2.4092,2.354,2.3974,40863.0
2010-02-19,2.4092,2.4327,2.3981,2.4106,80957.0
2010-02-20,2.4092,2.4327,2.3981,2.4106,80957.0
2010-02-21,2.4092,2.4327,2.3981,2.4106,80957.0
2010-02-22,2.4055,2.4364,2.4018,2.4276,103286.0
2010-02-23,2.4276,2.4386,2.4202,2.4349,70456.0
2010-02-24,2.4342,2.4342,2.4209,2.4283,47302.0
2010-02-25,2.4246,2.4518,2.4246,2.4276,51583.0
2010-02-26,2.4246,2.4349,2.4055,2.432,102954.0
2010-02-27,2.4246,2.4349,2.4055,2.432,102954.0
2010-02-28,2.4246,2.4349,2.4055,2.432,102954.0
2010-03-01,2.4577,2.4997,2.4334,2.4386,200704.0
2010-03-02,2.4997,2.4997,2.4334,2.4754,86000.0
2010-03-03,2.4408,2.4665,2.4371,2.4665,34431.0
2010-03-04,2.4504,2.4813,2.4504,2.4746,35355.0
2010-03-05,2.4643,2.4791,2.4643,2.4643,56929.0
2010-03-06,2.4643,2.4791,2.4643,2.4643,56929.0
2010-03-07,2.4643,2.4791,2.4643,2.4643,56929.0
2010-03-08,2.4805,2.4805,2.454,2.4651,49933.0
2010-03-09,2.4526,2.4643,2.4312,2.4379,61859.0
2010-03-10,2.4445,2.4555,2.4276,2.432,82311.0
2010-03-11,2.4423,2.4423,2.4276,2.429,131673.0
2010-03-12,2.4482,2.4533,2.4276,2.429,91459.0
2010-03-13,2.4482,2.4533,2.4276,2.429,91459.0
2010-03-14,2.4482,2.4533,2.4276,2.429,91459.0
2010-03-15,2.4621,2.4629,2.4312,2.4548,42429.0
2010-03-16,2.4599,2.4599,2.4312,2.4408,48818.0
2010-03-17,2.4423,2.4791,2.4423,2.4791,111516.0
2010-03-18,2.4607,2.4857,2.4607,2.4835,73298.0
2010-03-19,2.4864,2.5019,2.4805,2.5019,142985.0
