,OMV AV Equity,OMV AV Equity,OMV AV Equity,OMV AV Equity,OMV AV Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,15.6,15.911,15.501,15.911,254373.0
2010-01-02,15.6,15.911,15.501,15.911,254373.0
2010-01-03,15.6,15.911,15.501,15.911,254373.0
2010-01-04,15.937,16.325,15.921,16.201,593295.0
2010-01-05,16.299,16.533,16.17,16.356,560511.0
2010-01-06,16.299,16.533,16.17,16.356,560511.0
2010-01-07,16.356,16.818,16.087,16.517,1042361.0
2010-01-08,16.59,16.89,16.128,16.216,681897.0
2010-01-09,16.59,16.89,16.128,16.216,681897.0
2010-01-10,16.59,16.89,16.128,16.216,681897.0
2010-01-11,16.299,16.911,16.299,16.911,621487.0
2010-01-12,16.947,16.968,16.279,16.304,1058360.0
2010-01-13,16.222,16.553,16.123,16.393,533802.0
2010-01-14,16.346,16.501,16.258,16.465,468456.0
2010-01-15,16.377,16.59,16.299,16.429,619143.0
2010-01-16,16.377,16.59,16.299,16.429,619143.0
2010-01-17,16.377,16.59,16.299,16.429,619143.0
2010-01-18,16.429,16.672,16.351,16.465,295263.0
2010-01-19,16.429,16.584,16.201,16.491,334970.0
2010-01-20,16.46,16.584,16.206,16.382,382360.0
2010-01-21,16.455,16.512,15.392,15.76,572430.0
2010-01-22,15.729,15.745,15.133,15.32,684335.0
2010-01-23,15.729,15.745,15.133,15.32,684335.0
2010-01-24,15.729,15.745,15.133,15.32,684335.0
2010-01-25,15.081,15.418,15.04,15.273,409641.0
2010-01-26,15.081,15.107,14.781,15.097,434357.0
2010-01-27,15.03,15.444,14.9,14.978,540037.0
2010-01-28,15.232,15.309,14.926,14.936,421628.0
2010-01-29,15.03,15.118,14.641,14.822,763730.0
2010-01-30,15.03,15.118,14.641,14.822,763730.0
2010-01-31,15.03,15.118,14.641,14.822,763730.0
2010-02-01,15.004,15.211,14.802,15.097,471718.0
2010-02-02,15.097,15.232,14.941,15.035,615055.0
2010-02-03,15.092,15.651,15.081,15.506,885612.0
2010-02-04,15.569,15.584,15.102,15.169,582437.0
2010-02-05,15.237,15.237,14.392,14.62,858112.0
2010-02-06,15.237,15.237,14.392,14.62,858112.0
2010-02-07,15.237,15.237,14.392,14.62,858112.0
2010-02-08,14.646,14.874,14.055,14.465,571985.0
2010-02-09,14.501,14.563,14.304,14.449,556545.0
2010-02-10,14.563,14.77,14.459,14.553,497129.0
2010-02-11,14.605,14.817,14.459,14.641,596679.0
2010-02-12,14.729,14.817,14.2,14.387,612623.0
2010-02-13,14.729,14.817,14.2,14.387,612623.0
2010-02-14,14.729,14.817,14.2,14.387,612623.0
2010-02-15,14.387,14.434,14.242,14.423,346744.0
2010-02-16,14.589,14.796,14.496,14.739,353244.0
2010-02-17,14.895,15.03,14.796,14.936,312137.0
2010-02-18,14.973,15.055,14.91,15.055,368008.0
2010-02-19,14.916,15.195,14.838,15.195,237327.0
2010-02-20,14.916,15.195,14.838,15.195,237327.0
2010-02-21,14.916,15.195,14.838,15.195,237327.0
2010-02-22,15.289,15.289,15.03,15.185,275554.0
2010-02-23,15.284,15.48,15.185,15.366,722783.0
2010-02-24,15.289,15.361,15.138,15.195,504623.0
2010-02-25,15.081,15.081,14.485,14.61,966845.0
2010-02-26,14.62,14.693,13.734,14.097,1237474.0
2010-02-27,14.62,14.693,13.734,14.097,1237474.0
2010-02-28,14.62,14.693,13.734,14.097,1237474.0
2010-03-01,14.252,14.356,14.019,14.159,593184.0
