,TYRES FH Equity,TYRES FH Equity,TYRES FH Equity,TYRES FH Equity,TYRES FH Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,9.2467,9.2957,9.2031,9.2576,289433.0
2010-01-02,9.2467,9.2957,9.2031,9.2576,289433.0
2010-01-03,9.2467,9.2957,9.2031,9.2576,289433.0
2010-01-04,9.263,9.7695,9.263,9.617,700636.0
2010-01-05,9.6769,9.8457,9.5462,9.7913,703951.0
2010-01-06,9.6769,9.8457,9.5462,9.7913,703951.0
2010-01-07,9.6551,9.7422,9.4809,9.5244,1003037.0
2010-01-08,9.5462,9.6442,9.4591,9.5571,660944.0
2010-01-09,9.5462,9.6442,9.4591,9.5571,660944.0
2010-01-10,9.5462,9.6442,9.4591,9.5571,660944.0
2010-01-11,9.568,9.7586,9.5571,9.5898,763426.0
2010-01-12,9.6388,9.6823,9.4863,9.5843,1085073.0
2010-01-13,9.5299,9.9927,9.5299,9.813,767184.0
2010-01-14,9.8729,10.0472,9.8729,9.9819,694027.0
2010-01-15,10.0744,10.1833,9.9165,9.9383,894620.0
2010-01-16,10.0744,10.1833,9.9165,9.9383,894620.0
2010-01-17,10.0744,10.1833,9.9165,9.9383,894620.0
2010-01-18,10.0254,10.1343,10.0036,10.0744,305325.0
2010-01-19,10.069,10.0799,9.8729,9.9437,531037.0
2010-01-20,9.971,10.1561,9.8729,9.9056,639332.0
2010-01-21,10.0254,10.1833,9.666,9.8021,714533.0
2010-01-22,9.8021,9.9601,9.6932,9.7967,669600.0
2010-01-23,9.8021,9.9601,9.6932,9.7967,669600.0
2010-01-24,9.8021,9.9601,9.6932,9.7967,669600.0
2010-01-25,9.7422,9.8185,9.4754,9.5408,682411.0
2010-01-26,9.4754,9.5734,9.2249,9.3011,1037183.0
2010-01-27,9.2685,9.7804,9.1541,9.6061,975151.0
2010-01-28,9.6987,9.9492,9.4645,9.5462,739661.0
2010-01-29,9.5789,9.7096,9.3665,9.5516,508795.0
2010-01-30,9.5789,9.7096,9.3665,9.5516,508795.0
2010-01-31,9.5789,9.7096,9.3665,9.5516,508795.0
2010-02-01,9.5734,9.7913,9.5734,9.7586,657856.0
2010-02-02,9.7749,9.7749,9.5789,9.6279,428946.0
2010-02-03,9.715,9.7586,9.6224,9.7205,471997.0
2010-02-04,9.7477,9.7477,9.2794,9.3447,466284.0
2010-02-05,9.3066,9.312,8.8056,9.0615,1397367.0
2010-02-06,9.3066,9.312,8.8056,9.0615,1397367.0
2010-02-07,9.3066,9.312,8.8056,9.0615,1397367.0
2010-02-08,9.0398,9.1596,8.7511,8.8709,567529.0
2010-02-09,8.8655,8.9308,8.6531,8.6858,845199.0
2010-02-10,8.713,9.1214,8.713,8.9145,1065773.0
2010-02-11,9.1487,9.3447,8.8056,9.0071,2871507.0
2010-02-12,9.1432,9.2957,8.9853,9.1487,2068876.0
2010-02-13,9.1432,9.2957,8.9853,9.1487,2068876.0
2010-02-14,9.1432,9.2957,8.9853,9.1487,2068876.0
2010-02-15,9.312,9.3611,9.0997,9.2412,676088.0
2010-02-16,9.3066,9.6606,9.3066,9.6606,880172.0
2010-02-17,9.7041,9.8348,9.7041,9.8185,918784.0
2010-02-18,9.8457,10.0581,9.7531,9.9819,1211880.0
2010-02-19,9.8729,10.265,9.813,10.2269,1167179.0
2010-02-20,9.8729,10.265,9.813,10.2269,1167179.0
2010-02-21,9.8729,10.265,9.813,10.2269,1167179.0
2010-02-22,10.2596,10.314,10.1725,10.1725,460933.0
2010-02-23,10.265,10.3685,10.0254,10.0962,546793.0
2010-02-24,10.1833,10.1833,9.9383,10.0036,680995.0
2010-02-25,10.0036,10.1017,9.8348,9.9328,1102664.0
2010-02-26,9.9492,10.1289,9.9492,10.0363,709732.0
2010-02-27,9.9492,10.1289,9.9492,10.0363,709732.0
2010-02-28,9.9492,10.1289,9.9492,10.0363,709732.0
2010-03-01,10.1017,10.3739,10.0526,10.3413,553005.0
2010-03-02,10.2923,10.5373,10.2705,10.4284,798583.0
2010-03-03,10.3957,10.4937,10.3249,10.4012,815178.0
2010-03-04,10.4012,10.5809,10.3848,10.5155,715260.0
2010-03-05,10.5319,10.973,10.5155,10.8804,1135943.0
2010-03-06,10.5319,10.973,10.5155,10.8804,1135943.0
2010-03-07,10.5319,10.973,10.5155,10.8804,1135943.0
2010-03-08,10.8368,10.8913,10.4393,10.5645,1202516.0
2010-03-09,10.5645,10.619,10.4175,10.5536,871816.0
2010-03-10,10.5972,10.6626,10.4284,10.6626,778001.0
2010-03-11,10.6299,10.7551,10.6081,10.7334,472235.0
2010-03-12,10.7442,10.8749,10.7061,10.8368,548296.0
2010-03-13,10.7442,10.8749,10.7061,10.8368,548296.0
2010-03-14,10.7442,10.8749,10.7061,10.8368,548296.0
2010-03-15,10.7878,10.8205,10.5482,10.619,328213.0
2010-03-16,10.6244,10.7334,10.5591,10.6081,637587.0
