,HD US Equity
,BEST_SALES
2019-01-01,142339.0
2019-01-02,142339.0
2019-01-03,142339.0
2019-01-04,142339.0
2019-01-05,142339.0
2019-01-06,142339.0
2019-01-07,142339.0
2019-01-08,142339.0
2019-01-09,142339.0
2019-01-10,142339.0
2019-01-11,142339.0
2019-01-12,142339.0
2019-01-13,142339.0
2019-01-14,142339.0
2019-01-15,142339.0
2019-01-16,142339.0
2019-01-17,142339.0
2019-01-18,142339.0
2019-01-19,142339.0
2019-01-20,142339.0
2019-01-21,142339.0
2019-01-22,142339.0
2019-01-23,142339.0
2019-01-24,142339.0
2019-01-25,142339.0
2019-01-26,142339.0
2019-01-27,142339.0
2019-01-28,142339.0
2019-01-29,142339.0
2019-01-30,142339.0
2019-01-31,142339.0
2019-02-01,142339.0
2019-02-02,142339.0
2019-02-03,142339.0
2019-02-04,142339.0
2019-02-05,142339.0
2019-02-06,142339.0
2019-02-07,142339.0
2019-02-08,142339.0
2019-02-09,142339.0
2019-02-10,142339.0
2019-02-11,142339.0
2019-02-12,142339.0
2019-02-13,142339.0
2019-02-14,142339.0
2019-02-15,142339.0
2019-02-16,142339.0
2019-02-17,142339.0
2019-02-18,142339.0
2019-02-19,142339.0
2019-02-20,142339.0
2019-02-21,142339.0
2019-02-22,142339.0
2019-02-23,142339.0
2019-02-24,142339.0
2019-02-25,142339.0
2019-02-26,137477.0
2019-02-27,137477.0
2019-02-28,137477.0
2019-03-01,137477.0
2019-03-02,137477.0
2019-03-03,137477.0
2019-03-04,137477.0
2019-03-05,137477.0
2019-03-06,137477.0
2019-03-07,137477.0
2019-03-08,137477.0
2019-03-09,137477.0
2019-03-10,137477.0
2019-03-11,137477.0
2019-03-12,137477.0
2019-03-13,137477.0
2019-03-14,137477.0
2019-03-15,137477.0
2019-03-16,137477.0
2019-03-17,137477.0
2019-03-18,137477.0
2019-03-19,137477.0
2019-03-20,137477.0
2019-03-21,137477.0
2019-03-22,137477.0
2019-03-23,137477.0
2019-03-24,137477.0
2019-03-25,137477.0
2019-03-26,137477.0
2019-03-27,137477.0
2019-03-28,137477.0
2019-03-29,137477.0
2019-03-30,137477.0
2019-03-31,137477.0
2019-04-01,137477.0
2019-04-02,137477.0
2019-04-03,137477.0
2019-04-04,137477.0
2019-04-05,137477.0
2019-04-06,137477.0
2019-04-07,137477.0
2019-04-08,137477.0
2019-04-09,137477.0
2019-04-10,137477.0
2019-04-11,137477.0
2019-04-12,137477.0
2019-04-13,137477.0
2019-04-14,137477.0
2019-04-15,137477.0
2019-04-16,137477.0
2019-04-17,137477.0
2019-04-18,137477.0
2019-04-19,137477.0
2019-04-20,137477.0
2019-04-21,137477.0
2019-04-22,137477.0
2019-04-23,137477.0
2019-04-24,137477.0
2019-04-25,137477.0
2019-04-26,137477.0
2019-04-27,137477.0
2019-04-28,137477.0
2019-04-29,137477.0
2019-04-30,137477.0
2019-05-01,137477.0
2019-05-02,137477.0
2019-05-03,137477.0
2019-05-04,137477.0
2019-05-05,137477.0
2019-05-06,137477.0
2019-05-07,137477.0
2019-05-08,137477.0
2019-05-09,137477.0
2019-05-10,137477.0
2019-05-11,137477.0
2019-05-12,137477.0
2019-05-13,137477.0
2019-05-14,137477.0
2019-05-15,137477.0
2019-05-16,137477.0
2019-05-17,137477.0
2019-05-18,137477.0
2019-05-19,137477.0
2019-05-20,137477.0
2019-05-21,137477.0
2019-05-22,137477.0
2019-05-23,137477.0
2019-05-24,137477.0
2019-05-25,137477.0
2019-05-26,137477.0
2019-05-27,137477.0
2019-05-28,137477.0
2019-05-29,137477.0
2019-05-30,137477.0
2019-05-31,137477.0
2019-06-01,137477.0
2019-06-02,137477.0
2019-06-03,137477.0
2019-06-04,137477.0
2019-06-05,137477.0
2019-06-06,137477.0
2019-06-07,137477.0
2019-06-08,137477.0
2019-06-09,137477.0
2019-06-10,137477.0
2019-06-11,137477.0
2019-06-12,137477.0
2019-06-13,137477.0
2019-06-14,137477.0
2019-06-15,137477.0
2019-06-16,137477.0
2019-06-17,137477.0
2019-06-18,137477.0
2019-06-19,137477.0
2019-06-20,137477.0
2019-06-21,137477.0
2019-06-22,137477.0
2019-06-23,137477.0
2019-06-24,137477.0
2019-06-25,137477.0
2019-06-26,137477.0
2019-06-27,137477.0
