,LOW US Equity
,BEST_SALES
2019-01-01,80671.0
2019-01-02,80671.0
2019-01-03,80671.0
2019-01-04,80671.0
2019-01-05,80671.0
2019-01-06,80671.0
2019-01-07,80671.0
2019-01-08,80671.0
2019-01-09,80671.0
2019-01-10,80671.0
2019-01-11,80671.0
2019-01-12,80671.0
2019-01-13,80671.0
2019-01-14,80671.0
2019-01-15,80671.0
2019-01-16,80671.0
2019-01-17,80671.0
2019-01-18,80671.0
2019-01-19,80671.0
2019-01-20,80671.0
2019-01-21,80671.0
2019-01-22,80671.0
2019-01-23,80671.0
2019-01-24,80671.0
2019-01-25,80671.0
2019-01-26,80671.0
2019-01-27,80671.0
2019-01-28,80671.0
2019-01-29,80671.0
2019-01-30,80671.0
2019-01-31,80671.0
2019-02-01,80671.0
2019-02-02,80671.0
2019-02-03,80671.0
2019-02-04,80671.0
2019-02-05,80671.0
2019-02-06,80671.0
2019-02-07,80671.0
2019-02-08,80671.0
2019-02-09,80671.0
2019-02-10,80671.0
2019-02-11,80671.0
2019-02-12,80671.0
2019-02-13,80671.0
2019-02-14,80671.0
2019-02-15,80671.0
2019-02-16,80671.0
2019-02-17,80671.0
2019-02-18,80671.0
2019-02-19,80671.0
2019-02-20,80671.0
2019-02-21,80671.0
2019-02-22,80671.0
2019-02-23,80671.0
2019-02-24,80671.0
2019-02-25,80671.0
2019-02-26,80671.0
2019-02-27,80671.0
2019-02-28,80671.0
2019-03-01,80671.0
2019-03-02,80671.0
2019-03-03,80671.0
2019-03-04,80671.0
2019-03-05,80671.0
2019-03-06,80671.0
2019-03-07,80671.0
2019-03-08,80671.0
2019-03-09,80671.0
2019-03-10,80671.0
2019-03-11,80671.0
2019-03-12,80671.0
2019-03-13,80671.0
2019-03-14,80671.0
2019-03-15,80671.0
2019-03-16,80671.0
2019-03-17,80671.0
2019-03-18,80671.0
2019-03-19,80671.0
2019-03-20,80671.0
2019-03-21,80671.0
2019-03-22,80671.0
2019-03-23,80671.0
2019-03-24,80671.0
2019-03-25,80671.0
2019-03-26,80671.0
2019-03-27,80671.0
2019-03-28,80671.0
2019-03-29,80671.0
2019-03-30,80671.0
2019-03-31,80671.0
2019-04-01,80671.0
2019-04-02,80671.0
2019-04-03,80671.0
2019-04-04,80671.0
2019-04-05,80671.0
2019-04-06,80671.0
2019-04-07,80671.0
2019-04-08,80671.0
2019-04-09,80671.0
2019-04-10,80671.0
2019-04-11,80671.0
2019-04-12,80671.0
2019-04-13,80671.0
2019-04-14,80671.0
2019-04-15,80671.0
2019-04-16,80671.0
2019-04-17,80671.0
2019-04-18,80671.0
2019-04-19,80671.0
2019-04-20,80671.0
2019-04-21,80671.0
2019-04-22,80671.0
2019-04-23,80671.0
2019-04-24,80671.0
2019-04-25,80671.0
2019-04-26,80671.0
2019-04-27,80671.0
2019-04-28,80671.0
2019-04-29,80671.0
2019-04-30,80671.0
2019-05-01,80671.0
2019-05-02,80671.0
2019-05-03,80671.0
2019-05-04,80671.0
