,GTII CN Equity
,RSI_30D
2020-01-01,57.2788
2020-01-02,54.1563
2020-01-03,52.2993
2020-01-04,52.2993
2020-01-05,52.2993
2020-01-06,52.743
2020-01-07,50.5798
2020-01-08,53.2572
2020-01-09,54.4854
2020-01-10,55.326
2020-01-11,55.326
2020-01-12,55.326
2020-01-13,55.7488
2020-01-14,56.3658
2020-01-15,58.5285
2020-01-16,58.401
2020-01-17,59.5843
2020-01-18,59.5843
2020-01-19,59.5843
2020-01-20,58.201
2020-01-21,56.9633
2020-01-22,57.5046
2020-01-23,58.63
2020-01-24,56.0273
2020-01-25,56.0273
2020-01-26,56.0273
2020-01-27,56.4884
2020-01-28,53.8902
2020-01-29,55.2218
2020-01-30,52.7627
2020-01-31,52.9849
2020-02-01,52.9849
2020-02-02,52.9849
2020-02-03,50.7033
2020-02-04,48.7659
2020-02-05,47.293
2020-02-06,46.0748
2020-02-07,43.8445
2020-02-08,43.8445
2020-02-09,43.8445
2020-02-10,43.5847
2020-02-11,43.9284
2020-02-12,44.1397
2020-02-13,48.8572
2020-02-14,49.9051
2020-02-15,49.9051
2020-02-16,49.9051
2020-02-17,49.9051
2020-02-18,49.4122
2020-02-19,48.7891
2020-02-20,48.4102
2020-02-21,45.8328
2020-02-22,45.8328
2020-02-23,45.8328
2020-02-24,42.9069
2020-02-25,41.0808
2020-02-26,38.2875
2020-02-27,36.3061
2020-02-28,37.0549
2020-02-29,37.0549
2020-03-01,37.0549
2020-03-02,34.9708
2020-03-03,32.1112
2020-03-04,36.8148
2020-03-05,40.0689
2020-03-06,38.0421
2020-03-07,38.0421
2020-03-08,38.0421
2020-03-09,33.8922
2020-03-10,34.4611
2020-03-11,31.6153
2020-03-12,28.3903
2020-03-13,30.0972
2020-03-14,30.0972
2020-03-15,30.0972
2020-03-16,29.2974
2020-03-17,35.4772
2020-03-18,34.6362
2020-03-19,35.4549
2020-03-20,35.5662
2020-03-21,35.5662
2020-03-22,35.5662
2020-03-23,38.4224
2020-03-24,43.7771
2020-03-25,45.7212
2020-03-26,48.1784
2020-03-27,46.2773
2020-03-28,46.2773
2020-03-29,46.2773
2020-03-30,45.171
2020-03-31,44.2589
2020-04-01,42.484
2020-04-02,44.731
2020-04-03,44.1484
2020-04-04,44.1484
2020-04-05,44.1484
2020-04-06,45.1189
2020-04-07,44.736
2020-04-08,44.1545
2020-04-09,44.2045
2020-04-10,44.2045
2020-04-11,44.2045
2020-04-12,44.2045
2020-04-13,43.2037
2020-04-14,43.9908
2020-04-15,44.0442
2020-04-16,43.5709
2020-04-17,43.9673
2020-04-18,43.9673
2020-04-19,43.9673
2020-04-20,46.7852
2020-04-21,47.5871
2020-04-22,50.47
2020-04-23,53.8026
2020-04-24,54.2955
2020-04-25,54.2955
2020-04-26,54.2955
2020-04-27,56.0166
2020-04-28,54.2291
2020-04-29,54.5473
2020-04-30,54.3797
2020-05-01,52.2745
2020-05-02,52.2745
2020-05-03,52.2745
2020-05-04,51.568
2020-05-05,54.5038
2020-05-06,54.3335
2020-05-07,52.4128
2020-05-08,53.4149
2020-05-09,53.4149
2020-05-10,53.4149
2020-05-11,55.2664
2020-05-12,55.4592
2020-05-13,55.9015
2020-05-14,58.991
2020-05-15,66.07
2020-05-16,66.07
2020-05-17,66.07
2020-05-18,66.07
2020-05-19,66.386
2020-05-20,64.1014
2020-05-21,64.6792
2020-05-22,66.701
2020-05-23,66.701
2020-05-24,66.701
2020-05-25,66.7645
2020-05-26,66.7645
2020-05-27,66.8321
2020-05-28,66.0668
2020-05-29,68.2229
2020-05-30,68.2229
2020-05-31,68.2229
2020-06-01,68.1518
2020-06-02,68.0051
2020-06-03,68.2875
2020-06-04,66.027
2020-06-05,65.7269
2020-06-06,65.7269
2020-06-07,65.7269
2020-06-08,65.9272
2020-06-09,64.4469
2020-06-10,62.9839
2020-06-11,55.6882
2020-06-12,56.1835
2020-06-13,56.1835
2020-06-14,56.1835
2020-06-15,60.8873
2020-06-16,60.929
2020-06-17,61.5652
2020-06-18,62.2436
2020-06-19,61.4719
2020-06-20,61.4719
2020-06-21,61.4719
2020-06-22,62.3069
2020-06-23,63.3028
2020-06-24,60.6366
2020-06-25,60.6829
2020-06-26,59.8814
2020-06-27,59.8814
2020-06-28,59.8814
2020-06-29,56.9125
2020-06-30,58.2878
2020-07-01,58.2878
2020-07-02,58.3388
2020-07-03,56.5523
2020-07-04,56.5523
2020-07-05,56.5523
2020-07-06,57.938
2020-07-07,58.9792
2020-07-08,60.0034
2020-07-09,59.8488
2020-07-10,66.3126
2020-07-11,66.3126
2020-07-12,66.3126
2020-07-13,66.5448
2020-07-14,67.3213
2020-07-15,66.1304
2020-07-16,64.5552
2020-07-17,63.3838
2020-07-18,63.3838
2020-07-19,63.3838
2020-07-20,65.3359
2020-07-21,68.2181
2020-07-22,69.5625
2020-07-23,67.8437
2020-07-24,66.6055
2020-07-25,66.6055
2020-07-26,66.6055
2020-07-27,69.0861
2020-07-28,71.292
2020-07-29,72.5438
2020-07-30,72.3883
2020-07-31,71.5946
2020-08-01,71.5946
2020-08-02,71.5946
2020-08-03,71.5946
2020-08-04,73.1192
2020-08-05,72.5552
2020-08-06,74.7432
2020-08-07,74.5007
2020-08-08,74.5007
2020-08-09,74.5007
2020-08-10,76.6915
2020-08-11,71.0529
2020-08-12,72.4764
2020-08-13,74.1281
2020-08-14,76.0987
2020-08-15,76.0987
2020-08-16,76.0987
2020-08-17,73.6412
2020-08-18,67.9067
2020-08-19,64.212
2020-08-20,61.9069
2020-08-21,59.74
2020-08-22,59.74
2020-08-23,59.74
2020-08-24,62.3982
2020-08-25,60.877
2020-08-26,59.1369
2020-08-27,60.9513
2020-08-28,63.3107
2020-08-29,63.3107
2020-08-30,63.3107
2020-08-31,62.953
2020-09-01,60.1888
2020-09-02,55.5549
2020-09-03,53.9386
2020-09-04,54.0478
2020-09-05,54.0478
2020-09-06,54.0478
2020-09-07,54.0478
2020-09-08,52.7963
2020-09-09,53.7513
2020-09-10,52.1787
2020-09-11,54.1818
2020-09-12,54.1818
2020-09-13,54.1818
2020-09-14,53.6896
2020-09-15,52.3482
2020-09-16,55.2404
2020-09-17,55.9049
2020-09-18,55.5259
2020-09-19,55.5259
2020-09-20,55.5259
2020-09-21,52.7513
2020-09-22,53.1549
2020-09-23,50.2677
2020-09-24,46.4529
2020-09-25,46.8918
2020-09-26,46.8918
2020-09-27,46.8918
2020-09-28,48.8018
2020-09-29,49.6951
2020-09-30,49.6951
2020-10-01,49.6509
2020-10-02,49.927
2020-10-03,49.927
2020-10-04,49.927
2020-10-05,51.9704
2020-10-06,51.9704
2020-10-07,54.3621
2020-10-08,60.9228
2020-10-09,61.2503
2020-10-10,61.2503
2020-10-11,61.2503
2020-10-12,61.2503
2020-10-13,63.763
2020-10-14,61.794
2020-10-15,61.4325
2020-10-16,62.8149
2020-10-17,62.8149
2020-10-18,62.8149
2020-10-19,62.599
2020-10-20,64.0376
2020-10-21,64.6933
2020-10-22,65.888
2020-10-23,65.5351
2020-10-24,65.5351
2020-10-25,65.5351
2020-10-26,62.203
2020-10-27,59.5049
2020-10-28,55.5655
2020-10-29,58.8476
2020-10-30,58.7014
2020-10-31,58.7014
2020-11-01,58.7014
2020-11-02,62.6399
2020-11-03,63.5748
2020-11-04,66.5512
2020-11-05,69.2672
2020-11-06,71.3592
2020-11-07,71.3592
2020-11-08,71.3592
2020-11-09,71.8936
2020-11-10,73.1232
2020-11-11,73.0716
2020-11-12,73.1305
2020-11-13,73.4312
2020-11-14,73.4312
2020-11-15,73.4312
2020-11-16,71.0193
2020-11-17,69.5687
2020-11-18,68.6553
2020-11-19,68.2193
2020-11-20,62.0996
2020-11-21,62.0996
2020-11-22,62.0996
2020-11-23,61.7652
2020-11-24,64.1874
2020-11-25,67.104
2020-11-26,68.1765
2020-11-27,68.839
2020-11-28,68.839
2020-11-29,68.839
2020-11-30,69.6065
2020-12-01,69.855
2020-12-02,69.2691
2020-12-03,65.645
2020-12-04,67.1924
2020-12-05,67.1924
2020-12-06,67.1924
2020-12-07,67.2674
2020-12-08,67.3189
2020-12-09,67.2641
2020-12-10,67.1511
2020-12-11,68.2281
2020-12-12,68.2281
2020-12-13,68.2281
2020-12-14,67.2341
2020-12-15,68.8366
2020-12-16,70.3619
2020-12-17,71.4404
2020-12-18,72.2476
2020-12-19,72.2476
2020-12-20,72.2476
2020-12-21,71.3881
2020-12-22,73.0913
2020-12-23,73.5882
2020-12-24,74.6239
2020-12-25,74.6239
2020-12-26,74.6239
2020-12-27,74.6239
2020-12-28,74.6239
2020-12-29,73.6074
2020-12-30,71.2238
2020-12-31,73.0307
2021-01-01,73.0307
2021-01-02,73.0307
2021-01-03,73.0307
2021-01-04,74.388
2021-01-05,74.811
2021-01-06,79.0224
2021-01-07,80.2575
2021-01-08,77.4816
2021-01-09,77.4816
2021-01-10,77.4816
2021-01-11,80.8988
2021-01-12,79.7471
2021-01-13,81.0002
2021-01-14,80.5
2021-01-15,71.3386
2021-01-16,71.3386
2021-01-17,71.3386
2021-01-18,72.3273
2021-01-19,72.8046
2021-01-20,73.3747
2021-01-21,74.7439
2021-01-22,76.2066
2021-01-23,76.2066
2021-01-24,76.2066
2021-01-25,69.8491
2021-01-26,57.8693
2021-01-27,54.2623
2021-01-28,60.6579
2021-01-29,62.3976
2021-01-30,62.3976
2021-01-31,62.3976
2021-02-01,64.5836
2021-02-02,67.6096
2021-02-03,67.5599
2021-02-04,69.3564
2021-02-05,68.5153
2021-02-06,68.5153
2021-02-07,68.5153
2021-02-08,69.6239
2021-02-09,72.0133
2021-02-10,75.0214
2021-02-11,69.714
2021-02-12,69.3136
2021-02-13,69.3136
2021-02-14,69.3136
2021-02-15,69.3136
2021-02-16,69.5747
2021-02-17,67.9413
2021-02-18,65.4559
2021-02-19,67.2533
2021-02-20,67.2533
2021-02-21,67.2533
2021-02-22,63.5962
2021-02-23,62.1133
2021-02-24,61.4232
2021-02-25,57.2435
2021-02-26,57.3131
2021-02-27,57.3131
2021-02-28,57.3131
2021-03-01,58.6492
2021-03-02,61.722
2021-03-03,62.1499
2021-03-04,54.9913
2021-03-05,54.5787
2021-03-06,54.5787
2021-03-07,54.5787
2021-03-08,50.0701
2021-03-09,52.2241
2021-03-10,51.1352
2021-03-11,54.1303
2021-03-12,56.1916
2021-03-13,56.1916
2021-03-14,56.1916
2021-03-15,57.7081
2021-03-16,56.9743
2021-03-17,57.7919
2021-03-18,57.3043
2021-03-19,56.1219
2021-03-20,56.1219
2021-03-21,56.1219
2021-03-22,54.8345
2021-03-23,49.4816
2021-03-24,50.5626
2021-03-25,49.1038
2021-03-26,48.9606
2021-03-27,48.9606
2021-03-28,48.9606
2021-03-29,45.6536
2021-03-30,41.02
2021-03-31,48.1356
2021-04-01,47.0923
2021-04-02,47.0923
2021-04-03,47.0923
2021-04-04,47.0923
2021-04-05,47.3024
2021-04-06,45.3915
2021-04-07,44.8543
2021-04-08,44.1527
2021-04-09,46.4537
2021-04-10,46.4537
2021-04-11,46.4537
2021-04-12,46.9146
2021-04-13,48.1732
2021-04-14,48.3421
2021-04-15,48.2878
2021-04-16,46.2467
2021-04-17,46.2467
2021-04-18,46.2467
2021-04-19,44.8032
2021-04-20,44.5975
2021-04-21,46.9745
2021-04-22,46.3344
2021-04-23,46.3344
2021-04-24,46.3344
2021-04-25,46.3344
2021-04-26,46.9109
2021-04-27,49.7056
2021-04-28,50.461
2021-04-29,48.9252
2021-04-30,52.6311
2021-05-01,52.6311
2021-05-02,52.6311
2021-05-03,52.0592
2021-05-04,50.977
2021-05-05,52.1424
2021-05-06,50.4817
2021-05-07,51.03
2021-05-08,51.03
2021-05-09,51.03
2021-05-10,47.7193
2021-05-11,48.4858
2021-05-12,47.4747
2021-05-13,45.5397
2021-05-14,47.6616
2021-05-15,47.6616
2021-05-16,47.6616
2021-05-17,47.2352
2021-05-18,46.6492
2021-05-19,44.0599
2021-05-20,43.9294
2021-05-21,44.3273
2021-05-22,44.3273
2021-05-23,44.3273
2021-05-24,44.3273
2021-05-25,47.6749
2021-05-26,48.8741
2021-05-27,49.2403
2021-05-28,48.6057
2021-05-29,48.6057
2021-05-30,48.6057
2021-05-31,49.4616
2021-06-01,49.317
2021-06-02,49.5838
2021-06-03,49.3725
2021-06-04,49.2935
2021-06-05,49.2935
2021-06-06,49.2935
2021-06-07,50.1802
2021-06-08,49.2276
2021-06-09,46.9619
2021-06-10,48.5656
2021-06-11,50.6515
2021-06-12,50.6515
2021-06-13,50.6515
2021-06-14,51.0825
2021-06-15,49.3829
2021-06-16,50.0491
