,NTB BH Equity,NTB BH Equity,NTB BH Equity,NTB BH Equity,NTB BH Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,17.673,18.138,17.673,18.138,76.0
2010-01-02,17.673,18.138,17.673,18.138,76.0
2010-01-03,17.673,18.138,17.673,18.138,76.0
2010-01-04,18.138,18.138,17.441,17.441,1840.0
2010-01-05,17.441,17.441,17.441,17.441,687.0
2010-01-06,17.441,17.441,17.441,17.441,3683.0
2010-01-07,17.441,17.441,17.441,17.441,3721.0
2010-01-08,17.441,17.673,17.441,17.441,2056.0
2010-01-09,17.441,17.673,17.441,17.441,2056.0
2010-01-10,17.441,17.673,17.441,17.441,2056.0
2010-01-11,17.441,17.441,17.441,17.441,4957.0
2010-01-12,17.441,17.441,17.441,17.441,975.0
2010-01-13,17.441,17.673,17.441,17.441,2815.0
2010-01-14,17.441,17.441,17.441,17.441,343.0
2010-01-15,17.208,17.208,16.278,16.278,1099.0
2010-01-16,17.208,17.208,16.278,16.278,1099.0
2010-01-17,17.208,17.208,16.278,16.278,1099.0
2010-01-18,17.441,17.441,17.441,17.441,27.0
2010-01-19,16.743,16.743,16.278,16.278,2211.0
2010-01-20,16.511,16.511,16.278,16.278,2966.0
2010-01-21,16.976,16.976,16.976,16.976,27.0
2010-01-22,15.813,16.278,15.813,16.278,6648.0
2010-01-23,15.813,16.278,15.813,16.278,6648.0
2010-01-24,15.813,16.278,15.813,16.278,6648.0
2010-01-25,16.278,16.278,15.813,15.813,4230.0
2010-01-26,16.278,16.278,15.813,15.813,1332.0
2010-01-27,15.813,16.278,15.813,16.278,5122.0
2010-01-28,15.813,16.278,15.813,16.278,5122.0
2010-01-29,16.045,16.278,15.813,15.813,426.0
2010-01-30,16.045,16.278,15.813,15.813,426.0
2010-01-31,16.045,16.278,15.813,15.813,426.0
2010-02-01,16.045,16.045,16.045,16.045,536.0
2010-02-02,16.045,16.045,15.813,15.813,687.0
2010-02-03,15.813,15.813,15.813,15.813,2348.0
2010-02-04,15.58,15.813,15.348,15.348,2392.0
2010-02-05,15.58,15.58,15.115,15.58,1232.0
2010-02-06,15.58,15.58,15.115,15.58,1232.0
2010-02-07,15.58,15.58,15.115,15.58,1232.0
2010-02-08,15.58,15.58,15.348,15.58,280.0
2010-02-09,15.58,15.58,15.58,15.58,1799.0
2010-02-10,15.813,15.813,15.813,15.813,3076.0
2010-02-11,15.813,15.813,15.813,15.813,590.0
2010-02-12,15.813,15.813,15.813,15.813,14.0
2010-02-13,15.813,15.813,15.813,15.813,14.0
2010-02-14,15.813,15.813,15.813,15.813,14.0
2010-02-15,15.813,15.813,15.813,15.813,2280.0
2010-02-16,15.813,15.813,15.813,15.813,2280.0
2010-02-17,15.813,15.813,14.883,15.348,16276.0
2010-02-18,15.813,15.813,14.883,15.348,16276.0
2010-02-19,15.115,15.115,13.953,13.953,770.0
2010-02-20,15.115,15.115,13.953,13.953,770.0
2010-02-21,15.115,15.115,13.953,13.953,770.0
2010-02-22,14.418,14.418,13.255,13.255,4024.0
2010-02-23,13.487,13.487,12.79,12.79,8102.0
2010-02-24,13.255,13.255,12.79,12.79,5831.0
2010-02-25,13.255,13.487,13.255,13.487,1057.0
