,BSMXB MM Equity,BSMXB MM Equity,BSMXB MM Equity,BSMXB MM Equity,BSMXB MM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,7.737,7.737,7.737,7.737,200.0
2010-01-02,7.737,7.737,7.737,7.737,200.0
2010-01-03,7.737,7.737,7.737,7.737,200.0
2010-01-04,7.737,7.737,7.737,7.737,200.0
2010-01-05,7.737,7.737,7.737,7.737,200.0
2010-01-06,7.562,7.562,7.562,7.562,2300.0
2010-01-07,7.562,7.562,7.562,7.562,2300.0
2010-01-08,7.853,7.853,7.853,7.853,200.0
2010-01-09,7.853,7.853,7.853,7.853,200.0
2010-01-10,7.853,7.853,7.853,7.853,200.0
2010-01-11,7.853,7.853,7.853,7.853,200.0
2010-01-12,7.853,7.853,7.853,7.853,200.0
2010-01-13,7.853,7.853,7.853,7.853,200.0
2010-01-14,7.853,7.853,7.853,7.853,200.0
2010-01-15,7.853,7.853,7.853,7.853,200.0
2010-01-16,7.853,7.853,7.853,7.853,200.0
2010-01-17,7.853,7.853,7.853,7.853,200.0
2010-01-18,7.853,7.853,7.853,7.853,200.0
2010-01-19,7.853,7.853,7.853,7.853,200.0
2010-01-20,7.853,7.853,7.853,7.853,200.0
2010-01-21,7.853,7.853,7.853,7.853,200.0
2010-01-22,7.853,7.853,7.853,7.853,200.0
2010-01-23,7.853,7.853,7.853,7.853,200.0
2010-01-24,7.853,7.853,7.853,7.853,200.0
2010-01-25,7.853,7.853,7.853,7.853,200.0
2010-01-26,7.853,7.853,7.853,7.853,200.0
2010-01-27,7.679,7.679,7.679,7.679,200.0
2010-01-28,7.679,7.679,7.679,7.679,200.0
2010-01-29,7.679,7.679,7.679,7.679,200.0
2010-01-30,7.679,7.679,7.679,7.679,200.0
2010-01-31,7.679,7.679,7.679,7.679,200.0
2010-02-01,7.679,7.679,7.679,7.679,200.0
2010-02-02,7.679,7.679,7.679,7.679,200.0
2010-02-03,7.679,7.679,7.679,7.679,200.0
2010-02-04,7.679,7.679,7.679,7.679,200.0
2010-02-05,7.679,7.679,7.679,7.679,200.0
2010-02-06,7.679,7.679,7.679,7.679,200.0
2010-02-07,7.679,7.679,7.679,7.679,200.0
2010-02-08,7.679,7.679,7.679,7.679,200.0
2010-02-09,8.028,8.028,8.028,8.028,5900.0
2010-02-10,8.028,8.028,8.028,8.028,5900.0
2010-02-11,8.028,8.028,8.028,8.028,5900.0
2010-02-12,8.028,8.028,8.028,8.028,5900.0
2010-02-13,8.028,8.028,8.028,8.028,5900.0
2010-02-14,8.028,8.028,8.028,8.028,5900.0
2010-02-15,8.028,8.028,8.028,8.028,4100.0
2010-02-16,8.028,8.028,8.028,8.028,4100.0
2010-02-17,8.028,8.028,8.028,8.028,4100.0
2010-02-18,8.028,8.028,8.028,8.028,4100.0
2010-02-19,8.028,8.028,8.028,8.028,4100.0
2010-02-20,8.028,8.028,8.028,8.028,4100.0
2010-02-21,8.028,8.028,8.028,8.028,4100.0
2010-02-22,8.028,8.028,8.028,8.028,4100.0
2010-02-23,8.028,8.028,8.028,8.028,4100.0
2010-02-24,8.028,8.028,8.028,8.028,4100.0
2010-02-25,8.028,8.028,8.028,8.028,4100.0
2010-02-26,8.028,8.028,8.028,8.028,4100.0
2010-02-27,8.028,8.028,8.028,8.028,4100.0
2010-02-28,8.028,8.028,8.028,8.028,4100.0
2010-03-01,8.028,8.028,8.028,8.028,4100.0
2010-03-02,8.028,8.028,8.028,8.028,4100.0
2010-03-03,8.028,8.028,8.028,8.028,4100.0
2010-03-04,8.028,8.028,8.028,8.028,4100.0
2010-03-05,8.028,8.028,8.028,8.028,4100.0
2010-03-06,8.028,8.028,8.028,8.028,4100.0
2010-03-07,8.028,8.028,8.028,8.028,4100.0
2010-03-08,8.028,8.028,8.028,8.028,4100.0
2010-03-09,8.61,8.61,8.61,8.61,400.0
2010-03-10,8.61,8.61,8.61,8.61,400.0
2010-03-11,8.61,8.61,8.61,8.61,400.0
2010-03-12,8.61,8.61,8.61,8.61,400.0
2010-03-13,8.61,8.61,8.61,8.61,400.0
2010-03-14,8.61,8.61,8.61,8.61,400.0
2010-03-15,8.61,8.61,8.61,8.61,400.0
2010-03-16,8.61,8.61,8.61,8.61,100.0
2010-03-17,8.61,8.61,8.61,8.61,100.0
2010-03-18,8.61,8.61,8.61,8.61,100.0
2010-03-19,8.61,8.61,8.61,8.61,100.0
2010-03-20,8.61,8.61,8.61,8.61,100.0
2010-03-21,8.61,8.61,8.61,8.61,100.0
