,CYL IN Equity,CYL IN Equity,CYL IN Equity,CYL IN Equity,CYL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,113.69,114.6,112.23,113.67,85418.0
2010-01-02,113.69,114.6,112.23,113.67,85418.0
2010-01-03,113.69,114.6,112.23,113.67,85418.0
2010-01-04,113.69,116.99,111.1,115.95,1003878.0
2010-01-05,116.66,116.66,113.51,114.21,57690.0
2010-01-06,115.53,116.28,111.73,112.69,38258.0
2010-01-07,103.1,114.38,103.1,108.23,108026.0
2010-01-08,110.53,110.73,104.8,105.42,524706.0
2010-01-09,110.53,110.73,104.8,105.42,524706.0
2010-01-10,110.53,110.73,104.8,105.42,524706.0
2010-01-11,105.42,108.08,104.06,105.08,126832.0
2010-01-12,106.45,108.43,104.12,105.12,177338.0
2010-01-13,104.62,109.8,104.25,108.56,619052.0
2010-01-14,109.62,111.84,107.82,108.62,73096.0
2010-01-15,109.25,111.1,108.51,109.93,84424.0
2010-01-16,109.25,111.1,108.51,109.93,84424.0
2010-01-17,109.25,111.1,108.51,109.93,84424.0
2010-01-18,112.12,115.54,110.88,113.25,321480.0
2010-01-19,113.69,120.28,113.69,117.41,585162.0
2010-01-20,118.51,120.36,118.34,119.4,444606.0
2010-01-21,118.14,125.91,117.95,120.45,396832.0
2010-01-22,120.45,123.32,116.66,119.69,208216.0
2010-01-23,120.45,123.32,116.66,119.69,208216.0
2010-01-24,120.45,123.32,116.66,119.69,208216.0
2010-01-25,118.53,130.47,117.91,129.1,1055164.0
2010-01-26,118.53,130.47,117.91,129.1,1055164.0
2010-01-27,131.47,134.17,124.17,131.86,1747314.0
2010-01-28,129.62,137.76,124.43,135.39,715698.0
2010-01-29,134.8,134.8,126.28,128.95,218454.0
2010-01-30,134.8,134.8,126.28,128.95,218454.0
2010-01-31,134.8,134.8,126.28,128.95,218454.0
2010-02-01,125.91,128.12,121.52,123.73,92814.0
2010-02-02,124.8,125.91,115.91,117.82,163280.0
2010-02-03,119.62,124.06,118.36,121.62,242818.0
2010-02-04,123.28,123.28,116.73,121.38,89138.0
2010-02-05,111.58,125.88,111.58,122.49,113092.0
2010-02-06,125.51,125.51,119.62,121.6,6214.0
2010-02-07,125.51,125.51,119.62,121.6,6214.0
2010-02-08,122.21,124.06,116.75,119.73,75866.0
2010-02-09,119.8,125.91,117.17,122.21,265876.0
2010-02-10,124.19,125.91,118.62,119.99,25300.0
2010-02-11,119.62,127.14,119.62,123.91,80068.0
2010-02-12,119.62,127.14,119.62,123.91,80068.0
2010-02-13,119.62,127.14,119.62,123.91,80068.0
2010-02-14,119.62,127.14,119.62,123.91,80068.0
2010-02-15,122.95,125.91,120.56,123.32,34772.0
2010-02-16,122.21,127.02,121.84,124.45,79944.0
2010-02-17,124.64,125.91,122.51,123.51,21996.0
2010-02-18,123.97,128.88,120.93,122.73,61744.0
2010-02-19,122.21,124.77,118.93,122.41,30544.0
2010-02-20,122.21,124.77,118.93,122.41,30544.0
2010-02-21,122.21,124.77,118.93,122.41,30544.0
2010-02-22,120.77,135.78,120.77,129.8,1063726.0
2010-02-23,126.65,132.95,122.4,124.06,323878.0
2010-02-24,123.4,132.13,121.51,128.49,194068.0
2010-02-25,130.65,130.65,124.89,126.28,141518.0
2010-02-26,125.93,131.47,124.28,128.19,56066.0
2010-02-27,125.93,131.47,124.28,128.19,56066.0
2010-02-28,125.93,131.47,124.28,128.19,56066.0
2010-03-01,125.93,131.47,124.28,128.19,56066.0
2010-03-02,129.54,129.62,126.51,127.95,14610.0
2010-03-03,128.14,133.28,124.64,131.02,98096.0
2010-03-04,128.17,134.06,126.65,133.25,342784.0
2010-03-05,133.69,134.8,129.62,130.62,39436.0
2010-03-06,133.69,134.8,129.62,130.62,39436.0
2010-03-07,133.69,134.8,129.62,130.62,39436.0
2010-03-08,130.17,136.62,130.17,132.93,55286.0
2010-03-09,129.99,133.3,127.99,128.51,71886.0
2010-03-10,128.69,130.36,126.65,127.47,23474.0
2010-03-11,128.84,130.36,127.12,129.06,25652.0
2010-03-12,130.76,133.88,128.58,133.43,84752.0
2010-03-13,130.76,133.88,128.58,133.43,84752.0
2010-03-14,130.76,133.88,128.58,133.43,84752.0
2010-03-15,132.91,135.17,129.08,130.14,101424.0
2010-03-16,130.14,133.32,128.34,131.82,37624.0
2010-03-17,133.95,135.54,129.8,131.49,91904.0
2010-03-18,122.3,134.99,122.3,133.62,51622.0
2010-03-19,135.13,135.13,131.36,134.19,546610.0
2010-03-20,135.13,135.13,131.36,134.19,546610.0
2010-03-21,135.13,135.13,131.36,134.19,546610.0
2010-03-22,133.65,137.73,130.36,131.43,98260.0
2010-03-23,136.65,138.32,132.21,134.51,78618.0
2010-03-24,136.65,138.32,132.21,134.51,78618.0
2010-03-25,134.8,136.25,133.75,134.78,14528.0
2010-03-26,137.02,140.73,135.13,140.23,277520.0
2010-03-27,137.02,140.73,135.13,140.23,277520.0
2010-03-28,137.02,140.73,135.13,140.23,277520.0
2010-03-29,142.58,148.13,135.26,135.91,129568.0
2010-03-30,136.65,142.56,132.58,133.45,236220.0
2010-03-31,133.73,137.02,131.69,136.6,125136.0
2010-04-01,136.54,139.62,135.17,138.52,98902.0
2010-04-02,136.54,139.62,135.17,138.52,98902.0
2010-04-03,136.54,139.62,135.17,138.52,98902.0
2010-04-04,136.54,139.62,135.17,138.52,98902.0
2010-04-05,139.99,141.82,137.41,139.97,197556.0
2010-04-06,142.21,142.21,135.6,137.86,226410.0
2010-04-07,139.87,139.87,131.86,133.12,1687776.0
2010-04-08,129.99,135.86,129.99,133.58,692788.0
2010-04-09,136.58,136.58,131.06,133.02,168738.0
2010-04-10,136.58,136.58,131.06,133.02,168738.0
2010-04-11,136.58,136.58,131.06,133.02,168738.0
2010-04-12,133.38,135.54,130.08,130.82,90860.0
2010-04-13,131.28,135.17,130.25,131.88,61840.0
2010-04-14,131.28,135.17,130.25,131.88,61840.0
2010-04-15,133.69,135.17,131.47,134.17,97698.0
2010-04-16,132.95,136.47,131.47,135.02,144758.0
2010-04-17,132.95,136.47,131.47,135.02,144758.0
2010-04-18,132.95,136.47,131.47,135.02,144758.0
2010-04-19,135.73,136.47,132.95,134.45,248702.0
2010-04-20,136.21,139.62,134.8,137.36,85828.0
2010-04-21,137.47,151.76,135.76,146.26,896492.0
2010-04-22,149.99,152.87,141.1,142.62,1579498.0
2010-04-23,142.95,145.82,141.1,142.52,386070.0
2010-04-24,142.95,145.82,141.1,142.52,386070.0
2010-04-25,142.95,145.82,141.1,142.52,386070.0
2010-04-26,144.36,145.36,142.1,143.26,74384.0
2010-04-27,143.99,147.61,140.73,143.04,224538.0
2010-04-28,135.17,147.39,135.17,142.19,180596.0
2010-04-29,142.69,145.06,142.25,142.78,51828.0
2010-04-30,142.99,147.76,142.21,145.02,112926.0
2010-05-01,142.99,147.76,142.21,145.02,112926.0
2010-05-02,142.99,147.76,142.21,145.02,112926.0
2010-05-03,143.58,145.15,142.8,143.74,24954.0
2010-05-04,144.21,146.65,142.97,144.3,42318.0
2010-05-05,142.58,145.17,139.99,144.65,134660.0
2010-05-06,146.29,147.82,143.5,144.82,50404.0
2010-05-07,142.6,144.8,142.2,143.29,40662.0
2010-05-08,142.6,144.8,142.2,143.29,40662.0
2010-05-09,142.6,144.8,142.2,143.29,40662.0
2010-05-10,142.57,147.41,142.57,143.54,33082.0
2010-05-11,144.06,145.17,142.23,143.31,15898.0
2010-05-12,142.6,145.88,142.6,143.35,39552.0
