,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity
2010-04-07,53.95,54.43,51.22,51.69,982900.0
2010-04-08,51.89,55.61,51.41,54.53,5339960.0
2010-04-09,54.95,57.72,53.97,56.15,2827535.0
2010-04-10,54.95,57.72,53.97,56.15,2827535.0
2010-04-11,54.95,57.72,53.97,56.15,2827535.0
2010-04-12,56.32,57.88,54.52,55.07,1996115.0
2010-04-13,54.33,55.74,53.1,53.57,783105.0
2010-04-14,54.33,55.74,53.1,53.57,783105.0
2010-04-15,54.15,55.61,53.24,53.83,848935.0
2010-04-16,53.97,55.87,53.07,54.69,920140.0
2010-04-17,53.97,55.87,53.07,54.69,920140.0
2010-04-18,53.97,55.87,53.07,54.69,920140.0
2010-04-19,54.15,55.8,53.49,54.15,2547835.0
2010-04-20,54.52,56.62,54.34,55.37,10850670.0
2010-04-21,54.56,58.91,54.56,58.13,3091910.0
2010-04-22,57.99,58.54,55.07,55.62,1203400.0
2010-04-23,55.62,56.36,54.37,55.58,1390020.0
2010-04-24,55.62,56.36,54.37,55.58,1390020.0
2010-04-25,55.62,56.36,54.37,55.58,1390020.0
2010-04-26,55.8,56.89,54.7,55.24,569035.0
2010-04-27,55.61,56.49,54.54,55.06,318450.0
2010-04-28,54.69,55.39,53.18,54.55,490945.0
2010-04-29,54.43,57.08,53.05,56.14,726515.0
2010-04-30,56.15,56.15,52.69,53.41,1572230.0
2010-05-01,56.15,56.15,52.69,53.41,1572230.0
2010-05-02,56.15,56.15,52.69,53.41,1572230.0
2010-05-03,53.36,56.53,51.68,55.55,2267800.0
2010-05-04,53.49,55.71,53.42,54.27,741595.0
2010-05-05,52.69,56.53,52.6,55.09,1295035.0
2010-05-06,54.86,56.47,53.98,54.81,1076290.0
2010-05-07,54.15,57.81,51.68,55.0,5208630.0
2010-05-08,54.15,57.81,51.68,55.0,5208630.0
2010-05-09,54.15,57.81,51.68,55.0,5208630.0
2010-05-10,54.88,59.18,54.88,57.36,2841020.0
2010-05-11,57.44,58.18,53.86,54.66,1575200.0
2010-05-12,54.88,55.6,53.99,54.93,1091605.0
2010-05-13,55.8,55.8,54.37,54.86,359800.0
2010-05-14,55.71,55.8,54.15,54.68,548685.0
2010-05-15,55.71,55.8,54.15,54.68,548685.0
2010-05-16,55.71,55.8,54.15,54.68,548685.0
2010-05-17,54.15,55.34,53.09,54.28,531695.0
2010-05-18,53.6,54.65,52.79,53.39,373025.0
2010-05-19,52.99,53.22,49.39,50.51,402260.0
2010-05-20,50.24,50.85,47.93,49.83,303955.0
2010-05-21,49.39,49.94,47.89,48.94,194715.0
2010-05-22,49.39,49.94,47.89,48.94,194715.0
2010-05-23,49.39,49.94,47.89,48.94,194715.0
2010-05-24,48.3,50.99,48.11,48.74,303960.0
2010-05-25,48.85,49.19,46.3,47.22,139260.0
2010-05-26,47.75,55.77,45.82,52.31,2658120.0
2010-05-27,52.52,54.7,51.22,53.6,542960.0
2010-05-28,53.97,55.6,51.04,54.23,1319780.0
2010-05-29,53.97,55.6,51.04,54.23,1319780.0
2010-05-30,53.97,55.6,51.04,54.23,1319780.0
2010-05-31,54.15,55.19,53.42,54.43,452190.0
2010-06-01,54.88,56.6,53.22,53.59,1327745.0
2010-06-02,52.69,55.03,52.69,53.53,585805.0
2010-06-03,54.7,54.79,53.12,53.45,218175.0
2010-06-04,54.24,54.24,52.71,53.25,109990.0
2010-06-05,54.24,54.24,52.71,53.25,109990.0
2010-06-06,54.24,54.24,52.71,53.25,109990.0
2010-06-07,51.5,53.22,51.22,52.34,205430.0
2010-06-08,53.05,53.42,51.77,52.21,248785.0
2010-06-09,52.77,53.03,51.5,52.28,149075.0
2010-06-10,52.32,52.69,51.8,52.38,49105.0
2010-06-11,52.6,52.91,51.6,51.87,89795.0
2010-06-12,52.6,52.91,51.6,51.87,89795.0
2010-06-13,52.6,52.91,51.6,51.87,89795.0
2010-06-14,51.81,52.5,51.25,51.67,39050.0
2010-06-15,52.08,54.7,51.93,52.76,736365.0
2010-06-16,53.97,53.97,52.14,52.58,116455.0
2010-06-17,52.96,52.96,50.13,52.29,72000.0
2010-06-18,51.82,54.06,51.82,53.07,365005.0
2010-06-19,51.82,54.06,51.82,53.07,365005.0
2010-06-20,51.82,54.06,51.82,53.07,365005.0
2010-06-21,52.96,53.24,52.18,52.8,120875.0
2010-06-22,52.77,52.77,51.5,51.9,49160.0
2010-06-23,51.6,52.14,51.19,51.53,78940.0
2010-06-24,52.18,52.69,51.5,51.94,60275.0
2010-06-25,52.23,53.78,52.23,52.62,211565.0
2010-06-26,52.23,53.78,52.23,52.62,211565.0
2010-06-27,52.23,53.78,52.23,52.62,211565.0
2010-06-28,52.78,53.22,51.61,52.17,63265.0
2010-06-29,52.36,54.94,51.98,53.04,1908080.0
2010-06-30,58.54,58.54,51.77,53.35,198430.0
2010-07-01,53.05,54.28,52.71,53.35,277955.0
2010-07-02,52.87,54.43,52.5,53.28,485875.0
2010-07-03,52.87,54.43,52.5,53.28,485875.0
2010-07-04,52.87,54.43,52.5,53.28,485875.0
2010-07-05,53.05,54.13,52.5,52.79,461835.0
2010-07-06,52.79,55.18,52.79,53.86,745335.0
2010-07-07,54.15,54.33,52.68,53.39,231985.0
2010-07-08,54.24,54.28,52.71,53.81,232995.0
2010-07-09,53.71,54.13,53.61,53.84,69165.0
2010-07-10,53.71,54.13,53.61,53.84,69165.0
2010-07-11,53.71,54.13,53.61,53.84,69165.0
2010-07-12,54.52,54.53,53.09,53.65,741715.0
2010-07-13,54.1,54.24,53.06,53.78,536010.0
2010-07-14,54.23,56.29,53.51,54.08,1078945.0
2010-07-15,54.36,57.28,53.6,54.71,4325610.0
2010-07-16,54.8,55.76,54.24,54.44,650835.0
2010-07-17,54.8,55.76,54.24,54.44,650835.0
2010-07-18,54.8,55.76,54.24,54.44,650835.0
2010-07-19,54.51,55.61,53.72,54.13,596230.0
2010-07-20,54.59,55.26,54.15,54.76,379345.0
2010-07-21,54.96,57.28,54.89,55.57,6182940.0
2010-07-22,57.08,65.65,55.44,62.39,12827035.0
2010-07-23,63.07,64.1,59.96,60.65,3791205.0
2010-07-24,63.07,64.1,59.96,60.65,3791205.0
2010-07-25,63.07,64.1,59.96,60.65,3791205.0
2010-07-26,61.58,67.05,59.86,64.5,5536505.0
2010-07-27,64.09,67.53,63.92,66.28,3333765.0
2010-07-28,66.68,72.53,66.31,70.33,4536080.0
2010-07-29,70.09,73.62,68.46,72.17,2945820.0
2010-07-30,68.93,71.65,66.08,69.01,791460.0
2010-07-31,68.93,71.65,66.08,69.01,791460.0
2010-08-01,68.93,71.65,66.08,69.01,791460.0
2010-08-02,70.72,71.48,67.46,69.04,1820705.0
2010-08-03,69.26,71.28,68.95,69.33,560040.0
2010-08-04,69.94,71.8,68.34,69.43,844800.0
2010-08-05,69.98,70.63,68.36,68.69,320720.0
2010-08-06,68.89,69.62,67.26,68.14,345585.0
2010-08-07,68.89,69.62,67.26,68.14,345585.0
2010-08-08,68.89,69.62,67.26,68.14,345585.0
2010-08-09,68.5,70.73,67.78,68.11,903400.0
2010-08-10,66.86,70.18,66.86,67.97,750170.0
2010-08-11,68.59,69.44,66.71,67.3,316735.0
2010-08-12,67.12,73.02,65.94,70.89,6774195.0
2010-08-13,72.11,77.64,67.41,74.0,6266123.0
2010-08-14,72.11,77.64,67.41,74.0,6266123.0
2010-08-15,72.11,77.64,67.41,74.0,6266123.0
2010-08-16,72.66,79.57,71.61,74.87,5064279.0
2010-08-17,75.1,77.55,74.14,75.29,2190491.0
2010-08-18,75.89,75.89,72.07,73.31,900889.0
2010-08-19,73.26,74.64,71.88,74.0,1426198.0
2010-08-20,72.89,76.67,72.89,75.66,2027566.0
2010-08-21,72.89,76.67,72.89,75.66,2027566.0
2010-08-22,72.89,76.67,72.89,75.66,2027566.0
2010-08-23,76.03,79.57,74.97,78.42,2532579.0
2010-08-24,78.97,80.12,74.05,75.24,968951.0
2010-08-25,75.29,75.47,72.85,74.0,1017713.0
2010-08-26,74.14,76.26,73.68,75.84,494809.0
2010-08-27,74.69,75.98,71.74,72.85,615681.0
2010-08-28,74.69,75.98,71.74,72.85,615681.0
2010-08-29,74.69,75.98,71.74,72.85,615681.0
2010-08-30,73.54,74.87,69.99,72.43,762617.0
2010-08-31,72.71,75.1,69.07,73.49,1252805.0
2010-09-01,72.85,74.55,71.01,71.65,1371470.0
2010-09-02,72.25,73.49,71.56,72.89,865073.0
2010-09-03,73.22,75.93,71.88,74.14,1594093.0
2010-09-04,73.22,75.93,71.88,74.14,1594093.0
2010-09-05,73.22,75.93,71.88,74.14,1594093.0
2010-09-06,73.59,74.41,72.16,73.08,641584.0
2010-09-07,73.49,74.55,69.99,71.65,1439836.0
2010-09-08,72.25,72.99,70.45,70.91,475732.0
2010-09-09,71.61,72.2,69.58,70.64,337605.0
2010-09-10,71.61,72.2,69.58,70.64,337605.0
2010-09-11,71.61,72.2,69.58,70.64,337605.0
2010-09-12,71.61,72.2,69.58,70.64,337605.0
2010-09-13,70.73,74.83,70.73,73.08,1167053.0
2010-09-14,72.76,74.09,72.3,73.68,1156114.0
2010-09-15,73.22,74.78,72.3,73.45,3137927.0
2010-09-16,73.68,74.05,72.2,72.94,454321.0
2010-09-17,72.02,73.45,71.51,71.93,297591.0
2010-09-18,72.02,73.45,71.51,71.93,297591.0
2010-09-19,72.02,73.45,71.51,71.93,297591.0
2010-09-20,72.66,74.97,71.65,74.05,3095739.0
2010-09-21,74.97,75.43,72.11,72.66,433194.0
2010-09-22,72.76,73.31,71.84,72.02,116578.0
2010-09-23,71.61,77.27,71.01,73.82,4350150.0
2010-09-24,73.95,73.95,71.93,72.57,158795.0
2010-09-25,73.95,73.95,71.93,72.57,158795.0
2010-09-26,73.95,73.95,71.93,72.57,158795.0
2010-09-27,71.97,73.86,71.97,72.85,455298.0
2010-09-28,72.3,73.49,71.88,72.2,130201.0
2010-09-29,72.8,73.03,71.84,72.2,132939.0
2010-09-30,72.76,72.76,70.91,71.37,111826.0
2010-10-01,72.2,74.6,71.19,73.86,482678.0
2010-10-02,72.2,74.6,71.19,73.86,482678.0
2010-10-03,72.2,74.6,71.19,73.86,482678.0
2010-10-04,75.33,81.04,73.22,74.41,1531347.0
2010-10-05,73.68,79.02,73.68,77.32,3026396.0
2010-10-06,77.27,78.93,73.68,74.51,1761663.0
2010-10-07,75.06,75.38,73.31,74.37,311466.0
2010-10-08,75.24,75.33,72.85,73.22,106283.0
2010-10-09,75.24,75.33,72.85,73.22,106283.0
2010-10-10,75.24,75.33,72.85,73.22,106283.0
2010-10-11,74.0,76.21,73.31,75.84,709939.0
2010-10-12,76.35,76.67,74.14,74.97,228151.0
2010-10-13,76.72,77.91,74.14,75.61,1749976.0
2010-10-14,76.81,77.27,73.03,75.06,3674118.0
2010-10-15,74.97,75.8,73.4,73.72,538869.0
2010-10-16,74.97,75.8,73.4,73.72,538869.0
2010-10-17,74.97,75.8,73.4,73.72,538869.0
2010-10-18,74.6,74.6,72.34,73.59,184596.0
2010-10-19,73.68,74.32,70.04,71.1,901864.0
2010-10-20,71.56,71.65,67.78,68.89,756684.0
2010-10-21,69.07,70.45,68.15,69.67,406014.0
2010-10-22,70.64,71.51,68.29,69.35,840664.0
2010-10-23,70.64,71.51,68.29,69.35,840664.0
2010-10-24,70.64,71.51,68.29,69.35,840664.0
2010-10-25,70.18,70.82,68.43,69.44,279536.0
2010-10-26,70.59,71.61,68.24,70.91,721791.0
2010-10-27,70.59,74.09,69.67,70.96,3345407.0
2010-10-28,70.91,71.37,69.26,69.81,442695.0
2010-10-29,69.26,70.36,68.29,69.58,357131.0
2010-10-30,69.26,70.36,68.29,69.58,357131.0
2010-10-31,69.26,70.36,68.29,69.58,357131.0
2010-11-01,71.51,71.84,68.89,69.39,453565.0
2010-11-02,69.72,70.22,68.66,69.12,189845.0
2010-11-03,69.16,70.64,69.12,69.95,294624.0
2010-11-04,70.45,73.86,69.53,72.3,1387878.0
2010-11-05,75.52,75.52,71.1,71.47,128604.0
2010-11-06,75.52,75.52,71.1,71.47,128604.0
2010-11-07,75.52,75.52,71.1,71.47,128604.0
2010-11-08,72.3,72.3,69.53,71.05,644167.0
2010-11-09,71.84,72.57,69.3,70.27,381761.0
2010-11-10,70.91,75.43,69.99,73.68,2512111.0
2010-11-11,74.32,76.26,72.34,73.03,365829.0
2010-11-12,73.63,74.51,71.42,71.97,192292.0
2010-11-13,73.63,74.51,71.42,71.97,192292.0
2010-11-14,73.63,74.51,71.42,71.97,192292.0
2010-11-15,74.14,78.74,72.07,77.64,1017963.0
2010-11-16,79.11,80.49,73.95,75.01,1017907.0
2010-11-17,79.11,80.49,73.95,75.01,1017907.0
2010-11-18,70.91,76.16,70.91,74.69,641666.0
2010-11-19,75.1,76.16,71.93,73.54,253645.0
2010-11-20,75.1,76.16,71.93,73.54,253645.0
2010-11-21,75.1,76.16,71.93,73.54,253645.0
2010-11-22,73.68,76.35,72.99,73.49,253422.0
2010-11-23,73.63,73.63,72.02,72.53,101385.0
2010-11-24,72.62,74.83,72.48,73.72,631834.0
2010-11-25,73.68,75.89,69.53,70.68,770609.0
2010-11-26,71.56,71.56,58.99,66.82,732540.0
2010-11-27,71.56,71.56,58.99,66.82,732540.0
2010-11-28,71.56,71.56,58.99,66.82,732540.0
2010-11-29,68.84,68.98,64.93,65.62,190360.0
2010-11-30,65.39,71.56,64.51,70.64,798306.0
2010-12-01,65.48,71.93,65.48,71.01,349376.0
2010-12-02,61.01,73.4,61.01,71.61,353326.0
2010-12-03,70.09,72.11,68.84,70.18,263184.0
2010-12-04,70.09,72.11,68.84,70.18,263184.0
2010-12-05,70.09,72.11,68.84,70.18,263184.0
2010-12-06,71.28,72.8,66.22,67.64,576268.0
2010-12-07,78.1,78.1,63.59,64.24,259515.0
2010-12-08,64.15,65.85,63.09,64.65,326555.0
2010-12-09,65.39,65.39,55.58,62.72,532806.0
2010-12-10,58.11,67.97,58.11,65.62,203026.0
2010-12-11,58.11,67.97,58.11,65.62,203026.0
2010-12-12,58.11,67.97,58.11,65.62,203026.0
2010-12-13,66.31,67.69,65.43,67.05,102130.0
2010-12-14,65.57,68.8,65.57,67.78,739117.0
2010-12-15,65.39,71.74,64.47,65.3,73244.0
2010-12-16,65.2,68.61,64.42,67.37,616606.0
2010-12-17,65.2,68.61,64.42,67.37,616606.0
2010-12-18,65.2,68.61,64.42,67.37,616606.0
2010-12-19,65.2,68.61,64.42,67.37,616606.0
2010-12-20,66.31,67.6,64.97,65.66,266840.0
2010-12-21,69.03,69.03,64.7,65.2,169122.0
2010-12-22,65.43,66.49,63.73,64.47,109085.0
2010-12-23,64.65,65.66,63.5,64.33,140377.0
2010-12-24,64.74,65.66,63.78,64.84,333663.0
2010-12-25,64.74,65.66,63.78,64.84,333663.0
2010-12-26,64.74,65.66,63.78,64.84,333663.0
2010-12-27,65.2,66.72,64.47,66.13,388176.0
2010-12-28,66.31,66.82,65.02,65.43,107986.0
2010-12-29,65.02,66.13,64.05,64.93,425025.0
2010-12-30,64.93,65.99,64.24,65.3,102494.0
2010-12-31,65.57,67.6,65.57,66.86,188015.0
2011-01-01,65.57,67.6,65.57,66.86,188015.0
2011-01-02,65.57,67.6,65.57,66.86,188015.0
2011-01-03,67.23,67.88,66.45,67.18,197948.0
2011-01-04,68.11,68.8,66.36,66.72,106147.0
2011-01-05,67.14,68.43,64.97,65.94,337280.0
2011-01-06,66.26,67.69,64.7,65.3,90641.0
2011-01-07,66.13,66.17,62.4,63.41,54218.0
2011-01-08,66.13,66.17,62.4,63.41,54218.0
2011-01-09,66.13,66.17,62.4,63.41,54218.0
2011-01-10,63.36,65.3,53.42,55.17,1472255.0
2011-01-11,53.05,60.74,53.05,59.54,818012.0
2011-01-12,59.86,61.24,57.19,59.36,701194.0
2011-01-13,59.31,62.12,55.72,56.73,499270.0
2011-01-14,57.33,60.51,53.97,57.74,574706.0
2011-01-15,57.33,60.51,53.97,57.74,574706.0
2011-01-16,57.33,60.51,53.97,57.74,574706.0
2011-01-17,58.39,59.86,56.5,57.74,518544.0
2011-01-18,58.11,58.44,56.73,57.79,142009.0
2011-01-19,59.4,59.4,57.19,58.44,233478.0
2011-01-20,58.57,60.69,57.61,59.36,127764.0
2011-01-21,58.99,60.78,58.99,60.19,132467.0
2011-01-22,58.99,60.78,58.99,60.19,132467.0
2011-01-23,58.99,60.78,58.99,60.19,132467.0
2011-01-24,60.32,61.24,58.94,59.17,430136.0
2011-01-25,60.19,61.93,59.08,60.28,438848.0
2011-01-26,60.19,61.93,59.08,60.28,438848.0
2011-01-27,58.99,61.7,54.34,58.94,903918.0
2011-01-28,60.69,60.69,54.43,55.86,1290759.0
2011-01-29,60.69,60.69,54.43,55.86,1290759.0
2011-01-30,60.69,60.69,54.43,55.86,1290759.0
2011-01-31,55.17,56.04,53.42,55.3,260873.0
2011-02-01,55.44,57.56,54.48,55.26,266094.0
2011-02-02,56.18,57.47,54.84,55.95,271915.0
2011-02-03,56.09,59.68,55.3,58.67,630328.0
2011-02-04,57.1,59.86,57.1,58.85,128698.0
2011-02-05,57.1,59.86,57.1,58.85,128698.0
2011-02-06,57.1,59.86,57.1,58.85,128698.0
2011-02-07,59.82,59.82,57.56,58.57,159618.0
2011-02-08,59.77,59.77,57.1,58.02,355004.0
2011-02-09,57.56,58.71,55.35,56.55,246885.0
2011-02-10,56.22,57.79,54.8,55.72,309264.0
2011-02-11,56.09,58.94,53.88,55.58,547604.0
2011-02-12,56.09,58.94,53.88,55.58,547604.0
2011-02-13,56.09,58.94,53.88,55.58,547604.0
2011-02-14,55.03,60.6,54.48,57.56,723602.0
2011-02-15,56.13,56.64,54.75,55.58,558217.0
2011-02-16,54.8,56.64,54.8,55.99,145509.0
2011-02-17,55.26,55.63,52.73,53.51,535570.0
2011-02-18,54.34,55.26,53.42,54.89,430489.0
2011-02-19,54.34,55.26,53.42,54.89,430489.0
2011-02-20,54.34,55.26,53.42,54.89,430489.0
2011-02-21,54.38,54.98,53.6,54.29,88509.0
2011-02-22,53.6,54.8,52.96,54.34,83939.0
2011-02-23,52.5,54.61,52.5,53.74,32570.0
2011-02-24,52.68,54.34,51.71,52.73,351546.0
2011-02-25,54.98,54.98,52.03,52.54,101492.0
2011-02-26,54.98,54.98,52.03,52.54,101492.0
2011-02-27,54.98,54.98,52.03,52.54,101492.0
2011-02-28,51.76,54.34,51.71,53.55,158391.0
2011-03-01,53.42,54.24,52.08,53.28,647115.0
2011-03-02,53.42,54.24,52.08,53.28,647115.0
2011-03-03,53.37,53.51,52.26,53.19,48860.0
2011-03-04,53.42,54.8,52.91,54.43,287045.0
2011-03-05,53.42,54.8,52.91,54.43,287045.0
2011-03-06,53.42,54.8,52.91,54.43,287045.0
2011-03-07,52.77,54.71,52.77,54.57,192377.0
2011-03-08,54.34,55.99,53.88,55.12,350331.0
2011-03-09,55.21,55.21,53.88,54.84,174423.0
2011-03-10,54.34,55.72,54.06,54.89,198740.0
2011-03-11,52.73,54.98,52.73,54.57,198645.0
2011-03-12,52.73,54.98,52.73,54.57,198645.0
2011-03-13,52.73,54.98,52.73,54.57,198645.0
2011-03-14,57.1,57.1,51.71,54.38,88932.0
2011-03-15,54.34,54.52,52.54,54.06,124598.0
2011-03-16,53.09,54.61,53.09,54.34,54652.0
2011-03-17,52.96,54.52,52.96,53.69,141763.0
2011-03-18,52.96,54.24,52.96,54.06,234474.0
2011-03-19,52.96,54.24,52.96,54.06,234474.0
2011-03-20,52.96,54.24,52.96,54.06,234474.0
2011-03-21,54.34,54.43,53.0,53.74,160031.0
2011-03-22,53.92,54.15,52.5,53.6,230126.0
2011-03-23,52.96,53.74,52.96,53.65,187158.0
2011-03-24,52.5,54.34,52.5,54.06,92270.0
2011-03-25,53.42,55.26,53.42,54.8,179298.0
2011-03-26,53.42,55.26,53.42,54.8,179298.0
2011-03-27,53.42,55.26,53.42,54.8,179298.0
2011-03-28,55.07,55.07,53.0,53.88,233526.0
2011-03-29,52.96,54.43,52.5,53.55,932864.0
2011-03-30,52.96,56.32,52.96,56.09,347519.0
2011-03-31,55.63,56.87,54.34,55.58,413381.0
2011-04-01,55.63,55.63,53.51,54.38,481671.0
2011-04-02,55.63,55.63,53.51,54.38,481671.0
2011-04-03,55.63,55.63,53.51,54.38,481671.0
2011-04-04,55.21,56.5,53.69,54.29,595969.0
2011-04-05,54.8,56.46,54.34,54.75,361465.0
2011-04-06,56.46,59.77,55.63,57.33,753787.0
2011-04-07,57.93,59.86,57.79,58.94,723815.0
2011-04-08,59.68,63.91,58.2,61.11,1246689.0
2011-04-09,59.68,63.91,58.2,61.11,1246689.0
2011-04-10,59.68,63.91,58.2,61.11,1246689.0
2011-04-11,62.17,63.18,58.11,61.89,238809.0
2011-04-12,62.17,63.18,58.11,61.89,238809.0
2011-04-13,61.7,67.23,60.78,65.02,548768.0
2011-04-14,61.7,67.23,60.78,65.02,548768.0
2011-04-15,67.23,69.99,64.88,66.91,637043.0
2011-04-16,67.23,69.99,64.88,66.91,637043.0
2011-04-17,67.23,69.99,64.88,66.91,637043.0
2011-04-18,68.89,70.91,63.55,64.33,481605.0
2011-04-19,67.14,67.14,62.99,64.74,523289.0
2011-04-20,65.48,68.8,64.7,66.31,1016221.0
2011-04-21,66.86,67.97,64.47,65.11,2665790.0
2011-04-22,66.86,67.97,64.47,65.11,2665790.0
2011-04-23,66.86,67.97,64.47,65.11,2665790.0
2011-04-24,66.86,67.97,64.47,65.11,2665790.0
2011-04-25,65.57,69.12,62.72,64.7,3054001.0
2011-04-26,65.39,67.14,64.51,66.03,3399984.0
2011-04-27,66.31,66.45,63.55,64.38,395073.0
2011-04-28,64.47,65.07,61.93,62.72,322585.0
2011-04-29,62.58,62.99,60.32,60.74,477474.0
2011-04-30,62.58,62.99,60.32,60.74,477474.0
2011-05-01,62.58,62.99,60.32,60.74,477474.0
2011-05-02,61.61,63.36,60.19,62.72,502561.0
2011-05-03,62.17,62.3,60.05,60.78,255588.0
