,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity,POONAWAL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,29.53,31.65,28.75,29.05,10472210.0
2010-01-02,29.53,31.65,28.75,29.05,10472210.0
2010-01-03,29.53,31.65,28.75,29.05,10472210.0
2010-01-04,29.36,30.63,29.09,29.98,1409270.0
2010-01-05,30.72,30.72,29.01,29.44,9074830.0
2010-01-06,29.59,31.08,29.45,29.75,4246535.0
2010-01-07,30.19,31.83,29.82,30.27,5433435.0
2010-01-08,31.05,34.52,30.19,33.41,12301445.0
2010-01-09,31.05,34.52,30.19,33.41,12301445.0
2010-01-10,31.05,34.52,30.19,33.41,12301445.0
2010-01-11,33.62,38.21,33.11,37.33,19311990.0
2010-01-12,37.55,38.12,35.09,36.02,10803850.0
2010-01-13,36.06,37.14,34.94,36.19,3039575.0
2010-01-14,36.22,41.58,35.87,39.96,14650800.0
2010-01-15,40.32,41.45,38.78,39.13,3739495.0
2010-01-16,40.32,41.45,38.78,39.13,3739495.0
2010-01-17,40.32,41.45,38.78,39.13,3739495.0
2010-01-18,38.66,41.13,37.69,40.18,3588125.0
2010-01-19,40.98,40.98,38.42,38.86,1483970.0
2010-01-20,39.06,39.5,36.69,37.03,1399645.0
2010-01-21,37.3,38.41,36.26,36.81,954765.0
2010-01-22,35.67,37.3,35.17,36.35,944720.0
2010-01-23,35.67,37.3,35.17,36.35,944720.0
2010-01-24,35.67,37.3,35.17,36.35,944720.0
2010-01-25,36.57,37.65,36.06,36.6,599135.0
2010-01-26,36.57,37.65,36.06,36.6,599135.0
2010-01-27,36.59,36.75,34.26,35.4,1531295.0
2010-01-28,38.33,38.33,34.21,35.24,719760.0
2010-01-29,34.76,37.14,33.48,36.41,1076805.0
2010-01-30,34.76,37.14,33.48,36.41,1076805.0
2010-01-31,34.76,37.14,33.48,36.41,1076805.0
2010-02-01,35.95,37.49,35.91,36.71,319860.0
2010-02-02,36.62,40.43,36.59,39.36,3610790.0
2010-02-03,39.19,40.06,38.45,39.01,1682690.0
2010-02-04,38.78,39.88,38.06,39.06,2105835.0
2010-02-05,37.7,39.52,36.77,38.8,1635375.0
2010-02-06,39.15,41.16,38.86,40.52,1321465.0
2010-02-07,39.15,41.16,38.86,40.52,1321465.0
2010-02-08,41.16,41.16,38.78,40.26,1969870.0
2010-02-09,40.06,40.21,38.6,39.68,1092005.0
2010-02-10,40.16,40.98,38.98,39.74,1536800.0
2010-02-11,39.97,40.15,39.16,39.67,548555.0
2010-02-12,39.97,40.15,39.16,39.67,548555.0
2010-02-13,39.97,40.15,39.16,39.67,548555.0
2010-02-14,39.97,40.15,39.16,39.67,548555.0
2010-02-15,39.7,39.84,38.69,39.15,229300.0
2010-02-16,39.42,40.58,39.17,39.94,1068495.0
2010-02-17,39.7,42.25,38.78,39.31,5371580.0
2010-02-18,39.52,42.78,38.99,41.7,5044400.0
2010-02-19,40.25,41.68,40.25,40.85,1966570.0
2010-02-20,40.25,41.68,40.25,40.85,1966570.0
2010-02-21,40.25,41.68,40.25,40.85,1966570.0
2010-02-22,41.13,43.49,40.98,41.45,6427100.0
2010-02-23,41.38,42.99,41.34,42.34,2586350.0
2010-02-24,42.44,43.36,41.83,42.69,2855615.0
2010-02-25,42.81,42.9,41.34,42.53,834950.0
2010-02-26,42.63,48.06,41.98,44.65,6174650.0
2010-02-27,42.63,48.06,41.98,44.65,6174650.0
2010-02-28,42.63,48.06,41.98,44.65,6174650.0
2010-03-01,42.63,48.06,41.98,44.65,6174650.0
2010-03-02,44.42,46.17,43.54,44.12,2525660.0
2010-03-03,44.63,45.88,43.56,44.39,2655705.0
2010-03-04,44.27,44.77,43.65,44.47,983185.0
2010-03-05,44.63,45.17,43.63,43.99,1996525.0
2010-03-06,44.63,45.17,43.63,43.99,1996525.0
2010-03-07,44.63,45.17,43.63,43.99,1996525.0
2010-03-08,44.57,46.01,43.66,43.93,2683445.0
2010-03-09,44.45,47.0,43.76,46.04,3289755.0
2010-03-10,46.17,46.49,44.52,45.54,1429305.0
2010-03-11,45.74,47.89,45.53,47.58,2932120.0
2010-03-12,47.56,48.75,46.83,48.34,1507760.0
2010-03-13,47.56,48.75,46.83,48.34,1507760.0
2010-03-14,47.56,48.75,46.83,48.34,1507760.0
2010-03-15,47.51,51.86,47.51,51.01,3433430.0
2010-03-16,50.24,52.78,49.57,52.13,2479930.0
2010-03-17,52.45,53.25,49.76,50.78,1909115.0
2010-03-18,50.66,50.99,49.41,50.38,1088085.0
2010-03-19,50.42,52.12,49.94,50.98,1047565.0
2010-03-20,50.42,52.12,49.94,50.98,1047565.0
2010-03-21,50.42,52.12,49.94,50.98,1047565.0
2010-03-22,50.12,52.08,49.76,51.28,1025070.0
2010-03-23,51.9,52.28,49.94,50.24,867425.0
2010-03-24,51.9,52.28,49.94,50.24,867425.0
2010-03-25,49.94,51.77,49.94,51.11,723965.0
2010-03-26,51.22,52.87,50.35,52.0,1722165.0
2010-03-27,51.22,52.87,50.35,52.0,1722165.0
2010-03-28,51.22,52.87,50.35,52.0,1722165.0
2010-03-29,52.6,53.71,51.26,52.42,1735755.0
2010-03-30,51.77,52.5,51.32,51.67,726040.0
2010-03-31,52.83,52.83,51.25,51.59,283205.0
2010-04-01,51.22,55.78,51.22,54.49,3577860.0
2010-04-02,51.22,55.78,51.22,54.49,3577860.0
2010-04-03,51.22,55.78,51.22,54.49,3577860.0
2010-04-04,51.22,55.78,51.22,54.49,3577860.0
2010-04-05,54.52,57.15,53.24,56.0,2156460.0
2010-04-06,55.78,55.78,52.92,53.77,1014895.0
