,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity,ONGC IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-06-02,103.08,106.7,103.02,106.16,14114910.0
2010-06-03,109.54,109.54,106.67,108.74,8453970.0
2010-06-04,109.54,110.44,106.32,106.82,17258706.0
2010-06-05,109.54,110.44,106.32,106.82,17258706.0
2010-06-06,109.54,110.44,106.32,106.82,17258706.0
2010-06-07,106.4,108.46,104.75,105.88,9484050.0
2010-06-08,104.6,105.5,103.79,104.54,7066314.0
2010-06-09,105.95,108.46,104.9,106.87,11941020.0
2010-06-10,107.74,108.19,105.83,106.73,5194776.0
2010-06-11,108.55,108.55,105.35,105.95,11389662.0
2010-06-12,108.55,108.55,105.35,105.95,11389662.0
2010-06-13,108.55,108.55,105.35,105.95,11389662.0
2010-06-14,108.19,108.19,105.43,107.48,5292402.0
2010-06-15,107.66,108.18,104.16,104.73,10397496.0
2010-06-16,104.16,105.9,103.47,104.56,7774842.0
2010-06-17,104.42,106.84,103.7,106.49,4308378.0
2010-06-18,102.61,107.42,102.61,107.12,5620368.0
2010-06-19,102.61,107.42,102.61,107.12,5620368.0
2010-06-20,102.61,107.42,102.61,107.12,5620368.0
2010-06-21,107.3,109.0,106.85,108.13,8040906.0
2010-06-22,107.75,108.73,106.69,107.48,6119808.0
2010-06-23,106.84,108.46,106.82,107.23,3498108.0
2010-06-24,107.3,108.68,105.55,106.79,7886646.0
2010-06-25,106.97,115.92,106.52,113.44,29698962.0
2010-06-26,106.97,115.92,106.52,113.44,29698962.0
2010-06-27,106.97,115.92,106.52,113.44,29698962.0
2010-06-28,114.03,119.54,113.31,117.16,28065420.0
2010-06-29,116.9,118.07,114.93,117.26,13913892.0
2010-06-30,116.54,119.15,115.82,118.59,17044386.0
2010-07-01,117.17,120.93,116.35,116.93,15544224.0
2010-07-02,116.72,119.04,116.72,117.29,6857586.0
2010-07-03,116.72,119.04,116.72,117.29,6857586.0
2010-07-04,116.72,119.04,116.72,117.29,6857586.0
2010-07-05,118.03,118.03,115.13,115.41,4512306.0
2010-07-06,115.47,116.63,114.75,116.14,5854044.0
2010-07-07,116.73,116.73,113.58,113.65,5739150.0
2010-07-08,114.59,116.54,114.28,115.44,6409920.0
2010-07-09,116.1,117.08,115.03,116.18,8296074.0
2010-07-10,116.1,117.08,115.03,116.18,8296074.0
2010-07-11,116.1,117.08,115.03,116.18,8296074.0
2010-07-12,117.62,117.62,114.46,114.77,6707922.0
2010-07-13,114.75,115.92,114.1,114.67,5470488.0
2010-07-14,115.36,115.83,112.68,113.0,8705664.0
2010-07-15,113.92,114.11,110.62,111.06,9177012.0
2010-07-16,111.34,113.31,109.57,113.02,9326508.0
2010-07-17,111.34,113.31,109.57,113.02,9326508.0
2010-07-18,111.34,113.31,109.57,113.02,9326508.0
2010-07-19,112.32,113.57,111.88,113.05,3584274.0
2010-07-20,113.13,113.98,112.47,113.06,4731876.0
2010-07-21,113.58,114.56,112.53,114.22,4606332.0
2010-07-22,115.2,115.38,112.94,114.73,3731478.0
2010-07-23,114.75,115.18,112.69,113.13,3929736.0
2010-07-24,114.75,115.18,112.69,113.13,3929736.0
2010-07-25,114.75,115.18,112.69,113.13,3929736.0
2010-07-26,113.58,113.67,112.13,112.71,3607974.0
2010-07-27,114.04,114.25,113.0,113.39,3221178.0
2010-07-28,112.7,114.9,112.37,113.09,5503926.0
2010-07-29,112.32,113.68,109.54,111.92,16439898.0
2010-07-30,111.34,112.2,109.6,111.4,7926654.0
2010-07-31,111.34,112.2,109.6,111.4,7926654.0
2010-08-01,111.34,112.2,109.6,111.4,7926654.0
2010-08-02,111.79,115.29,111.34,114.74,4869570.0
2010-08-03,114.75,115.83,113.7,114.18,5737116.0
2010-08-04,114.48,114.75,112.93,113.41,4470534.0
2010-08-05,113.41,113.98,110.25,111.55,678378.0
2010-08-06,111.34,111.95,108.46,110.52,5944338.0
2010-08-07,111.34,111.95,108.46,110.52,5944338.0
2010-08-08,111.34,111.95,108.46,110.52,5944338.0
2010-08-09,111.79,113.58,109.86,110.68,6151254.0
2010-08-10,111.3,111.5,109.77,110.91,4857768.0
2010-08-11,111.34,112.23,110.26,111.1,6898752.0
2010-08-12,103.37,114.44,103.37,113.71,8580540.0
2010-08-13,113.76,115.65,113.76,114.71,5554050.0
2010-08-14,113.76,115.65,113.76,114.71,5554050.0
2010-08-15,113.76,115.65,113.76,114.71,5554050.0
2010-08-16,114.21,115.16,113.16,114.07,2399280.0
2010-08-17,113.22,114.52,111.95,113.05,2292492.0
2010-08-18,113.18,117.08,111.84,115.3,9591714.0
2010-08-19,116.27,116.45,113.31,113.73,3147528.0
2010-08-20,113.76,115.09,112.37,113.05,2675076.0
2010-08-21,113.76,115.09,112.37,113.05,2675076.0
2010-08-22,113.76,115.09,112.37,113.05,2675076.0
2010-08-23,112.62,116.45,112.41,115.21,5481192.0
2010-08-24,115.83,116.27,113.58,114.26,5924538.0
2010-08-25,114.48,115.74,113.61,114.62,4538682.0
2010-08-26,114.75,116.58,114.48,115.81,7934142.0
2010-08-27,116.32,119.77,115.04,118.36,11708460.0
2010-08-28,116.32,119.77,115.04,118.36,11708460.0
2010-08-29,116.32,119.77,115.04,118.36,11708460.0
2010-08-30,119.24,122.11,118.98,120.69,13698654.0
2010-08-31,121.21,121.21,119.33,120.1,7186236.0
2010-09-01,121.18,121.64,119.42,120.22,4445094.0
2010-09-02,120.14,122.0,118.52,118.65,5748978.0
2010-09-03,119.84,120.67,118.88,120.23,4887768.0
2010-09-04,119.84,120.67,118.88,120.23,4887768.0
2010-09-05,119.84,120.67,118.88,120.23,4887768.0
2010-09-06,118.52,123.45,118.52,121.28,7719066.0
2010-09-07,123.7,123.7,120.58,121.54,7593906.0
2010-09-08,120.41,122.54,120.32,121.71,6738432.0
2010-09-09,122.12,123.39,120.98,123.11,5290632.0
2010-09-10,122.12,123.39,120.98,123.11,5290632.0
2010-09-11,122.12,123.39,120.98,123.11,5290632.0
2010-09-12,122.12,123.39,120.98,123.11,5290632.0
2010-09-13,123.93,126.11,123.93,125.51,7498326.0
2010-09-14,124.52,128.35,124.06,126.77,9441258.0
2010-09-15,127.11,131.96,126.7,127.74,17513268.0
2010-09-16,128.02,130.01,126.56,127.09,5785068.0
2010-09-17,128.02,129.15,126.11,126.86,8244498.0
2010-09-18,128.02,129.15,126.11,126.86,8244498.0
2010-09-19,128.02,129.15,126.11,126.86,8244498.0
2010-09-20,127.22,129.01,127.11,127.49,7648398.0
2010-09-21,127.56,128.56,126.87,127.46,6052860.0
2010-09-22,128.02,128.83,126.66,127.35,5618604.0
2010-09-23,128.45,130.15,127.56,129.35,10320012.0
2010-09-24,130.01,131.46,128.38,130.48,7642908.0
2010-09-25,130.01,131.46,128.38,130.48,7642908.0
2010-09-26,130.01,131.46,128.38,130.48,7642908.0
2010-09-27,131.19,133.2,130.7,132.37,7489518.0
2010-09-28,132.38,133.7,131.03,132.38,6473754.0
2010-09-29,132.38,133.19,128.48,129.05,5109462.0
2010-09-30,129.38,129.65,125.48,127.48,11132466.0
2010-10-01,127.69,129.45,126.95,127.56,10822818.0
2010-10-02,127.69,129.45,126.95,127.56,10822818.0
2010-10-03,127.69,129.45,126.95,127.56,10822818.0
2010-10-04,127.93,131.16,126.2,126.6,8456688.0
2010-10-05,126.2,127.83,122.93,126.26,7188384.0
2010-10-06,127.11,127.89,125.5,125.77,7557660.0
2010-10-07,126.38,127.14,124.66,125.68,6853938.0
2010-10-08,126.2,126.66,123.0,123.7,5232306.0
2010-10-09,126.2,126.66,123.0,123.7,5232306.0
2010-10-10,126.2,126.66,123.0,123.7,5232306.0
2010-10-11,125.7,125.7,122.89,123.59,4453884.0
