,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity,SUNTV IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,228.68,233.66,228.68,231.57,143325.0
2010-01-02,228.68,233.66,228.68,231.57,143325.0
2010-01-03,228.68,233.66,228.68,231.57,143325.0
2010-01-04,229.12,235.75,229.12,235.31,105755.0
2010-01-05,235.75,238.41,233.16,235.72,293308.0
2010-01-06,236.42,238.44,232.42,234.03,104835.0
2010-01-07,235.75,235.75,231.03,234.54,99257.0
2010-01-08,235.68,243.6,234.4,241.78,264641.0
2010-01-09,235.68,243.6,234.4,241.78,264641.0
2010-01-10,235.68,243.6,234.4,241.78,264641.0
2010-01-11,243.83,256.97,243.83,249.73,568266.0
2010-01-12,249.73,256.6,245.85,247.71,371830.0
2010-01-13,247.87,251.92,242.49,248.51,159005.0
2010-01-14,248.51,251.44,243.23,246.06,186661.0
2010-01-15,248.48,255.22,244.61,249.25,467729.0
2010-01-16,248.48,255.22,244.61,249.25,467729.0
2010-01-17,248.48,255.22,244.61,249.25,467729.0
2010-01-18,250.23,253.2,245.92,250.7,196642.0
2010-01-19,231.51,253.26,231.51,249.63,183894.0
2010-01-20,252.52,283.98,247.27,275.22,3292408.0
2010-01-21,274.95,276.87,257.47,264.44,1432942.0
2010-01-22,261.35,275.49,253.26,256.13,1213517.0
2010-01-23,261.35,275.49,253.26,256.13,1213517.0
2010-01-24,261.35,275.49,253.26,256.13,1213517.0
2010-01-25,259.32,263.37,250.1,255.96,307041.0
2010-01-26,259.32,263.37,250.1,255.96,307041.0
2010-01-27,255.89,257.1,246.56,249.29,177937.0
2010-01-28,252.94,267.14,248.61,261.43,254263.0
2010-01-29,257.0,263.73,250.24,261.39,160411.0
2010-01-30,257.0,263.73,250.24,261.39,160411.0
2010-01-31,257.0,263.73,250.24,261.39,160411.0
2010-02-01,258.35,273.91,252.53,270.83,209154.0
2010-02-02,271.88,281.24,260.38,262.61,441187.0
2010-02-03,267.82,273.74,263.76,268.26,214728.0
2010-02-04,265.79,271.4,260.41,263.83,153017.0
2010-02-05,256.96,262.98,252.3,259.43,165257.0
2010-02-06,264.44,267.14,259.03,261.29,18761.0
2010-02-07,264.44,267.14,259.03,261.29,18761.0
2010-02-08,267.08,271.67,255.82,267.28,135314.0
2010-02-09,253.62,278.64,253.62,273.5,597524.0
2010-02-10,276.27,276.27,247.19,250.68,10210532.0
2010-02-11,253.62,260.11,251.28,256.66,1121476.0
2010-02-12,253.62,260.11,251.28,256.66,1121476.0
2010-02-13,253.62,260.11,251.28,256.66,1121476.0
