,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity,NMDC IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,148.4,148.73,145.35,146.26,173781.0
2010-01-02,148.4,148.73,145.35,146.26,173781.0
2010-01-03,148.4,148.73,145.35,146.26,173781.0
2010-01-04,146.69,148.8,144.83,147.54,252060.0
2010-01-05,148.11,149.14,146.73,147.02,194531.0
2010-01-06,148.88,149.83,146.9,147.47,343023.0
2010-01-07,147.07,149.07,143.12,144.95,520043.0
2010-01-08,144.59,147.76,143.62,144.85,511078.0
2010-01-09,144.59,147.76,143.62,144.85,511078.0
2010-01-10,144.59,147.76,143.62,144.85,511078.0
2010-01-11,149.14,155.01,147.9,149.7,674532.0
2010-01-12,151.01,151.53,146.64,146.95,321493.0
2010-01-13,146.73,148.07,143.97,146.92,184310.0
2010-01-14,147.76,149.13,146.73,147.31,131495.0
2010-01-15,148.88,170.51,147.76,165.47,6784042.0
2010-01-16,148.88,170.51,147.76,165.47,6784042.0
2010-01-17,148.88,170.51,147.76,165.47,6784042.0
2010-01-18,164.61,188.81,160.64,181.91,12105013.0
2010-01-19,184.67,197.41,181.94,191.92,9923444.0
2010-01-20,196.2,197.13,181.39,184.1,4987667.0
2010-01-21,181.25,182.06,169.51,171.98,2966374.0
2010-01-22,165.72,189.47,159.33,184.39,9392209.0
2010-01-23,165.72,189.47,159.33,184.39,9392209.0
2010-01-24,165.72,189.47,159.33,184.39,9392209.0
2010-01-25,179.96,187.47,176.07,178.59,4745590.0
2010-01-26,179.96,187.47,176.07,178.59,4745590.0
2010-01-27,175.97,180.56,155.43,161.56,2711981.0
2010-01-28,165.72,173.64,159.5,165.25,4382085.0
2010-01-29,163.99,175.28,158.91,171.72,3140878.0
2010-01-30,163.99,175.28,158.91,171.72,3140878.0
2010-01-31,163.99,175.28,158.91,171.72,3140878.0
2010-02-01,171.58,177.45,166.44,172.53,2984178.0
2010-02-02,175.31,176.64,165.72,166.99,1674511.0
2010-02-03,169.17,171.12,166.41,167.72,1127804.0
2010-02-04,164.69,173.49,164.28,165.63,2075064.0
2010-02-05,162.27,162.27,152.14,154.51,1302025.0
2010-02-06,157.33,158.64,154.91,156.79,339959.0
2010-02-07,157.33,158.64,154.91,156.79,339959.0
2010-02-08,158.23,160.34,154.18,155.34,1035851.0
2010-02-09,155.6,171.3,151.48,169.74,5829690.0
2010-02-10,172.44,177.04,166.09,168.48,7120022.0
2010-02-11,169.43,172.85,166.78,168.36,2580038.0
2010-02-12,169.43,172.85,166.78,168.36,2580038.0
2010-02-13,169.43,172.85,166.78,168.36,2580038.0
2010-02-14,169.43,172.85,166.78,168.36,2580038.0
2010-02-15,170.81,174.62,167.01,168.1,1377713.0
2010-02-16,170.22,172.44,167.7,169.22,1541759.0
2010-02-17,170.12,171.5,164.66,166.16,1277880.0
2010-02-18,167.7,167.7,158.16,159.64,1062791.0
2010-02-19,157.26,165.25,152.83,158.24,3253236.0
2010-02-20,157.26,165.25,152.83,158.24,3253236.0
2010-02-21,157.26,165.25,152.83,158.24,3253236.0
2010-02-22,162.51,162.51,151.28,153.16,1308433.0
2010-02-23,152.14,156.74,150.14,151.66,1533900.0
2010-02-24,151.66,153.8,147.71,148.82,951097.0
2010-02-25,150.41,151.97,146.97,147.94,1097509.0
2010-02-26,148.68,154.22,148.2,149.89,2114135.0
2010-02-27,148.68,154.22,148.2,149.89,2114135.0
2010-02-28,148.68,154.22,148.2,149.89,2114135.0
2010-03-01,148.68,154.22,148.2,149.89,2114135.0
2010-03-02,153.99,153.99,148.68,150.01,552057.0
2010-03-03,150.65,155.08,149.03,150.41,1235759.0
2010-03-04,152.95,154.22,149.44,150.84,1463605.0
2010-03-05,151.1,152.83,139.21,144.08,2516943.0
2010-03-06,151.1,152.83,139.21,144.08,2516943.0
2010-03-07,151.1,152.83,139.21,144.08,2516943.0
2010-03-08,140.04,144.81,132.57,138.95,4515533.0
2010-03-09,132.43,133.12,126.21,130.58,3489758.0
2010-03-10,126.21,134.37,124.82,131.96,4489807.0
2010-03-11,126.21,129.67,123.82,124.89,1930686.0
2010-03-12,124.82,127.59,122.82,125.43,3098051.0
2010-03-13,124.82,127.59,122.82,125.43,3098051.0
2010-03-14,124.82,127.59,122.82,125.43,3098051.0
2010-03-15,120.68,125.22,117.91,118.93,2339855.0
2010-03-16,115.83,117.53,112.84,115.23,1877927.0
2010-03-17,113.76,127.05,112.38,125.22,9286752.0
2010-03-18,127.94,129.6,121.9,123.89,6153200.0
2010-03-19,122.06,126.21,121.54,124.63,2329959.0
2010-03-20,122.06,126.21,121.54,124.63,2329959.0
2010-03-21,122.06,126.21,121.54,124.63,2329959.0
2010-03-22,122.56,127.59,117.56,119.57,1917271.0
2010-03-23,117.2,121.06,111.86,112.96,3335132.0
2010-03-24,117.2,121.06,111.86,112.96,3335132.0
2010-03-25,108.57,110.65,103.7,105.41,8884794.0
2010-03-26,104.93,107.05,100.97,103.35,6323128.0
2010-03-27,104.93,107.05,100.97,103.35,6323128.0
2010-03-28,104.93,107.05,100.97,103.35,6323128.0
2010-03-29,100.27,102.69,97.89,98.6,17014043.0
2010-03-30,98.89,103.87,98.89,101.83,14885682.0
2010-03-31,102.78,104.08,101.17,101.8,5700389.0
2010-04-01,102.35,103.18,101.48,102.12,1816760.0
2010-04-02,102.35,103.18,101.48,102.12,1816760.0
2010-04-03,102.35,103.18,101.48,102.12,1816760.0
2010-04-04,102.35,103.18,101.48,102.12,1816760.0
2010-04-05,103.13,104.11,102.04,103.25,2338115.0
2010-04-06,103.91,105.18,103.06,104.8,5982260.0
2010-04-07,105.46,108.23,105.08,106.39,7377625.0
2010-04-08,106.84,107.1,104.25,105.24,2816786.0
2010-04-09,106.34,106.34,104.08,104.39,2004512.0
2010-04-10,106.34,106.34,104.08,104.39,2004512.0
2010-04-11,106.34,106.34,104.08,104.39,2004512.0
2010-04-12,104.46,105.29,102.59,103.92,2381891.0
2010-04-13,103.59,103.84,101.02,101.57,1998615.0
2010-04-14,103.59,103.84,101.02,101.57,1998615.0
2010-04-15,102.0,103.56,101.31,101.8,1414914.0
2010-04-16,101.66,102.92,100.62,101.14,1135239.0
2010-04-17,101.66,102.92,100.62,101.14,1135239.0
2010-04-18,101.66,102.92,100.62,101.14,1135239.0
2010-04-19,100.27,103.39,99.58,101.92,1782050.0
2010-04-20,102.35,104.39,102.35,102.73,2108500.0
2010-04-21,103.39,104.08,102.8,103.7,1462693.0
2010-04-22,103.85,105.2,103.06,103.37,2300321.0
2010-04-23,103.39,104.35,103.21,103.96,1289609.0
2010-04-24,103.39,104.35,103.21,103.96,1289609.0
2010-04-25,103.39,104.35,103.21,103.96,1289609.0
2010-04-26,104.08,104.42,103.49,103.85,1194364.0
2010-04-27,103.73,104.18,103.08,103.7,1342649.0
2010-04-28,103.04,103.04,101.66,102.35,676476.0
2010-04-29,103.63,103.63,102.04,102.38,406133.0
2010-04-30,103.3,103.73,102.52,103.51,689397.0
2010-05-01,103.3,103.73,102.52,103.51,689397.0
2010-05-02,103.3,103.73,102.52,103.51,689397.0
2010-05-03,103.23,103.68,102.69,103.18,452567.0
2010-05-04,102.38,103.63,101.47,102.35,676571.0
2010-05-05,100.27,101.99,99.65,101.23,1008537.0
2010-05-06,101.36,102.97,99.93,100.69,1148747.0
2010-05-07,99.93,103.35,98.72,101.88,1744402.0
2010-05-08,99.93,103.35,98.72,101.88,1744402.0
2010-05-09,99.93,103.35,98.72,101.88,1744402.0
2010-05-10,102.35,102.99,100.97,101.78,366729.0
2010-05-11,99.44,102.31,99.44,100.74,281811.0
2010-05-12,100.69,104.6,100.55,102.18,1154422.0
2010-05-13,102.69,103.39,101.36,101.78,286296.0
2010-05-14,101.48,102.18,100.33,100.81,402516.0
2010-05-15,101.48,102.18,100.33,100.81,402516.0
2010-05-16,101.48,102.18,100.33,100.81,402516.0
2010-05-17,97.7,101.38,97.7,101.02,519997.0
2010-05-18,100.62,101.16,97.85,98.17,775077.0
2010-05-19,98.34,99.2,95.52,96.45,444900.0
2010-05-20,96.82,98.51,95.17,95.83,543184.0
2010-05-21,94.74,95.78,93.01,94.72,545133.0
2010-05-22,94.74,95.78,93.01,94.72,545133.0
2010-05-23,94.74,95.78,93.01,94.72,545133.0
2010-05-24,95.9,96.76,93.53,94.1,367908.0
2010-05-25,93.7,93.7,91.28,91.96,730308.0
2010-05-26,92.32,94.22,92.18,92.96,338812.0
2010-05-27,93.1,93.88,91.28,91.72,308192.0
2010-05-28,92.36,93.57,91.46,91.99,390133.0
2010-05-29,92.36,93.57,91.46,91.99,390133.0
