,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity
2010-02-24,88.63,91.63,86.56,91.03,26459320.0
2010-02-25,91.97,92.06,90.45,91.66,21265730.0
2010-02-26,90.7,93.66,89.14,90.39,20342920.0
2010-02-27,90.7,93.66,89.14,90.39,20342920.0
2010-02-28,90.7,93.66,89.14,90.39,20342920.0
2010-03-01,90.7,93.66,89.14,90.39,20342920.0
2010-03-02,92.47,94.5,91.55,93.97,18389390.0
2010-03-03,93.91,97.35,92.9,96.85,20677520.0
2010-03-04,98.79,98.79,94.59,97.94,19071750.0
2010-03-05,96.36,101.76,96.36,101.01,26836620.0
2010-03-06,96.36,101.76,96.36,101.01,26836620.0
2010-03-07,96.36,101.76,96.36,101.01,26836620.0
2010-03-08,102.36,103.99,99.75,101.57,20704730.0
2010-03-09,101.34,102.57,97.13,100.78,13381000.0
2010-03-10,98.98,101.34,97.72,98.86,24129090.0
2010-03-11,98.64,99.64,97.47,98.5,15672310.0
2010-03-12,98.83,100.48,97.75,99.55,27754420.0
2010-03-13,98.83,100.48,97.75,99.55,27754420.0
2010-03-14,98.83,100.48,97.75,99.55,27754420.0
2010-03-15,99.4,100.41,97.77,99.63,18465100.0
2010-03-16,100.75,101.6,99.63,101.26,24500640.0
2010-03-17,102.19,103.62,101.76,103.18,21682900.0
2010-03-18,101.34,105.73,101.34,105.49,21708970.0
2010-03-19,105.65,105.9,104.3,104.92,15160890.0
2010-03-20,105.65,105.9,104.3,104.92,15160890.0
2010-03-21,105.65,105.9,104.3,104.92,15160890.0
2010-03-22,104.05,105.14,102.2,104.06,12310240.0
2010-03-23,104.55,107.38,104.55,107.02,28160260.0
2010-03-24,104.55,107.38,104.55,107.02,28160260.0
2010-03-25,106.75,108.94,106.58,108.09,18119460.0
2010-03-26,114.01,114.01,106.04,108.47,12088520.0
2010-03-27,114.01,114.01,106.04,108.47,12088520.0
2010-03-28,114.01,114.01,106.04,108.47,12088520.0
2010-03-29,108.94,109.79,106.0,106.31,11655550.0
2010-03-30,107.25,107.68,104.25,104.68,10803840.0
2010-03-31,103.51,105.89,103.13,104.28,14480050.0
2010-04-01,105.14,106.39,104.21,105.62,16398710.0
2010-04-02,105.14,106.39,104.21,105.62,16398710.0
2010-04-03,105.14,106.39,104.21,105.62,16398710.0
2010-04-04,105.14,106.39,104.21,105.62,16398710.0
2010-04-05,106.41,108.85,106.0,108.19,17193630.0
2010-04-06,108.52,108.94,106.83,107.59,9390300.0
2010-04-07,107.87,108.65,105.37,106.35,10659360.0
2010-04-08,106.41,106.83,102.61,103.31,11696410.0
2010-04-09,103.85,105.14,102.76,103.69,13291030.0
2010-04-10,103.85,105.14,102.76,103.69,13291030.0
2010-04-11,103.85,105.14,102.76,103.69,13291030.0
2010-04-12,104.38,105.06,102.87,103.91,12931820.0
2010-04-13,103.88,107.54,103.35,107.09,20565840.0
2010-04-14,103.88,107.54,103.35,107.09,20565840.0
2010-04-15,107.25,108.77,106.49,106.83,14636770.0
2010-04-16,107.25,109.95,106.8,108.85,15141380.0
2010-04-17,107.25,109.95,106.8,108.85,15141380.0
2010-04-18,107.25,109.95,106.8,108.85,15141380.0
2010-04-19,107.93,108.07,102.96,103.53,20426520.0
2010-04-20,104.3,105.73,102.95,103.43,18633250.0
2010-04-21,103.85,105.18,103.04,103.47,10371160.0
2010-04-22,103.45,104.23,100.92,101.71,16589510.0
2010-04-23,102.1,102.6,99.83,101.19,18677680.0
2010-04-24,102.1,102.6,99.83,101.19,18677680.0
2010-04-25,102.1,102.6,99.83,101.19,18677680.0
2010-04-26,101.76,103.95,101.34,102.39,16790240.0
2010-04-27,102.61,103.36,101.34,101.75,11356120.0
2010-04-28,100.5,100.74,98.81,99.45,12954020.0
2010-04-29,100.08,104.72,99.46,104.08,21354320.0
2010-04-30,105.14,105.86,102.95,103.67,19736180.0
2010-05-01,105.14,105.86,102.95,103.67,19736180.0
2010-05-02,105.14,105.86,102.95,103.67,19736180.0
2010-05-03,103.03,104.47,102.06,103.19,20581950.0
2010-05-04,103.87,104.53,96.02,96.62,29049150.0
2010-05-05,95.01,98.79,91.91,97.63,41594740.0
2010-05-06,96.7,98.81,94.88,97.53,28156380.0
2010-05-07,94.92,96.09,92.98,94.7,22508940.0
2010-05-08,94.92,96.09,92.98,94.7,22508940.0
2010-05-09,94.92,96.09,92.98,94.7,22508940.0
2010-05-10,95.7,103.36,95.7,102.34,29908950.0
2010-05-11,103.45,103.45,96.69,101.43,31277020.0
2010-05-12,101.76,104.43,100.25,104.1,28879120.0
2010-05-13,105.03,107.59,103.96,106.5,36715630.0
2010-05-14,106.24,106.63,99.75,101.02,43473700.0
2010-05-15,106.24,106.63,99.75,101.02,43473700.0
2010-05-16,106.24,106.63,99.75,101.02,43473700.0
2010-05-17,99.23,100.08,96.06,98.9,23887850.0
2010-05-18,98.71,100.08,96.28,97.14,29372880.0
2010-05-19,96.18,96.28,89.94,91.36,30173160.0
2010-05-20,92.25,92.89,88.38,90.11,32249860.0
2010-05-21,86.99,92.46,85.99,91.6,28961670.0
2010-05-22,86.99,92.46,85.99,91.6,28961670.0
2010-05-23,86.99,92.46,85.99,91.6,28961670.0
2010-05-24,92.9,95.01,87.83,89.13,20152060.0
2010-05-25,87.83,87.83,83.03,83.98,37341970.0
2010-05-26,84.92,89.77,84.87,88.7,32038390.0
2010-05-27,89.52,92.05,86.38,90.8,30564780.0
2010-05-28,92.77,94.25,91.29,92.9,27893480.0
2010-05-29,92.77,94.25,91.29,92.9,27893480.0
2010-05-30,92.77,94.25,91.29,92.9,27893480.0
2010-05-31,92.52,93.99,90.36,93.58,23635370.0
2010-06-01,93.32,94.45,88.28,89.01,32753390.0
2010-06-02,89.91,90.11,86.99,89.01,40562580.0
2010-06-03,89.99,92.47,89.86,90.38,26486400.0
2010-06-04,89.7,91.52,88.68,90.86,18463320.0
2010-06-05,89.7,91.52,88.68,90.86,18463320.0
2010-06-06,89.7,91.52,88.68,90.86,18463320.0
2010-06-07,88.67,89.89,85.87,87.15,20933510.0
2010-06-08,87.73,88.25,84.45,85.47,30881500.0
2010-06-09,85.47,88.17,85.47,86.74,29690020.0
2010-06-10,86.99,89.06,86.06,88.71,21585490.0
2010-06-11,89.68,90.04,87.07,87.77,24631010.0
2010-06-12,89.68,90.04,87.07,87.77,24631010.0
2010-06-13,89.68,90.04,87.07,87.77,24631010.0
2010-06-14,89.23,89.58,88.38,88.96,14118680.0
2010-06-15,89.07,91.14,88.3,90.66,28727600.0
2010-06-16,91.45,91.88,89.58,90.11,17071550.0
2010-06-17,90.34,90.52,88.34,89.42,15058660.0
2010-06-18,89.32,89.94,87.7,88.55,20642800.0
2010-06-19,89.32,89.94,87.7,88.55,20642800.0
2010-06-20,89.32,89.94,87.7,88.55,20642800.0
2010-06-21,89.81,94.03,89.68,93.49,26967940.0
2010-06-22,92.73,93.3,90.96,91.26,13486560.0
2010-06-23,90.77,92.65,90.26,90.94,23774470.0
2010-06-24,91.94,91.94,89.34,90.05,20496900.0
2010-06-25,89.58,90.6,88.56,88.91,12114780.0
2010-06-26,89.58,90.6,88.56,88.91,12114780.0
2010-06-27,89.58,90.6,88.56,88.91,12114780.0
2010-06-28,89.16,91.04,88.81,90.62,11169770.0
2010-06-29,90.34,91.71,88.81,89.45,21712600.0
2010-06-30,88.64,90.77,87.78,90.47,12686590.0
2010-07-01,89.9,90.0,88.12,88.38,11702100.0
2010-07-02,88.21,89.32,86.94,87.77,15368190.0
2010-07-03,88.21,89.32,86.94,87.77,15368190.0
2010-07-04,88.21,89.32,86.94,87.77,15368190.0
2010-07-05,87.36,88.47,87.23,87.68,6521590.0
2010-07-06,87.19,92.04,87.19,91.7,21641860.0
2010-07-07,98.1,98.89,90.24,90.58,42676960.0
2010-07-08,92.73,93.16,90.95,91.54,15591900.0
2010-07-09,91.96,93.32,91.62,92.2,14491650.0
2010-07-10,91.96,93.32,91.62,92.2,14491650.0
2010-07-11,91.96,93.32,91.62,92.2,14491650.0
2010-07-12,100.57,100.57,91.63,92.25,13375540.0
2010-07-13,91.62,94.43,91.29,93.85,21847060.0
2010-07-14,95.46,95.88,91.88,92.25,15073600.0
2010-07-15,92.31,93.92,91.78,93.44,14074070.0
2010-07-16,93.67,94.58,93.01,93.86,13293840.0
2010-07-17,93.67,94.58,93.01,93.86,13293840.0
2010-07-18,93.67,94.58,93.01,93.86,13293840.0
2010-07-19,92.99,94.78,92.88,93.96,10349000.0
2010-07-20,94.69,96.64,93.93,95.65,23353510.0
2010-07-21,96.14,100.57,95.71,100.18,32177370.0
2010-07-22,99.98,103.08,98.96,102.32,37600510.0
2010-07-23,103.98,104.92,101.42,102.08,40470940.0
2010-07-24,103.98,104.92,101.42,102.08,40470940.0
2010-07-25,103.98,104.92,101.42,102.08,40470940.0
2010-07-26,102.7,102.82,99.04,99.81,16325990.0
2010-07-27,100.57,101.51,98.33,99.07,43552020.0
2010-07-28,99.42,99.97,98.02,98.6,12515800.0
2010-07-29,98.65,99.2,96.91,97.24,18212530.0
2010-07-30,94.19,97.63,94.19,95.23,11350280.0
2010-07-31,94.19,97.63,94.19,95.23,11350280.0
2010-08-01,94.19,97.63,94.19,95.23,11350280.0
2010-08-02,97.59,97.59,95.88,96.92,10297810.0
2010-08-03,97.59,98.01,95.67,96.15,8895460.0
2010-08-04,96.31,96.52,93.75,94.83,14254600.0
2010-08-05,95.03,97.33,93.92,95.52,14140840.0
2010-08-06,95.14,96.61,94.47,94.85,13275700.0
2010-08-07,95.14,96.61,94.47,94.85,13275700.0
2010-08-08,95.14,96.61,94.47,94.85,13275700.0
2010-08-09,94.87,96.46,94.56,96.01,11205650.0
2010-08-10,96.06,97.48,95.56,96.6,15728360.0
2010-08-11,96.71,97.25,94.47,94.86,10675250.0
2010-08-12,93.75,94.9,92.36,94.63,14171310.0
2010-08-13,95.03,95.96,94.21,94.93,7353780.0
2010-08-14,95.03,95.96,94.21,94.93,7353780.0
2010-08-15,95.03,95.96,94.21,94.93,7353780.0
2010-08-16,95.03,96.35,93.86,94.3,12290230.0
2010-08-17,94.83,95.44,93.81,94.67,9243310.0
2010-08-18,94.3,96.4,94.12,96.06,8513980.0
2010-08-19,96.06,97.93,95.88,96.49,12390760.0
2010-08-20,98.36,98.36,95.52,97.03,8134310.0
2010-08-21,98.36,98.36,95.52,97.03,8134310.0
2010-08-22,98.36,98.36,95.52,97.03,8134310.0
2010-08-23,97.25,99.2,97.0,98.88,10717660.0
2010-08-24,98.87,99.72,97.6,98.86,9379840.0
2010-08-25,99.21,99.29,97.04,97.9,11684700.0
2010-08-26,98.23,98.44,95.38,95.95,11210890.0
2010-08-27,96.3,97.58,94.44,94.96,7305600.0
2010-08-28,96.3,97.58,94.44,94.96,7305600.0
2010-08-29,96.3,97.58,94.44,94.96,7305600.0
2010-08-30,96.31,97.99,95.12,97.15,9047640.0
2010-08-31,96.57,97.6,95.19,96.42,8852850.0
2010-09-01,97.33,100.65,96.49,99.99,15334580.0
2010-09-02,101.0,102.15,99.72,100.47,12499950.0
2010-09-03,101.42,101.63,98.87,99.23,9870730.0
2010-09-04,101.42,101.63,98.87,99.23,9870730.0
2010-09-05,101.42,101.63,98.87,99.23,9870730.0
2010-09-06,102.06,103.1,99.58,101.99,15972100.0
2010-09-07,103.12,104.57,102.02,103.91,20511630.0
2010-09-08,102.36,104.79,102.36,103.63,12033090.0
2010-09-09,104.48,104.58,102.56,103.73,9008700.0
2010-09-10,104.48,104.58,102.56,103.73,9008700.0
2010-09-11,104.48,104.58,102.56,103.73,9008700.0
2010-09-12,104.48,104.58,102.56,103.73,9008700.0
2010-09-13,104.83,106.26,103.99,105.54,13083880.0
2010-09-14,106.54,106.54,103.04,103.66,13169320.0
2010-09-15,103.56,105.64,103.56,104.86,8865060.0
2010-09-16,104.88,105.18,101.69,102.0,10215730.0
2010-09-17,102.34,107.82,102.29,107.13,21661610.0
2010-09-18,102.34,107.82,102.29,107.13,21661610.0
2010-09-19,102.34,107.82,102.29,107.13,21661610.0
2010-09-20,107.14,110.68,106.47,109.85,20482330.0
2010-09-21,110.8,110.8,106.55,108.2,10573860.0
2010-09-22,108.67,109.67,106.16,107.11,11711340.0
2010-09-23,104.43,107.98,104.43,107.14,7474610.0
2010-09-24,107.82,109.6,107.39,108.74,10570750.0
2010-09-25,107.82,109.6,107.39,108.74,10570750.0
2010-09-26,107.82,109.6,107.39,108.74,10570750.0
2010-09-27,109.53,113.35,109.1,112.5,21601020.0
2010-09-28,112.5,114.53,112.21,113.17,12600780.0
2010-09-29,113.78,114.21,112.12,112.92,11794520.0
2010-09-30,112.93,114.81,111.67,113.65,18410530.0
2010-10-01,114.55,117.23,114.25,116.81,27400350.0
2010-10-02,114.55,117.23,114.25,116.81,27400350.0
2010-10-03,114.55,117.23,114.25,116.81,27400350.0
2010-10-04,117.62,119.32,117.36,118.64,14179330.0
2010-10-05,118.56,119.32,117.12,117.35,10500370.0
2010-10-06,118.22,119.15,116.95,117.77,21224820.0
2010-10-07,118.9,118.9,116.17,116.84,28878190.0
2010-10-08,117.11,117.7,111.64,113.91,19148660.0
2010-10-09,117.11,117.7,111.64,113.91,19148660.0
2010-10-10,117.11,117.7,111.64,113.91,19148660.0
2010-10-11,115.16,118.84,114.55,116.05,11390860.0
2010-10-12,115.93,116.9,111.78,113.09,9661940.0
2010-10-13,113.46,115.73,113.36,115.29,8561850.0
2010-10-14,115.96,116.65,113.96,114.87,15487300.0
2010-10-15,115.06,115.66,111.87,112.13,3948980.0
2010-10-16,115.06,115.66,111.87,112.13,3948980.0
2010-10-17,115.06,115.66,111.87,112.13,3948980.0
2010-10-18,111.82,113.17,109.19,112.4,8241860.0
2010-10-19,112.68,113.36,109.52,110.03,6915510.0
2010-10-20,103.3,109.69,103.3,107.36,6957590.0
2010-10-21,107.47,108.75,107.47,108.34,7109560.0
2010-10-22,110.46,110.46,105.52,106.97,5964990.0
2010-10-23,110.46,110.46,105.52,106.97,5964990.0
2010-10-24,110.46,110.46,105.52,106.97,5964990.0
2010-10-25,107.63,108.83,104.83,105.62,9215190.0
2010-10-26,105.69,106.5,103.31,104.47,13175380.0
2010-10-27,104.83,109.67,103.7,108.87,25340370.0
2010-10-28,108.84,113.44,108.55,112.48,21852300.0
2010-10-29,112.25,116.26,111.06,114.38,23371640.0
2010-10-30,112.25,116.26,111.06,114.38,23371640.0
2010-10-31,112.25,116.26,111.06,114.38,23371640.0
2010-11-01,115.32,116.08,113.12,114.55,5567660.0
2010-11-02,115.06,115.06,112.08,113.28,4059890.0
2010-11-03,113.78,114.45,112.85,113.34,2803960.0
2010-11-04,113.36,116.32,113.36,115.21,4438070.0
2010-11-05,115.8,116.41,114.64,114.91,656040.0
2010-11-06,115.8,116.41,114.64,114.91,656040.0
2010-11-07,115.8,116.41,114.64,114.91,656040.0
2010-11-08,115.42,115.83,113.11,114.14,3702700.0
2010-11-09,114.4,115.06,113.19,114.0,5069320.0
2010-11-10,112.93,114.64,112.08,113.95,2314430.0
2010-11-11,114.13,114.97,112.3,113.4,4590170.0
2010-11-12,112.13,113.5,108.35,109.01,4503540.0
2010-11-13,112.13,113.5,108.35,109.01,4503540.0
2010-11-14,112.13,113.5,108.35,109.01,4503540.0
2010-11-15,109.1,110.8,107.14,110.35,3352400.0
2010-11-16,110.37,110.8,103.59,105.12,9058550.0
2010-11-17,110.37,110.8,103.59,105.12,9058550.0
2010-11-18,105.57,109.51,102.96,108.89,6856910.0
2010-11-19,109.12,109.12,104.79,105.22,3988610.0
2010-11-20,109.12,109.12,104.79,105.22,3988610.0
2010-11-21,109.12,109.12,104.79,105.22,3988610.0
2010-11-22,106.21,107.05,103.85,106.65,5970990.0
2010-11-23,105.69,105.69,102.36,104.55,6837040.0
2010-11-24,102.38,106.09,101.08,102.51,6636060.0
2010-11-25,103.13,104.87,98.34,101.45,6945860.0
2010-11-26,101.43,102.4,93.75,94.41,11035060.0
2010-11-27,101.43,102.4,93.75,94.41,11035060.0
2010-11-28,101.43,102.4,93.75,94.41,11035060.0
2010-11-29,94.35,97.59,93.21,96.49,4895210.0
2010-11-30,95.76,96.99,93.39,96.13,7028190.0
2010-12-01,96.81,103.98,96.73,102.81,8538650.0
2010-12-02,103.97,104.4,99.97,101.25,8359060.0
2010-12-03,102.11,102.89,93.95,95.46,13420390.0
2010-12-04,102.11,102.89,93.95,95.46,13420390.0
2010-12-05,102.11,102.89,93.95,95.46,13420390.0
2010-12-06,96.4,101.42,95.9,99.54,13714940.0
2010-12-07,99.89,100.57,95.89,99.73,10192980.0
2010-12-08,99.98,99.98,96.52,97.54,6687200.0
2010-12-09,97.46,98.49,89.49,90.88,9193870.0
2010-12-10,94.52,94.52,87.87,88.69,14186400.0
2010-12-11,94.52,94.52,87.87,88.69,14186400.0
2010-12-12,94.52,94.52,87.87,88.69,14186400.0
2010-12-13,89.07,96.99,88.73,96.33,22531400.0
2010-12-14,96.48,100.06,95.14,99.39,18566020.0
2010-12-15,98.44,101.0,97.52,98.88,14045560.0
2010-12-16,98.88,99.72,95.88,99.27,9504660.0
2010-12-17,98.88,99.72,95.88,99.27,9504660.0
2010-12-18,98.88,99.72,95.88,99.27,9504660.0
2010-12-19,98.88,99.72,95.88,99.27,9504660.0
2010-12-20,100.06,101.92,98.9,101.2,14175030.0
2010-12-21,102.28,105.69,101.42,103.28,18077820.0
2010-12-22,95.88,104.28,95.88,102.25,10480810.0
2010-12-23,102.62,103.13,98.15,98.5,14200560.0
2010-12-24,98.02,100.15,93.75,99.74,10470540.0
2010-12-25,98.02,100.15,93.75,99.74,10470540.0
2010-12-26,98.02,100.15,93.75,99.74,10470540.0
2010-12-27,99.81,101.0,98.04,98.54,5663020.0
2010-12-28,98.44,99.26,96.78,97.28,6394500.0
2010-12-29,94.2,98.8,94.2,98.15,4809980.0
2010-12-30,98.1,100.9,94.32,100.32,13677890.0
2010-12-31,100.15,100.93,99.25,100.32,6790750.0
2011-01-01,100.15,100.93,99.25,100.32,6790750.0
2011-01-02,100.15,100.93,99.25,100.32,6790750.0
2011-01-03,102.28,103.45,100.57,101.52,8034880.0
2011-01-04,102.7,102.7,99.29,99.52,8987730.0
2011-01-05,99.64,100.11,97.45,97.8,7876850.0
2011-01-06,98.25,99.21,93.16,93.72,17766440.0
2011-01-07,93.67,94.02,87.02,87.78,21116300.0
2011-01-08,93.67,94.02,87.02,87.78,21116300.0
2011-01-09,93.67,94.02,87.02,87.78,21116300.0
2011-01-10,88.21,89.56,83.28,84.02,22190290.0
2011-01-11,85.13,86.18,79.35,80.3,45320350.0
2011-01-12,81.4,85.15,80.83,84.86,27391570.0
2011-01-13,85.06,88.1,84.11,85.46,27244290.0
2011-01-14,85.66,85.73,82.0,82.64,20839480.0
2011-01-15,85.66,85.73,82.0,82.64,20839480.0
2011-01-16,85.66,85.73,82.0,82.64,20839480.0
2011-01-17,82.59,85.49,81.44,83.13,23676860.0
2011-01-18,83.53,86.94,83.53,86.55,17176980.0
2011-01-19,86.94,90.34,85.43,89.74,34481360.0
2011-01-20,88.64,89.91,86.22,88.92,18094840.0
2011-01-21,88.64,89.34,85.74,86.33,11789470.0
2011-01-22,88.64,89.34,85.74,86.33,11789470.0
2011-01-23,88.64,89.34,85.74,86.33,11789470.0
2011-01-24,87.26,88.98,86.62,87.94,11478450.0
2011-01-25,88.73,89.48,85.82,86.45,15450410.0
2011-01-26,88.73,89.48,85.82,86.45,15450410.0
2011-01-27,87.02,88.05,81.74,82.08,24552470.0
2011-01-28,81.99,83.78,75.05,76.4,38378010.0
2011-01-29,81.99,83.78,75.05,76.4,38378010.0
2011-01-30,81.99,83.78,75.05,76.4,38378010.0
2011-01-31,76.71,77.82,72.58,77.18,37451430.0
2011-02-01,79.69,79.69,76.03,76.65,22187220.0
2011-02-02,78.41,80.62,76.48,79.26,24132550.0
2011-02-03,79.28,79.78,77.08,78.95,29403860.0
2011-02-04,79.16,79.96,75.45,76.38,24139770.0
2011-02-05,79.16,79.96,75.45,76.38,24139770.0
2011-02-06,79.16,79.96,75.45,76.38,24139770.0
2011-02-07,76.88,77.9,75.14,76.55,17299620.0
2011-02-08,76.71,77.13,69.23,70.11,32643670.0
2011-02-09,69.89,71.59,64.0,66.68,43039630.0
2011-02-10,67.33,71.93,65.88,71.06,36564500.0
2011-02-11,71.0,74.06,68.79,73.31,25935520.0
2011-02-12,71.0,74.06,68.79,73.31,25935520.0
2011-02-13,71.0,74.06,68.79,73.31,25935520.0
2011-02-14,73.98,76.28,73.52,75.68,24862630.0
2011-02-15,75.51,78.29,73.72,76.55,30738880.0
2011-02-16,77.45,78.55,75.9,76.52,24564310.0
2011-02-17,77.41,78.82,76.23,78.56,20082240.0
2011-02-18,78.5,79.04,74.8,75.29,23961130.0
2011-02-19,78.5,79.04,74.8,75.29,23961130.0
2011-02-20,78.5,79.04,74.8,75.29,23961130.0
2011-02-21,75.52,78.84,73.81,78.44,26953430.0
2011-02-22,76.8,78.4,75.73,76.84,17799700.0
2011-02-23,76.62,77.89,75.56,76.0,15918490.0
2011-02-24,78.33,78.33,72.92,73.84,23893900.0
2011-02-25,73.3,74.83,71.59,73.67,21530780.0
2011-02-26,73.3,74.83,71.59,73.67,21530780.0
2011-02-27,73.3,74.83,71.59,73.67,21530780.0
2011-02-28,74.15,77.45,73.18,74.18,18961830.0
2011-03-01,74.58,81.57,74.58,80.48,36523570.0
2011-03-02,74.58,81.57,74.58,80.48,36523570.0
2011-03-03,80.03,82.8,78.42,81.84,37242280.0
2011-03-04,82.35,82.76,80.55,81.22,20774090.0
2011-03-05,82.35,82.76,80.55,81.22,20774090.0
2011-03-06,82.35,82.76,80.55,81.22,20774090.0
2011-03-07,79.95,80.16,76.93,78.38,23002220.0
2011-03-08,78.57,80.32,78.01,79.85,16739230.0
2011-03-09,80.11,82.89,79.69,82.42,25934580.0
2011-03-10,81.93,82.25,79.52,79.93,19367610.0
2011-03-11,79.15,80.02,76.17,76.91,27040480.0
2011-03-12,79.15,80.02,76.17,76.91,27040480.0
2011-03-13,79.15,80.02,76.17,76.91,27040480.0
2011-03-14,77.14,79.26,70.86,79.1,15517370.0
2011-03-15,77.43,78.5,75.15,77.48,20020380.0
2011-03-16,78.33,79.26,76.28,77.19,47833030.0
2011-03-17,76.28,77.55,75.43,75.84,19636020.0
2011-03-18,76.61,77.46,75.44,76.26,21640800.0
2011-03-19,76.61,77.46,75.44,76.26,21640800.0
2011-03-20,76.61,77.46,75.44,76.26,21640800.0
2011-03-21,76.71,77.3,74.07,74.52,18808630.0
2011-03-22,75.0,76.15,74.49,74.82,17300450.0
2011-03-23,73.17,77.24,73.17,76.91,19992670.0
2011-03-24,76.98,78.28,76.36,76.61,12342630.0
2011-03-25,77.3,77.71,76.13,77.32,14729410.0
2011-03-26,77.3,77.71,76.13,77.32,14729410.0
2011-03-27,77.3,77.71,76.13,77.32,14729410.0
2011-03-28,76.71,78.4,76.71,77.47,13995200.0
2011-03-29,77.43,78.92,76.93,77.96,20912940.0
2011-03-30,78.33,79.14,77.73,78.23,12530130.0
2011-03-31,78.45,78.63,76.89,78.1,18673080.0
2011-04-01,78.07,81.33,77.73,80.94,19775970.0
2011-04-02,78.07,81.33,77.73,80.94,19775970.0
2011-04-03,78.07,81.33,77.73,80.94,19775970.0
2011-04-04,81.82,82.84,81.32,82.34,12060640.0
2011-04-05,82.57,85.14,80.64,84.57,18418190.0
2011-04-06,84.73,86.22,84.19,84.97,17391180.0
2011-04-07,86.42,86.51,84.39,85.33,9840370.0
2011-04-08,85.15,86.07,82.78,83.44,13669150.0
2011-04-09,85.15,86.07,82.78,83.44,13669150.0
2011-04-10,85.15,86.07,82.78,83.44,13669150.0
2011-04-11,83.1,83.19,81.1,81.55,10152670.0
2011-04-12,83.1,83.19,81.1,81.55,10152670.0
2011-04-13,80.93,84.29,80.54,81.98,12616340.0
2011-04-14,80.93,84.29,80.54,81.98,12616340.0
2011-04-15,81.96,83.01,81.14,81.67,10473460.0
2011-04-16,81.96,83.01,81.14,81.67,10473460.0
2011-04-17,81.96,83.01,81.14,81.67,10473460.0
2011-04-18,81.76,82.73,79.36,79.73,11555690.0
2011-04-19,79.44,80.12,78.41,79.78,8993730.0
2011-04-20,81.37,83.1,79.96,82.69,15105970.0
2011-04-21,83.1,84.27,82.51,83.02,9803690.0
2011-04-22,83.1,84.27,82.51,83.02,9803690.0
