,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity,JSTL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,86.14,86.56,85.3,85.57,9012610.0
2010-01-02,86.14,86.56,85.3,85.57,9012610.0
2010-01-03,86.14,86.56,85.3,85.57,9012610.0
2010-01-04,85.97,86.86,85.3,86.39,7968310.0
2010-01-05,87.07,96.95,86.72,95.84,49796100.0
2010-01-06,95.77,97.7,94.21,97.03,40004400.0
2010-01-07,97.54,97.54,94.37,94.96,15400360.0
2010-01-08,94.67,96.05,93.33,94.42,15193360.0
2010-01-09,94.67,96.05,93.33,94.42,15193360.0
2010-01-10,94.67,96.05,93.33,94.42,15193360.0
2010-01-11,94.59,97.69,94.59,96.5,22131460.0
2010-01-12,95.85,97.12,94.63,95.26,14511610.0
2010-01-13,89.0,97.11,89.0,96.41,19079690.0
2010-01-14,97.29,100.32,96.17,99.83,29449330.0
2010-01-15,100.5,101.91,98.81,99.64,24936490.0
2010-01-16,100.5,101.91,98.81,99.64,24936490.0
2010-01-17,100.5,101.91,98.81,99.64,24936490.0
2010-01-18,98.81,99.64,97.29,98.72,11304270.0
2010-01-19,98.81,99.64,96.95,97.56,12589460.0
2010-01-20,97.37,99.23,96.7,97.43,16807200.0
2010-01-21,97.36,98.38,94.59,94.97,12548630.0
2010-01-22,92.9,94.16,89.62,92.7,14285070.0
2010-01-23,92.9,94.16,89.62,92.7,14285070.0
2010-01-24,92.9,94.16,89.62,92.7,14285070.0
2010-01-25,93.66,93.66,88.36,89.09,13100180.0
2010-01-26,93.66,93.66,88.36,89.09,13100180.0
2010-01-27,88.76,88.76,80.08,81.07,28527260.0
2010-01-28,82.34,84.27,81.58,83.59,26250470.0
2010-01-29,82.85,84.35,78.54,83.23,24363790.0
2010-01-30,82.85,84.35,78.54,83.23,24363790.0
2010-01-31,82.85,84.35,78.54,83.23,24363790.0
2010-02-01,81.5,85.27,81.08,84.08,21526970.0
2010-02-02,85.13,86.95,81.5,82.29,21833490.0
2010-02-03,82.68,89.67,82.68,89.16,33714020.0
2010-02-04,88.51,89.07,85.73,86.39,23761290.0
2010-02-05,84.03,84.45,79.17,81.51,29262340.0
2010-02-06,81.92,83.61,81.92,83.21,3105280.0
2010-02-07,81.92,83.61,81.92,83.21,3105280.0
2010-02-08,83.61,85.97,80.08,83.04,43586290.0
2010-02-09,82.34,84.16,81.92,83.33,25694770.0
2010-02-10,84.03,85.3,80.42,81.12,25595490.0
2010-02-11,81.84,83.94,81.84,83.33,18482900.0
2010-02-12,81.84,83.94,81.84,83.33,18482900.0
2010-02-13,81.84,83.94,81.84,83.33,18482900.0
2010-02-14,81.84,83.94,81.84,83.33,18482900.0
2010-02-15,83.78,85.79,82.79,85.41,21210150.0
2010-02-16,85.76,86.62,84.88,86.36,16431660.0
2010-02-17,87.49,90.79,86.81,89.76,21518310.0
2010-02-18,90.62,91.2,86.9,89.59,20555400.0
2010-02-19,88.25,88.67,85.52,86.3,20221490.0
2010-02-20,88.25,88.67,85.52,86.3,20221490.0
2010-02-21,88.25,88.67,85.52,86.3,20221490.0
2010-02-22,95.94,95.94,86.34,86.91,16295480.0
2010-02-23,86.23,89.43,86.14,88.98,23598550.0
