,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity,GDPL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,82.05,84.33,81.05,83.2,480163.0
2010-01-02,82.05,84.33,81.05,83.2,480163.0
2010-01-03,82.05,84.33,81.05,83.2,480163.0
2010-01-04,83.23,85.54,82.02,82.44,137011.0
2010-01-05,82.44,83.96,80.38,80.98,181785.0
2010-01-06,81.41,82.32,79.74,80.74,105717.0
2010-01-07,80.86,81.53,78.8,79.95,141573.0
2010-01-08,80.2,82.63,79.19,81.29,184978.0
2010-01-09,80.2,82.63,79.19,81.29,184978.0
2010-01-10,80.2,82.63,79.19,81.29,184978.0
2010-01-11,82.29,85.66,80.26,83.96,479630.0
2010-01-12,85.18,87.33,83.84,85.54,865072.0
2010-01-13,85.06,85.66,83.08,83.87,357963.0
2010-01-14,89.52,89.52,84.02,84.57,201515.0
2010-01-15,85.09,85.66,82.02,83.11,233435.0
2010-01-16,85.09,85.66,82.02,83.11,233435.0
2010-01-17,85.09,85.66,82.02,83.11,233435.0
2010-01-18,81.41,86.21,81.41,85.09,211541.0
2010-01-19,86.82,88.94,85.06,85.75,803152.0
2010-01-20,86.21,88.31,84.9,86.67,309535.0
2010-01-21,85.66,86.76,81.71,82.53,89569.0
2010-01-22,80.2,82.32,78.98,81.02,120151.0
2010-01-23,80.2,82.32,78.98,81.02,120151.0
2010-01-24,80.2,82.32,78.98,81.02,120151.0
2010-01-25,81.2,81.96,79.01,80.16,51850.0
2010-01-26,81.2,81.96,79.01,80.16,51850.0
2010-01-27,79.59,81.11,76.19,77.25,136627.0
2010-01-28,77.16,78.37,74.45,75.67,359614.0
2010-01-29,74.73,78.98,71.69,77.89,221684.0
2010-01-30,74.73,78.98,71.69,77.89,221684.0
2010-01-31,74.73,78.98,71.69,77.89,221684.0
2010-02-01,74.12,78.55,74.12,78.04,77222.0
2010-02-02,79.89,80.62,77.64,78.55,102184.0
2010-02-03,78.68,79.98,77.37,77.95,66457.0
2010-02-04,78.4,79.89,77.77,78.98,191165.0
2010-02-05,76.06,79.59,74.88,79.01,144431.0
2010-02-06,79.28,81.41,77.64,79.04,55433.0
2010-02-07,79.28,81.41,77.64,79.04,55433.0
2010-02-08,79.04,80.74,78.43,79.44,59432.0
2010-02-09,80.71,80.8,78.98,79.92,50943.0
2010-02-10,81.23,82.44,79.65,81.93,138939.0
2010-02-11,81.93,86.51,81.93,84.24,470879.0
2010-02-12,81.93,86.51,81.93,84.24,470879.0
