,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity,SOTL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,48.95,53.77,48.95,51.68,6903090.0
2010-01-02,48.95,53.77,48.95,51.68,6903090.0
2010-01-03,48.95,53.77,48.95,51.68,6903090.0
2010-01-04,51.83,52.95,50.43,52.4,1957170.0
2010-01-05,53.14,53.14,51.27,51.68,1062440.0
2010-01-06,52.19,52.46,50.57,50.89,665270.0
2010-01-07,50.99,51.68,49.78,50.38,571455.0
2010-01-08,50.29,51.32,50.02,50.27,692705.0
2010-01-09,50.29,51.32,50.02,50.27,692705.0
2010-01-10,50.29,51.32,50.02,50.27,692705.0
2010-01-11,49.02,53.21,49.02,52.58,2246290.0
2010-01-12,54.7,58.69,53.51,54.29,9821085.0
2010-01-13,53.9,57.01,53.65,56.46,4985045.0
2010-01-14,57.5,58.37,56.59,57.08,3133240.0
2010-01-15,57.57,60.09,57.08,59.31,4702305.0
2010-01-16,57.57,60.09,57.08,59.31,4702305.0
2010-01-17,57.57,60.09,57.08,59.31,4702305.0
2010-01-18,59.53,61.42,57.51,58.74,8558505.0
2010-01-19,59.46,60.09,58.74,59.11,2926650.0
2010-01-20,59.52,59.66,57.44,58.4,2762465.0
2010-01-21,58.55,58.94,56.73,57.25,1522565.0
2010-01-22,56.03,59.18,53.32,57.4,2532120.0
2010-01-23,56.03,59.18,53.32,57.4,2532120.0
2010-01-24,56.03,59.18,53.32,57.4,2532120.0
2010-01-25,58.27,58.27,55.84,56.57,1531215.0
2010-01-26,58.27,58.27,55.84,56.57,1531215.0
2010-01-27,56.03,57.26,55.33,55.68,1649965.0
2010-01-28,56.03,57.29,54.94,56.05,1710780.0
2010-01-29,55.89,56.38,54.63,56.12,1333330.0
2010-01-30,55.89,56.38,54.63,56.12,1333330.0
2010-01-31,55.89,56.38,54.63,56.12,1333330.0
2010-02-01,56.17,56.7,55.41,55.63,683610.0
2010-02-02,56.73,58.41,56.32,57.2,2261510.0
2010-02-03,57.43,58.79,56.73,58.41,886285.0
2010-02-04,58.84,59.53,57.58,58.38,1248625.0
2010-02-05,56.03,57.71,54.77,56.63,949815.0
2010-02-06,57.57,57.57,56.35,56.65,152300.0
2010-02-07,57.57,57.57,56.35,56.65,152300.0
2010-02-08,56.92,57.57,56.38,56.92,661880.0
2010-02-09,57.01,58.66,56.87,58.04,767820.0
2010-02-10,58.76,59.36,57.43,57.66,658945.0
2010-02-11,57.86,58.96,57.86,58.49,529870.0
2010-02-12,57.86,58.96,57.86,58.49,529870.0
2010-02-13,57.86,58.96,57.86,58.49,529870.0
2010-02-14,57.86,58.96,57.86,58.49,529870.0
2010-02-15,58.97,59.07,57.44,57.65,298280.0
2010-02-16,57.78,58.38,56.9,57.25,449495.0
2010-02-17,58.12,58.12,56.31,56.81,470300.0
2010-02-18,57.01,57.57,55.54,55.83,461470.0
2010-02-19,56.15,56.15,54.66,55.18,414095.0
2010-02-20,56.15,56.15,54.66,55.18,414095.0
2010-02-21,56.15,56.15,54.66,55.18,414095.0
2010-02-22,56.04,57.44,54.77,55.19,1434430.0
2010-02-23,55.82,55.82,54.49,55.02,451265.0
2010-02-24,55.3,55.75,54.42,54.73,326120.0
2010-02-25,55.03,56.13,54.49,55.14,718675.0
2010-02-26,55.19,57.39,55.19,56.74,1023005.0
2010-02-27,55.19,57.39,55.19,56.74,1023005.0
2010-02-28,55.19,57.39,55.19,56.74,1023005.0
2010-03-01,55.19,57.39,55.19,56.74,1023005.0
2010-03-02,57.36,62.24,56.58,61.2,5368330.0
2010-03-03,61.77,63.45,59.82,60.34,3734950.0
2010-03-04,60.79,62.15,60.4,60.82,3742300.0
2010-03-05,61.63,63.87,58.42,58.86,9600800.0
2010-03-06,61.63,63.87,58.42,58.86,9600800.0
2010-03-07,61.63,63.87,58.42,58.86,9600800.0
2010-03-08,60.01,61.62,59.53,61.36,5437450.0
2010-03-09,62.3,67.02,60.51,62.65,3486010.0
2010-03-10,63.03,64.43,60.93,61.6,827861.0
2010-03-11,60.93,61.63,57.43,59.77,985392.0
2010-03-12,60.72,61.56,59.25,60.41,1031533.0
2010-03-13,60.72,61.56,59.25,60.41,1031533.0
2010-03-14,60.72,61.56,59.25,60.41,1031533.0
2010-03-15,60.23,60.27,58.16,58.55,761515.0
