,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity,JAGP IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,103.0,103.14,97.58,99.29,186558.0
2010-01-02,103.0,103.14,97.58,99.29,186558.0
2010-01-03,103.0,103.14,97.58,99.29,186558.0
2010-01-04,95.91,100.31,95.91,98.13,113429.0
2010-01-05,102.93,102.93,98.35,101.04,221505.0
2010-01-06,101.76,103.29,95.98,98.97,373269.0
2010-01-07,99.91,101.04,97.66,98.57,611539.0
2010-01-08,99.55,99.87,95.69,96.35,59648.0
2010-01-09,99.55,99.87,95.69,96.35,59648.0
2010-01-10,99.55,99.87,95.69,96.35,59648.0
2010-01-11,96.75,100.75,95.59,96.64,220203.0
2010-01-12,93.51,99.58,93.51,96.49,311232.0
2010-01-13,98.13,98.13,93.77,94.93,107211.0
2010-01-14,92.13,97.77,92.13,95.33,259567.0
2010-01-15,95.95,96.17,92.5,93.08,138009.0
2010-01-16,95.95,96.17,92.5,93.08,138009.0
2010-01-17,95.95,96.17,92.5,93.08,138009.0
2010-01-18,93.99,95.73,90.9,91.99,125903.0
2010-01-19,92.71,95.88,91.22,92.13,268463.0
2010-01-20,91.62,93.11,87.66,89.01,217369.0
2010-01-21,88.86,91.44,87.41,89.15,86856.0
2010-01-22,87.23,91.22,86.57,89.33,736939.0
2010-01-23,87.23,91.22,86.57,89.33,736939.0
2010-01-24,87.23,91.22,86.57,89.33,736939.0
2010-01-25,89.41,90.86,87.63,90.42,472228.0
2010-01-26,89.41,90.86,87.63,90.42,472228.0
2010-01-27,89.04,90.86,84.72,86.83,119171.0
2010-01-28,86.5,90.79,86.5,88.83,270478.0
2010-01-29,87.95,88.83,85.41,87.7,61076.0
2010-01-30,87.95,88.83,85.41,87.7,61076.0
2010-01-31,87.95,88.83,85.41,87.7,61076.0
2010-02-01,89.04,90.86,87.95,89.44,30785.0
2010-02-02,90.86,100.93,90.75,92.6,438902.0
2010-02-03,95.22,97.26,92.31,95.8,257054.0
2010-02-04,95.95,96.89,92.82,94.06,1029101.0
2010-02-05,93.04,93.26,85.12,87.81,1056924.0
2010-02-06,87.52,90.93,86.5,90.02,37660.0
2010-02-07,87.52,90.93,86.5,90.02,37660.0
2010-02-08,86.5,91.95,86.5,90.9,82700.0
2010-02-09,91.95,93.77,88.79,91.19,60847.0
2010-02-10,91.59,94.71,90.5,93.08,91155.0
2010-02-11,93.22,94.49,90.13,91.15,32020.0
2010-02-12,93.22,94.49,90.13,91.15,32020.0
2010-02-13,93.22,94.49,90.13,91.15,32020.0
2010-02-14,93.22,94.49,90.13,91.15,32020.0
2010-02-15,91.95,93.37,88.97,89.99,43094.0
2010-02-16,91.3,91.59,88.83,89.59,11900.0
2010-02-17,90.82,91.44,88.83,89.73,30082.0
2010-02-18,90.13,91.22,86.79,87.48,41050.0
2010-02-19,88.97,89.37,85.95,87.15,44350.0
2010-02-20,88.97,89.37,85.95,87.15,44350.0
2010-02-21,88.97,89.37,85.95,87.15,44350.0
2010-02-22,90.86,91.51,84.35,85.81,42998.0
2010-02-23,86.17,89.37,85.08,87.95,123179.0
2010-02-24,87.23,88.39,85.77,86.24,25485.0
2010-02-25,88.68,88.68,85.99,86.97,24468.0
2010-02-26,86.72,90.1,85.81,86.46,39553.0
2010-02-27,86.72,90.1,85.81,86.46,39553.0
2010-02-28,86.72,90.1,85.81,86.46,39553.0
2010-03-01,86.72,90.1,85.81,86.46,39553.0
2010-03-02,87.41,88.61,86.54,86.68,29193.0
2010-03-03,89.33,89.33,86.14,86.75,57229.0
2010-03-04,87.23,88.24,86.5,87.01,29249.0
2010-03-05,88.13,88.32,85.84,86.46,86194.0
2010-03-06,88.13,88.32,85.84,86.46,86194.0
2010-03-07,88.13,88.32,85.84,86.46,86194.0
2010-03-08,87.15,93.55,81.41,88.97,30387389.0
2010-03-09,90.86,91.51,85.05,85.63,462285.0
2010-03-10,86.86,88.68,85.05,85.99,208290.0
2010-03-11,87.08,87.08,83.08,85.95,194577.0
2010-03-12,85.41,87.01,85.23,86.24,86414.0
2010-03-13,85.41,87.01,85.23,86.24,86414.0
2010-03-14,85.41,87.01,85.23,86.24,86414.0
2010-03-15,87.88,90.13,86.86,87.73,223645.0
2010-03-16,89.04,93.4,86.9,91.33,527393.0
2010-03-17,90.86,93.04,90.17,91.62,336051.0
2010-03-18,91.62,91.91,89.48,90.82,119398.0
2010-03-19,91.91,92.31,89.77,90.35,80660.0
2010-03-20,91.91,92.31,89.77,90.35,80660.0
2010-03-21,91.91,92.31,89.77,90.35,80660.0
2010-03-22,90.13,90.32,87.23,88.1,42302.0
2010-03-23,90.86,90.86,86.72,87.41,153878.0
2010-03-24,90.86,90.86,86.72,87.41,153878.0
2010-03-25,89.22,90.1,85.12,85.95,156435.0
2010-03-26,86.03,90.71,85.77,87.3,191364.0
2010-03-27,86.03,90.71,85.77,87.3,191364.0
2010-03-28,86.03,90.71,85.77,87.3,191364.0
2010-03-29,87.66,87.88,85.88,86.24,44910.0
2010-03-30,83.77,86.79,83.77,85.84,77084.0
2010-03-31,87.01,89.04,83.08,85.48,524322.0
2010-04-01,86.43,86.43,84.68,85.7,150654.0
2010-04-02,86.43,86.43,84.68,85.7,150654.0
2010-04-03,86.43,86.43,84.68,85.7,150654.0
2010-04-04,86.43,86.43,84.68,85.7,150654.0
2010-04-05,86.43,87.15,85.12,85.74,630783.0
2010-04-06,86.43,89.41,84.79,85.3,252667.0
2010-04-07,86.46,92.9,85.92,88.97,1780694.0
2010-04-08,89.84,91.88,86.5,87.7,1059883.0
2010-04-09,89.04,89.41,88.1,88.72,199649.0
2010-04-10,89.04,89.41,88.1,88.72,199649.0
2010-04-11,89.04,89.41,88.1,88.72,199649.0
2010-04-12,89.04,89.33,86.86,87.3,163062.0
2010-04-13,88.32,90.86,87.88,88.75,465400.0
2010-04-14,88.32,90.86,87.88,88.75,465400.0
2010-04-15,90.02,90.28,88.32,88.68,272939.0
2010-04-16,88.68,89.92,88.32,89.12,114767.0
2010-04-17,88.68,89.92,88.32,89.12,114767.0
2010-04-18,88.68,89.92,88.32,89.12,114767.0
2010-04-19,87.3,90.06,86.5,87.59,316874.0
2010-04-20,88.03,88.97,87.08,87.59,76287.0
2010-04-21,87.59,88.64,86.5,87.92,230194.0
2010-04-22,88.1,89.01,87.23,88.03,234995.0
2010-04-23,88.03,88.43,87.48,87.95,42599.0
2010-04-24,88.03,88.43,87.48,87.95,42599.0
2010-04-25,88.03,88.43,87.48,87.95,42599.0
2010-04-26,93.04,93.04,87.95,88.03,39440.0
2010-04-27,87.59,89.3,87.33,87.95,175038.0
2010-04-28,88.32,88.68,84.35,85.63,99375.0
2010-04-29,86.79,88.64,85.92,87.23,203687.0
2010-04-30,88.61,88.61,86.68,87.23,224606.0
2010-05-01,88.61,88.61,86.68,87.23,224606.0
2010-05-02,88.61,88.61,86.68,87.23,224606.0
2010-05-03,88.43,88.53,85.48,86.14,36346.0
2010-05-04,87.23,87.88,85.77,86.21,159350.0
2010-05-05,85.05,86.21,83.01,83.81,316998.0
2010-05-06,82.86,91.59,81.88,83.52,895075.0
2010-05-07,81.41,83.66,76.72,79.99,601316.0
2010-05-08,81.41,83.66,76.72,79.99,601316.0
2010-05-09,81.41,83.66,76.72,79.99,601316.0
2010-05-10,79.81,83.56,79.81,82.14,278819.0
2010-05-11,82.5,84.32,78.5,79.23,335021.0
2010-05-12,79.23,80.68,78.14,79.23,155119.0
2010-05-13,80.68,82.72,80.54,81.59,3277638.0
2010-05-14,82.46,82.86,79.59,79.92,97067.0
2010-05-15,82.46,82.86,79.59,79.92,97067.0
2010-05-16,82.46,82.86,79.59,79.92,97067.0
2010-05-17,87.12,87.12,78.54,80.21,296054.0
2010-05-18,80.57,84.32,79.23,83.56,316149.0
2010-05-19,84.32,84.32,81.77,82.25,166180.0
2010-05-20,83.59,83.59,79.23,79.7,106359.0
2010-05-21,79.23,79.92,77.09,78.32,40509.0
2010-05-22,79.23,79.92,77.09,78.32,40509.0
2010-05-23,79.23,79.92,77.09,78.32,40509.0
2010-05-24,80.25,82.07,78.5,79.01,43612.0
2010-05-25,79.23,79.88,76.36,77.74,99931.0
2010-05-26,79.23,79.23,76.72,77.52,175023.0
2010-05-27,77.67,79.59,75.89,77.19,85090.0
2010-05-28,79.23,79.88,77.05,77.41,245070.0
2010-05-29,79.23,79.88,77.05,77.41,245070.0
2010-05-30,79.23,79.88,77.05,77.41,245070.0
2010-05-31,77.27,78.9,77.05,77.96,49873.0
2010-06-01,78.87,80.61,77.85,79.81,132162.0
2010-06-02,81.01,83.56,79.23,82.83,279572.0
2010-06-03,82.86,85.05,81.48,84.72,90862.0
2010-06-04,84.32,86.5,82.68,85.41,61649.0
2010-06-05,84.32,86.5,82.68,85.41,61649.0
2010-06-06,84.32,86.5,82.68,85.41,61649.0
2010-06-07,82.86,87.23,80.87,85.23,159249.0
2010-06-08,84.32,86.64,83.85,84.72,78413.0
2010-06-09,85.41,85.77,83.99,85.12,142237.0
2010-06-10,84.83,86.43,84.5,85.84,48584.0
2010-06-11,86.86,88.97,85.77,88.17,191320.0
2010-06-12,86.86,88.97,85.77,88.17,191320.0
2010-06-13,86.86,88.97,85.77,88.17,191320.0
2010-06-14,88.83,89.77,87.26,88.13,203697.0
2010-06-15,87.37,92.06,87.37,90.06,243586.0
2010-06-16,90.13,93.62,89.52,92.6,479171.0
2010-06-17,92.31,92.86,90.13,91.95,63234.0
2010-06-18,92.57,93.04,90.13,91.08,55855.0
2010-06-19,92.57,93.04,90.13,91.08,55855.0
2010-06-20,92.57,93.04,90.13,91.08,55855.0
2010-06-21,94.13,94.49,90.86,92.13,66113.0
2010-06-22,89.66,92.31,89.52,90.42,202586.0
2010-06-23,90.86,92.31,90.71,91.66,56440.0
2010-06-24,92.31,93.04,88.86,90.35,48664.0
2010-06-25,90.86,91.3,87.37,88.21,62798.0
2010-06-26,90.86,91.3,87.37,88.21,62798.0
2010-06-27,90.86,91.3,87.37,88.21,62798.0
2010-06-28,91.59,91.59,87.26,88.9,28816.0
2010-06-29,88.1,89.33,85.15,86.39,334889.0
2010-06-30,86.14,92.24,85.05,90.46,217902.0
2010-07-01,91.88,93.55,89.08,90.75,275210.0
2010-07-02,90.71,91.59,88.9,89.55,57461.0
2010-07-03,90.71,91.59,88.9,89.55,57461.0
2010-07-04,90.71,91.59,88.9,89.55,57461.0
2010-07-05,90.86,90.86,88.68,89.88,50895.0
2010-07-06,89.62,92.31,89.44,91.55,108333.0
2010-07-07,93.59,93.59,89.59,91.99,275982.0
2010-07-08,91.77,93.04,88.68,90.1,54350.0
2010-07-09,90.86,91.59,89.48,90.79,50253.0
2010-07-10,90.86,91.59,89.48,90.79,50253.0
2010-07-11,90.86,91.59,89.48,90.79,50253.0
2010-07-12,95.22,101.76,92.42,93.66,1784284.0
2010-07-13,93.77,94.49,91.7,92.42,289126.0
2010-07-14,93.04,94.02,91.04,92.13,134739.0
2010-07-15,91.66,92.21,89.81,90.64,104039.0
2010-07-16,91.51,91.81,88.83,89.95,103808.0
2010-07-17,91.51,91.81,88.83,89.95,103808.0
2010-07-18,91.51,91.81,88.83,89.95,103808.0
2010-07-19,90.86,90.86,88.86,89.3,77468.0
2010-07-20,90.79,90.79,87.95,88.72,70152.0
2010-07-21,89.41,91.44,88.06,90.1,407741.0
2010-07-22,89.77,90.71,89.04,89.41,56448.0
2010-07-23,90.5,90.79,88.68,89.04,360279.0
