,GAIL IN Equity,GAIL IN Equity,GAIL IN Equity,GAIL IN Equity,GAIL IN Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,49.36,50.32,49.36,49.75,4358329.0
2010-01-02,49.36,50.32,49.36,49.75,4358329.0
2010-01-03,49.36,50.32,49.36,49.75,4358329.0
2010-01-04,49.84,50.63,49.52,49.96,5145378.0
2010-01-05,50.19,50.63,48.54,50.4,13185793.0
2010-01-06,50.56,50.78,49.61,50.07,6624819.0
2010-01-07,50.25,51.48,50.08,51.32,11479078.0
2010-01-08,51.52,52.4,51.1,51.61,13133303.0
2010-01-09,51.52,52.4,51.1,51.61,13133303.0
2010-01-10,51.52,52.4,51.1,51.61,13133303.0
2010-01-11,51.76,52.31,51.16,52.05,11911877.0
2010-01-12,51.42,52.22,51.28,51.48,5797403.0
2010-01-13,51.4,51.52,50.69,51.22,6584755.0
2010-01-14,51.52,52.17,51.2,51.76,11459291.0
2010-01-15,51.88,51.92,51.13,51.22,5110786.0
2010-01-16,51.88,51.92,51.13,51.22,5110786.0
2010-01-17,51.88,51.92,51.13,51.22,5110786.0
2010-01-18,51.52,53.45,50.93,52.79,17120961.0
2010-01-19,54.05,54.1,50.83,51.29,15172924.0
2010-01-20,51.51,52.13,49.6,50.73,16860887.0
2010-01-21,50.56,51.31,49.12,49.51,7587686.0
2010-01-22,49.12,49.36,47.57,48.12,18784828.0
2010-01-23,49.12,49.36,47.57,48.12,18784828.0
2010-01-24,49.12,49.36,47.57,48.12,18784828.0
2010-01-25,47.91,48.62,47.58,48.16,7216839.0
2010-01-26,47.91,48.62,47.58,48.16,7216839.0
2010-01-27,48.45,48.45,46.05,47.06,14062825.0
2010-01-28,47.55,49.12,46.72,47.78,14244318.0
2010-01-29,47.73,47.92,46.85,47.44,7700523.0
2010-01-30,47.73,47.92,46.85,47.44,7700523.0
2010-01-31,47.73,47.92,46.85,47.44,7700523.0
2010-02-01,47.42,49.98,47.19,49.67,8951581.0
2010-02-02,50.28,50.28,47.56,47.96,7716981.0
2010-02-03,48.63,49.53,48.39,48.84,5525158.0
2010-02-04,49.6,51.1,49.57,50.4,19789135.0
2010-02-05,49.36,50.98,48.9,50.07,20628871.0
2010-02-06,50.33,50.86,49.72,50.47,2152223.0
2010-02-07,50.33,50.86,49.72,50.47,2152223.0
2010-02-08,51.15,51.16,48.88,49.37,15922319.0
2010-02-09,49.36,49.84,49.0,49.2,7953754.0
2010-02-10,49.18,50.04,48.83,49.12,10103162.0
2010-02-11,49.6,49.87,49.24,49.63,4685352.0
2010-02-12,49.6,49.87,49.24,49.63,4685352.0
2010-02-13,49.6,49.87,49.24,49.63,4685352.0
2010-02-14,49.6,49.87,49.24,49.63,4685352.0
2010-02-15,48.27,50.25,48.27,48.98,5443105.0
2010-02-16,49.06,49.56,48.66,49.37,7107970.0
2010-02-17,49.6,49.89,49.13,49.46,8104948.0
2010-02-18,49.36,49.36,48.42,48.65,9124844.0
2010-02-19,48.62,48.86,47.96,48.69,5941936.0
2010-02-20,48.62,48.86,47.96,48.69,5941936.0
2010-02-21,48.62,48.86,47.96,48.69,5941936.0
2010-02-22,49.0,49.36,47.11,48.68,4350873.0
2010-02-23,48.63,49.84,48.51,49.2,5743696.0
2010-02-24,48.67,49.36,48.51,48.89,6636403.0
2010-02-25,48.88,48.98,47.76,48.05,7930432.0
2010-02-26,48.39,49.6,47.68,48.01,14218585.0
2010-02-27,48.39,49.6,47.68,48.01,14218585.0
2010-02-28,48.39,49.6,47.68,48.01,14218585.0
2010-03-01,48.39,49.6,47.68,48.01,14218585.0
2010-03-02,48.35,48.58,46.37,47.26,10946439.0
2010-03-03,47.89,48.47,47.31,48.16,8088591.0
2010-03-04,48.26,48.42,47.62,48.16,8266708.0
2010-03-05,48.88,49.48,48.45,49.22,8336852.0
2010-03-06,48.88,49.48,48.45,49.22,8336852.0
2010-03-07,48.88,49.48,48.45,49.22,8336852.0
2010-03-08,49.8,50.22,49.36,49.5,10793133.0
2010-03-09,49.59,49.84,48.7,49.07,3705979.0
2010-03-10,49.24,49.48,48.77,49.04,5448204.0
2010-03-11,49.24,50.5,48.95,50.23,8949287.0
2010-03-12,50.5,51.11,50.2,50.46,9321105.0
2010-03-13,50.5,51.11,50.2,50.46,9321105.0
2010-03-14,50.5,51.11,50.2,50.46,9321105.0
2010-03-15,47.38,50.44,47.38,49.5,4259818.0
2010-03-16,48.28,50.2,48.28,49.84,3320348.0
2010-03-17,49.95,51.13,49.95,50.67,3413820.0
2010-03-18,50.8,51.09,50.13,50.37,2928664.0
2010-03-19,50.44,50.98,49.6,49.85,4804035.0
2010-03-20,50.44,50.98,49.6,49.85,4804035.0
2010-03-21,50.44,50.98,49.6,49.85,4804035.0
2010-03-22,49.96,50.54,48.83,49.07,5145815.0
2010-03-23,49.27,49.72,48.72,49.1,7624816.0
2010-03-24,49.27,49.72,48.72,49.1,7624816.0
2010-03-25,49.12,49.12,48.15,48.36,23308704.0
2010-03-26,48.39,48.85,48.16,48.34,16293486.0
2010-03-27,48.39,48.85,48.16,48.34,16293486.0
2010-03-28,48.39,48.85,48.16,48.34,16293486.0
2010-03-29,48.39,49.36,47.7,48.23,10570206.0
2010-03-30,48.29,48.51,48.03,48.2,15469173.0
2010-03-31,49.36,49.59,48.2,49.43,11820111.0
2010-04-01,49.24,49.81,49.01,49.42,5306103.0
2010-04-02,49.24,49.81,49.01,49.42,5306103.0
2010-04-03,49.24,49.81,49.01,49.42,5306103.0
2010-04-04,49.24,49.81,49.01,49.42,5306103.0
2010-04-05,49.6,50.56,49.42,50.23,8972247.0
2010-04-06,50.38,50.42,49.24,50.21,6038389.0
2010-04-07,49.52,52.16,49.52,51.96,15724517.0
2010-04-08,51.88,52.45,51.05,51.38,7825077.0
2010-04-09,51.16,52.45,50.95,51.11,19155649.0
2010-04-10,51.16,52.45,50.95,51.11,19155649.0
2010-04-11,51.16,52.45,50.95,51.11,19155649.0
2010-04-12,51.28,51.28,49.3,49.5,25493285.0
2010-04-13,49.6,49.88,49.0,49.37,15206156.0
2010-04-14,49.6,49.88,49.0,49.37,15206156.0
2010-04-15,49.83,49.86,48.27,48.51,8545219.0
2010-04-16,48.63,49.48,48.44,49.31,17067697.0
2010-04-17,48.63,49.48,48.44,49.31,17067697.0
2010-04-18,48.63,49.48,48.44,49.31,17067697.0
2010-04-19,48.51,49.48,48.41,48.68,8480323.0
2010-04-20,49.93,55.3,49.24,51.22,50829124.0
2010-04-21,51.52,51.79,50.55,51.35,12562120.0
2010-04-22,50.96,51.75,50.64,50.88,8829858.0
2010-04-23,50.92,51.4,50.57,50.81,2904051.0
2010-04-24,50.92,51.4,50.57,50.81,2904051.0
2010-04-25,50.92,51.4,50.57,50.81,2904051.0
2010-04-26,50.99,51.39,50.58,50.93,5106925.0
2010-04-27,52.01,52.01,50.63,51.13,5615521.0
2010-04-28,50.48,51.28,50.08,50.73,9779434.0
2010-04-29,51.16,51.16,49.84,50.1,13467019.0
2010-04-30,50.21,51.87,49.72,51.66,11805765.0
2010-05-01,50.21,51.87,49.72,51.66,11805765.0
2010-05-02,50.21,51.87,49.72,51.66,11805765.0
2010-05-03,51.26,51.76,51.04,51.53,6891453.0
2010-05-04,51.82,52.17,51.16,51.37,11804400.0
2010-05-05,50.68,51.16,50.09,50.52,5952874.0
2010-05-06,50.32,51.56,49.92,51.35,9198428.0
2010-05-07,50.8,51.28,50.08,50.54,7774576.0
2010-05-08,50.8,51.28,50.08,50.54,7774576.0
2010-05-09,50.8,51.28,50.08,50.54,7774576.0
2010-05-10,50.68,51.92,50.49,51.49,5337969.0
2010-05-11,51.52,53.09,50.83,51.19,15747514.0
2010-05-12,51.16,52.13,50.99,51.97,7286481.0
2010-05-13,52.22,52.37,51.32,51.63,6233754.0
2010-05-14,51.28,52.17,51.28,51.49,4407263.0
2010-05-15,51.28,52.17,51.28,51.49,4407263.0
2010-05-16,51.28,52.17,51.28,51.49,4407263.0
2010-05-17,50.59,52.37,50.38,52.13,8311945.0
2010-05-18,53.09,53.5,51.89,53.08,10346585.0
2010-05-19,53.09,53.23,51.55,52.03,7706933.0
2010-05-20,52.51,54.61,52.37,53.19,22446850.0
2010-05-21,52.62,55.01,48.4,54.62,16980625.0
2010-05-22,52.62,55.01,48.4,54.62,16980625.0
2010-05-23,52.62,55.01,48.4,54.62,16980625.0
2010-05-24,55.12,55.26,53.85,54.38,9083703.0
2010-05-25,53.68,54.28,52.66,53.74,5891130.0
2010-05-26,53.93,54.83,53.33,53.94,8465795.0
2010-05-27,53.57,54.77,53.16,54.43,12455736.0
2010-05-28,55.26,55.37,53.59,53.97,5814416.0
2010-05-29,55.26,55.37,53.59,53.97,5814416.0
2010-05-30,55.26,55.37,53.59,53.97,5814416.0
2010-05-31,54.63,54.94,53.96,54.61,6966178.0
2010-06-01,54.83,55.26,53.82,54.17,5056733.0
2010-06-02,54.64,54.95,54.18,54.7,8223103.0
2010-06-03,55.26,56.16,54.9,55.57,10256500.0
2010-06-04,55.96,56.69,55.14,55.47,14379651.0
2010-06-05,55.96,56.69,55.14,55.47,14379651.0
2010-06-06,55.96,56.69,55.14,55.47,14379651.0
2010-06-07,55.12,55.9,53.83,54.52,9152476.0
2010-06-08,54.29,55.47,53.81,54.17,12658013.0
