,CAB MK Equity
,RETURN_COM_EQY
2010-01-01,15.4927
2010-01-02,15.4927
2010-01-03,15.4927
2010-01-04,15.4927
2010-01-05,15.4927
2010-01-06,15.4927
2010-01-07,15.4927
2010-01-08,15.4927
2010-01-09,15.4927
2010-01-10,15.4927
2010-01-11,15.4927
2010-01-12,15.4927
2010-01-13,15.4927
2010-01-14,15.4927
2010-01-15,15.4927
2010-01-16,15.4927
2010-01-17,15.4927
2010-01-18,15.4927
2010-01-19,15.4927
2010-01-20,15.4927
2010-01-21,15.4927
2010-01-22,15.4927
2010-01-23,15.4927
2010-01-24,15.4927
2010-01-25,15.4927
2010-01-26,15.4927
2010-01-27,15.4927
2010-01-28,15.4927
2010-01-29,15.4927
2010-01-30,15.4927
2010-01-31,15.4927
2010-02-01,15.4927
2010-02-02,15.4927
2010-02-03,15.4927
2010-02-04,15.4927
2010-02-05,15.4927
2010-02-06,15.4927
2010-02-07,15.4927
2010-02-08,15.4927
2010-02-09,15.4927
2010-02-10,15.4927
2010-02-11,15.4927
2010-02-12,15.4927
2010-02-13,15.4927
2010-02-14,15.4927
2010-02-15,15.4927
2010-02-16,15.4927
2010-02-17,15.4927
2010-02-18,15.4927
2010-02-19,15.4927
2010-02-20,15.4927
2010-02-21,15.4927
2010-02-22,15.4927
2010-02-23,15.4927
2010-02-24,15.4927
2010-02-25,15.4927
2010-02-26,15.4927
2010-02-27,15.4927
2010-02-28,15.4927
2010-03-01,15.4927
2010-03-02,15.4927
2010-03-03,15.4927
2010-03-04,15.4927
2010-03-05,15.4927
2010-03-06,15.4927
2010-03-07,15.4927
2010-03-08,15.4927
2010-03-09,15.4927
2010-03-10,15.4927
2010-03-11,15.4927
2010-03-12,15.4927
2010-03-13,15.4927
2010-03-14,15.4927
2010-03-15,15.4927
2010-03-16,15.4927
2010-03-17,15.4927
2010-03-18,15.4927
2010-03-19,15.4927
2010-03-20,15.4927
2010-03-21,15.4927
2010-03-22,15.4927
2010-03-23,15.4927
2010-03-24,15.4927
2010-03-25,15.4927
2010-03-26,15.4927
2010-03-27,15.4927
2010-03-28,15.4927
2010-03-29,15.4927
2010-03-30,15.4927
2010-03-31,17.8133
2010-04-01,17.8133
2010-04-02,17.8133
2010-04-03,17.8133
2010-04-04,17.8133
2010-04-05,17.8133
2010-04-06,17.8133
2010-04-07,17.8133
2010-04-08,17.8133
2010-04-09,17.8133
2010-04-10,17.8133
2010-04-11,17.8133
2010-04-12,17.8133
2010-04-13,17.8133
2010-04-14,17.8133
2010-04-15,17.8133
2010-04-16,17.8133
2010-04-17,17.8133
2010-04-18,17.8133
2010-04-19,17.8133
2010-04-20,17.8133
2010-04-21,17.8133
2010-04-22,17.8133
2010-04-23,17.8133
2010-04-24,17.8133
2010-04-25,17.8133
2010-04-26,17.8133
2010-04-27,17.8133
2010-04-28,17.8133
2010-04-29,17.8133
2010-04-30,17.8133
2010-05-01,17.8133
2010-05-02,17.8133
2010-05-03,17.8133
2010-05-04,17.8133
2010-05-05,17.8133
2010-05-06,17.8133
2010-05-07,17.8133
2010-05-08,17.8133
2010-05-09,17.8133
2010-05-10,17.8133
2010-05-11,17.8133
2010-05-12,17.8133
2010-05-13,17.8133
2010-05-14,17.8133
2010-05-15,17.8133
2010-05-16,17.8133
2010-05-17,17.8133
2010-05-18,17.8133
2010-05-19,17.8133
2010-05-20,17.8133
2010-05-21,17.8133
2010-05-22,17.8133
2010-05-23,17.8133
2010-05-24,17.8133
2010-05-25,17.8133
2010-05-26,17.8133
2010-05-27,17.8133
2010-05-28,17.8133
2010-05-29,17.8133
2010-05-30,17.8133
2010-05-31,17.8133
2010-06-01,17.8133
2010-06-02,17.8133
2010-06-03,17.8133
2010-06-04,17.8133
2010-06-05,17.8133
2010-06-06,17.8133
2010-06-07,17.8133
2010-06-08,17.8133
2010-06-09,17.8133
2010-06-10,17.8133
2010-06-11,17.8133
2010-06-12,17.8133
2010-06-13,17.8133
2010-06-14,17.8133
2010-06-15,17.8133
2010-06-16,17.8133
2010-06-17,17.8133
2010-06-18,17.8133
2010-06-19,17.8133
2010-06-20,17.8133
2010-06-21,17.8133
2010-06-22,17.8133
2010-06-23,17.8133
2010-06-24,17.8133
2010-06-25,17.8133
2010-06-26,17.8133
2010-06-27,17.8133
2010-06-28,17.8133
2010-06-29,17.8133
2010-06-30,21.5638
2010-07-01,21.5638
2010-07-02,21.5638
2010-07-03,21.5638
2010-07-04,21.5638
2010-07-05,21.5638
2010-07-06,21.5638
2010-07-07,21.5638
2010-07-08,21.5638
2010-07-09,21.5638
2010-07-10,21.5638
2010-07-11,21.5638
2010-07-12,21.5638
2010-07-13,21.5638
2010-07-14,21.5638
2010-07-15,21.5638
2010-07-16,21.5638
2010-07-17,21.5638
2010-07-18,21.5638
2010-07-19,21.5638
2010-07-20,21.5638
2010-07-21,21.5638
2010-07-22,21.5638
2010-07-23,21.5638
2010-07-24,21.5638
2010-07-25,21.5638
2010-07-26,21.5638
2010-07-27,21.5638
2010-07-28,21.5638
2010-07-29,21.5638
2010-07-30,21.5638
2010-07-31,21.5638
2010-08-01,21.5638
2010-08-02,21.5638
2010-08-03,21.5638
2010-08-04,21.5638
2010-08-05,21.5638
2010-08-06,21.5638
2010-08-07,21.5638
2010-08-08,21.5638
2010-08-09,21.5638
2010-08-10,21.5638
2010-08-11,21.5638
2010-08-12,21.5638
2010-08-13,21.5638
2010-08-14,21.5638
2010-08-15,21.5638
2010-08-16,21.5638
2010-08-17,21.5638
2010-08-18,21.5638
2010-08-19,21.5638
2010-08-20,21.5638
2010-08-21,21.5638
2010-08-22,21.5638
2010-08-23,21.5638
2010-08-24,21.5638
2010-08-25,21.5638
2010-08-26,21.5638
2010-08-27,21.5638
2010-08-28,21.5638
2010-08-29,21.5638
2010-08-30,21.5638
2010-08-31,21.5638
2010-09-01,21.5638
2010-09-02,21.5638
2010-09-03,21.5638
2010-09-04,21.5638
2010-09-05,21.5638
2010-09-06,21.5638
2010-09-07,21.5638
2010-09-08,21.5638
2010-09-09,21.5638
2010-09-10,21.5638
2010-09-11,21.5638
2010-09-12,21.5638
2010-09-13,21.5638
2010-09-14,21.5638
2010-09-15,21.5638
2010-09-16,21.5638
2010-09-17,21.5638
2010-09-18,21.5638
2010-09-19,21.5638
2010-09-20,21.5638
2010-09-21,21.5638
2010-09-22,21.5638
2010-09-23,21.5638
2010-09-24,21.5638
2010-09-25,21.5638
2010-09-26,21.5638
2010-09-27,21.5638
2010-09-28,21.5638
2010-09-29,21.5638
2010-09-30,22.7556
2010-10-01,22.7556
2010-10-02,22.7556
2010-10-03,22.7556
2010-10-04,22.7556
2010-10-05,22.7556
2010-10-06,22.7556
2010-10-07,22.7556
2010-10-08,22.7556
2010-10-09,22.7556
2010-10-10,22.7556
2010-10-11,22.7556
2010-10-12,22.7556
2010-10-13,22.7556
2010-10-14,22.7556
2010-10-15,22.7556
2010-10-16,22.7556
2010-10-17,22.7556
2010-10-18,22.7556
2010-10-19,22.7556
2010-10-20,22.7556
2010-10-21,22.7556
2010-10-22,22.7556
2010-10-23,22.7556
2010-10-24,22.7556
2010-10-25,22.7556
2010-10-26,22.7556
2010-10-27,22.7556
2010-10-28,22.7556
2010-10-29,22.7556
2010-10-30,22.7556
2010-10-31,22.7556
2010-11-01,22.7556
2010-11-02,22.7556
2010-11-03,22.7556
2010-11-04,22.7556
2010-11-05,22.7556
2010-11-06,22.7556
2010-11-07,22.7556
2010-11-08,22.7556
2010-11-09,22.7556
2010-11-10,22.7556
2010-11-11,22.7556
2010-11-12,22.7556
2010-11-13,22.7556
2010-11-14,22.7556
2010-11-15,22.7556
2010-11-16,22.7556
2010-11-17,22.7556
2010-11-18,22.7556
2010-11-19,22.7556
2010-11-20,22.7556
2010-11-21,22.7556
2010-11-22,22.7556
2010-11-23,22.7556
2010-11-24,22.7556
2010-11-25,22.7556
2010-11-26,22.7556
2010-11-27,22.7556
2010-11-28,22.7556
2010-11-29,22.7556
2010-11-30,22.7556
2010-12-01,22.7556
2010-12-02,22.7556
2010-12-03,22.7556
2010-12-04,22.7556
2010-12-05,22.7556
2010-12-06,22.7556
2010-12-07,22.7556
2010-12-08,22.7556
2010-12-09,22.7556
2010-12-10,22.7556
2010-12-11,22.7556
2010-12-12,22.7556
2010-12-13,22.7556
2010-12-14,22.7556
2010-12-15,22.7556
2010-12-16,22.7556
2010-12-17,22.7556
2010-12-18,22.7556
2010-12-19,22.7556
2010-12-20,22.7556
2010-12-21,22.7556
2010-12-22,22.7556
2010-12-23,22.7556
2010-12-24,22.7556
2010-12-25,22.7556
2010-12-26,22.7556
2010-12-27,22.7556
2010-12-28,22.7556
2010-12-29,22.7556
2010-12-30,22.7556
2010-12-31,24.3537
2011-01-01,24.3537
2011-01-02,24.3537
2011-01-03,24.3537
2011-01-04,24.3537
2011-01-05,24.3537
2011-01-06,24.3537
2011-01-07,24.3537
2011-01-08,24.3537
2011-01-09,24.3537
2011-01-10,24.3537
2011-01-11,24.3537
2011-01-12,24.3537
2011-01-13,24.3537
2011-01-14,24.3537
2011-01-15,24.3537
2011-01-16,24.3537
2011-01-17,24.3537
2011-01-18,24.3537
2011-01-19,24.3537
2011-01-20,24.3537
2011-01-21,24.3537
2011-01-22,24.3537
2011-01-23,24.3537
2011-01-24,24.3537
2011-01-25,24.3537
2011-01-26,24.3537
2011-01-27,24.3537
2011-01-28,24.3537
2011-01-29,24.3537
2011-01-30,24.3537
2011-01-31,24.3537
2011-02-01,24.3537
2011-02-02,24.3537
2011-02-03,24.3537
2011-02-04,24.3537
2011-02-05,24.3537
2011-02-06,24.3537
2011-02-07,24.3537
2011-02-08,24.3537
2011-02-09,24.3537
2011-02-10,24.3537
2011-02-11,24.3537
2011-02-12,24.3537
2011-02-13,24.3537
2011-02-14,24.3537
2011-02-15,24.3537
2011-02-16,24.3537
2011-02-17,24.3537
2011-02-18,24.3537
2011-02-19,24.3537
2011-02-20,24.3537
2011-02-21,24.3537
2011-02-22,24.3537
2011-02-23,24.3537
2011-02-24,24.3537
2011-02-25,24.3537
2011-02-26,24.3537
2011-02-27,24.3537
2011-02-28,24.3537
2011-03-01,24.3537
2011-03-02,24.3537
2011-03-03,24.3537
2011-03-04,24.3537
2011-03-05,24.3537
2011-03-06,24.3537
2011-03-07,24.3537
2011-03-08,24.3537
