,NESZ MK Equity
,RETURN_COM_EQY
2010-01-01,64.9703
2010-01-02,64.9703
2010-01-03,64.9703
2010-01-04,64.9703
2010-01-05,64.9703
2010-01-06,64.9703
2010-01-07,64.9703
2010-01-08,64.9703
2010-01-09,64.9703
2010-01-10,64.9703
2010-01-11,64.9703
2010-01-12,64.9703
2010-01-13,64.9703
2010-01-14,64.9703
2010-01-15,64.9703
2010-01-16,64.9703
2010-01-17,64.9703
2010-01-18,64.9703
2010-01-19,64.9703
2010-01-20,64.9703
2010-01-21,64.9703
2010-01-22,64.9703
2010-01-23,64.9703
2010-01-24,64.9703
2010-01-25,64.9703
2010-01-26,64.9703
2010-01-27,64.9703
2010-01-28,64.9703
2010-01-29,64.9703
2010-01-30,64.9703
2010-01-31,64.9703
2010-02-01,64.9703
2010-02-02,64.9703
2010-02-03,64.9703
2010-02-04,64.9703
2010-02-05,64.9703
2010-02-06,64.9703
2010-02-07,64.9703
2010-02-08,64.9703
2010-02-09,64.9703
2010-02-10,64.9703
2010-02-11,64.9703
2010-02-12,64.9703
2010-02-13,64.9703
2010-02-14,64.9703
2010-02-15,64.9703
2010-02-16,64.9703
2010-02-17,64.9703
2010-02-18,64.9703
2010-02-19,64.9703
2010-02-20,64.9703
2010-02-21,64.9703
2010-02-22,64.9703
2010-02-23,64.9703
2010-02-24,64.9703
2010-02-25,64.9703
2010-02-26,64.9703
2010-02-27,64.9703
2010-02-28,64.9703
2010-03-01,64.9703
2010-03-02,64.9703
2010-03-03,64.9703
2010-03-04,64.9703
2010-03-05,64.9703
2010-03-06,64.9703
2010-03-07,64.9703
2010-03-08,64.9703
2010-03-09,64.9703
2010-03-10,64.9703
2010-03-11,64.9703
2010-03-12,64.9703
2010-03-13,64.9703
2010-03-14,64.9703
2010-03-15,64.9703
2010-03-16,64.9703
2010-03-17,64.9703
2010-03-18,64.9703
2010-03-19,64.9703
2010-03-20,64.9703
2010-03-21,64.9703
2010-03-22,64.9703
2010-03-23,64.9703
2010-03-24,64.9703
2010-03-25,64.9703
2010-03-26,64.9703
2010-03-27,64.9703
2010-03-28,64.9703
2010-03-29,64.9703
2010-03-30,64.9703
2010-03-31,58.8169
2010-04-01,58.8169
2010-04-02,58.8169
2010-04-03,58.8169
2010-04-04,58.8169
2010-04-05,58.8169
2010-04-06,58.8169
2010-04-07,58.8169
2010-04-08,58.8169
2010-04-09,58.8169
2010-04-10,58.8169
2010-04-11,58.8169
2010-04-12,58.8169
2010-04-13,58.8169
2010-04-14,58.8169
2010-04-15,58.8169
2010-04-16,58.8169
2010-04-17,58.8169
2010-04-18,58.8169
2010-04-19,58.8169
2010-04-20,58.8169
2010-04-21,58.8169
2010-04-22,58.8169
2010-04-23,58.8169
2010-04-24,58.8169
2010-04-25,58.8169
2010-04-26,58.8169
2010-04-27,58.8169
2010-04-28,58.8169
2010-04-29,58.8169
2010-04-30,58.8169
2010-05-01,58.8169
2010-05-02,58.8169
2010-05-03,58.8169
2010-05-04,58.8169
2010-05-05,58.8169
2010-05-06,58.8169
2010-05-07,58.8169
2010-05-08,58.8169
2010-05-09,58.8169
2010-05-10,58.8169
2010-05-11,58.8169
2010-05-12,58.8169
2010-05-13,58.8169
2010-05-14,58.8169
2010-05-15,58.8169
2010-05-16,58.8169
2010-05-17,58.8169
2010-05-18,58.8169
2010-05-19,58.8169
2010-05-20,58.8169
2010-05-21,58.8169
2010-05-22,58.8169
2010-05-23,58.8169
2010-05-24,58.8169
2010-05-25,58.8169
2010-05-26,58.8169
2010-05-27,58.8169
2010-05-28,58.8169
2010-05-29,58.8169
2010-05-30,58.8169
2010-05-31,58.8169
2010-06-01,58.8169
2010-06-02,58.8169
2010-06-03,58.8169
2010-06-04,58.8169
2010-06-05,58.8169
2010-06-06,58.8169
2010-06-07,58.8169
2010-06-08,58.8169
2010-06-09,58.8169
2010-06-10,58.8169
2010-06-11,58.8169
2010-06-12,58.8169
2010-06-13,58.8169
2010-06-14,58.8169
2010-06-15,58.8169
2010-06-16,58.8169
2010-06-17,58.8169
2010-06-18,58.8169
2010-06-19,58.8169
2010-06-20,58.8169
2010-06-21,58.8169
2010-06-22,58.8169
2010-06-23,58.8169
2010-06-24,58.8169
2010-06-25,58.8169
2010-06-26,58.8169
2010-06-27,58.8169
2010-06-28,58.8169
2010-06-29,58.8169
2010-06-30,74.1026
2010-07-01,74.1026
2010-07-02,74.1026
2010-07-03,74.1026
2010-07-04,74.1026
2010-07-05,74.1026
2010-07-06,74.1026
2010-07-07,74.1026
2010-07-08,74.1026
2010-07-09,74.1026
2010-07-10,74.1026
2010-07-11,74.1026
2010-07-12,74.1026
2010-07-13,74.1026
2010-07-14,74.1026
2010-07-15,74.1026
2010-07-16,74.1026
2010-07-17,74.1026
2010-07-18,74.1026
2010-07-19,74.1026
2010-07-20,74.1026
2010-07-21,74.1026
2010-07-22,74.1026
2010-07-23,74.1026
2010-07-24,74.1026
2010-07-25,74.1026
2010-07-26,74.1026
2010-07-27,74.1026
2010-07-28,74.1026
2010-07-29,74.1026
2010-07-30,74.1026
2010-07-31,74.1026
2010-08-01,74.1026
2010-08-02,74.1026
2010-08-03,74.1026
2010-08-04,74.1026
2010-08-05,74.1026
2010-08-06,74.1026
2010-08-07,74.1026
2010-08-08,74.1026
2010-08-09,74.1026
2010-08-10,74.1026
2010-08-11,74.1026
2010-08-12,74.1026
2010-08-13,74.1026
2010-08-14,74.1026
2010-08-15,74.1026
2010-08-16,74.1026
2010-08-17,74.1026
2010-08-18,74.1026
2010-08-19,74.1026
2010-08-20,74.1026
2010-08-21,74.1026
2010-08-22,74.1026
2010-08-23,74.1026
2010-08-24,74.1026
2010-08-25,74.1026
2010-08-26,74.1026
2010-08-27,74.1026
2010-08-28,74.1026
2010-08-29,74.1026
2010-08-30,74.1026
2010-08-31,74.1026
2010-09-01,74.1026
2010-09-02,74.1026
2010-09-03,74.1026
2010-09-04,74.1026
2010-09-05,74.1026
2010-09-06,74.1026
2010-09-07,74.1026
2010-09-08,74.1026
2010-09-09,74.1026
2010-09-10,74.1026
2010-09-11,74.1026
2010-09-12,74.1026
2010-09-13,74.1026
2010-09-14,74.1026
2010-09-15,74.1026
2010-09-16,74.1026
2010-09-17,74.1026
2010-09-18,74.1026
2010-09-19,74.1026
2010-09-20,74.1026
2010-09-21,74.1026
2010-09-22,74.1026
2010-09-23,74.1026
2010-09-24,74.1026
2010-09-25,74.1026
2010-09-26,74.1026
2010-09-27,74.1026
2010-09-28,74.1026
2010-09-29,74.1026
2010-09-30,68.1566
2010-10-01,68.1566
2010-10-02,68.1566
2010-10-03,68.1566
2010-10-04,68.1566
2010-10-05,68.1566
2010-10-06,68.1566
2010-10-07,68.1566
2010-10-08,68.1566
2010-10-09,68.1566
2010-10-10,68.1566
2010-10-11,68.1566
2010-10-12,68.1566
2010-10-13,68.1566
2010-10-14,68.1566
2010-10-15,68.1566
2010-10-16,68.1566
2010-10-17,68.1566
2010-10-18,68.1566
2010-10-19,68.1566
2010-10-20,68.1566
2010-10-21,68.1566
2010-10-22,68.1566
2010-10-23,68.1566
2010-10-24,68.1566
2010-10-25,68.1566
2010-10-26,68.1566
2010-10-27,68.1566
2010-10-28,68.1566
2010-10-29,68.1566
2010-10-30,68.1566
2010-10-31,68.1566
2010-11-01,68.1566
2010-11-02,68.1566
2010-11-03,68.1566
2010-11-04,68.1566
2010-11-05,68.1566
2010-11-06,68.1566
2010-11-07,68.1566
2010-11-08,68.1566
2010-11-09,68.1566
2010-11-10,68.1566
2010-11-11,68.1566
2010-11-12,68.1566
2010-11-13,68.1566
2010-11-14,68.1566
2010-11-15,68.1566
2010-11-16,68.1566
2010-11-17,68.1566
2010-11-18,68.1566
2010-11-19,68.1566
2010-11-20,68.1566
2010-11-21,68.1566
2010-11-22,68.1566
2010-11-23,68.1566
2010-11-24,68.1566
2010-11-25,68.1566
2010-11-26,68.1566
2010-11-27,68.1566
2010-11-28,68.1566
2010-11-29,68.1566
2010-11-30,68.1566
2010-12-01,68.1566
2010-12-02,68.1566
2010-12-03,68.1566
2010-12-04,68.1566
2010-12-05,68.1566
2010-12-06,68.1566
2010-12-07,68.1566
2010-12-08,68.1566
2010-12-09,68.1566
2010-12-10,68.1566
2010-12-11,68.1566
2010-12-12,68.1566
2010-12-13,68.1566
2010-12-14,68.1566
2010-12-15,68.1566
2010-12-16,68.1566
2010-12-17,68.1566
2010-12-18,68.1566
2010-12-19,68.1566
2010-12-20,68.1566
2010-12-21,68.1566
2010-12-22,68.1566
2010-12-23,68.1566
2010-12-24,68.1566
2010-12-25,68.1566
2010-12-26,68.1566
2010-12-27,68.1566
2010-12-28,68.1566
2010-12-29,68.1566
2010-12-30,68.1566
2010-12-31,66.3095
2011-01-01,66.3095
2011-01-02,66.3095
2011-01-03,66.3095
2011-01-04,66.3095
2011-01-05,66.3095
2011-01-06,66.3095
2011-01-07,66.3095
2011-01-08,66.3095
2011-01-09,66.3095
2011-01-10,66.3095
2011-01-11,66.3095
2011-01-12,66.3095
2011-01-13,66.3095
2011-01-14,66.3095
2011-01-15,66.3095
2011-01-16,66.3095
2011-01-17,66.3095
2011-01-18,66.3095
2011-01-19,66.3095
2011-01-20,66.3095
