,HEIM MK Equity
,RETURN_COM_EQY
2010-01-01,31.3818
2010-01-02,31.3818
2010-01-03,31.3818
2010-01-04,31.3818
2010-01-05,31.3818
2010-01-06,31.3818
2010-01-07,31.3818
2010-01-08,31.3818
2010-01-09,31.3818
2010-01-10,31.3818
2010-01-11,31.3818
2010-01-12,31.3818
2010-01-13,31.3818
2010-01-14,31.3818
2010-01-15,31.3818
2010-01-16,31.3818
2010-01-17,31.3818
2010-01-18,31.3818
2010-01-19,31.3818
2010-01-20,31.3818
2010-01-21,31.3818
2010-01-22,31.3818
2010-01-23,31.3818
2010-01-24,31.3818
2010-01-25,31.3818
2010-01-26,31.3818
2010-01-27,31.3818
2010-01-28,31.3818
2010-01-29,31.3818
2010-01-30,31.3818
2010-01-31,31.3818
2010-02-01,31.3818
2010-02-02,31.3818
2010-02-03,31.3818
2010-02-04,31.3818
2010-02-05,31.3818
2010-02-06,31.3818
2010-02-07,31.3818
2010-02-08,31.3818
2010-02-09,31.3818
2010-02-10,31.3818
2010-02-11,31.3818
2010-02-12,31.3818
2010-02-13,31.3818
2010-02-14,31.3818
2010-02-15,31.3818
2010-02-16,31.3818
2010-02-17,31.3818
2010-02-18,31.3818
2010-02-19,31.3818
2010-02-20,31.3818
2010-02-21,31.3818
2010-02-22,31.3818
2010-02-23,31.3818
2010-02-24,31.3818
2010-02-25,31.3818
2010-02-26,31.3818
2010-02-27,31.3818
2010-02-28,31.3818
2010-03-01,31.3818
2010-03-02,31.3818
2010-03-03,31.3818
2010-03-04,31.3818
2010-03-05,31.3818
2010-03-06,31.3818
2010-03-07,31.3818
2010-03-08,31.3818
2010-03-09,31.3818
2010-03-10,31.3818
2010-03-11,31.3818
2010-03-12,31.3818
2010-03-13,31.3818
2010-03-14,31.3818
2010-03-15,31.3818
2010-03-16,31.3818
2010-03-17,31.3818
2010-03-18,31.3818
2010-03-19,31.3818
2010-03-20,31.3818
2010-03-21,31.3818
2010-03-22,31.3818
2010-03-23,31.3818
2010-03-24,31.3818
2010-03-25,31.3818
2010-03-26,31.3818
2010-03-27,31.3818
2010-03-28,31.3818
2010-03-29,31.3818
2010-03-30,31.3818
2010-03-31,31.7017
2010-04-01,31.7017
2010-04-02,31.7017
2010-04-03,31.7017
2010-04-04,31.7017
2010-04-05,31.7017
2010-04-06,31.7017
2010-04-07,31.7017
2010-04-08,31.7017
2010-04-09,31.7017
2010-04-10,31.7017
2010-04-11,31.7017
2010-04-12,31.7017
2010-04-13,31.7017
2010-04-14,31.7017
2010-04-15,31.7017
2010-04-16,31.7017
2010-04-17,31.7017
2010-04-18,31.7017
2010-04-19,31.7017
2010-04-20,31.7017
2010-04-21,31.7017
2010-04-22,31.7017
2010-04-23,31.7017
2010-04-24,31.7017
2010-04-25,31.7017
2010-04-26,31.7017
