Column Name,Index
Unnamed: 0 BEST_EPS,0
BMA AR Equity BEST_EPS,1
BMA AR Equity BEST_EPS_NXT_YR,2
GGAL AR Equity BEST_EPS,3
GGAL AR Equity BEST_EPS_NXT_YR,4
PAMP AR Equity BEST_EPS,5
PAMP AR Equity BEST_EPS_NXT_YR,6
TGSU2 AR Equity BEST_EPS,7
TGSU2 AR Equity BEST_EPS_NXT_YR,8
CIM AU Equity BEST_EPS,9
CIM AU Equity BEST_EPS_NXT_YR,10
MFG AU Equity BEST_EPS,11
MFG AU Equity BEST_EPS_NXT_YR,12
RIO AU Equity BEST_EPS,13
RIO AU Equity BEST_EPS_NXT_YR,14
OMV AV Equity BEST_EPS,15
OMV AV Equity BEST_EPS_NXT_YR,16
WDP BB Equity BEST_EPS,17
WDP BB Equity BEST_EPS_NXT_YR,18
NTB BH Equity BEST_EPS,19
NTB BH Equity BEST_EPS_NXT_YR,20
BBAS3 BZ Equity BEST_EPS,21
BBAS3 BZ Equity BEST_EPS_NXT_YR,22
BBSE3 BZ Equity BEST_EPS,23
BBSE3 BZ Equity BEST_EPS_NXT_YR,24
BRSR6 BZ Equity BEST_EPS,25
BRSR6 BZ Equity BEST_EPS_NXT_YR,26
CSAN3 BZ Equity BEST_EPS,27
CSAN3 BZ Equity BEST_EPS_NXT_YR,28
EGIE3 BZ Equity BEST_EPS,29
EGIE3 BZ Equity BEST_EPS_NXT_YR,30
EQTL3 BZ Equity BEST_EPS,31
EQTL3 BZ Equity BEST_EPS_NXT_YR,32
LIGT3 BZ Equity BEST_EPS,33
LIGT3 BZ Equity BEST_EPS_NXT_YR,34
TAEE11 BZ Equity BEST_EPS,35
TAEE11 BZ Equity BEST_EPS_NXT_YR,36
TRPL4 BZ Equity BEST_EPS,37
TRPL4 BZ Equity BEST_EPS_NXT_YR,38
VBBR3 BZ Equity BEST_EPS,39
VBBR3 BZ Equity BEST_EPS_NXT_YR,40
ECOPETL CB Equity BEST_EPS,41
ECOPETL CB Equity BEST_EPS_NXT_YR,42
SALMOCAM CI Equity BEST_EPS,43
SALMOCAM CI Equity BEST_EPS_NXT_YR,44
CIX CN Equity BEST_EPS,45
CIX CN Equity BEST_EPS_NXT_YR,46
ERO CN Equity BEST_EPS,47
ERO CN Equity BEST_EPS_NXT_YR,48
KL CN Equity BEST_EPS,49
KL CN Equity BEST_EPS_NXT_YR,50
LIF CN Equity BEST_EPS,51
LIF CN Equity BEST_EPS_NXT_YR,52
MG CN Equity BEST_EPS,53
MG CN Equity BEST_EPS_NXT_YR,54
NPI CN Equity BEST_EPS,55
NPI CN Equity BEST_EPS_NXT_YR,56
NOVOB DC Equity BEST_EPS,57
NOVOB DC Equity BEST_EPS_NXT_YR,58
ORSTED DC Equity BEST_EPS,59
ORSTED DC Equity BEST_EPS_NXT_YR,60
PNDORA DC Equity BEST_EPS,61
PNDORA DC Equity BEST_EPS_NXT_YR,62
SIM DC Equity BEST_EPS,63
SIM DC Equity BEST_EPS_NXT_YR,64
TYRES FH Equity BEST_EPS,65
TYRES FH Equity BEST_EPS_NXT_YR,66
AIR FP Equity BEST_EPS,67
AIR FP Equity BEST_EPS_NXT_YR,68
ATO FP Equity BEST_EPS,69
ATO FP Equity BEST_EPS_NXT_YR,70
FRVIA FP Equity BEST_EPS,71
FRVIA FP Equity BEST_EPS_NXT_YR,72
GTT FP Equity BEST_EPS,73
GTT FP Equity BEST_EPS_NXT_YR,74
POM FP Equity BEST_EPS,75
POM FP Equity BEST_EPS_NXT_YR,76
TRI FP Equity BEST_EPS,77
TRI FP Equity BEST_EPS_NXT_YR,78
UG FP Equity BEST_EPS,79
UG FP Equity BEST_EPS_NXT_YR,80
BFSA GR Equity BEST_EPS,81
BFSA GR Equity BEST_EPS_NXT_YR,82
DLG GR Equity BEST_EPS,83
DLG GR Equity BEST_EPS_NXT_YR,84
DWNI GR Equity BEST_EPS,85
DWNI GR Equity BEST_EPS_NXT_YR,86
FNTN GR Equity BEST_EPS,87
FNTN GR Equity BEST_EPS_NXT_YR,88
GXI GR Equity BEST_EPS,89
GXI GR Equity BEST_EPS_NXT_YR,90
HLE GR Equity BEST_EPS,91
HLE GR Equity BEST_EPS_NXT_YR,92
HOT GR Equity BEST_EPS,93
HOT GR Equity BEST_EPS_NXT_YR,94
LEG GR Equity BEST_EPS,95
LEG GR Equity BEST_EPS_NXT_YR,96
VOW GR Equity BEST_EPS,97
VOW GR Equity BEST_EPS_NXT_YR,98
WAF GR Equity BEST_EPS,99
WAF GR Equity BEST_EPS_NXT_YR,100
OTP HB Equity BEST_EPS,101
OTP HB Equity BEST_EPS_NXT_YR,102
1928 HK Equity BEST_EPS,103
1928 HK Equity BEST_EPS_NXT_YR,104
ADRO IJ Equity BEST_EPS,105
ADRO IJ Equity BEST_EPS_NXT_YR,106
GGRM IJ Equity BEST_EPS,107
GGRM IJ Equity BEST_EPS_NXT_YR,108
HMSP IJ Equity BEST_EPS,109
HMSP IJ Equity BEST_EPS_NXT_YR,110
ITMG IJ Equity BEST_EPS,111
ITMG IJ Equity BEST_EPS_NXT_YR,112
LPPF IJ Equity BEST_EPS,113
LPPF IJ Equity BEST_EPS_NXT_YR,114
MNCN IJ Equity BEST_EPS,115
MNCN IJ Equity BEST_EPS_NXT_YR,116
PTBA IJ Equity BEST_EPS,117
PTBA IJ Equity BEST_EPS_NXT_YR,118
PWON IJ Equity BEST_EPS,119
PWON IJ Equity BEST_EPS_NXT_YR,120
UNTR IJ Equity BEST_EPS,121
UNTR IJ Equity BEST_EPS_NXT_YR,122
UNVR IJ Equity BEST_EPS,123
UNVR IJ Equity BEST_EPS_NXT_YR,124
WIKA IJ Equity BEST_EPS,125
WIKA IJ Equity BEST_EPS_NXT_YR,126
WTON IJ Equity BEST_EPS,127
WTON IJ Equity BEST_EPS_NXT_YR,128
AZM IM Equity BEST_EPS,129
AZM IM Equity BEST_EPS_NXT_YR,130
BGN IM Equity BEST_EPS,131
BGN IM Equity BEST_EPS_NXT_YR,132
BAJAJCON IN Equity BEST_EPS,133
BAJAJCON IN Equity BEST_EPS_NXT_YR,134
COAL IN Equity BEST_EPS,135
COAL IN Equity BEST_EPS_NXT_YR,136
CSTRL IN Equity BEST_EPS,137
CSTRL IN Equity BEST_EPS_NXT_YR,138
CYL IN Equity BEST_EPS,139
CYL IN Equity BEST_EPS_NXT_YR,140
GAIL IN Equity BEST_EPS,141
GAIL IN Equity BEST_EPS_NXT_YR,142
HPCL IN Equity BEST_EPS,143
HPCL IN Equity BEST_EPS_NXT_YR,144
IOCL IN Equity BEST_EPS,145
IOCL IN Equity BEST_EPS_NXT_YR,146
IRB IN Equity BEST_EPS,147
IRB IN Equity BEST_EPS_NXT_YR,148
JAGP IN Equity BEST_EPS,149
JAGP IN Equity BEST_EPS_NXT_YR,150
JSTL IN Equity BEST_EPS,151
JSTL IN Equity BEST_EPS_NXT_YR,152
NMDC IN Equity BEST_EPS,153
NMDC IN Equity BEST_EPS_NXT_YR,154
ONGC IN Equity BEST_EPS,155
ONGC IN Equity BEST_EPS_NXT_YR,156
POONAWAL IN Equity BEST_EPS,157
POONAWAL IN Equity BEST_EPS_NXT_YR,158
SOTL IN Equity BEST_EPS,159
SOTL IN Equity BEST_EPS_NXT_YR,160
SUNTV IN Equity BEST_EPS,161
SUNTV IN Equity BEST_EPS_NXT_YR,162
TATA IN Equity BEST_EPS,163
TATA IN Equity BEST_EPS_NXT_YR,164
ZENT IN Equity BEST_EPS,165
ZENT IN Equity BEST_EPS_NXT_YR,166
1801 JP Equity BEST_EPS,167
1801 JP Equity BEST_EPS_NXT_YR,168
1802 JP Equity BEST_EPS,169
1802 JP Equity BEST_EPS_NXT_YR,170
1803 JP Equity BEST_EPS,171
1803 JP Equity BEST_EPS_NXT_YR,172
1808 JP Equity BEST_EPS,173
1808 JP Equity BEST_EPS_NXT_YR,174
1878 JP Equity BEST_EPS,175
1878 JP Equity BEST_EPS_NXT_YR,176
1925 JP Equity BEST_EPS,177
1925 JP Equity BEST_EPS_NXT_YR,178
3092 JP Equity BEST_EPS,179
3092 JP Equity BEST_EPS_NXT_YR,180
3659 JP Equity BEST_EPS,181
3659 JP Equity BEST_EPS_NXT_YR,182
6758 JP Equity BEST_EPS,183
6758 JP Equity BEST_EPS_NXT_YR,184
8001 JP Equity BEST_EPS,185
8001 JP Equity BEST_EPS_NXT_YR,186
8354 JP Equity BEST_EPS,187
8354 JP Equity BEST_EPS_NXT_YR,188
9434 JP Equity BEST_EPS,189
9434 JP Equity BEST_EPS_NXT_YR,190
9504 JP Equity BEST_EPS,191
9504 JP Equity BEST_EPS_NXT_YR,192
004170 KS Equity BEST_EPS,193
004170 KS Equity BEST_EPS_NXT_YR,194
006360 KS Equity BEST_EPS,195
006360 KS Equity BEST_EPS_NXT_YR,196
011780 KS Equity BEST_EPS,197
011780 KS Equity BEST_EPS_NXT_YR,198
036490 KS Equity BEST_EPS,199
036490 KS Equity BEST_EPS_NXT_YR,200
042670 KS Equity BEST_EPS,201
042670 KS Equity BEST_EPS_NXT_YR,202
057050 KS Equity BEST_EPS,203
057050 KS Equity BEST_EPS_NXT_YR,204
086790 KS Equity BEST_EPS,205
086790 KS Equity BEST_EPS_NXT_YR,206
139130 KS Equity BEST_EPS,207
139130 KS Equity BEST_EPS_NXT_YR,208
192080 KS Equity BEST_EPS,209
192080 KS Equity BEST_EPS_NXT_YR,210
294870 KS Equity BEST_EPS,211
294870 KS Equity BEST_EPS_NXT_YR,212
316140 KS Equity BEST_EPS,213
316140 KS Equity BEST_EPS_NXT_YR,214
TCS LI Equity BEST_EPS,215
TCS LI Equity BEST_EPS_NXT_YR,216
AAL LN Equity BEST_EPS,217
AAL LN Equity BEST_EPS_NXT_YR,218
ADM LN Equity BEST_EPS,219
ADM LN Equity BEST_EPS_NXT_YR,220
AHT LN Equity BEST_EPS,221
AHT LN Equity BEST_EPS_NXT_YR,222
AUTO LN Equity BEST_EPS,223
AUTO LN Equity BEST_EPS_NXT_YR,224
BWY LN Equity BEST_EPS,225
BWY LN Equity BEST_EPS_NXT_YR,226
CRST LN Equity BEST_EPS,227
CRST LN Equity BEST_EPS_NXT_YR,228
DNLM LN Equity BEST_EPS,229
DNLM LN Equity BEST_EPS_NXT_YR,230
FDM LN Equity BEST_EPS,231
FDM LN Equity BEST_EPS_NXT_YR,232
GSK LN Equity BEST_EPS,233
GSK LN Equity BEST_EPS_NXT_YR,234
HWDN LN Equity BEST_EPS,235
HWDN LN Equity BEST_EPS_NXT_YR,236
IAG LN Equity BEST_EPS,237
IAG LN Equity BEST_EPS_NXT_YR,238
ITV LN Equity BEST_EPS,239
ITV LN Equity BEST_EPS_NXT_YR,240
KAZ LN Equity BEST_EPS,241
KAZ LN Equity BEST_EPS_NXT_YR,242
LGEN LN Equity BEST_EPS,243
LGEN LN Equity BEST_EPS_NXT_YR,244
MNDI LN Equity BEST_EPS,245
MNDI LN Equity BEST_EPS_NXT_YR,246
MONY LN Equity BEST_EPS,247
MONY LN Equity BEST_EPS_NXT_YR,248
NXT LN Equity BEST_EPS,249
NXT LN Equity BEST_EPS_NXT_YR,250
OSB LN Equity BEST_EPS,251
OSB LN Equity BEST_EPS_NXT_YR,252
PAGE LN Equity BEST_EPS,253
PAGE LN Equity BEST_EPS_NXT_YR,254
PFC LN Equity BEST_EPS,255
PFC LN Equity BEST_EPS_NXT_YR,256
