,ROG SW Equity
,RETURN_COM_EQY
2010-01-01,30.028
2010-01-02,30.028
2010-01-03,30.028
2010-01-04,30.028
2010-01-05,30.028
2010-01-06,30.028
2010-01-07,30.028
2010-01-08,30.028
2010-01-09,30.028
2010-01-10,30.028
2010-01-11,30.028
2010-01-12,30.028
2010-01-13,30.028
2010-01-14,30.028
2010-01-15,30.028
2010-01-16,30.028
2010-01-17,30.028
2010-01-18,30.028
2010-01-19,30.028
2010-01-20,30.028
2010-01-21,30.028
2010-01-22,30.028
2010-01-23,30.028
2010-01-24,30.028
2010-01-25,30.028
2010-01-26,30.028
2010-01-27,30.028
2010-01-28,30.028
2010-01-29,30.028
2010-01-30,30.028
2010-01-31,30.028
2010-02-01,30.028
2010-02-02,30.028
2010-02-03,30.028
2010-02-04,30.028
2010-02-05,30.028
2010-02-06,30.028
2010-02-07,30.028
2010-02-08,30.028
2010-02-09,30.028
2010-02-10,30.028
2010-02-11,30.028
2010-02-12,30.028
2010-02-13,30.028
2010-02-14,30.028
2010-02-15,30.028
2010-02-16,30.028
2010-02-17,30.028
2010-02-18,30.028
2010-02-19,30.028
2010-02-20,30.028
2010-02-21,30.028
2010-02-22,30.028
2010-02-23,30.028
2010-02-24,30.028
2010-02-25,30.028
2010-02-26,30.028
2010-02-27,30.028
2010-02-28,30.028
2010-03-01,30.028
2010-03-02,30.028
2010-03-03,30.028
2010-03-04,30.028
2010-03-05,30.028
2010-03-06,30.028
2010-03-07,30.028
2010-03-08,30.028
2010-03-09,30.028
2010-03-10,30.028
2010-03-11,30.028
2010-03-12,30.028
2010-03-13,30.028
2010-03-14,30.028
2010-03-15,30.028
2010-03-16,30.028
2010-03-17,30.028
2010-03-18,30.028
2010-03-19,30.028
2010-03-20,30.028
2010-03-21,30.028
2010-03-22,30.028
2010-03-23,30.028
2010-03-24,30.028
2010-03-25,30.028
2010-03-26,30.028
2010-03-27,30.028
2010-03-28,30.028
2010-03-29,30.028
2010-03-30,30.028
2010-03-31,30.028
2010-04-01,30.028
2010-04-02,30.028
2010-04-03,30.028
2010-04-04,30.028
2010-04-05,30.028
2010-04-06,30.028
2010-04-07,30.028
2010-04-08,30.028
2010-04-09,30.028
2010-04-10,30.028
2010-04-11,30.028
2010-04-12,30.028
2010-04-13,30.028
2010-04-14,30.028
2010-04-15,30.028
2010-04-16,30.028
2010-04-17,30.028
2010-04-18,30.028
2010-04-19,30.028
2010-04-20,30.028
2010-04-21,30.028
2010-04-22,30.028
2010-04-23,30.028
2010-04-24,30.028
2010-04-25,30.028
2010-04-26,30.028
2010-04-27,30.028
2010-04-28,30.028
2010-04-29,30.028
2010-04-30,30.028
2010-05-01,30.028
2010-05-02,30.028
2010-05-03,30.028
2010-05-04,30.028
2010-05-05,30.028
2010-05-06,30.028
2010-05-07,30.028
2010-05-08,30.028
2010-05-09,30.028
2010-05-10,30.028
2010-05-11,30.028
2010-05-12,30.028
2010-05-13,30.028
2010-05-14,30.028
2010-05-15,30.028
2010-05-16,30.028
2010-05-17,30.028
