,SGSN SW Equity
,RETURN_COM_EQY
2010-01-01,29.0405
2010-01-02,29.0405
2010-01-03,29.0405
2010-01-04,29.0405
2010-01-05,29.0405
2010-01-06,29.0405
2010-01-07,29.0405
2010-01-08,29.0405
2010-01-09,29.0405
2010-01-10,29.0405
2010-01-11,29.0405
2010-01-12,29.0405
2010-01-13,29.0405
2010-01-14,29.0405
2010-01-15,29.0405
2010-01-16,29.0405
2010-01-17,29.0405
2010-01-18,29.0405
2010-01-19,29.0405
2010-01-20,29.0405
2010-01-21,29.0405
2010-01-22,29.0405
2010-01-23,29.0405
2010-01-24,29.0405
2010-01-25,29.0405
2010-01-26,29.0405
2010-01-27,29.0405
2010-01-28,29.0405
2010-01-29,29.0405
2010-01-30,29.0405
2010-01-31,29.0405
2010-02-01,29.0405
2010-02-02,29.0405
2010-02-03,29.0405
2010-02-04,29.0405
2010-02-05,29.0405
2010-02-06,29.0405
2010-02-07,29.0405
2010-02-08,29.0405
2010-02-09,29.0405
2010-02-10,29.0405
2010-02-11,29.0405
2010-02-12,29.0405
2010-02-13,29.0405
2010-02-14,29.0405
2010-02-15,29.0405
2010-02-16,29.0405
2010-02-17,29.0405
2010-02-18,29.0405
2010-02-19,29.0405
2010-02-20,29.0405
2010-02-21,29.0405
2010-02-22,29.0405
2010-02-23,29.0405
2010-02-24,29.0405
2010-02-25,29.0405
2010-02-26,29.0405
2010-02-27,29.0405
2010-02-28,29.0405
2010-03-01,29.0405
2010-03-02,29.0405
2010-03-03,29.0405
2010-03-04,29.0405
2010-03-05,29.0405
2010-03-06,29.0405
2010-03-07,29.0405
2010-03-08,29.0405
2010-03-09,29.0405
2010-03-10,29.0405
2010-03-11,29.0405
2010-03-12,29.0405
2010-03-13,29.0405
2010-03-14,29.0405
2010-03-15,29.0405
2010-03-16,29.0405
2010-03-17,29.0405
2010-03-18,29.0405
2010-03-19,29.0405
2010-03-20,29.0405
2010-03-21,29.0405
2010-03-22,29.0405
2010-03-23,29.0405
2010-03-24,29.0405
2010-03-25,29.0405
2010-03-26,29.0405
2010-03-27,29.0405
2010-03-28,29.0405
2010-03-29,29.0405
2010-03-30,29.0405
2010-03-31,29.0405
2010-04-01,29.0405
2010-04-02,29.0405
2010-04-03,29.0405
2010-04-04,29.0405
2010-04-05,29.0405
2010-04-06,29.0405
2010-04-07,29.0405
2010-04-08,29.0405
2010-04-09,29.0405
2010-04-10,29.0405
2010-04-11,29.0405
2010-04-12,29.0405
2010-04-13,29.0405
2010-04-14,29.0405
2010-04-15,29.0405
2010-04-16,29.0405
2010-04-17,29.0405
2010-04-18,29.0405
2010-04-19,29.0405
2010-04-20,29.0405
2010-04-21,29.0405
2010-04-22,29.0405
2010-04-23,29.0405
2010-04-24,29.0405
2010-04-25,29.0405
2010-04-26,29.0405
2010-04-27,29.0405
2010-04-28,29.0405
2010-04-29,29.0405
2010-04-30,29.0405
2010-05-01,29.0405
2010-05-02,29.0405
2010-05-03,29.0405
2010-05-04,29.0405
2010-05-05,29.0405
2010-05-06,29.0405
2010-05-07,29.0405
2010-05-08,29.0405
2010-05-09,29.0405
2010-05-10,29.0405
2010-05-11,29.0405
2010-05-12,29.0405
2010-05-13,29.0405
2010-05-14,29.0405
2010-05-15,29.0405
2010-05-16,29.0405
2010-05-17,29.0405
2010-05-18,29.0405
2010-05-19,29.0405
2010-05-20,29.0405
2010-05-21,29.0405
2010-05-22,29.0405
2010-05-23,29.0405
2010-05-24,29.0405
2010-05-25,29.0405
2010-05-26,29.0405
2010-05-27,29.0405
2010-05-28,29.0405
2010-05-29,29.0405
2010-05-30,29.0405
2010-05-31,29.0405
2010-06-01,29.0405
2010-06-02,29.0405
2010-06-03,29.0405
2010-06-04,29.0405
2010-06-05,29.0405
2010-06-06,29.0405
2010-06-07,29.0405
2010-06-08,29.0405
2010-06-09,29.0405
2010-06-10,29.0405
2010-06-11,29.0405
2010-06-12,29.0405
2010-06-13,29.0405
2010-06-14,29.0405
2010-06-15,29.0405
2010-06-16,29.0405
2010-06-17,29.0405
2010-06-18,29.0405
2010-06-19,29.0405
2010-06-20,29.0405
2010-06-21,29.0405
2010-06-22,29.0405
2010-06-23,29.0405
2010-06-24,29.0405
2010-06-25,29.0405
2010-06-26,29.0405
2010-06-27,29.0405
2010-06-28,29.0405
2010-06-29,29.0405
2010-06-30,31.0778
2010-07-01,31.0778
2010-07-02,31.0778
2010-07-03,31.0778
2010-07-04,31.0778
2010-07-05,31.0778
2010-07-06,31.0778
2010-07-07,31.0778
2010-07-08,31.0778
2010-07-09,31.0778
2010-07-10,31.0778
2010-07-11,31.0778
2010-07-12,31.0778
2010-07-13,31.0778
2010-07-14,31.0778
2010-07-15,31.0778
2010-07-16,31.0778
2010-07-17,31.0778
2010-07-18,31.0778
2010-07-19,31.0778
2010-07-20,31.0778
2010-07-21,31.0778
2010-07-22,31.0778
2010-07-23,31.0778
2010-07-24,31.0778
2010-07-25,31.0778
2010-07-26,31.0778
2010-07-27,31.0778
