,KO US Equity
,BEST_EPS
2020-01-01,3.0
2020-01-02,3.0
2020-01-03,3.0
2020-01-04,3.0
2020-01-05,3.0
2020-01-06,3.0
2020-01-07,3.0
2020-01-08,3.0
2020-01-09,3.0
2020-01-10,3.0
2020-01-11,3.0
2020-01-12,3.0
2020-01-13,3.0
2020-01-14,3.0
2020-01-15,3.0
2020-01-16,3.0
2020-01-17,3.0
2020-01-18,3.0
2020-01-19,3.0
2020-01-20,3.0
2020-01-21,3.0
2020-01-22,3.0
2020-01-23,3.0
2020-01-24,3.0
2020-01-25,3.0
2020-01-26,3.0
2020-01-27,3.0
2020-01-28,3.0
2020-01-29,3.0
2020-01-30,3.05
2020-01-31,3.05
2020-02-01,3.05
2020-02-02,3.05
2020-02-03,3.05
2020-02-04,3.05
2020-02-05,3.05
2020-02-06,3.05
2020-02-07,3.05
2020-02-08,3.05
2020-02-09,3.05
2020-02-10,3.05
2020-02-11,3.05
2020-02-12,3.05
2020-02-13,3.05
2020-02-14,3.05
2020-02-15,3.05
2020-02-16,3.05
2020-02-17,3.05
2020-02-18,3.05
2020-02-19,3.05
2020-02-20,3.05
2020-02-21,3.05
2020-02-22,3.05
2020-02-23,3.05
2020-02-24,3.05
2020-02-25,3.05
2020-02-26,3.05
2020-02-27,3.05
2020-02-28,3.05
2020-02-29,3.05
2020-03-01,3.05
2020-03-02,3.05
2020-03-03,3.05
2020-03-04,3.05
2020-03-05,3.05
2020-03-06,3.05
2020-03-07,3.05
2020-03-08,3.05
2020-03-09,3.05
2020-03-10,3.05
2020-03-11,3.05
2020-03-12,3.05
2020-03-13,3.05
2020-03-14,3.05
2020-03-15,3.05
2020-03-16,3.05
2020-03-17,3.05
2020-03-18,3.05
2020-03-19,3.05
2020-03-20,3.05
2020-03-21,3.05
2020-03-22,3.05
2020-03-23,3.05
2020-03-24,3.05
2020-03-25,3.05
2020-03-26,3.05
2020-03-27,3.05
2020-03-28,3.05
2020-03-29,3.05
2020-03-30,3.05
2020-03-31,3.05
2020-04-01,2.84
2020-04-02,2.84
2020-04-03,2.84
2020-04-04,2.84
2020-04-05,2.84
