,OMC US Equity
,BEST_EPS
2020-01-01,7.437
2020-01-02,7.437
2020-01-03,7.437
2020-01-04,7.437
2020-01-05,7.437
2020-01-06,7.437
2020-01-07,7.437
2020-01-08,7.437
2020-01-09,7.437
2020-01-10,7.437
2020-01-11,7.437
2020-01-12,7.437
2020-01-13,7.437
2020-01-14,7.437
2020-01-15,7.437
2020-01-16,7.437
2020-01-17,7.437
2020-01-18,7.437
2020-01-19,7.437
2020-01-20,7.437
2020-01-21,7.437
2020-01-22,7.437
2020-01-23,7.437
2020-01-24,7.437
2020-01-25,7.437
2020-01-26,7.437
2020-01-27,7.437
2020-01-28,7.443
2020-01-29,6.825
2020-01-30,7.42
2020-01-31,7.42
2020-02-01,7.42
2020-02-02,7.42
2020-02-03,7.42
2020-02-04,7.42
2020-02-05,7.42
2020-02-06,7.42
2020-02-07,7.42
2020-02-08,7.42
2020-02-09,7.42
2020-02-10,7.42
2020-02-11,7.387
2020-02-12,7.965
2020-02-13,7.965
2020-02-14,8.07
2020-02-15,8.07
2020-02-16,8.07
2020-02-17,8.07
2020-02-18,8.07
2020-02-19,8.07
2020-02-20,8.07
2020-02-21,8.07
2020-02-22,8.07
2020-02-23,8.07
2020-02-24,8.07
2020-02-25,8.07
2020-02-26,8.07
2020-02-27,8.07
2020-02-28,8.07
2020-02-29,8.07
2020-03-01,8.07
2020-03-02,8.07
2020-03-03,8.07
2020-03-04,8.07
2020-03-05,8.07
2020-03-06,8.07
2020-03-07,8.07
2020-03-08,8.07
2020-03-09,8.07
2020-03-10,7.845
2020-03-11,7.845
2020-03-12,7.845
2020-03-13,7.845
2020-03-14,7.845
2020-03-15,7.845
2020-03-16,7.845
2020-03-17,7.845
2020-03-18,7.845
2020-03-19,7.845
2020-03-20,7.845
2020-03-21,7.845
2020-03-22,7.845
2020-03-23,7.08
2020-03-24,7.08
2020-03-25,7.08
2020-03-26,7.08
2020-03-27,7.08
2020-03-28,7.08
2020-03-29,7.08
2020-03-30,7.08
2020-03-31,7.08
2020-04-01,7.08
2020-04-02,7.08
2020-04-03,7.08
2020-04-04,7.08
2020-04-05,7.08
2020-04-06,7.08
2020-04-07,8.68
2020-04-08,8.68
2020-04-09,8.68
2020-04-10,8.68
2020-04-11,8.68
2020-04-12,8.68
2020-04-13,8.68
2020-04-14,8.68
2020-04-15,8.68
2020-04-16,8.68
2020-04-17,8.68
2020-04-18,8.68
2020-04-19,8.68
2020-04-20,8.68
2020-04-21,7.21
2020-04-22,7.21
2020-04-23,7.21
2020-04-24,7.21
2020-04-25,7.21
2020-04-26,7.21
2020-04-27,7.21
2020-04-28,7.305
2020-04-29,7.4
2020-04-30,6.697
2020-05-01,6.697
2020-05-02,6.697
2020-05-03,6.697
2020-05-04,6.697
2020-05-05,6.697
2020-05-06,6.697
2020-05-07,6.697
2020-05-08,6.697
2020-05-09,6.697
2020-05-10,6.697
2020-05-11,6.697
2020-05-12,6.697
2020-05-13,6.697
2020-05-14,6.697
2020-05-15,6.697
2020-05-16,6.697
2020-05-17,6.697
2020-05-18,6.697
2020-05-19,6.697
2020-05-20,6.697
2020-05-21,6.697
2020-05-22,6.697
2020-05-23,6.697
2020-05-24,6.697
2020-05-25,6.697
2020-05-26,6.697
2020-05-27,6.697
2020-05-28,6.697
2020-05-29,6.697
2020-05-30,6.697
2020-05-31,6.697
2020-06-01,6.697
2020-06-02,6.697
2020-06-03,6.697
2020-06-04,6.697
2020-06-05,6.697
2020-06-06,6.697
2020-06-07,6.697
2020-06-08,6.697
2020-06-09,6.697
2020-06-10,6.697
2020-06-11,6.697
2020-06-12,6.697
2020-06-13,6.697
2020-06-14,6.697
2020-06-15,6.697
2020-06-16,6.697
2020-06-17,6.697
2020-06-18,6.697
2020-06-19,6.697
2020-06-20,6.697
2020-06-21,6.697
2020-06-22,6.697
2020-06-23,6.697
2020-06-24,6.697
2020-06-25,6.697
2020-06-26,6.697
2020-06-27,6.697
2020-06-28,6.697
2020-06-29,6.697
2020-06-30,6.697
2020-07-01,6.697
2020-07-02,6.697
2020-07-03,6.697
2020-07-04,6.697
2020-07-05,6.697
2020-07-06,6.697
2020-07-07,6.697
2020-07-08,6.707
