,BKNG US Equity
,BEST_EPS
2020-01-01,145.13
2020-01-02,145.13
2020-01-03,145.13
2020-01-04,145.13
2020-01-05,145.13
2020-01-06,145.13
2020-01-07,145.13
2020-01-08,145.13
2020-01-09,145.13
2020-01-10,145.13
2020-01-11,145.13
2020-01-12,145.13
2020-01-13,145.13
2020-01-14,145.13
2020-01-15,145.13
2020-01-16,145.13
2020-01-17,145.13
2020-01-18,145.13
2020-01-19,145.13
2020-01-20,145.13
2020-01-21,145.13
2020-01-22,145.13
2020-01-23,145.13
2020-01-24,145.13
2020-01-25,145.13
2020-01-26,145.13
2020-01-27,145.13
2020-01-28,145.13
2020-01-29,145.13
2020-01-30,145.13
2020-01-31,145.13
2020-02-01,145.13
2020-02-02,145.13
2020-02-03,145.13
2020-02-04,145.13
2020-02-05,145.13
2020-02-06,145.13
2020-02-07,145.13
2020-02-08,145.13
2020-02-09,145.13
2020-02-10,145.13
2020-02-11,145.13
2020-02-12,145.13
2020-02-13,145.13
2020-02-14,145.13
2020-02-15,145.13
2020-02-16,145.13
2020-02-17,145.13
2020-02-18,145.13
2020-02-19,145.13
2020-02-20,145.13
2020-02-21,145.13
2020-02-22,145.13
2020-02-23,145.13
2020-02-24,148.31
2020-02-25,148.31
2020-02-26,148.31
2020-02-27,159.495
2020-02-28,159.495
2020-02-29,172.72
2020-03-01,172.72
2020-03-02,172.72
2020-03-03,172.72
2020-03-04,172.72
2020-03-05,172.72
2020-03-06,172.72
2020-03-07,172.72
2020-03-08,172.72
2020-03-09,172.72
2020-03-10,166.307
2020-03-11,166.307
2020-03-12,166.307
2020-03-13,163.923
2020-03-14,163.923
2020-03-15,163.923
2020-03-16,163.923
2020-03-17,163.923
2020-03-18,170.138
2020-03-19,170.138
2020-03-20,170.138
2020-03-21,170.138
2020-03-22,170.138
2020-03-23,170.138
2020-03-24,170.138
2020-03-25,170.138
2020-03-26,170.138
2020-03-27,161.513
2020-03-28,161.513
2020-03-29,161.513
2020-03-30,161.513
2020-03-31,161.513
2020-04-01,161.513
2020-04-02,161.513
2020-04-03,161.513
2020-04-04,161.513
2020-04-05,161.513
2020-04-06,161.513
2020-04-07,161.513
2020-04-08,161.27
2020-04-09,161.27
2020-04-10,161.27
2020-04-11,161.27
2020-04-12,161.27
2020-04-13,161.27
2020-04-14,161.27
2020-04-15,161.27
2020-04-16,156.89
2020-04-17,156.89
2020-04-18,156.89
2020-04-19,156.89
2020-04-20,156.89
