,BIIB US Equity
,BEST_EPS
2020-01-01,32.073
2020-01-02,31.821
2020-01-03,31.821
2020-01-04,31.821
2020-01-05,31.821
2020-01-06,31.821
2020-01-07,31.821
2020-01-08,31.802
2020-01-09,31.802
2020-01-10,31.802
2020-01-11,31.802
2020-01-12,31.802
2020-01-13,31.802
2020-01-14,31.802
2020-01-15,31.802
2020-01-16,31.802
2020-01-17,31.802
2020-01-18,31.802
2020-01-19,31.802
2020-01-20,31.802
2020-01-21,31.802
2020-01-22,31.802
2020-01-23,31.754
2020-01-24,31.754
2020-01-25,31.754
2020-01-26,32.055
2020-01-27,32.171
2020-01-28,32.266
2020-01-29,32.346
2020-01-30,31.57
2020-01-31,30.379
2020-02-01,30.379
2020-02-02,30.379
2020-02-03,30.379
2020-02-04,30.379
2020-02-05,31.811
2020-02-06,32.32
2020-02-07,32.32
2020-02-08,32.32
2020-02-09,32.42
2020-02-10,34.002
2020-02-11,34.002
2020-02-12,34.002
2020-02-13,34.002
2020-02-14,34.002
2020-02-15,34.002
2020-02-16,34.002
2020-02-17,34.002
2020-02-18,34.002
2020-02-19,34.002
2020-02-20,34.002
2020-02-21,34.002
2020-02-22,34.002
2020-02-23,34.002
2020-02-24,32.96
2020-02-25,32.96
2020-02-26,32.96
2020-02-27,32.96
2020-02-28,32.96
2020-02-29,32.96
2020-03-01,32.96
2020-03-02,34.002
2020-03-03,34.002
2020-03-04,34.002
2020-03-05,34.002
2020-03-06,34.002
2020-03-07,34.002
2020-03-08,34.002
2020-03-09,34.002
2020-03-10,34.002
2020-03-11,34.002
2020-03-12,34.002
2020-03-13,34.002
2020-03-14,34.002
2020-03-15,34.002
2020-03-16,34.002
2020-03-17,34.002
2020-03-18,34.008
2020-03-19,34.008
2020-03-20,34.008
2020-03-21,34.008
2020-03-22,34.008
2020-03-23,34.008
2020-03-24,34.008
2020-03-25,34.008
2020-03-26,34.008
2020-03-27,34.008
2020-03-28,34.008
2020-03-29,34.008
2020-03-30,32.793
2020-03-31,34.008
2020-04-01,34.008
2020-04-02,34.008
2020-04-03,34.008
2020-04-04,34.008
2020-04-05,34.008
2020-04-06,34.889
2020-04-07,34.889
2020-04-08,34.889
2020-04-09,34.889
2020-04-10,34.889
2020-04-11,34.889
2020-04-12,34.889
2020-04-13,34.238
2020-04-14,34.561
2020-04-15,34.561
2020-04-16,34.276
2020-04-17,34.276
2020-04-18,34.276
2020-04-19,34.276
2020-04-20,33.324
2020-04-21,33.324
2020-04-22,34.59
2020-04-23,34.604
2020-04-24,34.679
2020-04-25,34.679
2020-04-26,34.679
2020-04-27,34.642
2020-04-28,34.613
2020-04-29,34.613
2020-04-30,34.367
2020-05-01,34.367
2020-05-02,34.367
2020-05-03,34.367
2020-05-04,34.367
2020-05-05,34.367
2020-05-06,34.367
2020-05-07,34.367
2020-05-08,34.367
2020-05-09,34.367
2020-05-10,34.367
2020-05-11,34.367
2020-05-12,34.367
2020-05-13,34.367
2020-05-14,34.367
2020-05-15,34.367
2020-05-16,34.367
2020-05-17,34.367
2020-05-18,34.367
2020-05-19,34.462
2020-05-20,34.462
2020-05-21,34.462
2020-05-22,34.462
2020-05-23,34.462
2020-05-24,34.462
2020-05-25,34.462
2020-05-26,34.462
2020-05-27,34.462
2020-05-28,34.462
2020-05-29,34.462
2020-05-30,34.462
2020-05-31,34.462
2020-06-01,34.462
2020-06-02,34.462
2020-06-03,34.462
2020-06-04,34.462
2020-06-05,34.462
2020-06-06,34.462
2020-06-07,34.462
2020-06-08,34.462
2020-06-09,33.767
2020-06-10,33.767
2020-06-11,33.767
2020-06-12,33.767
2020-06-13,33.767
2020-06-14,33.767
2020-06-15,33.767
2020-06-16,33.767
2020-06-17,33.767
2020-06-18,32.387
2020-06-19,31.747
2020-06-20,31.747
2020-06-21,31.747
2020-06-22,31.131
2020-06-23,31.131
2020-06-24,31.131
2020-06-25,31.131
2020-06-26,31.131
2020-06-27,31.131
2020-06-28,31.131
2020-06-29,31.131
2020-06-30,31.131
2020-07-01,31.131
2020-07-02,31.066
2020-07-03,31.066
2020-07-04,31.066
2020-07-05,31.066
2020-07-06,31.081
2020-07-07,31.081
2020-07-08,30.686
2020-07-09,30.686
2020-07-10,30.686
2020-07-11,30.686
2020-07-12,30.686
2020-07-13,30.686
2020-07-14,30.707
2020-07-15,30.707
2020-07-16,30.701
2020-07-17,30.846
2020-07-18,30.846
2020-07-19,30.846
2020-07-20,30.846
2020-07-21,30.846
2020-07-22,31.638
2020-07-23,32.316
2020-07-24,32.308
2020-07-25,32.308
2020-07-26,32.032
2020-07-27,31.91
2020-07-28,31.91
2020-07-29,31.91
2020-07-30,31.91
2020-07-31,31.91
2020-08-01,31.91
2020-08-02,31.91
2020-08-03,31.91
2020-08-04,31.91
2020-08-05,31.91
2020-08-06,31.91
2020-08-07,32.256
2020-08-08,32.256
2020-08-09,32.256
2020-08-10,32.256
2020-08-11,32.256
2020-08-12,32.256
2020-08-13,32.256
2020-08-14,32.256
2020-08-15,32.256
2020-08-16,32.256
2020-08-17,32.256
2020-08-18,32.256
2020-08-19,32.256
2020-08-20,31.565
2020-08-21,31.565
2020-08-22,31.565
2020-08-23,31.565
2020-08-24,31.593
2020-08-25,31.593
2020-08-26,31.593
2020-08-27,31.593
2020-08-28,31.593
2020-08-29,31.593
2020-08-30,31.593
2020-08-31,31.593
2020-09-01,31.593
2020-09-02,31.593
2020-09-03,31.593
2020-09-04,31.593
2020-09-05,31.593
2020-09-06,31.593
2020-09-07,31.593
2020-09-08,31.593
2020-09-09,31.593
2020-09-10,31.593
2020-09-11,31.593
2020-09-12,31.593
2020-09-13,31.585
2020-09-14,31.585
2020-09-15,31.585
2020-09-16,31.585
2020-09-17,31.585
2020-09-18,31.569
2020-09-19,31.569
2020-09-20,31.569
2020-09-21,31.569
2020-09-22,31.569
