,HII US Equity
,BEST_EPS
2020-01-01,20.51
2020-01-02,20.51
2020-01-03,20.51
2020-01-04,20.51
2020-01-05,20.51
2020-01-06,20.51
2020-01-07,20.51
2020-01-08,20.51
2020-01-09,20.51
2020-01-10,20.51
2020-01-11,20.51
2020-01-12,20.51
2020-01-13,20.51
2020-01-14,20.51
2020-01-15,20.51
2020-01-16,20.51
2020-01-17,20.51
2020-01-18,20.51
2020-01-19,20.51
2020-01-20,20.51
2020-01-21,20.51
2020-01-22,20.51
2020-01-23,20.51
2020-01-24,20.51
2020-01-25,20.51
2020-01-26,20.51
2020-01-27,20.51
2020-01-28,20.51
2020-01-29,20.51
2020-01-30,20.51
2020-01-31,20.51
2020-02-01,20.51
2020-02-02,20.51
2020-02-03,20.51
2020-02-04,20.51
2020-02-05,20.51
2020-02-06,20.51
2020-02-07,20.51
2020-02-08,20.51
2020-02-09,20.51
2020-02-10,20.51
2020-02-11,20.51
2020-02-12,20.51
2020-02-13,20.51
2020-02-14,20.055
2020-02-15,20.055
2020-02-16,20.055
2020-02-17,20.055
2020-02-18,20.055
2020-02-19,20.51
2020-02-20,20.51
2020-02-21,20.51
2020-02-22,20.51
2020-02-23,20.51
2020-02-24,20.51
2020-02-25,20.51
2020-02-26,20.51
2020-02-27,20.51
2020-02-28,20.51
2020-02-29,20.51
2020-03-01,20.51
2020-03-02,20.51
2020-03-03,20.51
2020-03-04,20.51
2020-03-05,20.51
2020-03-06,20.51
2020-03-07,20.51
2020-03-08,20.51
2020-03-09,20.51
2020-03-10,20.51
2020-03-11,20.51
2020-03-12,20.51
2020-03-13,20.51
2020-03-14,20.51
2020-03-15,20.51
2020-03-16,20.51
2020-03-17,20.51
2020-03-18,20.51
2020-03-19,20.51
2020-03-20,20.51
2020-03-21,20.51
2020-03-22,20.51
2020-03-23,20.51
2020-03-24,20.51
2020-03-25,20.51
2020-03-26,20.51
2020-03-27,20.51
2020-03-28,20.51
2020-03-29,20.51
2020-03-30,21.175
2020-03-31,21.175
2020-04-01,21.175
2020-04-02,21.175
2020-04-03,21.175
2020-04-04,21.175
2020-04-05,21.175
2020-04-06,21.175
2020-04-07,21.175
2020-04-08,21.175
2020-04-09,20.17
2020-04-10,20.17
2020-04-11,20.17
2020-04-12,20.17
2020-04-13,20.17
2020-04-14,20.17
2020-04-15,20.17
2020-04-16,20.17
2020-04-17,20.17
2020-04-18,20.17
2020-04-19,20.17
2020-04-20,20.17
2020-04-21,20.17
2020-04-22,20.17
2020-04-23,20.17
2020-04-24,20.17
2020-04-25,20.17
2020-04-26,20.17
2020-04-27,20.17
2020-04-28,20.17
2020-04-29,20.17
2020-04-30,20.17
2020-05-01,20.17
2020-05-02,20.17
2020-05-03,20.17
2020-05-04,20.17
2020-05-05,20.17
2020-05-06,20.17
2020-05-07,20.17
2020-05-08,19.873
2020-05-09,19.873
2020-05-10,19.873
2020-05-11,19.873
2020-05-12,19.873
2020-05-13,19.873
2020-05-14,20.038
2020-05-15,20.038
2020-05-16,20.038
2020-05-17,20.038
2020-05-18,20.038
2020-05-19,20.038
2020-05-20,20.038
2020-05-21,20.654
2020-05-22,20.654
2020-05-23,20.654
2020-05-24,20.654
2020-05-25,20.654
2020-05-26,20.654
2020-05-27,20.654
2020-05-28,20.654
2020-05-29,20.654
2020-05-30,20.654
2020-05-31,20.654
2020-06-01,20.654
2020-06-02,20.654
2020-06-03,20.654
2020-06-04,20.654
2020-06-05,20.654
2020-06-06,20.654
2020-06-07,20.654
2020-06-08,20.654
2020-06-09,20.654
2020-06-10,20.654
2020-06-11,20.654
2020-06-12,20.654
2020-06-13,20.654
2020-06-14,20.654
2020-06-15,20.654
2020-06-16,20.656
2020-06-17,20.656
2020-06-18,20.656
2020-06-19,20.656
2020-06-20,20.656
2020-06-21,20.656
2020-06-22,20.656
2020-06-23,20.656
2020-06-24,20.656
2020-06-25,20.656
2020-06-26,20.656
2020-06-27,20.656
2020-06-28,20.656
2020-06-29,20.656
2020-06-30,20.656
2020-07-01,20.656
2020-07-02,20.656
2020-07-03,20.656
2020-07-04,20.656
2020-07-05,20.656
2020-07-06,20.656
2020-07-07,20.656
2020-07-08,20.656
2020-07-09,20.656
2020-07-10,20.656
2020-07-11,20.656
2020-07-12,20.656
2020-07-13,20.656
2020-07-14,20.656
2020-07-15,20.656
2020-07-16,20.656
2020-07-17,20.656
2020-07-18,20.656
2020-07-19,20.656
2020-07-20,20.656
2020-07-21,20.656
2020-07-22,20.656
2020-07-23,20.656
2020-07-24,20.656
2020-07-25,20.656
2020-07-26,20.656
2020-07-27,20.656
2020-07-28,20.656
2020-07-29,20.656
2020-07-30,20.656
2020-07-31,20.656
2020-08-01,20.656
2020-08-02,20.656
2020-08-03,20.656
2020-08-04,20.656
2020-08-05,20.656
2020-08-06,20.454
2020-08-07,20.102
2020-08-08,20.102
2020-08-09,20.102
2020-08-10,19.617
2020-08-11,19.617
2020-08-12,19.567
2020-08-13,19.567
2020-08-14,19.567
2020-08-15,19.567
2020-08-16,19.567
2020-08-17,19.567
2020-08-18,19.567
2020-08-19,19.567
2020-08-20,19.567
2020-08-21,19.567
2020-08-22,19.567
2020-08-23,19.567
2020-08-24,19.567
2020-08-25,19.567
2020-08-26,19.567
2020-08-27,19.567
2020-08-28,19.567
2020-08-29,19.567
2020-08-30,19.567
2020-08-31,19.567
2020-09-01,19.567
2020-09-02,19.567
2020-09-03,19.567
2020-09-04,19.567
2020-09-05,19.567
2020-09-06,19.567
2020-09-07,19.567
2020-09-08,19.567
2020-09-09,19.567
2020-09-10,19.567
2020-09-11,19.567
2020-09-12,19.567
2020-09-13,19.567
2020-09-14,19.567
2020-09-15,19.567
2020-09-16,19.567
2020-09-17,19.567
2020-09-18,19.567
2020-09-19,19.567
2020-09-20,19.567
2020-09-21,19.567
2020-09-22,19.567
2020-09-23,19.567
2020-09-24,19.567
2020-09-25,19.567
2020-09-26,19.567
2020-09-27,19.567
2020-09-28,19.567
2020-09-29,19.567
2020-09-30,19.567
2020-10-01,19.567
2020-10-02,19.567
2020-10-03,19.567
2020-10-04,19.567
2020-10-05,19.567
2020-10-06,19.567
2020-10-07,19.567
2020-10-08,19.567
2020-10-09,19.567
2020-10-10,19.567
2020-10-11,19.567
2020-10-12,19.567
2020-10-13,19.567
2020-10-14,19.532
2020-10-15,19.532
2020-10-16,19.532
2020-10-17,19.532
2020-10-18,19.532
2020-10-19,19.898
2020-10-20,19.898
2020-10-21,19.898
2020-10-22,19.898
2020-10-23,19.898
2020-10-24,19.898
2020-10-25,19.898
2020-10-26,19.898
2020-10-27,19.898
2020-10-28,19.898
2020-10-29,19.898
2020-10-30,19.898
2020-10-31,19.898
2020-11-01,19.898
2020-11-02,19.898
2020-11-03,19.898
2020-11-04,19.898
2020-11-05,20.065
2020-11-06,19.938
2020-11-07,19.938
2020-11-08,19.938
2020-11-09,19.91
2020-11-10,19.91
2020-11-11,19.91
2020-11-12,19.91
2020-11-13,19.91
2020-11-14,19.91
2020-11-15,19.91
2020-11-16,19.91
2020-11-17,19.91
2020-11-18,19.91
2020-11-19,19.91
2020-11-20,19.91
2020-11-21,19.91
2020-11-22,19.91
2020-11-23,19.91
2020-11-24,19.91
2020-11-25,19.91
2020-11-26,19.91
2020-11-27,19.91
2020-11-28,19.91
2020-11-29,19.91
2020-11-30,19.91
2020-12-01,19.91
2020-12-02,19.91
2020-12-03,19.91
2020-12-04,19.91
2020-12-05,19.91
2020-12-06,19.91
2020-12-07,19.91
2020-12-08,19.91
2020-12-09,19.91
2020-12-10,19.91
2020-12-11,19.91
2020-12-12,19.91
2020-12-13,19.91
2020-12-14,19.91
2020-12-15,19.91
2020-12-16,19.91
2020-12-17,19.91
2020-12-18,19.91
2020-12-19,19.91
2020-12-20,19.91
2020-12-21,19.91
2020-12-22,19.91
2020-12-23,19.91
2020-12-24,19.91
2020-12-25,19.91
2020-12-26,19.91
2020-12-27,19.91
2020-12-28,19.91
2020-12-29,19.91
2020-12-30,19.91
2020-12-31,19.91
2021-01-01,19.91
2021-01-02,19.91
2021-01-03,19.91
2021-01-04,19.91
2021-01-05,19.91
2021-01-06,19.91
2021-01-07,19.91
2021-01-08,19.91
2021-01-09,19.91
2021-01-10,19.91
2021-01-11,19.91
2021-01-12,19.91
2021-01-13,19.91
2021-01-14,19.91
2021-01-15,19.91
2021-01-16,19.91
2021-01-17,19.91
2021-01-18,19.91
2021-01-19,19.91
2021-01-20,19.91
2021-01-21,19.91
2021-01-22,19.91
2021-01-23,19.91
2021-01-24,19.91
2021-01-25,19.91
2021-01-26,19.91
2021-01-27,19.91
2021-01-28,19.91
2021-01-29,19.91
2021-01-30,19.91
2021-01-31,19.91
2021-02-01,19.91
2021-02-02,19.91
2021-02-03,19.91
2021-02-04,19.91
2021-02-05,19.91
2021-02-06,19.91
2021-02-07,19.91
2021-02-08,19.91
2021-02-09,19.91
2021-02-10,19.91
2021-02-11,19.91
2021-02-12,20.085
2021-02-13,20.085
2021-02-14,20.085
2021-02-15,20.085
2021-02-16,20.667
2021-02-17,20.667
2021-02-18,20.667
2021-02-19,20.667
2021-02-20,20.667
2021-02-21,20.667
2021-02-22,20.667
2021-02-23,20.667
2021-02-24,20.667
2021-02-25,20.667
2021-02-26,20.667
2021-02-27,20.667
2021-02-28,20.667
2021-03-01,20.667
2021-03-02,20.667
2021-03-03,20.667
2021-03-04,20.667
2021-03-05,20.667
2021-03-06,20.667
2021-03-07,20.667
2021-03-08,20.667
2021-03-09,20.667
2021-03-10,20.667
2021-03-11,20.667
2021-03-12,20.667
2021-03-13,20.667
2021-03-14,20.667
2021-03-15,20.667
2021-03-16,20.667
2021-03-17,20.667
2021-03-18,20.667
2021-03-19,20.667
2021-03-20,20.667
2021-03-21,20.667
2021-03-22,20.667
2021-03-23,20.667
2021-03-24,20.667
2021-03-25,20.667
2021-03-26,20.667
2021-03-27,20.667
2021-03-28,20.667
2021-03-29,20.667
2021-03-30,20.667
2021-03-31,20.667
2021-04-01,20.667
