,EFX US Equity
,BEST_EPS
2020-01-01,11.07
2020-01-02,11.07
2020-01-03,11.07
2020-01-04,11.07
2020-01-05,11.07
2020-01-06,11.07
2020-01-07,11.07
2020-01-08,11.07
2020-01-09,11.07
2020-01-10,10.06
2020-01-11,10.06
2020-01-12,10.06
2020-01-13,10.06
2020-01-14,10.06
2020-01-15,10.06
2020-01-16,10.06
2020-01-17,10.06
2020-01-18,10.06
2020-01-19,10.06
2020-01-20,10.06
2020-01-21,10.06
2020-01-22,10.06
2020-01-23,10.06
2020-01-24,10.06
2020-01-25,10.06
2020-01-26,10.06
2020-01-27,10.06
2020-01-28,10.06
2020-01-29,10.06
2020-01-30,10.06
2020-01-31,10.06
2020-02-01,10.06
2020-02-02,10.06
2020-02-03,10.06
2020-02-04,10.06
2020-02-05,10.06
2020-02-06,10.06
2020-02-07,10.06
2020-02-08,10.06
2020-02-09,10.06
2020-02-10,10.06
2020-02-11,10.06
2020-02-12,10.06
2020-02-13,10.06
2020-02-14,10.06
2020-02-15,10.06
2020-02-16,10.06
2020-02-17,10.06
2020-02-18,10.06
2020-02-19,11.07
2020-02-20,11.07
2020-02-21,11.07
2020-02-22,11.07
2020-02-23,11.07
2020-02-24,11.07
2020-02-25,11.07
2020-02-26,11.07
2020-02-27,11.07
2020-02-28,11.07
2020-02-29,11.07
2020-03-01,11.07
2020-03-02,11.07
2020-03-03,11.07
2020-03-04,11.07
2020-03-05,11.07
2020-03-06,11.07
2020-03-07,11.07
2020-03-08,11.07
2020-03-09,11.07
2020-03-10,11.07
2020-03-11,11.07
2020-03-12,11.07
2020-03-13,11.07
2020-03-14,11.07
2020-03-15,11.07
2020-03-16,11.07
2020-03-17,11.07
2020-03-18,11.07
2020-03-19,11.07
2020-03-20,11.07
2020-03-21,11.07
2020-03-22,11.07
2020-03-23,11.07
2020-03-24,11.07
2020-03-25,11.07
2020-03-26,11.07
2020-03-27,11.07
2020-03-28,11.07
2020-03-29,11.07
2020-03-30,11.07
2020-03-31,11.07
2020-04-01,11.07
2020-04-02,11.07
2020-04-03,11.07
2020-04-04,11.07
2020-04-05,11.07
2020-04-06,11.07
2020-04-07,11.07
2020-04-08,11.07
2020-04-09,11.07
2020-04-10,11.07
2020-04-11,11.07
2020-04-12,11.07
2020-04-13,11.07
2020-04-14,11.07
2020-04-15,11.07
2020-04-16,11.07
2020-04-17,11.07
2020-04-18,11.07
2020-04-19,11.07
2020-04-20,11.07
2020-04-21,11.07
2020-04-22,11.07
2020-04-23,10.02
2020-04-24,10.02
2020-04-25,10.02
2020-04-26,10.02
2020-04-27,10.02
2020-04-28,10.02
2020-04-29,10.02
2020-04-30,10.02
2020-05-01,10.02
2020-05-02,10.02
2020-05-03,10.02
2020-05-04,10.02
2020-05-05,10.02
2020-05-06,10.02
2020-05-07,10.02
2020-05-08,10.02
2020-05-09,10.02
2020-05-10,10.02
2020-05-11,10.02
2020-05-12,10.02
2020-05-13,10.02
2020-05-14,10.02
2020-05-15,10.02
2020-05-16,10.02
2020-05-17,10.02
2020-05-18,10.02
2020-05-19,10.02
2020-05-20,10.02
2020-05-21,10.02
2020-05-22,10.02
2020-05-23,10.02
2020-05-24,10.02
2020-05-25,10.02
2020-05-26,10.02
2020-05-27,10.02
2020-05-28,10.02
2020-05-29,10.02
2020-05-30,10.02
2020-05-31,10.02
2020-06-01,10.02
2020-06-02,10.02
2020-06-03,10.02
2020-06-04,10.02
2020-06-05,10.02
2020-06-06,10.02
2020-06-07,10.02
2020-06-08,10.02
2020-06-09,10.02
2020-06-10,10.02
2020-06-11,10.02
2020-06-12,10.02
2020-06-13,10.02
2020-06-14,10.02
2020-06-15,10.02
2020-06-16,10.02
2020-06-17,10.02
2020-06-18,10.02
2020-06-19,10.02
2020-06-20,10.02
2020-06-21,10.02
2020-06-22,10.02
2020-06-23,10.02
2020-06-24,10.02
2020-06-25,10.02
2020-06-26,10.02
2020-06-27,10.02
2020-06-28,10.02
2020-06-29,10.02
2020-06-30,10.02
2020-07-01,10.02
2020-07-02,10.02
2020-07-03,10.02
2020-07-04,10.02
2020-07-05,10.02
2020-07-06,10.02
2020-07-07,10.02
2020-07-08,10.02
2020-07-09,10.02
2020-07-10,10.02
2020-07-11,10.02
2020-07-12,10.02
2020-07-13,10.02
2020-07-14,10.02
2020-07-15,10.02
2020-07-16,10.02
2020-07-17,10.02
2020-07-18,10.02
2020-07-19,10.02
2020-07-20,10.02
2020-07-21,10.02
2020-07-22,10.02
2020-07-23,10.445
2020-07-24,11.07
2020-07-25,11.07
2020-07-26,11.07
2020-07-27,11.07
2020-07-28,11.07
2020-07-29,11.07
2020-07-30,11.07
2020-07-31,11.07
2020-08-01,11.07
2020-08-02,11.07
2020-08-03,11.07
2020-08-04,11.07
2020-08-05,11.07
2020-08-06,11.07
2020-08-07,11.07
2020-08-08,11.07
2020-08-09,11.07
2020-08-10,11.07
2020-08-11,11.07
2020-08-12,11.07
2020-08-13,11.07
2020-08-14,11.07
2020-08-15,11.07
2020-08-16,11.07
2020-08-17,11.07
2020-08-18,11.07
2020-08-19,11.07
2020-08-20,11.07
2020-08-21,11.07
2020-08-22,11.07
2020-08-23,11.07
2020-08-24,11.07
2020-08-25,11.07
2020-08-26,11.07
2020-08-27,11.07
2020-08-28,11.07
2020-08-29,11.07
2020-08-30,11.07
2020-08-31,11.07
2020-09-01,11.07
2020-09-02,11.07
2020-09-03,11.07
2020-09-04,11.07
2020-09-05,11.07
2020-09-06,11.07
2020-09-07,11.07
2020-09-08,11.07
2020-09-09,11.07
2020-09-10,11.07
2020-09-11,11.07
2020-09-12,11.07
2020-09-13,11.07
2020-09-14,11.07
2020-09-15,11.07
2020-09-16,11.07
2020-09-17,11.07
2020-09-18,11.07
2020-09-19,11.07
2020-09-20,11.07
2020-09-21,11.07
2020-09-22,11.07
2020-09-23,11.07
2020-09-24,11.07
2020-09-25,11.07
2020-09-26,11.07
2020-09-27,11.07
2020-09-28,11.07
2020-09-29,11.07
2020-09-30,11.07
2020-10-01,11.07
2020-10-02,11.07
2020-10-03,11.07
2020-10-04,11.07
2020-10-05,11.07
2020-10-06,11.07
2020-10-07,11.07
2020-10-08,11.07
2020-10-09,11.07
2020-10-10,11.07
2020-10-11,11.07
2020-10-12,11.07
