,LYB US Equity
,BEST_EPS
2020-01-01,12.67
2020-01-02,12.67
2020-01-03,12.67
2020-01-04,12.67
2020-01-05,12.67
2020-01-06,12.67
2020-01-07,12.67
2020-01-08,12.67
2020-01-09,12.67
2020-01-10,12.67
2020-01-11,12.67
2020-01-12,12.67
2020-01-13,12.67
2020-01-14,12.67
2020-01-15,12.67
2020-01-16,12.67
2020-01-17,12.67
2020-01-18,12.67
2020-01-19,12.67
2020-01-20,12.67
2020-01-21,12.67
2020-01-22,12.67
2020-01-23,12.67
2020-01-24,12.67
2020-01-25,12.67
2020-01-26,12.67
2020-01-27,12.67
2020-01-28,17.52
2020-01-29,17.52
2020-01-30,17.52
2020-01-31,17.52
2020-02-01,17.52
2020-02-02,17.52
2020-02-03,17.81
2020-02-04,17.89
2020-02-05,17.89
2020-02-06,17.89
2020-02-07,17.89
2020-02-08,17.89
2020-02-09,17.89
2020-02-10,17.89
2020-02-11,17.89
2020-02-12,17.89
2020-02-13,17.89
2020-02-14,17.89
2020-02-15,17.89
2020-02-16,17.89
2020-02-17,17.89
2020-02-18,17.89
2020-02-19,17.89
2020-02-20,17.89
2020-02-21,17.89
2020-02-22,17.89
2020-02-23,17.89
2020-02-24,17.89
2020-02-25,17.89
2020-02-26,17.89
2020-02-27,17.89
2020-02-28,17.89
2020-02-29,17.89
2020-03-01,17.89
2020-03-02,17.89
2020-03-03,17.89
2020-03-04,17.89
2020-03-05,17.89
2020-03-06,17.89
2020-03-07,17.89
2020-03-08,17.89
2020-03-09,17.89
2020-03-10,17.89
2020-03-11,17.89
2020-03-12,9.65
2020-03-13,9.65
2020-03-14,9.65
2020-03-15,9.65
2020-03-16,9.65
2020-03-17,9.65
2020-03-18,9.65
2020-03-19,9.65
2020-03-20,9.65
2020-03-21,9.65
2020-03-22,9.65
2020-03-23,9.65
2020-03-24,9.65
2020-03-25,9.65
2020-03-26,9.65
2020-03-27,9.65
2020-03-28,9.65
2020-03-29,9.65
2020-03-30,9.65
2020-03-31,9.65
2020-04-01,9.65
2020-04-02,9.65
2020-04-03,9.65
2020-04-04,9.65
2020-04-05,9.65
2020-04-06,9.65
2020-04-07,9.65
2020-04-08,9.24
2020-04-09,9.24
2020-04-10,9.24
2020-04-11,9.24
2020-04-12,9.24
2020-04-13,9.24
2020-04-14,9.24
2020-04-15,9.24
2020-04-16,9.24
2020-04-17,9.24
2020-04-18,9.24
2020-04-19,9.24
2020-04-20,9.24
2020-04-21,9.24
2020-04-22,9.24
2020-04-23,9.24
2020-04-24,9.24
2020-04-25,9.24
2020-04-26,9.24
2020-04-27,9.24
2020-04-28,9.24
2020-04-29,9.24
2020-04-30,9.24
2020-05-01,9.24
2020-05-02,9.24
2020-05-03,9.45
2020-05-04,9.45
2020-05-05,9.45
2020-05-06,9.45
2020-05-07,9.45
2020-05-08,9.45
2020-05-09,9.45
2020-05-10,9.45
2020-05-11,9.45
2020-05-12,9.45
2020-05-13,9.45
2020-05-14,9.45
2020-05-15,9.45
2020-05-16,9.45
2020-05-17,9.45
2020-05-18,9.45
2020-05-19,9.45
2020-05-20,9.45
2020-05-21,9.45
2020-05-22,9.45
2020-05-23,9.45
2020-05-24,9.45
2020-05-25,9.45
2020-05-26,9.45
2020-05-27,9.45
2020-05-28,9.45
2020-05-29,9.45
2020-05-30,9.45
2020-05-31,9.45
2020-06-01,9.45
2020-06-02,9.45
2020-06-03,9.45
2020-06-04,9.45
2020-06-05,9.45
2020-06-06,9.45
2020-06-07,9.45
2020-06-08,9.45
2020-06-09,9.45
2020-06-10,9.45
2020-06-11,9.45
2020-06-12,9.45
2020-06-13,9.45
2020-06-14,9.45
2020-06-15,9.45
2020-06-16,9.45
2020-06-17,9.45
2020-06-18,9.45
2020-06-19,9.45
2020-06-20,9.45
2020-06-21,9.45
2020-06-22,9.45
2020-06-23,9.45
2020-06-24,9.45
2020-06-25,9.45
2020-06-26,9.45
2020-06-27,9.45
2020-06-28,9.45
2020-06-29,9.45
2020-06-30,9.45
2020-07-01,9.45
2020-07-02,9.45
2020-07-03,9.45
2020-07-04,9.45
2020-07-05,9.45
2020-07-06,9.45
2020-07-07,9.45
2020-07-08,9.45
2020-07-09,9.45
2020-07-10,9.45
2020-07-11,9.45
2020-07-12,9.45
2020-07-13,9.45
2020-07-14,9.45
2020-07-15,9.76
2020-07-16,9.76
2020-07-17,9.76
2020-07-18,9.76
2020-07-19,9.76
2020-07-20,9.76
2020-07-21,9.76
2020-07-22,9.76
2020-07-23,9.76
2020-07-24,9.76
2020-07-25,9.76
2020-07-26,9.76
2020-07-27,9.76
2020-07-28,9.76
2020-07-29,9.76
2020-07-30,9.76
2020-07-31,9.76
2020-08-01,9.76
2020-08-02,9.76
2020-08-03,9.76
2020-08-04,9.76
2020-08-05,9.76
2020-08-06,9.76
2020-08-07,9.76
2020-08-08,9.76
2020-08-09,9.76
2020-08-10,9.76
2020-08-11,9.76
2020-08-12,9.76
2020-08-13,9.76
2020-08-14,8.54
2020-08-15,8.54
2020-08-16,8.54
2020-08-17,8.54
2020-08-18,8.54
2020-08-19,8.54
2020-08-20,8.54
2020-08-21,8.54
2020-08-22,8.54
2020-08-23,8.54
2020-08-24,8.54
2020-08-25,8.54
2020-08-26,8.54
2020-08-27,8.54
2020-08-28,8.54
2020-08-29,8.54
2020-08-30,8.54
2020-08-31,8.54
2020-09-01,8.54
2020-09-02,8.54
2020-09-03,8.54
2020-09-04,8.54
2020-09-05,8.54
2020-09-06,8.54
2020-09-07,8.54
2020-09-08,8.54
2020-09-09,8.54
2020-09-10,8.54
2020-09-11,8.54
2020-09-12,8.54
2020-09-13,8.54
2020-09-14,8.54
2020-09-15,8.54
2020-09-16,8.54
2020-09-17,8.54
2020-09-18,8.54
2020-09-19,8.54
2020-09-20,8.54
2020-09-21,8.54
2020-09-22,8.54
2020-09-23,8.54
2020-09-24,8.54
2020-09-25,8.54
2020-09-26,8.54
2020-09-27,8.54
2020-09-28,8.54
2020-09-29,8.54
2020-09-30,8.54
2020-10-01,8.54
2020-10-02,8.54
2020-10-03,8.54
2020-10-04,8.54
2020-10-05,8.54
2020-10-06,8.54
2020-10-07,8.54
2020-10-08,8.54
2020-10-09,8.54
2020-10-10,8.54
2020-10-11,8.54
2020-10-12,8.54
2020-10-13,8.54
2020-10-14,8.54
2020-10-15,8.54
2020-10-16,8.54
2020-10-17,8.54
2020-10-18,8.54
2020-10-19,8.54
2020-10-20,8.54
2020-10-21,8.54
2020-10-22,8.54
2020-10-23,8.54
2020-10-24,8.54
2020-10-25,8.54
2020-10-26,8.54
2020-10-27,8.54
2020-10-28,8.54
2020-10-29,8.54
2020-10-30,8.54
2020-10-31,8.54
2020-11-01,8.54
2020-11-02,7.89
2020-11-03,7.89
2020-11-04,7.89
2020-11-05,7.89
2020-11-06,7.89
2020-11-07,7.89
2020-11-08,7.89
2020-11-09,7.89
2020-11-10,7.89
2020-11-11,7.89
2020-11-12,7.89
2020-11-13,8.545
2020-11-14,8.545
2020-11-15,8.545
2020-11-16,8.545
2020-11-17,8.545
2020-11-18,8.545
2020-11-19,8.545
2020-11-20,8.545
2020-11-21,8.545
2020-11-22,8.545
2020-11-23,8.545
2020-11-24,8.545
2020-11-25,8.545
2020-11-26,8.545
2020-11-27,8.545
2020-11-28,8.545
2020-11-29,8.545
