,DHI US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,7.42
2020-01-29,7.42
2020-01-30,7.42
2020-01-31,7.42
2020-02-01,7.42
2020-02-02,7.42
2020-02-03,7.42
2020-02-04,7.42
2020-02-05,7.42
2020-02-06,7.42
2020-02-07,7.42
2020-02-08,7.42
2020-02-09,7.42
2020-02-10,7.42
2020-02-11,7.42
2020-02-12,7.42
2020-02-13,7.42
2020-02-14,7.42
2020-02-15,7.42
2020-02-16,7.42
2020-02-17,7.42
2020-02-18,7.42
2020-02-19,7.42
2020-02-20,7.42
2020-02-21,7.42
2020-02-22,7.42
2020-02-23,7.42
2020-02-24,7.42
2020-02-25,7.42
2020-02-26,7.42
2020-02-27,7.42
2020-02-28,7.42
2020-02-29,7.42
2020-03-01,7.42
2020-03-02,7.42
2020-03-03,7.42
2020-03-04,7.42
2020-03-05,7.42
2020-03-06,7.42
2020-03-07,7.42
2020-03-08,7.42
2020-03-09,7.42
2020-03-10,7.42
2020-03-11,7.42
2020-03-12,7.42
2020-03-13,7.42
2020-03-14,7.42
2020-03-15,7.42
2020-03-16,7.42
2020-03-17,7.42
2020-03-18,7.42
2020-03-19,7.42
2020-03-20,7.42
2020-03-21,7.42
2020-03-22,7.42
2020-03-23,7.42
2020-03-24,7.42
2020-03-25,7.42
2020-03-26,7.42
2020-03-27,7.42
2020-03-28,7.42
2020-03-29,7.42
2020-03-30,7.42
2020-03-31,7.42
2020-04-01,7.42
2020-04-02,7.42
2020-04-03,7.04
2020-04-04,7.04
2020-04-05,7.04
2020-04-06,7.04
2020-04-07,7.04
2020-04-08,7.04
2020-04-09,7.04
2020-04-10,7.04
2020-04-11,7.04
2020-04-12,7.04
2020-04-13,7.04
2020-04-14,7.04
2020-04-15,7.04
2020-04-16,7.04
2020-04-17,7.04
2020-04-18,7.04
2020-04-19,7.04
2020-04-20,7.04
2020-04-21,7.04
2020-04-22,7.04
2020-04-23,7.04
2020-04-24,7.04
2020-04-25,7.04
2020-04-26,7.04
2020-04-27,7.04
2020-04-28,7.04
2020-04-29,7.14
2020-04-30,7.14
2020-05-01,7.14
2020-05-02,7.14
2020-05-03,7.14
2020-05-04,7.14
2020-05-05,7.14
2020-05-06,7.14
2020-05-07,7.14
2020-05-08,7.14
2020-05-09,7.14
2020-05-10,7.14
2020-05-11,7.14
2020-05-12,7.14
2020-05-13,7.14
2020-05-14,7.14
2020-05-15,7.14
2020-05-16,7.14
2020-05-17,7.14
2020-05-18,7.14
2020-05-19,7.14
2020-05-20,7.14
2020-05-21,7.14
2020-05-22,7.14
2020-05-23,7.14
2020-05-24,7.14
2020-05-25,7.14
2020-05-26,7.14
2020-05-27,7.14
2020-05-28,7.14
2020-05-29,7.14
2020-05-30,7.14
2020-05-31,7.14
2020-06-01,7.14
2020-06-02,7.14
2020-06-03,7.14
2020-06-04,7.14
2020-06-05,7.14
2020-06-06,7.14
2020-06-07,7.14
2020-06-08,7.14
2020-06-09,7.14
2020-06-10,7.14
2020-06-11,7.14
2020-06-12,7.14
2020-06-13,7.14
2020-06-14,7.14
2020-06-15,7.14
2020-06-16,7.14
2020-06-17,7.14
2020-06-18,7.14
2020-06-19,7.14
2020-06-20,7.14
2020-06-21,7.14
2020-06-22,7.14
2020-06-23,7.14
2020-06-24,7.14
2020-06-25,7.14
2020-06-26,7.14
2020-06-27,7.14
2020-06-28,7.14
2020-06-29,7.14
2020-06-30,7.14
2020-07-01,7.14
2020-07-02,7.14
2020-07-03,7.14
2020-07-04,7.14
2020-07-05,7.14
2020-07-06,7.14
2020-07-07,7.14
2020-07-08,7.14
2020-07-09,7.14
2020-07-10,7.14
2020-07-11,7.14
2020-07-12,7.14
2020-07-13,7.14
2020-07-14,7.14
2020-07-15,7.14
2020-07-16,7.14
2020-07-17,7.14
2020-07-18,7.14
2020-07-19,7.14
2020-07-20,7.14
2020-07-21,7.14
2020-07-22,7.14
2020-07-23,7.14
2020-07-24,7.14
2020-07-25,7.14
2020-07-26,7.14
2020-07-27,7.14
2020-07-28,7.14
2020-07-29,8.14
2020-07-30,8.14
2020-07-31,8.14
2020-08-01,8.14
2020-08-02,8.14
2020-08-03,8.14
2020-08-04,8.14
2020-08-05,8.14
2020-08-06,8.14
2020-08-07,8.14
2020-08-08,8.14
2020-08-09,8.14
2020-08-10,8.14
2020-08-11,8.14
2020-08-12,8.14
2020-08-13,8.14
2020-08-14,8.14
2020-08-15,8.14
2020-08-16,8.14
2020-08-17,8.14
2020-08-18,8.14
2020-08-19,8.14
2020-08-20,8.14
2020-08-21,8.14
2020-08-22,8.14
2020-08-23,8.14
2020-08-24,8.14
2020-08-25,8.14
2020-08-26,8.14
2020-08-27,8.14
2020-08-28,8.14
2020-08-29,8.14
2020-08-30,8.14
2020-08-31,8.14
2020-09-01,8.14
2020-09-02,8.14
2020-09-03,8.14
2020-09-04,8.14
2020-09-05,8.14
2020-09-06,8.14
2020-09-07,8.14
2020-09-08,8.14
2020-09-09,8.14
2020-09-10,8.14
2020-09-11,8.14
2020-09-12,8.14
2020-09-13,8.14
2020-09-14,8.14
2020-09-15,8.14
2020-09-16,8.14
2020-09-17,8.14
2020-09-18,8.14
2020-09-19,8.14
2020-09-20,8.14
2020-09-21,8.14
2020-09-22,8.14
2020-09-23,8.14
2020-09-24,8.14
2020-09-25,8.14
2020-09-26,8.14
2020-09-27,8.14
2020-09-28,8.14
2020-09-29,8.14
2020-09-30,8.14
2020-10-01,8.14
2020-10-02,8.14
2020-10-03,8.14
2020-10-04,8.14
2020-10-05,8.14
2020-10-06,8.14
2020-10-07,8.14
2020-10-08,8.14
2020-10-09,8.14
2020-10-10,8.14
2020-10-11,8.14
2020-10-12,8.14
2020-10-13,8.14
2020-10-14,8.14
2020-10-15,8.14
2020-10-16,8.14
2020-10-17,8.14
2020-10-18,8.14
2020-10-19,8.14
2020-10-20,8.14
2020-10-21,8.14
2020-10-22,8.14
2020-10-23,8.14
2020-10-24,8.14
2020-10-25,8.14
2020-10-26,8.14
2020-10-27,8.14
2020-10-28,8.14
2020-10-29,8.14
2020-10-30,8.14
2020-10-31,8.14
2020-11-01,8.14
2020-11-02,8.14
2020-11-03,8.14
2020-11-04,8.14
2020-11-05,8.14
2020-11-06,8.14
2020-11-07,8.14
2020-11-08,8.14
2020-11-09,8.14
2020-11-10,8.14
2020-11-11,8.14
2020-11-12,9.57
2020-11-13,9.57
2020-11-14,9.57
2020-11-15,9.57
2020-11-16,9.57
2020-11-17,9.57
2020-11-18,9.57
2020-11-19,11.075
2020-11-20,11.075
2020-11-21,11.075
2020-11-22,11.075
2020-11-23,9.57
2020-11-24,9.57
2020-11-25,9.57
2020-11-26,9.57
2020-11-27,9.57
2020-11-28,9.57
2020-11-29,9.57
2020-11-30,9.57
2020-12-01,9.57
2020-12-02,9.57
2020-12-03,9.57
2020-12-04,9.57
2020-12-05,9.57
2020-12-06,9.57
2020-12-07,9.57
2020-12-08,9.57
2020-12-09,9.57
2020-12-10,9.57
2020-12-11,9.57
2020-12-12,9.57
2020-12-13,9.57
2020-12-14,9.57
2020-12-15,9.57
2020-12-16,9.57
2020-12-17,9.57
2020-12-18,9.57
2020-12-19,9.57
2020-12-20,9.57
2020-12-21,9.57
2020-12-22,9.57
2020-12-23,9.57
2020-12-24,9.57
2020-12-25,9.57
2020-12-26,9.57
2020-12-27,9.57
2020-12-28,9.57
2020-12-29,9.57
2020-12-30,9.57
2020-12-31,9.57
2021-01-01,9.57
2021-01-02,9.57
2021-01-03,9.57
2021-01-04,9.57
2021-01-05,9.57
2021-01-06,9.57
2021-01-07,9.57
2021-01-08,9.57
2021-01-09,9.57
2021-01-10,9.57
2021-01-11,9.57
2021-01-12,9.57
2021-01-13,9.57
2021-01-14,9.57
2021-01-15,9.57
2021-01-16,9.57
2021-01-17,9.57
2021-01-18,9.57
2021-01-19,9.57
2021-01-20,9.57
2021-01-21,9.57
2021-01-22,9.57
2021-01-23,9.57
2021-01-24,9.57
2021-01-25,9.57
2021-01-26,9.57
2021-01-27,10.51
2021-01-28,10.51
2021-01-29,10.51
2021-01-30,10.51
2021-01-31,10.51
2021-02-01,10.51
2021-02-02,10.51
2021-02-03,10.51
2021-02-04,10.51
2021-02-05,10.51
2021-02-06,10.51
2021-02-07,10.51
2021-02-08,10.51
2021-02-09,10.51
2021-02-10,10.51
2021-02-11,10.51
2021-02-12,10.51
2021-02-13,10.51
2021-02-14,10.51
2021-02-15,10.51
2021-02-16,10.51
2021-02-17,10.51
2021-02-18,10.51
2021-02-19,10.51
2021-02-20,10.51
2021-02-21,10.51
2021-02-22,10.51
2021-02-23,10.51
2021-02-24,10.51
2021-02-25,10.51
2021-02-26,10.51
2021-02-27,10.51
2021-02-28,10.51
2021-03-01,10.51
2021-03-02,10.51
2021-03-03,10.51
2021-03-04,10.51
2021-03-05,10.51
2021-03-06,10.51
2021-03-07,10.51
2021-03-08,10.51
2021-03-09,10.51
2021-03-10,10.51
2021-03-11,10.51
2021-03-12,10.51
2021-03-13,10.51
2021-03-14,10.51
2021-03-15,10.51
2021-03-16,10.51
2021-03-17,10.51
2021-03-18,11.0
2021-03-19,11.0
2021-03-20,11.0
2021-03-21,11.0
2021-03-22,11.0
2021-03-23,11.0
2021-03-24,11.0
2021-03-25,11.0
2021-03-26,11.0
2021-03-27,11.0
2021-03-28,11.0
