,DK US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,1.2
2020-01-15,1.2
2020-01-16,1.2
2020-01-17,1.2
2020-01-18,1.2
2020-01-19,1.2
2020-01-20,1.2
2020-01-21,1.2
2020-01-22,1.2
2020-01-23,1.2
2020-01-24,1.2
2020-01-25,1.2
2020-01-26,1.2
2020-01-27,1.2
2020-01-28,1.2
2020-01-29,1.2
2020-01-30,1.2
2020-01-31,1.2
2020-02-01,1.2
2020-02-02,1.2
2020-02-03,1.2
2020-02-04,1.2
2020-02-05,1.2
2020-02-06,1.2
2020-02-07,1.2
2020-02-08,1.2
2020-02-09,1.2
2020-02-10,1.2
2020-02-11,1.2
2020-02-12,1.2
2020-02-13,1.2
2020-02-14,1.2
2020-02-15,1.2
2020-02-16,1.2
2020-02-17,1.2
2020-02-18,1.2
2020-02-19,1.2
2020-02-20,1.2
2020-02-21,1.2
2020-02-22,1.2
2020-02-23,1.2
2020-02-24,1.2
2020-02-25,1.2
2020-02-26,1.2
2020-02-27,0.3
2020-02-28,0.3
2020-02-29,0.3
2020-03-01,0.3
2020-03-02,0.3
2020-03-03,0.3
2020-03-04,0.3
2020-03-05,0.3
2020-03-06,0.3
2020-03-07,0.3
2020-03-08,0.3
2020-03-09,0.3
2020-03-10,0.3
2020-03-11,0.3
2020-03-12,0.3
2020-03-13,0.3
2020-03-14,0.3
2020-03-15,0.3
2020-03-16,0.3
2020-03-17,0.3
2020-03-18,0.3
2020-03-19,0.3
2020-03-20,0.3
2020-03-21,0.3
2020-03-22,0.3
2020-03-23,0.3
2020-03-24,0.3
2020-03-25,0.3
2020-03-26,0.3
2020-03-27,0.3
2020-03-28,0.3
2020-03-29,0.3
2020-03-30,0.3
2020-03-31,0.3
2020-04-01,0.3
2020-04-02,0.3
2020-04-03,0.3
2020-04-04,0.3
2020-04-05,0.3
2020-04-06,0.3
2020-04-07,0.3
2020-04-08,0.3
2020-04-09,-0.25
2020-04-10,0.2
2020-04-11,0.2
2020-04-12,0.2
2020-04-13,0.2
2020-04-14,-0.25
2020-04-15,-0.25
2020-04-16,-0.25
2020-04-17,-0.25
2020-04-18,-0.25
2020-04-19,-0.25
2020-04-20,-0.25
2020-04-21,-0.25
2020-04-22,-0.25
2020-04-23,-0.25
2020-04-24,-0.25
2020-04-25,-0.25
2020-04-26,-0.25
2020-04-27,-0.25
2020-04-28,-0.25
2020-04-29,-0.25
2020-04-30,-0.25
2020-05-01,-0.25
2020-05-02,-0.25
2020-05-03,-0.25
2020-05-04,-0.25
2020-05-05,-0.25
2020-05-06,-0.25
2020-05-07,-0.9
2020-05-08,-0.9
2020-05-09,-0.9
2020-05-10,-0.9
2020-05-11,-0.9
2020-05-12,-0.9
2020-05-13,-0.9
2020-05-14,-0.9
2020-05-15,-0.9
2020-05-16,-0.9
2020-05-17,-0.9
2020-05-18,-0.9
2020-05-19,-0.9
2020-05-20,-0.9
2020-05-21,-0.9
2020-05-22,-0.9
2020-05-23,-0.9
2020-05-24,-0.9
2020-05-25,-0.9
2020-05-26,-0.9
2020-05-27,-0.9
2020-05-28,-0.9
2020-05-29,-0.9
2020-05-30,-0.9
2020-05-31,-0.9
2020-06-01,-0.9
2020-06-02,-0.9
2020-06-03,-0.9
2020-06-04,-0.9
2020-06-05,-0.9
2020-06-06,-0.9
2020-06-07,-0.9
2020-06-08,-0.9
2020-06-09,-0.9
2020-06-10,-0.9
2020-06-11,-0.9
2020-06-12,-0.9
2020-06-13,-0.9
2020-06-14,-0.9
2020-06-15,-0.9
2020-06-16,-0.9
2020-06-17,-0.9
2020-06-18,-0.9
2020-06-19,-0.9
2020-06-20,-0.9
2020-06-21,-0.9
2020-06-22,-0.9
2020-06-23,-0.9
2020-06-24,-0.9
2020-06-25,-0.9
2020-06-26,-0.9
2020-06-27,-0.9
2020-06-28,-0.9
2020-06-29,-0.9
2020-06-30,-0.9
2020-07-01,-0.9
2020-07-02,-0.9
2020-07-03,-0.9
2020-07-04,-0.9
2020-07-05,-0.9
2020-07-06,-0.9
2020-07-07,-0.9
2020-07-08,-0.9
2020-07-09,-0.9
2020-07-10,0.74
2020-07-11,0.74
2020-07-12,0.74
2020-07-13,2.38
2020-07-14,2.38
2020-07-15,2.38
2020-07-16,2.38
2020-07-17,2.38
2020-07-18,2.38
2020-07-19,2.38
2020-07-20,2.38
2020-07-21,2.38
2020-07-22,2.38
2020-07-23,2.38
2020-07-24,2.38
2020-07-25,2.38
2020-07-26,2.38
2020-07-27,2.38
2020-07-28,2.38
2020-07-29,2.38
2020-07-30,2.38
2020-07-31,1.215
2020-08-01,1.215
2020-08-02,1.215
2020-08-03,1.215
2020-08-04,1.215
2020-08-05,1.215
2020-08-06,2.38
2020-08-07,2.38
2020-08-08,2.38
2020-08-09,2.38
2020-08-10,1.94
2020-08-11,1.94
2020-08-12,1.94
2020-08-13,1.94
2020-08-14,1.94
2020-08-15,1.94
2020-08-16,1.94
2020-08-17,1.94
2020-08-18,1.94
2020-08-19,1.94
2020-08-20,1.94
2020-08-21,1.94
2020-08-22,1.94
2020-08-23,1.94
2020-08-24,1.94
2020-08-25,1.94
2020-08-26,1.94
2020-08-27,1.94
2020-08-28,1.94
2020-08-29,1.94
2020-08-30,1.94
2020-08-31,1.94
2020-09-01,1.94
2020-09-02,1.94
2020-09-03,1.94
2020-09-04,1.94
2020-09-05,1.94
2020-09-06,1.94
2020-09-07,1.94
2020-09-08,1.94
2020-09-09,1.94
2020-09-10,1.94
2020-09-11,1.94
2020-09-12,1.94
2020-09-13,1.94
2020-09-14,1.94
2020-09-15,1.94
2020-09-16,1.94
2020-09-17,1.94
2020-09-18,1.94
2020-09-19,1.94
2020-09-20,1.94
2020-09-21,1.94
2020-09-22,1.94
2020-09-23,1.94
2020-09-24,1.94
2020-09-25,1.94
2020-09-26,1.94
2020-09-27,1.94
2020-09-28,1.94
2020-09-29,1.94
2020-09-30,1.94
2020-10-01,1.94
2020-10-02,1.94
2020-10-03,1.94
2020-10-04,1.94
2020-10-05,1.94
2020-10-06,1.94
2020-10-07,1.94
2020-10-08,1.94
2020-10-09,3.09
2020-10-10,3.09
2020-10-11,3.09
2020-10-12,3.09
2020-10-13,2.77
2020-10-14,2.77
2020-10-15,2.77
2020-10-16,2.77
2020-10-17,2.77
2020-10-18,2.77
2020-10-19,2.77
2020-10-20,2.77
2020-10-21,2.77
2020-10-22,2.77
2020-10-23,2.77
2020-10-24,2.77
2020-10-25,2.77
2020-10-26,2.77
2020-10-27,2.77
2020-10-28,2.77
2020-10-29,2.77
2020-10-30,2.77
2020-10-31,2.77
2020-11-01,2.77
2020-11-02,2.77
2020-11-03,2.77
2020-11-04,2.77
2020-11-05,2.77
2020-11-06,2.77
2020-11-07,2.77
2020-11-08,3.945
2020-11-09,3.615
2020-11-10,3.615
2020-11-11,3.615
2020-11-12,3.615
2020-11-13,3.615
2020-11-14,3.615
2020-11-15,3.615
2020-11-16,3.615
2020-11-17,3.615
2020-11-18,3.615
2020-11-19,3.615
2020-11-20,3.615
2020-11-21,3.615
2020-11-22,3.615
2020-11-23,3.615
2020-11-24,3.615
2020-11-25,3.615
2020-11-26,3.615
2020-11-27,3.615
2020-11-28,3.615
2020-11-29,3.615
2020-11-30,3.615
2020-12-01,3.715
2020-12-02,3.715
2020-12-03,3.715
2020-12-04,3.715
2020-12-05,3.715
2020-12-06,3.715
2020-12-07,3.715
2020-12-08,3.715
2020-12-09,3.715
2020-12-10,3.715
2020-12-11,3.715
2020-12-12,3.715
2020-12-13,3.715
2020-12-14,3.715
2020-12-15,3.715
2020-12-16,3.715
2020-12-17,3.715
2020-12-18,3.715
2020-12-19,3.715
2020-12-20,3.715
2020-12-21,3.715
2020-12-22,3.715
2020-12-23,3.715
2020-12-24,3.715
2020-12-25,3.715
2020-12-26,3.715
2020-12-27,3.715
2020-12-28,3.715
2020-12-29,3.715
2020-12-30,3.715
2020-12-31,3.715
2021-01-01,3.715
2021-01-02,3.715
2021-01-03,3.715
2021-01-04,3.715
2021-01-05,3.715
2021-01-06,3.715
2021-01-07,3.715
2021-01-08,3.715
2021-01-09,3.715
2021-01-10,3.715
2021-01-11,3.375
2021-01-12,3.375
2021-01-13,3.375
2021-01-14,1.2
2021-01-15,1.2
2021-01-16,1.2
2021-01-17,1.2
2021-01-18,1.2
2021-01-19,1.2
2021-01-20,1.2
2021-01-21,1.2
2021-01-22,1.2
2021-01-23,1.2
2021-01-24,1.2
2021-01-25,1.2
2021-01-26,1.2
2021-01-27,1.2
2021-01-28,1.2
2021-01-29,1.2
2021-01-30,1.2
2021-01-31,1.2
2021-02-01,1.2
2021-02-02,1.2
2021-02-03,1.2
2021-02-04,1.2
2021-02-05,1.2
2021-02-06,1.2
2021-02-07,1.2
2021-02-08,1.2
2021-02-09,1.2
2021-02-10,1.2
2021-02-11,1.2
2021-02-12,1.2
2021-02-13,1.2
2021-02-14,1.2
2021-02-15,1.2
2021-02-16,1.2
2021-02-17,1.2
2021-02-18,1.2
2021-02-19,1.2
2021-02-20,1.2
2021-02-21,1.2
2021-02-22,1.2
2021-02-23,1.2
2021-02-24,1.2
2021-02-25,1.175
2021-02-26,1.175
2021-02-27,1.175
2021-02-28,1.175
2021-03-01,1.175
2021-03-02,1.175
2021-03-03,1.175
2021-03-04,1.175
2021-03-05,1.175
2021-03-06,1.175
2021-03-07,1.175
2021-03-08,1.205
2021-03-09,1.205
2021-03-10,1.205
2021-03-11,1.205
2021-03-12,1.205
2021-03-13,1.205
2021-03-14,1.205
2021-03-15,1.205
2021-03-16,1.205
