,HON US Equity
,BEST_EPS
2020-01-01,10.4
2020-01-02,10.4
2020-01-03,10.4
2020-01-04,10.4
2020-01-05,10.4
2020-01-06,10.4
2020-01-07,10.4
2020-01-08,10.4
2020-01-09,10.4
2020-01-10,10.4
2020-01-11,10.4
2020-01-12,10.4
2020-01-13,10.4
2020-01-14,10.4
2020-01-15,10.4
2020-01-16,10.4
2020-01-17,10.4
2020-01-18,10.4
2020-01-19,10.4
2020-01-20,10.4
2020-01-21,10.4
2020-01-22,10.4
2020-01-23,10.4
2020-01-24,10.4
2020-01-25,10.4
2020-01-26,10.4
2020-01-27,10.4
2020-01-28,10.4
2020-01-29,10.4
2020-01-30,10.4
2020-01-31,10.4
2020-02-01,10.4
2020-02-02,10.4
2020-02-03,10.4
2020-02-04,10.4
2020-02-05,10.4
2020-02-06,10.4
2020-02-07,10.4
2020-02-08,10.4
2020-02-09,10.4
2020-02-10,10.4
2020-02-11,10.4
2020-02-12,10.4
2020-02-13,10.4
2020-02-14,10.4
2020-02-15,10.4
2020-02-16,10.4
2020-02-17,10.4
2020-02-18,10.4
2020-02-19,10.4
2020-02-20,10.4
2020-02-21,10.4
2020-02-22,10.4
2020-02-23,10.4
2020-02-24,10.4
2020-02-25,10.4
2020-02-26,10.4
2020-02-27,10.4
2020-02-28,10.4
2020-02-29,10.4
2020-03-01,10.4
2020-03-02,10.4
2020-03-03,10.4
2020-03-04,10.4
2020-03-05,10.4
2020-03-06,10.4
2020-03-07,10.4
2020-03-08,10.4
2020-03-09,10.4
2020-03-10,10.4
2020-03-11,10.4
2020-03-12,10.4
2020-03-13,10.4
2020-03-14,10.4
2020-03-15,10.4
2020-03-16,10.4
2020-03-17,10.4
2020-03-18,10.4
2020-03-19,10.4
2020-03-20,10.4
2020-03-21,10.4
2020-03-22,10.4
2020-03-23,10.4
2020-03-24,10.4
2020-03-25,10.4
2020-03-26,10.4
2020-03-27,10.4
2020-03-28,10.4
2020-03-29,10.4
2020-03-30,10.4
2020-03-31,10.4
2020-04-01,10.4
2020-04-02,10.4
2020-04-03,10.4
2020-04-04,10.4
2020-04-05,10.4
2020-04-06,10.4
2020-04-07,10.4
2020-04-08,10.4
2020-04-09,10.4
2020-04-10,10.4
2020-04-11,10.4
2020-04-12,10.4
2020-04-13,10.4
2020-04-14,10.4
2020-04-15,10.4
2020-04-16,10.4
2020-04-17,10.4
2020-04-18,10.4
2020-04-19,10.4
2020-04-20,10.4
2020-04-21,10.4
2020-04-22,10.4
2020-04-23,10.4
2020-04-24,10.4
2020-04-25,10.4
2020-04-26,10.4
2020-04-27,10.4
2020-04-28,10.4
2020-04-29,10.4
2020-04-30,10.4
2020-05-01,10.4
2020-05-02,10.4
2020-05-03,10.4
2020-05-04,10.4
2020-05-05,10.4
2020-05-06,10.4
2020-05-07,10.4
2020-05-08,10.4
2020-05-09,10.4
2020-05-10,10.4
2020-05-11,10.4
2020-05-12,10.4
2020-05-13,10.4
2020-05-14,10.4
2020-05-15,10.4
2020-05-16,10.4
2020-05-17,10.4
2020-05-18,11.29
2020-05-19,11.29
2020-05-20,11.29
2020-05-21,11.29
2020-05-22,11.29
2020-05-23,11.29
2020-05-24,11.29
2020-05-25,11.29
2020-05-26,11.29
2020-05-27,11.29
2020-05-28,11.29
2020-05-29,11.29
2020-05-30,11.29
2020-05-31,11.29
2020-06-01,11.29
2020-06-02,11.29
2020-06-03,11.29
2020-06-04,11.29
2020-06-05,11.29
2020-06-06,11.29
2020-06-07,11.29
2020-06-08,11.29
2020-06-09,11.29
2020-06-10,11.29
2020-06-11,11.29
2020-06-12,11.29
2020-06-13,11.29
2020-06-14,11.29
2020-06-15,11.29
2020-06-16,11.29
2020-06-17,11.29
2020-06-18,11.29
2020-06-19,11.29
2020-06-20,11.29
2020-06-21,11.29
2020-06-22,11.29
2020-06-23,11.29
2020-06-24,11.29
2020-06-25,11.29
2020-06-26,11.29
2020-06-27,11.29
2020-06-28,11.29
2020-06-29,11.29
2020-06-30,11.29
2020-07-01,11.29
2020-07-02,11.29
2020-07-03,11.29
2020-07-04,11.29
2020-07-05,11.29
2020-07-06,11.29
2020-07-07,10.897
2020-07-08,10.897
2020-07-09,10.897
2020-07-10,10.897
2020-07-11,10.897
2020-07-12,10.897
2020-07-13,10.897
2020-07-14,10.897
2020-07-15,10.897
2020-07-16,10.897
2020-07-17,10.897
2020-07-18,10.897
2020-07-19,10.897
2020-07-20,10.897
2020-07-21,10.897
2020-07-22,10.897
2020-07-23,10.897
2020-07-24,10.91
2020-07-25,10.867
2020-07-26,10.867
2020-07-27,10.8
2020-07-28,10.8
2020-07-29,10.8
2020-07-30,10.8
2020-07-31,10.8
2020-08-01,10.8
2020-08-02,10.8
2020-08-03,10.8
2020-08-04,10.8
2020-08-05,10.8
2020-08-06,10.85
2020-08-07,10.85
2020-08-08,10.85
2020-08-09,10.85
2020-08-10,10.85
2020-08-11,10.85
2020-08-12,10.57
2020-08-13,10.57
2020-08-14,10.57
2020-08-15,10.57
2020-08-16,10.57
2020-08-17,10.57
2020-08-18,10.57
2020-08-19,10.57
2020-08-20,10.57
2020-08-21,10.57
2020-08-22,10.57
2020-08-23,10.57
2020-08-24,10.57
2020-08-25,10.57
2020-08-26,10.57
2020-08-27,10.57
2020-08-28,10.57
2020-08-29,10.57
2020-08-30,10.57
2020-08-31,10.57
2020-09-01,10.57
2020-09-02,10.57
2020-09-03,10.57
2020-09-04,10.57
2020-09-05,10.57
2020-09-06,10.57
2020-09-07,10.57
2020-09-08,10.57
2020-09-09,10.57
2020-09-10,10.57
2020-09-11,10.57
2020-09-12,10.57
2020-09-13,10.57
2020-09-14,10.57
2020-09-15,10.57
2020-09-16,10.57
2020-09-17,10.57
2020-09-18,10.57
2020-09-19,10.57
2020-09-20,10.57
2020-09-21,10.57
2020-09-22,10.57
2020-09-23,10.57
2020-09-24,10.57
2020-09-25,10.57
2020-09-26,10.57
2020-09-27,10.57
2020-09-28,10.57
2020-09-29,10.57
2020-09-30,10.57
2020-10-01,10.57
2020-10-02,10.57
2020-10-03,10.57
2020-10-04,10.57
2020-10-05,10.576
2020-10-06,10.576
2020-10-07,10.562
2020-10-08,10.562
2020-10-09,10.562
2020-10-10,10.562
2020-10-11,10.562
2020-10-12,10.608
2020-10-13,10.608
2020-10-14,10.608
2020-10-15,10.608
2020-10-16,10.608
2020-10-17,10.608
2020-10-18,10.608
2020-10-19,10.608
2020-10-20,10.608
2020-10-21,10.608
2020-10-22,10.608
2020-10-23,10.608
2020-10-24,10.608
2020-10-25,10.608
2020-10-26,10.608
2020-10-27,10.608
2020-10-28,10.608
2020-10-29,10.608
2020-10-30,10.646
2020-10-31,10.646
2020-11-01,10.592
2020-11-02,10.598
2020-11-03,10.598
2020-11-04,10.598
2020-11-05,10.598
2020-11-06,10.598
2020-11-07,10.598
2020-11-08,10.598
2020-11-09,10.598
2020-11-10,10.598
2020-11-11,10.598
2020-11-12,10.598
