,CAT US Equity
,BEST_EPS
2020-01-01,22.62
2020-01-02,22.62
2020-01-03,22.62
2020-01-04,22.62
2020-01-05,22.62
2020-01-06,22.62
2020-01-07,22.62
2020-01-08,22.62
2020-01-09,22.62
2020-01-10,22.62
2020-01-11,22.62
2020-01-12,22.62
2020-01-13,22.62
2020-01-14,22.62
2020-01-15,22.62
2020-01-16,22.62
2020-01-17,22.62
2020-01-18,22.62
2020-01-19,22.62
2020-01-20,22.62
2020-01-21,22.62
2020-01-22,22.62
2020-01-23,22.62
2020-01-24,22.62
2020-01-25,22.62
2020-01-26,22.62
2020-01-27,22.62
2020-01-28,22.62
2020-01-29,22.62
2020-01-30,22.62
2020-01-31,22.62
2020-02-01,22.62
2020-02-02,22.62
2020-02-03,22.62
2020-02-04,18.135
2020-02-05,18.135
2020-02-06,18.135
2020-02-07,18.135
2020-02-08,18.135
2020-02-09,18.135
2020-02-10,18.135
2020-02-11,18.135
2020-02-12,18.135
2020-02-13,16.617
2020-02-14,16.617
2020-02-15,16.617
2020-02-16,16.617
2020-02-17,16.617
2020-02-18,16.617
2020-02-19,16.617
2020-02-20,16.617
2020-02-21,16.617
2020-02-22,16.617
2020-02-23,16.617
2020-02-24,16.617
2020-02-25,16.617
2020-02-26,16.617
2020-02-27,16.617
2020-02-28,16.617
2020-02-29,16.617
2020-03-01,16.617
2020-03-02,16.617
2020-03-03,16.617
2020-03-04,13.615
2020-03-05,13.615
2020-03-06,13.615
2020-03-07,13.615
2020-03-08,13.615
2020-03-09,13.615
2020-03-10,13.615
2020-03-11,13.615
2020-03-12,13.615
2020-03-13,13.615
2020-03-14,13.615
2020-03-15,13.615
2020-03-16,13.615
2020-03-17,13.615
2020-03-18,13.615
2020-03-19,13.615
2020-03-20,13.615
2020-03-21,13.615
2020-03-22,13.615
2020-03-23,13.615
2020-03-24,13.615
2020-03-25,13.615
2020-03-26,13.615
2020-03-27,13.615
2020-03-28,13.615
2020-03-29,13.615
2020-03-30,13.615
2020-03-31,13.615
2020-04-01,13.58
2020-04-02,13.58
2020-04-03,13.58
2020-04-04,13.58
2020-04-05,13.58
2020-04-06,13.58
2020-04-07,13.58
2020-04-08,12.29
2020-04-09,12.29
2020-04-10,12.29
2020-04-11,12.29
2020-04-12,12.29
2020-04-13,12.29
2020-04-14,12.29
2020-04-15,12.29
2020-04-16,12.29
2020-04-17,12.29
2020-04-18,12.29
2020-04-19,12.29
2020-04-20,12.29
2020-04-21,12.29
2020-04-22,12.29
2020-04-23,12.29
2020-04-24,12.29
2020-04-25,12.29
2020-04-26,12.29
2020-04-27,12.29
2020-04-28,12.29
2020-04-29,12.29
2020-04-30,12.29
2020-05-01,12.29
2020-05-02,12.29
2020-05-03,12.29
2020-05-04,12.29
2020-05-05,12.29
2020-05-06,12.29
2020-05-07,12.29
2020-05-08,12.29
2020-05-09,12.29
2020-05-10,12.29
2020-05-11,12.29
2020-05-12,12.29
2020-05-13,12.29
2020-05-14,12.29
2020-05-15,12.29
2020-05-16,12.29
2020-05-17,12.29
2020-05-18,12.29
2020-05-19,12.29
2020-05-20,12.29
2020-05-21,12.29
2020-05-22,12.29
2020-05-23,12.29
2020-05-24,12.29
2020-05-25,12.29
2020-05-26,12.29
2020-05-27,12.29
2020-05-28,12.29
2020-05-29,12.29
2020-05-30,12.29
2020-05-31,12.29
2020-06-01,12.29
2020-06-02,12.29
2020-06-03,12.29
2020-06-04,12.29
2020-06-05,12.29
2020-06-06,12.29
2020-06-07,12.29
2020-06-08,12.29
2020-06-09,12.29
2020-06-10,12.29
2020-06-11,12.29
2020-06-12,12.29
2020-06-13,12.29
2020-06-14,12.29
2020-06-15,12.29
2020-06-16,12.29
2020-06-17,12.29
2020-06-18,12.29
2020-06-19,12.29
2020-06-20,12.29
2020-06-21,12.29
2020-06-22,12.29
2020-06-23,12.29
2020-06-24,12.29
2020-06-25,12.29
2020-06-26,12.29
2020-06-27,12.29
2020-06-28,12.29
2020-06-29,12.29
2020-06-30,13.79
2020-07-01,13.79
2020-07-02,13.79
2020-07-03,13.79
2020-07-04,13.79
2020-07-05,13.79
2020-07-06,13.79
2020-07-07,13.79
2020-07-08,13.79
2020-07-09,13.75
2020-07-10,13.75
2020-07-11,13.75
2020-07-12,13.75
2020-07-13,13.75
2020-07-14,13.85
2020-07-15,13.85
2020-07-16,13.85
2020-07-17,13.85
2020-07-18,13.85
2020-07-19,13.85
2020-07-20,13.85
2020-07-21,13.85
2020-07-22,13.85
2020-07-23,13.85
2020-07-24,13.85
2020-07-25,13.85
2020-07-26,13.85
2020-07-27,13.85
2020-07-28,13.85
2020-07-29,13.85
2020-07-30,13.85
2020-07-31,13.747
2020-08-01,13.747
2020-08-02,13.747
2020-08-03,13.747
2020-08-04,13.747
2020-08-05,13.747
2020-08-06,13.747
2020-08-07,13.747
2020-08-08,13.178
2020-08-09,13.178
2020-08-10,13.178
2020-08-11,13.178
2020-08-12,13.178
2020-08-13,13.178
2020-08-14,13.178
2020-08-15,13.178
2020-08-16,13.178
2020-08-17,13.178
2020-08-18,13.178
2020-08-19,13.178
2020-08-20,13.178
2020-08-21,13.178
2020-08-22,13.178
2020-08-23,13.178
2020-08-24,13.178
2020-08-25,13.178
2020-08-26,13.178
2020-08-27,13.178
2020-08-28,13.178
2020-08-29,13.178
2020-08-30,13.178
2020-08-31,13.178
2020-09-01,13.178
2020-09-02,13.178
2020-09-03,13.178
2020-09-04,13.178
2020-09-05,13.178
2020-09-06,13.178
2020-09-07,13.178
2020-09-08,13.178
2020-09-09,13.178
2020-09-10,13.178
2020-09-11,13.178
2020-09-12,13.178
2020-09-13,13.178
2020-09-14,13.178
2020-09-15,13.178
2020-09-16,13.178
2020-09-17,13.178
2020-09-18,13.178
2020-09-19,13.178
2020-09-20,13.178
2020-09-21,13.178
2020-09-22,13.268
2020-09-23,13.268
2020-09-24,13.268
