,GD US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,18.08
2020-01-31,18.08
2020-02-01,18.08
2020-02-02,18.08
2020-02-03,18.08
2020-02-04,18.08
2020-02-05,18.08
2020-02-06,18.08
2020-02-07,18.08
2020-02-08,18.08
2020-02-09,18.08
2020-02-10,18.08
2020-02-11,18.08
2020-02-12,18.08
2020-02-13,18.08
2020-02-14,18.08
2020-02-15,18.08
2020-02-16,18.08
2020-02-17,18.08
2020-02-18,18.08
2020-02-19,18.08
2020-02-20,18.08
2020-02-21,18.08
2020-02-22,18.08
2020-02-23,18.08
2020-02-24,18.08
2020-02-25,18.08
2020-02-26,18.08
2020-02-27,18.08
2020-02-28,18.08
2020-02-29,18.08
2020-03-01,18.08
2020-03-02,18.08
2020-03-03,18.08
2020-03-04,18.08
2020-03-05,18.08
2020-03-06,18.08
2020-03-07,18.08
2020-03-08,18.08
2020-03-09,18.08
2020-03-10,18.08
2020-03-11,18.08
2020-03-12,18.08
2020-03-13,18.08
2020-03-14,18.08
2020-03-15,18.08
2020-03-16,18.08
2020-03-17,18.08
2020-03-18,18.08
2020-03-19,18.08
2020-03-20,18.08
2020-03-21,18.08
2020-03-22,18.08
2020-03-23,18.08
2020-03-24,18.08
2020-03-25,18.08
2020-03-26,18.08
2020-03-27,18.08
2020-03-28,18.08
2020-03-29,15.84
2020-03-30,15.84
2020-03-31,15.84
2020-04-01,15.84
2020-04-02,15.84
2020-04-03,15.84
2020-04-04,15.84
2020-04-05,15.84
2020-04-06,15.84
2020-04-07,15.84
2020-04-08,15.84
2020-04-09,15.84
2020-04-10,15.84
2020-04-11,15.84
2020-04-12,15.84
2020-04-13,15.84
2020-04-14,15.84
2020-04-15,15.84
2020-04-16,15.84
2020-04-17,15.84
2020-04-18,15.84
2020-04-19,15.84
2020-04-20,15.84
2020-04-21,15.84
2020-04-22,15.84
2020-04-23,15.84
2020-04-24,15.84
2020-04-25,15.84
2020-04-26,15.84
2020-04-27,15.84
2020-04-28,15.84
2020-04-29,16.14
2020-04-30,16.14
2020-05-01,16.568
2020-05-02,16.568
2020-05-03,16.568
2020-05-04,16.568
2020-05-05,16.568
2020-05-06,16.568
2020-05-07,16.568
2020-05-08,16.568
2020-05-09,16.568
2020-05-10,16.568
2020-05-11,16.568
2020-05-12,16.568
2020-05-13,16.568
2020-05-14,16.568
2020-05-15,16.568
2020-05-16,16.568
2020-05-17,16.568
2020-05-18,16.568
2020-05-19,16.568
2020-05-20,16.568
2020-05-21,16.568
2020-05-22,16.568
2020-05-23,16.568
2020-05-24,16.568
2020-05-25,16.568
2020-05-26,16.568
2020-05-27,16.568
2020-05-28,16.568
2020-05-29,16.568
2020-05-30,16.568
2020-05-31,16.568
2020-06-01,16.568
2020-06-02,16.568
2020-06-03,16.568
2020-06-04,16.568
2020-06-05,16.568
2020-06-06,16.568
2020-06-07,16.568
2020-06-08,16.568
2020-06-09,16.568
2020-06-10,16.568
2020-06-11,16.568
2020-06-12,16.568
2020-06-13,16.568
2020-06-14,16.568
2020-06-15,16.568
2020-06-16,16.568
2020-06-17,16.568
2020-06-18,16.568
2020-06-19,16.568
2020-06-20,16.568
2020-06-21,16.568
2020-06-22,16.568
2020-06-23,16.568
2020-06-24,16.568
2020-06-25,16.568
2020-06-26,16.568
2020-06-27,16.568
2020-06-28,16.568
2020-06-29,16.568
2020-06-30,16.568
2020-07-01,16.568
2020-07-02,16.568
2020-07-03,16.568
2020-07-04,16.568
2020-07-05,16.568
2020-07-06,16.568
2020-07-07,16.568
2020-07-08,16.568
2020-07-09,16.568
2020-07-10,16.568
2020-07-11,16.568
2020-07-12,16.568
2020-07-13,16.568
2020-07-14,16.568
2020-07-15,16.568
2020-07-16,16.568
2020-07-17,16.568
2020-07-18,16.568
2020-07-19,16.568
2020-07-20,16.56
2020-07-21,16.56
2020-07-22,16.56
2020-07-23,16.56
2020-07-24,16.56
2020-07-25,16.56
2020-07-26,16.56
2020-07-27,16.53
2020-07-28,16.53
2020-07-29,16.68
2020-07-30,16.708
2020-07-31,16.712
2020-08-01,16.712
2020-08-02,16.712
2020-08-03,16.562
2020-08-04,16.562
2020-08-05,16.562
2020-08-06,16.562
2020-08-07,16.562
2020-08-08,16.562
2020-08-09,16.562
2020-08-10,16.562
2020-08-11,16.562
2020-08-12,16.562
2020-08-13,16.562
2020-08-14,16.562
2020-08-15,16.562
2020-08-16,16.562
2020-08-17,16.562
2020-08-18,16.562
2020-08-19,16.5
2020-08-20,16.5
2020-08-21,16.5
2020-08-22,16.5
2020-08-23,16.5
2020-08-24,16.5
2020-08-25,16.5
2020-08-26,16.5
2020-08-27,16.5
2020-08-28,16.5
2020-08-29,16.5
2020-08-30,16.5
2020-08-31,16.5
2020-09-01,16.5
2020-09-02,16.5
2020-09-03,16.5
2020-09-04,16.5
2020-09-05,16.5
2020-09-06,16.5
2020-09-07,16.5
2020-09-08,16.5
2020-09-09,16.5
2020-09-10,16.5
2020-09-11,16.5
2020-09-12,16.5
2020-09-13,16.5
2020-09-14,16.5
2020-09-15,16.5
2020-09-16,16.5
2020-09-17,16.5
2020-09-18,16.5
2020-09-19,16.5
2020-09-20,16.5
2020-09-21,16.5
2020-09-22,16.5
2020-09-23,16.5
2020-09-24,16.5
2020-09-25,16.5
2020-09-26,16.5
2020-09-27,16.5
2020-09-28,16.5
2020-09-29,16.5
2020-09-30,16.5
2020-10-01,16.5
2020-10-02,16.43
2020-10-03,16.43
2020-10-04,16.43
2020-10-05,16.43
2020-10-06,16.43
2020-10-07,16.43
2020-10-08,16.43
2020-10-09,16.43
2020-10-10,16.43
2020-10-11,16.43
2020-10-12,16.43
2020-10-13,16.43
2020-10-14,16.597
2020-10-15,16.597
2020-10-16,16.597
2020-10-17,16.597
2020-10-18,16.597
2020-10-19,16.597
2020-10-20,16.597
2020-10-21,16.597
2020-10-22,16.597
2020-10-23,16.597
2020-10-24,16.597
2020-10-25,16.597
2020-10-26,16.597
2020-10-27,16.597
2020-10-28,16.232
2020-10-29,15.86
2020-10-30,15.86
2020-10-31,15.86
2020-11-01,15.86
2020-11-02,15.86
2020-11-03,15.86
2020-11-04,15.86
2020-11-05,15.86
2020-11-06,15.86
2020-11-07,15.86
2020-11-08,15.86
2020-11-09,15.86
2020-11-10,15.86
2020-11-11,15.86
2020-11-12,15.86
2020-11-13,15.86
2020-11-14,15.86
2020-11-15,15.86
2020-11-16,15.86
2020-11-17,15.86
2020-11-18,15.86
2020-11-19,15.86
2020-11-20,15.86
2020-11-21,15.86
2020-11-22,15.86
2020-11-23,15.86
2020-11-24,15.86
2020-11-25,15.86
2020-11-26,15.86
2020-11-27,15.86
2020-11-28,15.86
2020-11-29,15.86
2020-11-30,15.86
2020-12-01,15.86
2020-12-02,15.86
2020-12-03,15.86
2020-12-04,15.86
2020-12-05,15.86
2020-12-06,15.86
2020-12-07,15.86
2020-12-08,15.86
2020-12-09,15.86
2020-12-10,15.86
2020-12-11,15.86
2020-12-12,15.86
2020-12-13,15.86
2020-12-14,15.86
2020-12-15,15.808
2020-12-16,15.808
2020-12-17,15.808
2020-12-18,15.808
2020-12-19,15.808
2020-12-20,15.808
2020-12-21,15.808
2020-12-22,15.808
2020-12-23,15.808
2020-12-24,15.808
2020-12-25,15.808
2020-12-26,15.808
2020-12-27,15.808
2020-12-28,15.808
2020-12-29,15.808
2020-12-30,15.808
2020-12-31,15.808
2021-01-01,15.808
2021-01-02,15.808
2021-01-03,15.808
2021-01-04,15.808
2021-01-05,15.808
2021-01-06,15.808
2021-01-07,15.471
2021-01-08,15.471
2021-01-09,15.471
2021-01-10,15.471
2021-01-11,15.471
2021-01-12,15.471
2021-01-13,15.423
2021-01-14,15.423
2021-01-15,15.423
2021-01-16,15.423
2021-01-17,15.423
2021-01-18,15.423
2021-01-19,15.423
2021-01-20,15.423
2021-01-21,15.423
2021-01-22,15.423
2021-01-23,15.423
2021-01-24,15.423
2021-01-25,15.423
2021-01-26,15.423
2021-01-27,15.229
2021-01-28,15.066
2021-01-29,15.066
2021-01-30,15.066
2021-01-31,15.066
2021-02-01,15.066
2021-02-02,15.066
2021-02-03,15.053
2021-02-04,15.053
2021-02-05,15.053
2021-02-06,15.053
2021-02-07,15.053
2021-02-08,15.053
2021-02-09,15.053
2021-02-10,15.053
2021-02-11,15.053
2021-02-12,15.053
2021-02-13,15.053
2021-02-14,15.053
2021-02-15,15.053
2021-02-16,14.853
2021-02-17,14.853
2021-02-18,14.853
2021-02-19,14.853
2021-02-20,14.853
2021-02-21,14.853
2021-02-22,14.853
2021-02-23,14.853
2021-02-24,14.853
2021-02-25,14.853
2021-02-26,14.853
2021-02-27,14.853
2021-02-28,14.853
2021-03-01,14.853
2021-03-02,14.853
2021-03-03,14.853
2021-03-04,14.853
2021-03-05,14.853
2021-03-06,14.853
2021-03-07,14.853
2021-03-08,14.853
2021-03-09,14.853
2021-03-10,14.853
2021-03-11,14.853
2021-03-12,14.853
2021-03-13,14.853
2021-03-14,14.853
2021-03-15,14.853
2021-03-16,14.853
2021-03-17,14.791
2021-03-18,14.791
2021-03-19,14.791
2021-03-20,14.791
2021-03-21,14.791
2021-03-22,14.791
2021-03-23,14.791
2021-03-24,14.791
2021-03-25,14.791
2021-03-26,14.791
2021-03-27,14.791
2021-03-28,14.791
