,CLX US Equity
,BEST_EPS
2020-01-01,6.63
2020-01-02,6.63
2020-01-03,6.63
2020-01-04,6.63
2020-01-05,6.63
2020-01-06,6.63
2020-01-07,6.63
2020-01-08,6.63
2020-01-09,6.63
2020-01-10,6.63
2020-01-11,6.63
2020-01-12,6.63
2020-01-13,6.63
2020-01-14,6.63
2020-01-15,6.63
2020-01-16,6.63
2020-01-17,6.63
2020-01-18,6.63
2020-01-19,6.63
2020-01-20,6.63
2020-01-21,6.63
2020-01-22,6.63
2020-01-23,6.63
2020-01-24,6.63
2020-01-25,6.63
2020-01-26,6.63
2020-01-27,6.63
2020-01-28,6.63
2020-01-29,6.63
2020-01-30,6.63
2020-01-31,6.63
2020-02-01,6.63
2020-02-02,6.63
2020-02-03,6.63
2020-02-04,6.54
2020-02-05,6.54
2020-02-06,6.54
2020-02-07,6.54
2020-02-08,6.54
2020-02-09,6.54
2020-02-10,6.54
2020-02-11,6.54
2020-02-12,6.54
2020-02-13,6.54
2020-02-14,6.54
2020-02-15,6.54
2020-02-16,6.54
2020-02-17,6.54
2020-02-18,6.54
2020-02-19,6.54
2020-02-20,6.54
2020-02-21,6.54
2020-02-22,6.54
2020-02-23,6.54
2020-02-24,6.54
2020-02-25,6.54
2020-02-26,6.54
2020-02-27,6.54
2020-02-28,6.54
2020-02-29,6.54
2020-03-01,6.54
2020-03-02,6.54
2020-03-03,6.54
2020-03-04,6.54
2020-03-05,6.54
2020-03-06,6.54
2020-03-07,6.54
2020-03-08,6.54
2020-03-09,6.54
2020-03-10,6.54
2020-03-11,6.54
2020-03-12,6.54
2020-03-13,6.54
2020-03-14,6.54
2020-03-15,6.54
2020-03-16,6.54
2020-03-17,6.54
2020-03-18,6.54
2020-03-19,6.54
2020-03-20,6.54
2020-03-21,6.54
2020-03-22,6.54
2020-03-23,6.54
2020-03-24,6.54
2020-03-25,6.54
2020-03-26,6.54
2020-03-27,6.54
2020-03-28,6.54
2020-03-29,6.54
2020-03-30,5.59
2020-03-31,5.59
2020-04-01,5.59
2020-04-02,5.59
2020-04-03,5.59
2020-04-04,5.59
2020-04-05,5.59
2020-04-06,5.59
2020-04-07,5.59
2020-04-08,5.59
2020-04-09,5.59
2020-04-10,5.59
2020-04-11,5.59
2020-04-12,5.59
2020-04-13,5.59
2020-04-14,5.59
2020-04-15,5.59
2020-04-16,5.59
2020-04-17,5.59
2020-04-18,5.59
2020-04-19,5.59
2020-04-20,5.59
2020-04-21,5.59
2020-04-22,5.59
2020-04-23,5.59
2020-04-24,5.59
2020-04-25,5.59
2020-04-26,5.59
2020-04-27,5.59
2020-04-28,5.59
2020-04-29,5.59
2020-04-30,5.59
2020-05-01,5.59
2020-05-02,5.59
2020-05-03,6.775
2020-05-04,6.775
2020-05-05,7.29
2020-05-06,7.29
2020-05-07,7.29
2020-05-08,7.29
2020-05-09,7.29
2020-05-10,7.29
2020-05-11,7.29
2020-05-12,7.29
2020-05-13,7.29
2020-05-14,7.29
2020-05-15,7.29
2020-05-16,7.29
2020-05-17,7.29
2020-05-18,7.29
2020-05-19,7.29
2020-05-20,7.29
2020-05-21,7.29
2020-05-22,7.29
2020-05-23,7.29
2020-05-24,7.29
2020-05-25,7.29
2020-05-26,7.29
2020-05-27,7.29
2020-05-28,7.29
2020-05-29,7.29
2020-05-30,7.29
2020-05-31,7.29
2020-06-01,7.29
2020-06-02,7.29
2020-06-03,7.645
2020-06-04,7.645
2020-06-05,7.645
2020-06-06,7.645
2020-06-07,7.645
2020-06-08,7.645
2020-06-09,7.645
2020-06-10,7.645
2020-06-11,7.645
2020-06-12,7.645
2020-06-13,7.645
2020-06-14,7.645
2020-06-15,7.645
2020-06-16,7.645
2020-06-17,7.645
2020-06-18,7.645
2020-06-19,7.645
2020-06-20,7.645
2020-06-21,7.645
2020-06-22,7.645
2020-06-23,7.645
2020-06-24,7.645
2020-06-25,7.645
2020-06-26,7.645
2020-06-27,7.645
2020-06-28,7.645
2020-06-29,7.645
2020-06-30,7.645
2020-07-01,7.645
2020-07-02,7.645
2020-07-03,7.645
2020-07-04,7.645
2020-07-05,7.645
2020-07-06,7.645
2020-07-07,7.645
2020-07-08,7.645
2020-07-09,7.645
2020-07-10,7.645
2020-07-11,7.645
2020-07-12,7.645
2020-07-13,7.645
2020-07-14,7.645
2020-07-15,7.645
2020-07-16,7.645
2020-07-17,7.645
2020-07-18,7.645
2020-07-19,7.645
2020-07-20,7.645
2020-07-21,7.645
2020-07-22,7.645
2020-07-23,7.645
2020-07-24,7.645
2020-07-25,7.645
2020-07-26,7.813
2020-07-27,7.813
2020-07-28,7.813
2020-07-29,7.83
2020-07-30,7.83
2020-07-31,7.83
2020-08-01,7.83
2020-08-02,7.83
2020-08-03,7.83
2020-08-04,7.838
2020-08-05,7.838
2020-08-06,7.838
2020-08-07,7.838
2020-08-08,7.838
2020-08-09,7.838
2020-08-10,7.838
2020-08-11,7.838
2020-08-12,7.838
2020-08-13,7.838
2020-08-14,7.838
2020-08-15,7.838
2020-08-16,7.838
2020-08-17,7.838
2020-08-18,7.948
2020-08-19,7.948
2020-08-20,7.948
2020-08-21,7.948
2020-08-22,7.948
2020-08-23,7.948
2020-08-24,7.948
2020-08-25,7.948
2020-08-26,7.948
2020-08-27,7.948
2020-08-28,7.948
2020-08-29,7.948
2020-08-30,7.948
2020-08-31,7.948
2020-09-01,7.948
2020-09-02,7.948
2020-09-03,7.948
2020-09-04,7.948
2020-09-05,7.948
2020-09-06,7.948
2020-09-07,7.948
2020-09-08,7.948
2020-09-09,7.948
2020-09-10,7.948
2020-09-11,7.948
2020-09-12,7.948
2020-09-13,7.948
2020-09-14,7.948
2020-09-15,7.948
2020-09-16,7.948
2020-09-17,7.948
2020-09-18,7.948
2020-09-19,7.948
2020-09-20,7.948
2020-09-21,7.948
2020-09-22,7.948
2020-09-23,7.948
2020-09-24,7.948
2020-09-25,7.948
2020-09-26,7.948
2020-09-27,7.948
2020-09-28,7.948
2020-09-29,7.948
2020-09-30,7.948
2020-10-01,7.948
2020-10-02,7.948
2020-10-03,7.948
2020-10-04,7.948
2020-10-05,7.948
2020-10-06,7.948
2020-10-07,7.948
2020-10-08,7.948
2020-10-09,7.948
2020-10-10,7.948
2020-10-11,7.948
2020-10-12,7.948
2020-10-13,7.948
2020-10-14,7.948
2020-10-15,7.948
2020-10-16,7.948
2020-10-17,7.948
2020-10-18,7.948
2020-10-19,7.948
2020-10-20,7.948
2020-10-21,7.908
2020-10-22,7.908
2020-10-23,7.908
