,EBAY US Equity
,BEST_EPS
2020-01-01,4.504
2020-01-02,4.504
2020-01-03,4.504
2020-01-04,4.504
2020-01-05,4.504
2020-01-06,4.504
2020-01-07,4.438
2020-01-08,4.438
2020-01-09,4.438
2020-01-10,4.438
2020-01-11,4.438
2020-01-12,4.438
2020-01-13,4.438
2020-01-14,4.438
2020-01-15,4.438
2020-01-16,4.438
2020-01-17,4.438
2020-01-18,4.438
2020-01-19,4.438
2020-01-20,4.438
2020-01-21,4.438
2020-01-22,4.438
2020-01-23,4.438
2020-01-24,4.438
2020-01-25,4.438
2020-01-26,4.384
2020-01-27,4.33
2020-01-28,4.41
2020-01-29,4.383
2020-01-30,4.383
2020-01-31,4.383
2020-02-01,4.383
2020-02-02,4.383
2020-02-03,4.383
2020-02-04,4.383
2020-02-05,4.383
2020-02-06,4.383
2020-02-07,4.383
2020-02-08,4.383
2020-02-09,4.383
2020-02-10,4.383
2020-02-11,4.61
2020-02-12,4.61
2020-02-13,4.61
2020-02-14,5.035
2020-02-15,5.035
2020-02-16,5.035
2020-02-17,5.035
2020-02-18,5.035
2020-02-19,5.035
2020-02-20,5.035
2020-02-21,5.035
2020-02-22,5.035
2020-02-23,5.035
2020-02-24,5.035
2020-02-25,5.035
2020-02-26,5.035
2020-02-27,5.035
2020-02-28,5.035
2020-02-29,5.035
2020-03-01,5.035
2020-03-02,5.035
2020-03-03,5.035
2020-03-04,5.035
2020-03-05,5.035
2020-03-06,5.035
2020-03-07,5.035
2020-03-08,5.035
2020-03-09,5.035
2020-03-10,5.035
2020-03-11,5.035
2020-03-12,5.035
2020-03-13,5.035
2020-03-14,5.035
2020-03-15,5.035
2020-03-16,5.035
2020-03-17,5.035
2020-03-18,5.035
2020-03-19,5.035
2020-03-20,5.035
2020-03-21,5.035
2020-03-22,5.035
2020-03-23,5.035
2020-03-24,5.035
2020-03-25,5.035
2020-03-26,5.035
2020-03-27,5.035
2020-03-28,5.035
2020-03-29,5.035
2020-03-30,5.035
2020-03-31,5.035
2020-04-01,5.035
2020-04-02,5.035
2020-04-03,5.035
2020-04-04,5.035
2020-04-05,5.035
2020-04-06,5.035
2020-04-07,5.035
2020-04-08,5.035
2020-04-09,5.035
2020-04-10,5.035
2020-04-11,5.035
2020-04-12,4.83
2020-04-13,4.605
2020-04-14,4.605
2020-04-15,4.605
2020-04-16,4.605
2020-04-17,4.605
2020-04-18,4.605
2020-04-19,4.605
2020-04-20,4.605
2020-04-21,4.605
2020-04-22,4.493
2020-04-23,4.493
2020-04-24,4.493
2020-04-25,4.493
2020-04-26,4.725
2020-04-27,4.564
2020-04-28,4.522
2020-04-29,4.54
2020-04-30,4.18
2020-05-01,4.18
2020-05-02,4.18
2020-05-03,4.18
2020-05-04,4.18
2020-05-05,4.18
2020-05-06,4.18
2020-05-07,4.18
2020-05-08,4.18
2020-05-09,4.18
2020-05-10,4.18
2020-05-11,4.18
2020-05-12,4.18
2020-05-13,4.18
2020-05-14,4.18
2020-05-15,4.18
2020-05-16,4.18
2020-05-17,4.18
2020-05-18,4.18
2020-05-19,4.18
2020-05-20,4.18
2020-05-21,4.18
2020-05-22,4.18
2020-05-23,4.18
2020-05-24,4.18
2020-05-25,4.18
2020-05-26,4.18
2020-05-27,4.18
2020-05-28,4.18
2020-05-29,4.18
2020-05-30,4.18
2020-05-31,4.18
2020-06-01,4.18
2020-06-02,4.18
2020-06-03,4.18
2020-06-04,4.472
2020-06-05,4.81
2020-06-06,4.784
2020-06-07,4.784
2020-06-08,4.784
2020-06-09,4.784
2020-06-10,4.784
2020-06-11,4.784
2020-06-12,4.784
2020-06-13,4.784
2020-06-14,4.784
2020-06-15,4.784
2020-06-16,4.784
2020-06-17,4.784
2020-06-18,4.784
2020-06-19,4.784
2020-06-20,4.784
2020-06-21,4.784
2020-06-22,4.784
2020-06-23,4.784
2020-06-24,4.784
2020-06-25,4.77
2020-06-26,4.77
2020-06-27,4.77
2020-06-28,4.77
2020-06-29,4.77
2020-06-30,4.801
2020-07-01,4.801
2020-07-02,4.801
2020-07-03,4.801
2020-07-04,4.801
2020-07-05,4.801
2020-07-06,4.801
2020-07-07,4.801
2020-07-08,4.801
2020-07-09,4.801
2020-07-10,4.801
2020-07-11,4.801
2020-07-12,4.801
2020-07-13,4.801
2020-07-14,4.801
2020-07-15,4.801
2020-07-16,4.801
2020-07-17,4.801
2020-07-18,4.801
2020-07-19,4.801
2020-07-20,4.801
2020-07-21,4.801
2020-07-22,4.92
2020-07-23,4.92
2020-07-24,4.898
2020-07-25,4.898
2020-07-26,4.898
2020-07-27,4.898
2020-07-28,4.906
2020-07-29,5.192
2020-07-30,5.192
2020-07-31,5.192
2020-08-01,5.192
2020-08-02,5.192
2020-08-03,5.192
2020-08-04,5.192
2020-08-05,5.368
2020-08-06,5.368
2020-08-07,5.368
2020-08-08,5.368
2020-08-09,5.368
2020-08-10,5.368
2020-08-11,5.368
2020-08-12,5.368
2020-08-13,5.368
2020-08-14,5.368
2020-08-15,5.368
2020-08-16,5.368
2020-08-17,5.368
2020-08-18,5.368
2020-08-19,5.368
2020-08-20,5.368
2020-08-21,5.368
2020-08-22,5.368
2020-08-23,5.368
2020-08-24,5.368
2020-08-25,5.368
2020-08-26,5.368
2020-08-27,5.368
2020-08-28,5.368
2020-08-29,5.368
2020-08-30,5.368
2020-08-31,5.368
2020-09-01,5.368
2020-09-02,5.368
2020-09-03,5.368
2020-09-04,5.368
2020-09-05,5.368
2020-09-06,5.368
2020-09-07,5.368
2020-09-08,5.368
2020-09-09,5.368
2020-09-10,5.368
2020-09-11,5.368
2020-09-12,5.368
2020-09-13,5.368
2020-09-14,5.368
2020-09-15,5.368
2020-09-16,5.368
2020-09-17,5.368
2020-09-18,5.368
2020-09-19,5.368
2020-09-20,5.368
2020-09-21,5.368
2020-09-22,5.368
2020-09-23,5.368
2020-09-24,5.298
2020-09-25,5.298
2020-09-26,5.298
2020-09-27,5.298
2020-09-28,5.298
2020-09-29,5.298
2020-09-30,5.298
2020-10-01,5.302
2020-10-02,5.302
2020-10-03,5.302
2020-10-04,5.302
2020-10-05,5.302
2020-10-06,5.302
2020-10-07,5.302
2020-10-08,5.368
2020-10-09,5.368
2020-10-10,5.368
2020-10-11,5.368
2020-10-12,5.368
2020-10-13,5.368
2020-10-14,5.368
2020-10-15,5.368
2020-10-16,5.368
2020-10-17,5.368
2020-10-18,5.368
2020-10-19,5.368
2020-10-20,5.368
2020-10-21,5.368
2020-10-22,5.368
2020-10-23,5.168
2020-10-24,5.168
2020-10-25,5.143
2020-10-26,4.969
2020-10-27,4.861
2020-10-28,4.86
2020-10-29,4.766
2020-10-30,4.766
2020-10-31,4.766
2020-11-01,4.766
2020-11-02,4.766
2020-11-03,4.766
2020-11-04,4.766
2020-11-05,4.766
2020-11-06,4.766
2020-11-07,4.766
2020-11-08,4.766
2020-11-09,4.766
