,RS US Equity
,BEST_EPS
2020-01-01,10.29
2020-01-02,10.29
2020-01-03,10.29
2020-01-04,10.29
2020-01-05,10.29
2020-01-06,10.29
2020-01-07,10.29
2020-01-08,10.29
2020-01-09,10.29
2020-01-10,10.29
2020-01-11,10.29
2020-01-12,10.29
2020-01-13,10.29
2020-01-14,10.29
2020-01-15,10.29
2020-01-16,10.29
2020-01-17,10.29
2020-01-18,10.29
2020-01-19,10.29
2020-01-20,9.76
2020-01-21,9.76
2020-01-22,9.76
2020-01-23,9.76
2020-01-24,9.76
2020-01-25,9.76
2020-01-26,9.76
2020-01-27,9.76
2020-01-28,9.76
2020-01-29,9.76
2020-01-30,9.76
2020-01-31,9.76
2020-02-01,9.76
2020-02-02,9.76
2020-02-03,9.76
2020-02-04,9.76
2020-02-05,9.76
2020-02-06,9.76
2020-02-07,9.76
2020-02-08,9.76
2020-02-09,9.76
2020-02-10,9.76
2020-02-11,9.76
2020-02-12,9.76
2020-02-13,9.76
2020-02-14,9.76
2020-02-15,9.76
2020-02-16,9.76
2020-02-17,9.76
2020-02-18,9.76
2020-02-19,9.76
2020-02-20,9.76
2020-02-21,9.76
2020-02-22,9.76
2020-02-23,9.76
2020-02-24,9.76
2020-02-25,9.76
2020-02-26,9.76
2020-02-27,9.76
2020-02-28,9.76
2020-02-29,9.76
2020-03-01,9.76
2020-03-02,9.76
2020-03-03,9.76
2020-03-04,9.76
2020-03-05,9.76
2020-03-06,9.76
2020-03-07,9.76
2020-03-08,9.76
2020-03-09,9.76
2020-03-10,9.76
2020-03-11,9.76
2020-03-12,9.76
2020-03-13,9.76
2020-03-14,9.76
2020-03-15,9.76
2020-03-16,9.76
2020-03-17,9.76
2020-03-18,9.76
2020-03-19,9.76
2020-03-20,9.76
2020-03-21,9.76
2020-03-22,9.76
2020-03-23,9.76
2020-03-24,9.76
2020-03-25,9.76
2020-03-26,9.76
2020-03-27,9.76
2020-03-28,9.76
2020-03-29,9.76
2020-03-30,9.76
2020-03-31,9.76
2020-04-01,9.76
2020-04-02,9.76
2020-04-03,9.76
2020-04-04,9.76
2020-04-05,9.76
2020-04-06,9.76
2020-04-07,9.76
2020-04-08,9.76
2020-04-09,9.76
2020-04-10,9.76
2020-04-11,9.76
2020-04-12,9.76
2020-04-13,9.76
2020-04-14,9.76
2020-04-15,9.76
2020-04-16,9.76
2020-04-17,9.76
2020-04-18,9.76
2020-04-19,9.76
2020-04-20,9.76
2020-04-21,9.76
2020-04-22,9.76
2020-04-23,9.76
2020-04-24,9.76
2020-04-25,9.76
2020-04-26,9.76
2020-04-27,9.76
2020-04-28,9.76
2020-04-29,9.76
2020-04-30,9.76
2020-05-01,9.76
2020-05-02,9.76
2020-05-03,9.76
2020-05-04,9.76
2020-05-05,9.76
2020-05-06,9.76
2020-05-07,9.76
2020-05-08,9.76
2020-05-09,9.76
2020-05-10,9.76
2020-05-11,9.76
2020-05-12,9.76
2020-05-13,9.76
2020-05-14,9.76
2020-05-15,9.76
2020-05-16,9.76
2020-05-17,9.76
2020-05-18,9.76
2020-05-19,9.76
2020-05-20,9.76
2020-05-21,9.76
2020-05-22,9.76
2020-05-23,9.76
2020-05-24,9.76
2020-05-25,9.76
2020-05-26,9.76
2020-05-27,9.76
2020-05-28,9.76
2020-05-29,9.76
2020-05-30,9.76
2020-05-31,9.76
2020-06-01,9.76
2020-06-02,9.76
2020-06-03,9.76
2020-06-04,9.76
2020-06-05,9.76
2020-06-06,9.76
2020-06-07,9.76
2020-06-08,9.76
2020-06-09,9.76
2020-06-10,9.76
2020-06-11,9.76
2020-06-12,9.76
2020-06-13,9.76
2020-06-14,9.76
2020-06-15,9.76
2020-06-16,9.76
2020-06-17,9.76
2020-06-18,9.76
2020-06-19,9.76
2020-06-20,9.76
2020-06-21,9.76
2020-06-22,9.76
2020-06-23,9.76
2020-06-24,9.76
2020-06-25,9.76
2020-06-26,9.76
2020-06-27,9.76
2020-06-28,9.76
2020-06-29,9.76
