,MPC US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,6.45
2020-01-15,6.45
2020-01-16,6.45
2020-01-17,6.45
2020-01-18,6.45
2020-01-19,6.45
2020-01-20,6.45
2020-01-21,6.45
2020-01-22,6.45
2020-01-23,6.45
2020-01-24,6.45
2020-01-25,6.45
2020-01-26,6.45
2020-01-27,6.45
2020-01-28,6.45
2020-01-29,6.45
2020-01-30,4.6
2020-01-31,4.6
2020-02-01,4.6
2020-02-02,4.6
2020-02-03,4.6
2020-02-04,4.6
2020-02-05,4.6
2020-02-06,4.6
2020-02-07,4.6
2020-02-08,4.6
2020-02-09,4.6
2020-02-10,4.6
2020-02-11,4.6
2020-02-12,4.6
2020-02-13,4.6
2020-02-14,4.6
2020-02-15,4.6
2020-02-16,4.6
2020-02-17,4.6
2020-02-18,4.6
2020-02-19,4.6
2020-02-20,4.6
2020-02-21,4.6
2020-02-22,4.6
2020-02-23,4.6
2020-02-24,4.6
2020-02-25,4.6
2020-02-26,4.6
2020-02-27,4.6
2020-02-28,4.6
2020-02-29,4.6
2020-03-01,4.6
2020-03-02,4.6
2020-03-03,4.6
2020-03-04,4.6
2020-03-05,4.6
2020-03-06,4.6
2020-03-07,4.6
2020-03-08,4.6
2020-03-09,4.6
2020-03-10,4.6
2020-03-11,4.6
2020-03-12,4.6
2020-03-13,4.6
2020-03-14,4.6
2020-03-15,4.6
2020-03-16,4.6
2020-03-17,4.6
2020-03-18,4.6
2020-03-19,4.6
2020-03-20,4.6
2020-03-21,4.6
2020-03-22,4.6
2020-03-23,4.6
2020-03-24,4.6
2020-03-25,4.6
2020-03-26,4.665
2020-03-27,4.665
2020-03-28,4.665
2020-03-29,4.665
2020-03-30,4.665
2020-03-31,4.665
2020-04-01,4.665
2020-04-02,4.665
2020-04-03,4.665
2020-04-04,4.665
2020-04-05,4.665
2020-04-06,4.665
2020-04-07,4.665
2020-04-08,4.665
2020-04-09,4.665
2020-04-10,3.415
2020-04-11,3.415
2020-04-12,3.415
2020-04-13,3.415
2020-04-14,3.44
2020-04-15,3.44
2020-04-16,3.44
2020-04-17,3.44
2020-04-18,3.44
2020-04-19,3.44
2020-04-20,3.44
2020-04-21,3.34
2020-04-22,3.34
2020-04-23,3.39
2020-04-24,2.25
2020-04-25,2.25
2020-04-26,2.25
2020-04-27,2.25
2020-04-28,2.25
2020-04-29,2.25
2020-04-30,2.25
2020-05-01,2.25
2020-05-02,2.25
2020-05-03,2.25
2020-05-04,2.25
2020-05-05,2.25
2020-05-06,2.85
2020-05-07,2.85
2020-05-08,2.85
2020-05-09,2.85
2020-05-10,2.85
2020-05-11,2.85
2020-05-12,5.54
2020-05-13,5.54
2020-05-14,5.54
2020-05-15,5.54
2020-05-16,5.54
2020-05-17,5.54
2020-05-18,5.54
2020-05-19,5.54
2020-05-20,5.54
2020-05-21,5.54
2020-05-22,5.54
2020-05-23,5.54
2020-05-24,5.54
2020-05-25,5.54
2020-05-26,5.54
2020-05-27,5.54
2020-05-28,5.54
2020-05-29,5.54
2020-05-30,5.54
2020-05-31,5.54
2020-06-01,5.54
2020-06-02,5.54
2020-06-03,5.54
2020-06-04,5.54
2020-06-05,5.54
2020-06-06,5.54
2020-06-07,5.54
2020-06-08,5.54
2020-06-09,5.54
2020-06-10,5.54
2020-06-11,5.54
2020-06-12,5.54
2020-06-13,5.54
2020-06-14,5.54
2020-06-15,5.54
2020-06-16,5.54
2020-06-17,5.54
2020-06-18,5.54
2020-06-19,5.54
2020-06-20,5.54
2020-06-21,5.54
2020-06-22,5.54
2020-06-23,5.54
2020-06-24,5.54
2020-06-25,5.54
2020-06-26,5.54
2020-06-27,5.54
2020-06-28,5.54
2020-06-29,5.54
2020-06-30,5.54
2020-07-01,5.54
2020-07-02,5.54
2020-07-03,5.54
2020-07-04,5.54
2020-07-05,5.54
2020-07-06,5.54
2020-07-07,5.54
2020-07-08,5.54
2020-07-09,5.54
2020-07-10,5.54
2020-07-11,5.54
2020-07-12,5.54
2020-07-13,5.54
2020-07-14,5.365
2020-07-15,5.365
2020-07-16,5.365
2020-07-17,5.365
2020-07-18,5.365
2020-07-19,5.365
2020-07-20,5.365
2020-07-21,5.365
2020-07-22,5.365
2020-07-23,5.365
2020-07-24,5.365
2020-07-25,5.365
2020-07-26,5.365
2020-07-27,5.365
2020-07-28,5.365
2020-07-29,5.365
2020-07-30,5.365
2020-07-31,5.365
2020-08-01,5.365
2020-08-02,5.365
2020-08-03,5.365
2020-08-04,5.065
2020-08-05,5.065
2020-08-06,5.065
2020-08-07,5.065
2020-08-08,5.065
2020-08-09,5.065
2020-08-10,5.065
2020-08-11,5.065
2020-08-12,5.065
2020-08-13,5.065
2020-08-14,5.065
2020-08-15,5.065
2020-08-16,5.065
2020-08-17,5.065
2020-08-18,5.065
2020-08-19,5.065
2020-08-20,5.065
2020-08-21,5.065
2020-08-22,5.065
2020-08-23,5.065
2020-08-24,5.065
2020-08-25,5.065
2020-08-26,5.065
2020-08-27,5.065
2020-08-28,5.065
2020-08-29,5.065
2020-08-30,5.065
2020-08-31,5.065
2020-09-01,5.065
2020-09-02,5.065
2020-09-03,1.9
2020-09-04,1.9
2020-09-05,1.9
2020-09-06,1.9
2020-09-07,1.9
2020-09-08,1.9
2020-09-09,1.9
2020-09-10,1.9
2020-09-11,1.9
2020-09-12,1.9
2020-09-13,1.9
2020-09-14,1.9
2020-09-15,1.9
2020-09-16,1.9
2020-09-17,1.9
2020-09-18,1.9
2020-09-19,1.9
2020-09-20,1.9
2020-09-21,1.9
2020-09-22,1.9
2020-09-23,1.9
2020-09-24,1.9
2020-09-25,1.9
2020-09-26,1.9
2020-09-27,1.9
2020-09-28,1.9
2020-09-29,1.9
2020-09-30,1.9
2020-10-01,1.9
2020-10-02,1.9
2020-10-03,1.9
2020-10-04,1.9
2020-10-05,1.9
2020-10-06,1.9
2020-10-07,1.9
2020-10-08,1.9
2020-10-09,1.9
2020-10-10,1.9
2020-10-11,1.9
2020-10-12,1.9
2020-10-13,2.2
2020-10-14,2.2
2020-10-15,2.2
2020-10-16,2.2
2020-10-17,2.2
2020-10-18,2.2
2020-10-19,2.2
2020-10-20,2.2
2020-10-21,2.2
2020-10-22,2.2
2020-10-23,2.2
2020-10-24,2.2
2020-10-25,2.2
2020-10-26,2.2
2020-10-27,2.2
2020-10-28,2.2
2020-10-29,2.2
2020-10-30,2.2
2020-10-31,2.2
2020-11-01,2.2
2020-11-02,5.9
2020-11-03,5.9
2020-11-04,5.9
2020-11-05,5.9
2020-11-06,5.9
2020-11-07,5.9
2020-11-08,5.9
2020-11-09,5.9
2020-11-10,5.9
2020-11-11,5.9
2020-11-12,5.9
2020-11-13,5.9
2020-11-14,5.9
2020-11-15,5.9
2020-11-16,5.9
2020-11-17,5.9
2020-11-18,5.9
2020-11-19,5.9
2020-11-20,5.9
2020-11-21,5.9
2020-11-22,5.9
2020-11-23,5.9
2020-11-24,5.9
2020-11-25,5.9
2020-11-26,5.9
2020-11-27,5.9
2020-11-28,5.9
2020-11-29,5.9
2020-11-30,5.9
2020-12-01,5.9
2020-12-02,5.9
2020-12-03,5.9
2020-12-04,5.9
2020-12-05,5.9
2020-12-06,5.9
2020-12-07,5.9
2020-12-08,5.9
2020-12-09,5.9
2020-12-10,5.9
2020-12-11,5.9
2020-12-12,5.9
2020-12-13,5.9
2020-12-14,5.9
2020-12-15,5.9
2020-12-16,5.9
2020-12-17,5.9
2020-12-18,5.9
2020-12-19,5.9
2020-12-20,5.9
2020-12-21,5.9
2020-12-22,5.9
2020-12-23,5.9
2020-12-24,5.9
2020-12-25,5.9
2020-12-26,5.9
2020-12-27,5.9
2020-12-28,5.9
2020-12-29,5.9
2020-12-30,5.9
2020-12-31,5.9
2021-01-01,5.9
2021-01-02,5.9
2021-01-03,5.9
2021-01-04,5.9
2021-01-05,5.9
2021-01-06,5.9
2021-01-07,5.9
2021-01-08,5.9
2021-01-09,5.9
2021-01-10,5.9
2021-01-11,5.9
2021-01-12,5.9
2021-01-13,5.9
2021-01-14,2.5
2021-01-15,2.45
2021-01-16,2.45
2021-01-17,2.45
2021-01-18,2.45
2021-01-19,2.45
2021-01-20,2.45
2021-01-21,2.45
2021-01-22,2.45
2021-01-23,2.45
2021-01-24,2.45
2021-01-25,2.45
2021-01-26,2.45
2021-01-27,2.45
2021-01-28,2.45
2021-01-29,2.45
2021-01-30,2.45
2021-01-31,2.45
2021-02-01,2.45
2021-02-02,2.45
2021-02-03,2.9
2021-02-04,2.9
2021-02-05,2.9
2021-02-06,2.9
2021-02-07,2.9
2021-02-08,2.9
2021-02-09,2.9
2021-02-10,2.9
2021-02-11,2.9
2021-02-12,2.9
2021-02-13,2.9
2021-02-14,2.9
2021-02-15,2.9
2021-02-16,2.9
2021-02-17,2.9
2021-02-18,2.9
2021-02-19,2.9
2021-02-20,2.9
2021-02-21,2.9
2021-02-22,2.9
2021-02-23,2.9
2021-02-24,2.9
2021-02-25,2.9
2021-02-26,2.9
2021-02-27,2.9
2021-02-28,2.9
2021-03-01,2.9
2021-03-02,2.9
2021-03-03,2.9
2021-03-04,2.9
2021-03-05,2.9
2021-03-06,2.9
2021-03-07,2.9
2021-03-08,2.9
2021-03-09,2.9
2021-03-10,2.9
2021-03-11,2.9
2021-03-12,2.9
2021-03-13,2.9
2021-03-14,2.9
2021-03-15,2.9
2021-03-16,2.9
2021-03-17,2.9
2021-03-18,2.9
2021-03-19,2.9
2021-03-20,2.9
2021-03-21,2.9
2021-03-22,2.9
2021-03-23,2.9
2021-03-24,2.9
