,HZNP US Equity
,BEST_EPS
2020-01-01,3.299
2020-01-02,3.299
2020-01-03,3.299
2020-01-04,3.299
2020-01-05,3.299
2020-01-06,3.299
2020-01-07,3.299
2020-01-08,3.299
2020-01-09,3.29
2020-01-10,3.29
2020-01-11,3.29
2020-01-12,3.29
2020-01-13,3.29
2020-01-14,3.37
2020-01-15,3.37
2020-01-16,3.37
2020-01-17,3.37
2020-01-18,3.37
2020-01-19,3.37
2020-01-20,3.37
2020-01-21,3.396
2020-01-22,3.396
2020-01-23,3.396
2020-01-24,3.396
2020-01-25,3.396
2020-01-26,3.396
2020-01-27,3.396
2020-01-28,3.396
2020-01-29,3.396
2020-01-30,3.396
2020-01-31,3.396
2020-02-01,3.396
2020-02-02,3.396
2020-02-03,3.396
2020-02-04,3.396
2020-02-05,3.396
2020-02-06,3.396
2020-02-07,3.396
2020-02-08,3.396
2020-02-09,3.396
2020-02-10,3.396
2020-02-11,3.44
2020-02-12,3.44
2020-02-13,3.44
2020-02-14,3.44
2020-02-15,3.44
2020-02-16,3.44
2020-02-17,3.44
2020-02-18,3.44
2020-02-19,3.44
2020-02-20,3.44
2020-02-21,3.44
2020-02-22,3.44
2020-02-23,3.44
2020-02-24,3.44
2020-02-25,3.44
2020-02-26,3.525
2020-02-27,3.525
2020-02-28,3.525
2020-02-29,3.525
2020-03-01,3.525
2020-03-02,3.525
2020-03-03,3.525
2020-03-04,3.525
2020-03-05,3.525
2020-03-06,3.525
2020-03-07,3.525
2020-03-08,3.525
2020-03-09,3.632
2020-03-10,3.632
2020-03-11,3.632
2020-03-12,3.632
2020-03-13,3.632
2020-03-14,3.632
2020-03-15,3.632
2020-03-16,3.632
2020-03-17,3.632
2020-03-18,3.632
2020-03-19,3.632
2020-03-20,3.632
2020-03-21,3.632
2020-03-22,3.632
2020-03-23,3.632
2020-03-24,3.632
2020-03-25,3.632
2020-03-26,3.632
2020-03-27,3.632
2020-03-28,3.632
2020-03-29,3.632
2020-03-30,3.632
2020-03-31,3.632
2020-04-01,3.632
2020-04-02,3.632
2020-04-03,3.632
2020-04-04,3.632
2020-04-05,3.632
2020-04-06,3.636
2020-04-07,3.636
2020-04-08,3.636
2020-04-09,3.636
2020-04-10,3.636
2020-04-11,3.636
2020-04-12,3.636
2020-04-13,3.646
2020-04-14,3.646
2020-04-15,3.646
2020-04-16,3.642
2020-04-17,3.642
2020-04-18,3.642
2020-04-19,3.642
2020-04-20,3.642
2020-04-21,3.642
2020-04-22,3.642
2020-04-23,3.642
2020-04-24,3.642
2020-04-25,3.642
2020-04-26,3.642
2020-04-27,3.642
2020-04-28,3.642
2020-04-29,3.642
2020-04-30,3.552
2020-05-01,3.552
2020-05-02,3.552
2020-05-03,3.552
2020-05-04,3.552
2020-05-05,3.552
2020-05-06,3.887
2020-05-07,3.887
2020-05-08,3.887
2020-05-09,3.887
2020-05-10,3.887
2020-05-11,3.887
2020-05-12,3.887
2020-05-13,3.887
2020-05-14,3.887
2020-05-15,3.887
2020-05-16,3.887
2020-05-17,3.887
2020-05-18,3.887
2020-05-19,3.887
2020-05-20,4.043
2020-05-21,4.043
2020-05-22,4.043
2020-05-23,4.043
2020-05-24,4.043
2020-05-25,4.043
2020-05-26,4.043
2020-05-27,4.043
2020-05-28,4.133
2020-05-29,4.133
2020-05-30,4.133
2020-05-31,4.133
2020-06-01,4.133
2020-06-02,4.08
2020-06-03,4.08
2020-06-04,4.08
2020-06-05,4.08
2020-06-06,4.08
2020-06-07,4.08
2020-06-08,4.08
2020-06-09,4.08
2020-06-10,4.08
2020-06-11,4.08
2020-06-12,4.08
2020-06-13,4.08
2020-06-14,4.08
2020-06-15,4.08
2020-06-16,4.08
2020-06-17,4.08
2020-06-18,4.08
2020-06-19,4.08
2020-06-20,4.08
2020-06-21,4.08
2020-06-22,4.08
2020-06-23,4.105
2020-06-24,4.105
2020-06-25,4.105
2020-06-26,4.105
2020-06-27,4.105
2020-06-28,4.105
2020-06-29,4.105
2020-06-30,4.105
2020-07-01,4.105
2020-07-02,4.105
2020-07-03,4.105
2020-07-04,4.105
2020-07-05,4.105
2020-07-06,4.105
2020-07-07,4.105
2020-07-08,4.105
2020-07-09,4.105
2020-07-10,4.105
2020-07-11,4.105
2020-07-12,4.105
2020-07-13,4.105
2020-07-14,4.105
2020-07-15,4.105
2020-07-16,4.18
2020-07-17,4.18
2020-07-18,4.18
2020-07-19,4.18
2020-07-20,4.18
2020-07-21,4.27
2020-07-22,4.27
2020-07-23,4.337
2020-07-24,4.337
2020-07-25,4.337
2020-07-26,4.337
2020-07-27,4.385
2020-07-28,4.488
2020-07-29,4.488
2020-07-30,4.488
2020-07-31,4.89
2020-08-01,4.89
2020-08-02,4.89
2020-08-03,4.89
2020-08-04,4.89
2020-08-05,6.543
2020-08-06,6.543
2020-08-07,6.543
2020-08-08,6.543
2020-08-09,6.543
2020-08-10,6.543
2020-08-11,6.543
2020-08-12,6.555
2020-08-13,6.555
2020-08-14,6.555
2020-08-15,6.555
2020-08-16,6.555
2020-08-17,6.555
2020-08-18,6.555
2020-08-19,6.555
2020-08-20,6.555
2020-08-21,6.555
2020-08-22,6.555
2020-08-23,6.555
2020-08-24,6.555
2020-08-25,6.555
2020-08-26,6.555
2020-08-27,6.555
2020-08-28,6.555
2020-08-29,6.555
2020-08-30,6.555
2020-08-31,6.555
2020-09-01,6.555
2020-09-02,6.555
2020-09-03,6.555
2020-09-04,6.555
2020-09-05,6.555
2020-09-06,6.555
2020-09-07,6.555
2020-09-08,6.555
2020-09-09,6.57
2020-09-10,6.57
2020-09-11,6.57
2020-09-12,6.57
2020-09-13,6.57
2020-09-14,6.57
2020-09-15,6.57
2020-09-16,6.57
2020-09-17,6.57
2020-09-18,6.57
2020-09-19,6.57
2020-09-20,6.57
2020-09-21,6.57
2020-09-22,6.57
2020-09-23,6.57
2020-09-24,6.57
2020-09-25,6.57
2020-09-26,6.57
2020-09-27,6.57
2020-09-28,6.57
2020-09-29,6.57
2020-09-30,6.57
2020-10-01,6.57
2020-10-02,6.57
2020-10-03,6.57
2020-10-04,6.57
2020-10-05,6.57
2020-10-06,6.57
2020-10-07,6.57
2020-10-08,6.577
2020-10-09,6.577
2020-10-10,6.577
2020-10-11,6.577
2020-10-12,6.577
2020-10-13,6.577
2020-10-14,6.577
2020-10-15,6.577
2020-10-16,6.577
2020-10-17,6.577
2020-10-18,6.577
2020-10-19,6.544
2020-10-20,6.544
2020-10-21,6.546
2020-10-22,6.546
2020-10-23,6.563
2020-10-24,6.563
2020-10-25,6.563
2020-10-26,6.563
2020-10-27,6.563
2020-10-28,6.563
2020-10-29,6.563
2020-10-30,6.563
2020-10-31,6.563
2020-11-01,6.563
2020-11-02,7.079
2020-11-03,7.079
2020-11-04,7.079
2020-11-05,7.079
2020-11-06,7.079
2020-11-07,7.079
2020-11-08,7.079
2020-11-09,7.079
2020-11-10,6.49
2020-11-11,6.49
2020-11-12,6.49
2020-11-13,6.49
2020-11-14,6.49
2020-11-15,6.49
2020-11-16,6.49
2020-11-17,6.49
2020-11-18,6.49
2020-11-19,6.49
2020-11-20,6.49
2020-11-21,6.49
2020-11-22,6.49
2020-11-23,6.49
2020-11-24,6.49
2020-11-25,6.49
2020-11-26,6.49
2020-11-27,6.49
2020-11-28,6.49
2020-11-29,6.49
2020-11-30,6.49
2020-12-01,6.49
2020-12-02,6.49
2020-12-03,6.49
2020-12-04,6.49
2020-12-05,6.49
2020-12-06,6.49
2020-12-07,6.49
2020-12-08,6.49
2020-12-09,6.49
2020-12-10,6.49
2020-12-11,6.49
2020-12-12,6.49
2020-12-13,6.49
2020-12-14,6.49
2020-12-15,6.49
2020-12-16,6.49
2020-12-17,6.83
2020-12-18,6.83
2020-12-19,6.83
2020-12-20,6.83
2020-12-21,6.83
2020-12-22,6.83
2020-12-23,6.83
2020-12-24,6.83
2020-12-25,6.83
2020-12-26,6.83
2020-12-27,6.83
2020-12-28,6.83
2020-12-29,6.83
2020-12-30,6.83
2020-12-31,6.83
2021-01-01,6.83
2021-01-02,6.83
2021-01-03,6.83
2021-01-04,6.83
2021-01-05,6.83
2021-01-06,6.83
2021-01-07,6.83
