,UNP US Equity
,BEST_EPS
2020-01-01,14.17
2020-01-02,14.17
2020-01-03,14.17
2020-01-04,14.17
2020-01-05,14.17
2020-01-06,14.15
2020-01-07,14.15
2020-01-08,14.15
2020-01-09,14.15
2020-01-10,14.15
2020-01-11,14.15
2020-01-12,14.15
2020-01-13,14.15
2020-01-14,14.15
2020-01-15,14.15
2020-01-16,14.15
2020-01-17,14.15
2020-01-18,14.15
2020-01-19,14.15
2020-01-20,14.15
2020-01-21,14.15
2020-01-22,14.15
2020-01-23,13.83
2020-01-24,13.507
2020-01-25,13.507
2020-01-26,13.507
2020-01-27,13.507
2020-01-28,13.507
2020-01-29,13.507
2020-01-30,13.507
2020-01-31,13.507
2020-02-01,13.507
2020-02-02,13.507
2020-02-03,13.507
2020-02-04,13.507
2020-02-05,13.507
2020-02-06,13.507
2020-02-07,13.507
2020-02-08,13.507
2020-02-09,13.507
2020-02-10,13.507
2020-02-11,13.507
2020-02-12,13.507
2020-02-13,13.507
2020-02-14,13.507
2020-02-15,13.507
2020-02-16,13.507
2020-02-17,13.507
2020-02-18,13.507
2020-02-19,13.507
2020-02-20,13.507
2020-02-21,13.507
2020-02-22,13.507
2020-02-23,13.507
2020-02-24,13.507
2020-02-25,13.507
2020-02-26,13.507
2020-02-27,13.507
2020-02-28,13.507
2020-02-29,13.507
2020-03-01,13.507
2020-03-02,13.507
2020-03-03,13.507
2020-03-04,13.507
2020-03-05,13.507
2020-03-06,13.507
2020-03-07,13.507
2020-03-08,13.507
2020-03-09,13.507
2020-03-10,13.507
2020-03-11,13.507
2020-03-12,13.507
2020-03-13,13.507
2020-03-14,13.507
2020-03-15,13.507
2020-03-16,13.507
2020-03-17,13.507
2020-03-18,13.507
2020-03-19,12.96
2020-03-20,12.96
2020-03-21,12.96
2020-03-22,12.96
2020-03-23,12.96
2020-03-24,12.96
2020-03-25,12.96
2020-03-26,12.96
2020-03-27,12.96
2020-03-28,12.96
2020-03-29,12.96
2020-03-30,12.96
2020-03-31,12.96
2020-04-01,12.96
2020-04-02,12.96
2020-04-03,12.96
2020-04-04,12.96
2020-04-05,12.96
2020-04-06,12.96
2020-04-07,12.96
2020-04-08,12.96
