,SPGI US Equity
,BEST_EPS
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,14.71
2020-02-07,14.71
2020-02-08,14.71
2020-02-09,14.71
2020-02-10,14.71
2020-02-11,14.71
2020-02-12,14.71
2020-02-13,14.71
2020-02-14,14.71
2020-02-15,14.71
2020-02-16,14.71
2020-02-17,14.71
2020-02-18,14.71
2020-02-19,14.71
2020-02-20,14.71
2020-02-21,14.71
2020-02-22,14.71
2020-02-23,14.71
2020-02-24,14.71
2020-02-25,14.71
2020-02-26,14.71
2020-02-27,14.71
2020-02-28,14.71
2020-02-29,14.71
2020-03-01,14.71
2020-03-02,14.71
2020-03-03,14.71
2020-03-04,14.71
2020-03-05,14.71
2020-03-06,14.71
2020-03-07,14.71
2020-03-08,14.71
2020-03-09,14.71
2020-03-10,14.71
2020-03-11,14.71
2020-03-12,14.71
2020-03-13,14.71
2020-03-14,14.71
2020-03-15,14.71
2020-03-16,14.71
2020-03-17,14.71
2020-03-18,14.71
2020-03-19,14.71
2020-03-20,14.71
2020-03-21,14.71
2020-03-22,14.71
2020-03-23,14.71
2020-03-24,14.71
2020-03-25,14.71
2020-03-26,14.17
2020-03-27,14.17
2020-03-28,14.17
2020-03-29,14.17
2020-03-30,14.17
2020-03-31,14.17
2020-04-01,14.17
2020-04-02,14.17
2020-04-03,14.17
2020-04-04,14.17
2020-04-05,14.17
2020-04-06,14.17
2020-04-07,14.17
2020-04-08,14.17
2020-04-09,14.17
2020-04-10,14.17
2020-04-11,14.17
2020-04-12,14.17
2020-04-13,14.17
2020-04-14,14.17
2020-04-15,14.17
2020-04-16,14.17
2020-04-17,14.17
2020-04-18,14.17
2020-04-19,14.17
2020-04-20,14.17
2020-04-21,13.1
2020-04-22,13.1
2020-04-23,13.1
2020-04-24,13.1
2020-04-25,13.1
2020-04-26,13.1
2020-04-27,13.1
2020-04-28,13.15
2020-04-29,13.15
2020-04-30,13.15
2020-05-01,13.15
2020-05-02,13.15
2020-05-03,13.15
2020-05-04,13.15
2020-05-05,13.15
2020-05-06,13.15
2020-05-07,13.15
2020-05-08,13.15
2020-05-09,13.15
2020-05-10,13.15
2020-05-11,13.15
2020-05-12,13.15
2020-05-13,13.15
2020-05-14,13.15
2020-05-15,13.15
2020-05-16,13.15
2020-05-17,13.15
2020-05-18,13.15
2020-05-19,13.15
2020-05-20,13.15
2020-05-21,13.15
2020-05-22,13.15
2020-05-23,13.15
2020-05-24,13.15
2020-05-25,13.15
2020-05-26,13.15
2020-05-27,13.15
2020-05-28,13.15
2020-05-29,13.15
2020-05-30,13.15
2020-05-31,13.15
2020-06-01,13.15
2020-06-02,13.15
2020-06-03,13.15
2020-06-04,13.15
2020-06-05,13.15
2020-06-06,13.15
2020-06-07,13.15
2020-06-08,13.13
2020-06-09,13.13
2020-06-10,13.13
2020-06-11,13.13
2020-06-12,13.13
2020-06-13,13.13
2020-06-14,13.13
2020-06-15,13.13
2020-06-16,13.13
2020-06-17,13.13
2020-06-18,13.13
2020-06-19,13.637
2020-06-20,13.637
2020-06-21,13.637
2020-06-22,13.637
2020-06-23,13.637
2020-06-24,13.637
2020-06-25,13.637
2020-06-26,13.637
2020-06-27,13.637
2020-06-28,13.637
2020-06-29,13.637
2020-06-30,13.637
2020-07-01,13.637
2020-07-02,13.637
2020-07-03,13.637
2020-07-04,13.637
2020-07-05,13.637
2020-07-06,13.637
2020-07-07,13.72
2020-07-08,13.72
2020-07-09,13.72
2020-07-10,13.72
2020-07-11,13.72
2020-07-12,13.72
2020-07-13,13.72
2020-07-14,13.72
2020-07-15,13.72
2020-07-16,13.72
2020-07-17,13.72
2020-07-18,13.72
2020-07-19,13.72
2020-07-20,13.72
2020-07-21,13.72
2020-07-22,13.72
2020-07-23,13.72
2020-07-24,13.72
2020-07-25,13.72
2020-07-26,13.72
2020-07-27,13.72
2020-07-28,14.37
2020-07-29,14.39
2020-07-30,14.39
2020-07-31,14.39
2020-08-01,14.39
2020-08-02,14.39
2020-08-03,14.39
2020-08-04,14.39
2020-08-05,14.39
2020-08-06,14.39
2020-08-07,14.39
2020-08-08,14.39
2020-08-09,14.39
2020-08-10,14.39
2020-08-11,14.39
2020-08-12,14.39
2020-08-13,14.39
2020-08-14,14.39
2020-08-15,14.39
2020-08-16,14.39
2020-08-17,14.39
2020-08-18,14.39
2020-08-19,14.39
2020-08-20,14.39
2020-08-21,14.39
2020-08-22,14.39
2020-08-23,14.39
2020-08-24,14.39
2020-08-25,14.39
2020-08-26,14.39
2020-08-27,14.39
2020-08-28,14.39
2020-08-29,14.39
2020-08-30,14.39
2020-08-31,14.39
2020-09-01,14.39
2020-09-02,14.39
2020-09-03,14.39
2020-09-04,14.39
2020-09-05,14.39
2020-09-06,14.39
2020-09-07,14.39
2020-09-08,14.39
2020-09-09,14.39
2020-09-10,14.39
2020-09-11,14.39
2020-09-12,14.39
2020-09-13,14.39
2020-09-14,14.39
2020-09-15,14.39
2020-09-16,14.39
2020-09-17,14.39
2020-09-18,14.39
2020-09-19,14.39
2020-09-20,14.39
2020-09-21,14.39
2020-09-22,14.39
2020-09-23,14.39
2020-09-24,14.39
2020-09-25,14.39
2020-09-26,14.39
2020-09-27,14.39
2020-09-28,14.39
2020-09-29,14.39
2020-09-30,14.39
2020-10-01,14.427
2020-10-02,15.193
2020-10-03,15.193
2020-10-04,15.193
2020-10-05,15.193
2020-10-06,15.193
2020-10-07,15.183
2020-10-08,15.183
2020-10-09,15.183
2020-10-10,15.183
2020-10-11,15.183
2020-10-12,15.183
2020-10-13,15.183
2020-10-14,15.263
2020-10-15,15.263
2020-10-16,15.263
2020-10-17,15.263
2020-10-18,15.263
2020-10-19,15.263
2020-10-20,15.263
2020-10-21,15.263
2020-10-22,15.263
2020-10-23,15.263
2020-10-24,15.263
2020-10-25,15.263
2020-10-26,15.263
2020-10-27,15.373
2020-10-28,14.703
2020-10-29,14.703
2020-10-30,14.703
2020-10-31,14.703
2020-11-01,14.703
2020-11-02,14.703
2020-11-03,14.703
2020-11-04,14.703
2020-11-05,14.703
2020-11-06,14.703
2020-11-07,14.703
2020-11-08,14.703
2020-11-09,14.703
2020-11-10,14.703
2020-11-11,14.703
2020-11-12,14.703
2020-11-13,14.703
2020-11-14,14.703
2020-11-15,14.703
2020-11-16,14.703
2020-11-17,14.703
2020-11-18,14.703
2020-11-19,14.703
2020-11-20,14.703
2020-11-21,14.703
2020-11-22,14.703
2020-11-23,14.703
2020-11-24,14.703
2020-11-25,14.703
2020-11-26,14.703
2020-11-27,14.703
2020-11-28,14.703
2020-11-29,14.703
2020-11-30,14.703
2020-12-01,14.703
2020-12-02,14.703
2020-12-03,14.703
2020-12-04,15.535
2020-12-05,15.535
2020-12-06,15.535
2020-12-07,15.535
2020-12-08,15.354
2020-12-09,15.354
2020-12-10,15.354
2020-12-11,15.354
2020-12-12,15.354
2020-12-13,15.354
2020-12-14,15.354
2020-12-15,15.354
2020-12-16,15.354
2020-12-17,15.354
2020-12-18,15.354
2020-12-19,15.354
2020-12-20,15.354
2020-12-21,15.354
2020-12-22,15.354
2020-12-23,15.354
2020-12-24,15.354
2020-12-25,15.354
2020-12-26,15.354
2020-12-27,15.354
2020-12-28,15.354
2020-12-29,15.354
2020-12-30,15.354
2020-12-31,15.354
2021-01-01,15.354
2021-01-02,15.354
2021-01-03,15.354
2021-01-04,15.644
2021-01-05,15.644
2021-01-06,15.644
2021-01-07,15.644
2021-01-08,15.644
2021-01-09,15.644
2021-01-10,15.644
2021-01-11,15.644
2021-01-12,15.644
2021-01-13,15.644
2021-01-14,15.644
2021-01-15,15.644
2021-01-16,15.644
2021-01-17,15.644
2021-01-18,15.644
2021-01-19,15.644
2021-01-20,15.644
2021-01-21,15.644
2021-01-22,15.967
2021-01-23,15.967
2021-01-24,15.967
2021-01-25,15.967
2021-01-26,15.627
2021-01-27,15.627
2021-01-28,15.627
2021-01-29,15.627
2021-01-30,15.627
2021-01-31,15.627
2021-02-01,15.627
2021-02-02,15.627
2021-02-03,15.627
2021-02-04,15.627
2021-02-05,15.627
2021-02-06,15.627
2021-02-07,15.627
2021-02-08,15.627
2021-02-09,15.782
2021-02-10,16.093
2021-02-11,15.832
2021-02-12,15.832
2021-02-13,15.832
2021-02-14,15.832
2021-02-15,15.832
2021-02-16,15.832
2021-02-17,15.832
2021-02-18,15.832
2021-02-19,15.832
2021-02-20,15.832
2021-02-21,15.832
2021-02-22,15.832
2021-02-23,15.832
2021-02-24,15.832
2021-02-25,15.832
2021-02-26,15.832
2021-02-27,15.832
2021-02-28,15.832
2021-03-01,15.832
2021-03-02,15.832
2021-03-03,15.832
2021-03-04,15.832
2021-03-05,15.832
2021-03-06,15.832
2021-03-07,15.832
2021-03-08,15.832
2021-03-09,15.832
2021-03-10,15.818
2021-03-11,15.818
2021-03-12,15.818
2021-03-13,15.818
2021-03-14,15.818
2021-03-15,15.818
2021-03-16,15.818
2021-03-17,15.818
2021-03-18,15.818
2021-03-19,15.818
2021-03-20,15.818
2021-03-21,15.818
2021-03-22,15.818
2021-03-23,15.818
2021-03-24,15.818
2021-03-25,15.818
2021-03-26,15.818
2021-03-27,15.818
2021-03-28,15.818
2021-03-29,15.818
2021-03-30,15.818
