,WTS US Equity
,BEST_EPS
2020-01-01,6.93
2020-01-02,6.93
2020-01-03,6.93
2020-01-04,6.93
2020-01-05,6.93
2020-01-06,6.93
2020-01-07,6.93
2020-01-08,6.93
2020-01-09,6.93
2020-01-10,6.93
2020-01-11,6.93
2020-01-12,6.93
2020-01-13,6.93
2020-01-14,6.93
2020-01-15,6.93
2020-01-16,6.93
2020-01-17,6.93
2020-01-18,6.93
2020-01-19,6.93
2020-01-20,6.93
2020-01-21,6.93
2020-01-22,6.93
2020-01-23,6.93
2020-01-24,6.93
2020-01-25,6.93
2020-01-26,6.93
2020-01-27,6.93
2020-01-28,6.93
2020-01-29,6.93
2020-01-30,6.93
2020-01-31,6.93
2020-02-01,6.93
2020-02-02,6.93
2020-02-03,6.93
2020-02-04,6.93
2020-02-05,6.93
2020-02-06,6.93
2020-02-07,6.93
2020-02-08,6.93
2020-02-09,6.93
2020-02-10,6.93
2020-02-11,6.93
2020-02-12,6.93
2020-02-13,6.93
2020-02-14,6.93
2020-02-15,6.93
2020-02-16,6.93
2020-02-17,6.93
2020-02-18,6.93
2020-02-19,6.93
2020-02-20,6.93
2020-02-21,6.93
2020-02-22,6.93
2020-02-23,6.93
2020-02-24,6.93
2020-02-25,6.93
2020-02-26,6.93
2020-02-27,6.93
2020-02-28,6.93
2020-02-29,6.93
2020-03-01,6.93
2020-03-02,6.93
2020-03-03,6.93
2020-03-04,6.93
2020-03-05,6.93
2020-03-06,6.93
2020-03-07,6.93
2020-03-08,6.93
2020-03-09,6.93
2020-03-10,6.93
2020-03-11,6.93
2020-03-12,6.93
2020-03-13,6.93
2020-03-14,6.93
2020-03-15,6.93
2020-03-16,6.93
2020-03-17,6.93
2020-03-18,6.93
2020-03-19,6.93
2020-03-20,6.93
2020-03-21,6.93
2020-03-22,6.93
2020-03-23,6.93
2020-03-24,6.93
2020-03-25,6.93
2020-03-26,6.93
2020-03-27,6.93
2020-03-28,6.93
2020-03-29,6.93
2020-03-30,6.93
2020-03-31,6.93
2020-04-01,6.93
2020-04-02,6.93
2020-04-03,6.93
2020-04-04,6.93
2020-04-05,6.93
2020-04-06,6.93
2020-04-07,6.93
2020-04-08,6.93
2020-04-09,6.93
2020-04-10,6.93
2020-04-11,6.93
2020-04-12,6.93
2020-04-13,6.93
2020-04-14,6.93
2020-04-15,6.93
2020-04-16,6.93
2020-04-17,6.93
2020-04-18,6.93
2020-04-19,6.93
2020-04-20,6.93
2020-04-21,6.93
2020-04-22,6.93
2020-04-23,6.93
