,CVX US Equity
,BEST_EPS
2020-01-01,12.16
2020-01-02,12.16
2020-01-03,12.16
2020-01-04,12.16
2020-01-05,12.16
2020-01-06,12.16
2020-01-07,12.16
2020-01-08,12.16
2020-01-09,12.16
2020-01-10,12.16
2020-01-11,12.16
2020-01-12,12.16
2020-01-13,12.16
2020-01-14,11.03
2020-01-15,10.82
2020-01-16,10.82
2020-01-17,10.82
2020-01-18,10.82
2020-01-19,10.82
2020-01-20,10.82
2020-01-21,10.82
2020-01-22,10.82
2020-01-23,10.82
2020-01-24,10.82
2020-01-25,10.82
2020-01-26,10.82
2020-01-27,10.82
2020-01-28,10.82
2020-01-29,10.82
2020-01-30,10.82
2020-01-31,9.9
2020-02-01,9.9
2020-02-02,9.9
2020-02-03,9.45
2020-02-04,9.45
2020-02-05,9.45
2020-02-06,9.45
2020-02-07,9.45
2020-02-08,9.45
2020-02-09,9.45
2020-02-10,9.45
2020-02-11,9.45
2020-02-12,9.45
2020-02-13,9.45
2020-02-14,9.45
2020-02-15,9.45
2020-02-16,9.45
2020-02-17,9.45
2020-02-18,9.45
2020-02-19,9.45
2020-02-20,9.45
2020-02-21,9.45
2020-02-22,9.45
2020-02-23,9.45
2020-02-24,9.45
2020-02-25,9.45
2020-02-26,9.45
2020-02-27,9.45
2020-02-28,9.45
2020-02-29,9.45
2020-03-01,9.45
2020-03-02,9.25
2020-03-03,9.25
2020-03-04,10.45
2020-03-05,10.45
2020-03-06,10.45
2020-03-07,10.45
2020-03-08,10.45
2020-03-09,10.45
2020-03-10,10.45
2020-03-11,10.45
2020-03-12,10.45
2020-03-13,10.45
2020-03-14,10.45
2020-03-15,10.45
2020-03-16,10.45
2020-03-17,10.45
2020-03-18,10.45
2020-03-19,10.45
2020-03-20,10.75
2020-03-21,10.75
2020-03-22,10.75
2020-03-23,10.75
2020-03-24,10.75
2020-03-25,8.75
2020-03-26,8.75
2020-03-27,8.75
2020-03-28,8.75
2020-03-29,8.75
2020-03-30,8.75
2020-03-31,8.75
2020-04-01,8.75
2020-04-02,8.75
2020-04-03,8.75
2020-04-04,8.75
2020-04-05,8.75
2020-04-06,8.75
2020-04-07,7.55
2020-04-08,7.55
2020-04-09,7.55
2020-04-10,7.55
2020-04-11,7.55
2020-04-12,7.55
2020-04-13,7.45
